Mot_nettoye;Cluster_occurrence
ab;1
abandon;3
abc;2
abi;1
abide;1
able;17
aboard;1
abode;1
abq;5
abrupt;1
absence;2
absent;2
absolutely;48
abuse;2
academy;1
accelerate;1
accept;13
acceptable;4
acceptance;1
access;1
accessory;2
accident;7
accidentally;3
acclimate;1
accommodation;1
accomplice;1
accomplish;4
accord;2
account;17
accurate;2
accurately;1
accusation;1
accuse;4
ace;1
ache;1
achieve;1
acid;6
acquaintance;1
act;25
action;6
activate;1
active;1
actively;1
activity;2
actual;7
actually;92
ad;2
adam;1
adamant;1
adapt;1
add;16
addict;4
addictive;1
addition;1
address;15
adenocarcinoma;2
adio;1
adjust;4
adjustment;1
administration;6
admission;1
admit;11
adobe;1
adolf;1
adorable;3
adrian;1
adult;5
adulterant;2
advance;1
advertise;2
advice;10
advise;3
advocate;1
aerodynamic;1
affair;9
affect;4
affiliation;2
afford;5
affordable;1
afloat;1
afraid;4
african;1
afternoon;9
afterward;2
age;5
aged;2
agent;24
aggressive;1
agitate;3
ago;26
agree;13
agreeable;1
agreement;2
ah;5
ahead;22
aid;1
aimless;1
ain;46
air;26
aircraft;4
airlift;1
airline;1
airliner;1
airmen;1
airplane;2
airport;2
airspace;1
aisle;1
aka;2
alamos;2
alarm;4
albertson;1
albuminoid;1
albuquerque;26
alcohol;1
alcoholic;1
alex;1
alias;1
alibi;1
alien;2
alike;2
alive;7
alkaline;1
all;3
allegation;1
allegedly;1
allergenic;1
alleviate;1
allow;9
allowance;1
alongside;1
alpha;2
alpine;1
alternative;2
altimeter;1
altitude;1
aluminum;1
amalgam;2
amarillo;1
amaze;6
amazing;8
ambition;1
ambitious;1
ambulance;1
ambush;2
amend;1
amendment;2
america;5
american;4
amination;1
amnesia;1
amount;2
ampe;1
analogy;1
ancient;1
andrea;2
andrew;1
andy;1
anesthetize;1
angel;1
angle;1
angry;7
aniline;2
animal;4
ankle;1
annoy;1
annoying;1
annually;1
anode;3
anonymous;2
answer;28
ant;2
anthony;1
anthrax;1
anti;3
anticipate;2
anticipation;1
antiemetic;1
antique;1
antitussive;1
antonio;1
anus;1
anxiety;1
anybody;28
anymore;25
anyplace;1
anytime;8
anyways;5
apart;3
apartment;4
apd;7
apocalypse;1
apologetic;1
apologize;15
apology;7
apparent;1
apparently;15
appeal;1
appear;5
appearance;5
appetite;1
applaud;1
applause;1
apple;4
appliance;3
application;2
apply;6
appointement;1
appointment;4
appreciate;22
apprehend;1
apprise;1
approach;3
april;2
aqueous;2
arab;1
arbitrary;1
arcade;1
arch;1
archuleta;2
archy;1
area;4
aren;15
argue;7
argument;1
arizona;2
arm;12
armada;1
armpit;2
army;1
arouse;1
arrange;1
arrangement;2
arrest;21
arrival;2
arrive;6
arrow;4
arroyo;2
art;9
article;2
artificially;1
artillery;1
artist;3
asac;3
asap;2
ascertain;1
ashamed;1
ashtray;1
asian;2
aside;2
ask;108
asleep;6
aspect;2
ass;78
assailant;1
assassin;2
assassinate;1
assassination;1
assault;2
assembly;1
asset;4
asshole;14
assignment;1
assist;1
assistance;1
assistant;7
associate;14
assume;9
assurance;2
assure;5
astronomer;3
astronomical;1
asylum;1
asystole;1
atm;9
atom;2
atta;1
attach;1
attack;11
attend;3
attention;11
attentive;1
attorney;8
attract;2
attraction;1
auditor;1
aunt;18
australia;2
authority;2
authorization;1
authorize;2
auto;1
automatic;1
automatically;1
automobile;1
autopsy;3
autotransformer;1
available;3
avenue;1
average;3
avoid;3
aw;3
await;1
awake;8
award;1
aware;2
away;37
awe;1
awesome;17
awful;4
ax;6
axis;1
ay;1
b;13
babe;5
baby;72
babysit;2
bachelor;1
back;1
background;3
backroom;1
backslid;1
backup;6
backwardo;1
backwards;4
backyard;4
bacon;5
bacteria;1
bad;86
badass;1
badge;3
badger;30
badly;1
bag;20
bagger;1
bail;3
bake;2
balance;2
bald;2
balder;1
bale;1
ball;14
balloon;3
bam;3
banana;2
band;3
bandage;1
banditos;1
bandy;1
bang;9
banger;1
bank;8
bankroll;1
bankrupt;1
bankruptcy;1
bar;18
barbaric;1
barely;10
bargain;1
bark;1
barn;2
barnyard;1
barrel;5
barry;2
bartender;1
base;7
baseball;1
basement;11
basic;5
basically;5
basis;3
basket;3
bassinet;2
bastard;18
bat;2
batch;14
bath;7
bathroom;15
bathtub;4
batter;1
battery;13
battle;2
bay;1
beach;1
beachcomber;1
beaker;5
beam;1
bean;12
beaner;2
beanstalk;1
bear;8
beast;1
beat;17
beatin;1
beaucoup;1
beaut;1
beautiful;19
beautifully;1
beauty;1
becky;1
bed;18
bedpan;1
bedroom;7
bedtime;1
beef;1
beep;6
beer;20
beg;4
begin;15
begorrah;1
behave;1
behavior;3
behavioral;1
behind;1
beige;2
being;1
belarus;1
believable;1
believe;55
bell;8
belly;2
belong;9
ben;3
bench;2
beneath;1
benefactor;2
benefit;3
beneke;15
benji;1
bent;2
bentley;1
benzene;1
berklee;1
bernalillo;1
berth;1
bet;25
beverage;1
bewilder;1
biatch;3
bib;1
bible;1
bicycle;3
bid;2
bide;1
big;116
bike;3
biker;2
bilaterally;1
bill;18
billable;1
billing;1
billion;1
billionth;1
bin;5
bind;4
bingo;2
biology;1
bird;4
birth;7
birthday;22
bishop;1
bit;13
bitch;65
bite;8
bitterness;1
bivalve;1
blab;1
black;16
blackjack;2
blackmail;6
blackout;1
bladder;1
blah;8
blame;8
blanca;1
blast;1
blaze;1
bleach;1
bleed;9
blender;1
bless;2
blind;4
blink;4
block;6
blonde;1
blood;15
blooded;2
bloodhound;1
bloodshed;1
bloody;2
bloom;1
blow;10
blowback;1
blowfish;13
blowfishe;1
blue;39
bluff;2
blunt;1
bo;1
board;4
boat;3
bode;1
bodega;1
body;16
boeing;1
boetticher;1
bog;1
bogarte;1
bogdan;5
boil;7
bold;2
bolt;2
bomb;15
