Mot,Occurrence
i,13940
you,11014
je,8562
a,6431
to,6122
tu,5828
est,5726
s,5660
t,5371
pas,5272
de,5152
the,4732
que,4510
it,4222
c,3893
me,3734
on,3643
m,3588
that,3567
and,3481
et,3289
le,3167
j,3063
à,3018
un,2790
ça,2778
la,2656
what,2513
ai,2366
ne,2351
ce,2235
l,2140
d,2071
of,2062
en,2032
know,2022
il,2008
we,1945
is,1901
une,1864
just,1850
my,1827
qu,1810
so,1763
pour,1675
re,1671
not,1651
this,1620
in,1618
have,1613
don,1594
les,1583
as,1538
was,1497
your,1460
suis,1454
vous,1427
with,1425
but,1412
be,1399
no,1397
mais,1388
for,1388
do,1375
n,1353
te,1335
sais,1322
moi,1319
elle,1310
are,1302
can,1271
like,1254
yeah,1234
avec,1220
bien,1192
he,1187
she,1187
quoi,1160
si,1149
okay,1135
all,1113
oh,1103
about,1101
qui,1092
non,1090
right,1086
être,1077
des,1026
fait,1007
get,1003
va,1002
want,993
y,982
veux,978
tout,971
toi,961
mon,956
es,951
plus,942
go,931
out,919
était,915
up,903
here,870
really,859
going,853
oui,852
faire,849
au,825
naomi,806
dans,803
du,784
how,758
her,752
ll,742
at,733
peux,730
if,728
think,727
dire,726
well,718
there,701
annie,687
vraiment,682
got,655
ma,652
come,649
comme,637
silver,613
dit,610
ton,609
good,600
se,592
gonna,591
là,590
did,573
peut,572
they,569
dixon,568
vais,562
hey,554
why,550
mean,548
pourquoi,546
sorry,544
ve,534
sur,533
merci,532
nous,531
juste,530
see,517
now,511
dois,506
him,505
uh,499
quand,499
didn,499
lui,491
who,490
one,487
back,468
when,460
alors,460
some,460
aller,459
were,457
look,456
ta,455
tell,451
or,447
been,446
let,442
would,441
comment,432
navid,430
ils,428
could,422
avoir,419
chose,409
time,406
ethan,405
something,405
because,403
an,397
rien,395
adrianna,395
should,394
étais,388
ici,385
cette,382
ou,379
ok,377
then,372
need,368
am,367
had,364
peu,364
voir,356
maybe,355
cool,353
parce,353
fais,352
from,352
take,351
mom,351
say,349
bon,349
mère,345
liam,345
son,340
donc,340
aussi,338
too,338
accord,338
parler,333
us,332
talk,329
school,328
pense,320
même,319
thank,317
um,316
thing,314
vas,314
will,313
sure,311
guys,308
où,306
love,304
little,304
père,304
over,303
way,301
été,301
allez,301
dad,300
sûr,298
thought,293
voulais,290
pos,288
man,287
désolée,287
aime,287
super,286
crois,286
great,285
jamais,284
doing,283
make,281
autre,279
font,277
très,276
sont,272
temps,272
avais,270
cause,268
his,266
quelque,265
besoin,263
ouais,263
off,261
night,260
even,260
yes,259
actually,256
much,252
please,252
maintenant,249
by,248
god,247
never,247
said,246
where,245
salut,245
car,244
more,243
wanted,243
girl,240
wait,238
vu,238
mes,237
ade,236
dis,235
monde,234
après,230
our,228
bonne,226
trop,226
désolé,225
par,225
soir,225
mec,224
everything,224
give,224
thanks,224
kind,222
fille,222
ensemble,221
has,220
encore,219
told,216
eu,215
fine,213
dieu,212
into,211
feel,210
still,210
anything,210
down,209
toujours,209
guy,207
truc,207
viens,205
people,205
nice,204
air,203
big,199
avant,199
quelqu,198
fois,198
harry,196
parents,194
vrai,194
stop,193
doit,192
mal,192
doesn,191
tes,191
deux,191
party,190
lot,190
pensais,190
chance,189
sa,189
two,186
pretty,184
tous,183
écoute,182
aurais,181
after,180
problème,180
veut,179
devrais,179
beaucoup,178
vie,178
kelly,177
nothing,177
baby,177
ont,176
last,176
very,175
ces,173
together,173
things,173
whole,173
attends,173
new,172
passé,171
better,171
guess,170
first,170
beverly,170
maman,170
teddy,170
soit,169
prendre,168
notre,167
dû,167
chez,167
call,166
importe,166
before,165
other,164
again,164
fête,164
life,163
mieux,163
being,163
long,162
