Mot;Occurrence
ça;2778
craint;43
dixon;277
pourquoi;546
pas;5272
une;1864
nouvelle;69
phrase;5
comme;636
c;3884
est;5725
chiant;11
ou;379
nul;22
parce;353
que;4509
tu;5826
dis;235
depuis;131
km;10
allez;299
va;997
être;1077
amusant;14
on;2208
a;2197
le;3166
beau;63
temps;272
des;1026
palmiers;10
i;761
encore;219
sais;1322
craignos;2
notre;167
rôle;44
ok;367
grand;119
mère;345
besoin;263
de;5144
nous;529
elle;1308
se;587
fait;1007
vieille;14
et;3289
la;2633
famille;114
d;1716
abord;37
plus;924
ta;454
moi;1317
avons;44
aussi;338
beaucoup;178
abandonné;10
pour;1670
déménager;8
vraiment;682
avez;139
vous;1424
votre;153
petit;128
copain;45
groupe;50
musique;33
l;2085
école;134
à;3018
vrai;194
dire;726
oui;852
il;2004
en;2032
ur;99
brisé;7
ce;2235
es;951
bête;16
papa;140
ne;2350
parle;107
pendant;83
accord;338
m;1094
principal;67
je;8560
n;1335
arrive;105
croire;99
aies;47
grandi;11
dans;803
maison;133
quittée;4
navire;2
atterri;2
viens;205
peux;730
voir;356
britney;2
là;590
as;1220
été;301
géniale;20
avec;1220
tout;971
changement;12
aurais;181
j;3058
ai;2366
vécu;10
au;823
kansas;69
toute;134
ma;641
vie;178
si;1149
essaie;41
nouvelles;28
choses;121
quand;499
ferai;29
ils;428
marient;2
hein;94
ouais;263
mariages;2
photographier;3
peut;572
faire;849
mien;18
porterais;2
femme;65
trophée;6
suis;1454
ton;607
annie;332
vu;238
un;2787
ses;104
vieux;28
films;54
sur;531
showtime;2
autres;71
soir;225
plein;49
tv;4
était;915
nue;12
entièrement;4
cours;136
piscine;14
tabitha;20
bonjour;79
chère;9
maman;170
eue;3
du;783
thé;20
glacé;10
avant;199
midi;19
long;16
island;7
quelqu;198
eu;215
betty;2
ford;2
téléphone;35
juste;530
aider;120
veux;978
engueuler;2
jardinier;7
avoir;419
garé;3
son;253
chariot;4
merdique;4
mon;956
allée;34
alors;460
gare;6
coin;16
rue;7
les;1581
voisins;4
voient;10
craindre;4
t;1747
peu;364
peur;69
recommencer;12
semaine;71
retard;47
quoi;1160
déjà;151
ami;86
ici;385
ethan;209
y;951
deux;191
étés;7
cela;24
étais;388
me;1284
qu;1810
baiser;22
embrassée;7
parie;17
ferme;17
mec;224
bien;1192
mais;1388
lui;491
parlé;78
genre;139
an;16
jason;45
maintenant;249
même;319
sera;136
facile;34
toi;961
mignonne;7
mecs;30
vont;66
jeter;13
oh;300
prie;42
million;15
amis;131
eux;27
savaient;6
tous;182
histoire;112
adoption;21
raconter;17
fais;352
ont;176
savoir;122
frère;45
dieu;212
regarde;112
aux;132
oscars;5
monde;234
scarlett;2
johansson;2
mauvaise;38
chose;402
venir;135
non;1083
réunion;27
voit;77
couloirs;2
voilà;124
feuille;3
café;47
hors;18
champ;2
laisse;103
mettre;67
micro;5
excusez;33
classe;34
journalisme;3
wilson;64
fraîchement;2
arrivé;61
wichita;10
fils;102
nouveau;102
harrison;2
navid;207
couvert;6
exclu;7
secret;31
gens;131
gobent;2
asseoir;31
jérémy;4
conjonctivite;2
donc;340
attention;39
où;306
mets;25
tes;191
mains;25
entendu;76
voulais;290
intégrer;5
équipe;83
crosse;28
pourrai;10
couvrir;5
promettre;3
photos;19
gaffe;4
joueur;5
vedette;5
reconnaîtras;2
seul;61
projecteur;2
éclairant;2
cul;22
gars;124
tait;3
jusqu;68
fin;45
journal;22
produis;5
paquet;4
hé;70
revenu;11
tôt;26
buenos;2
dias;2
hannah;6
zuckerman;2
vasquez;2
blaze;44
news;7
matinée;8
aujourd;80
hui;81
west;63
beverly;86
accueille;2
quel;136
âge;23
cette;382
fille;222
ans;149
bienvenue;30
mlle;41
pouvez;36
mieux;163
applaudit;3
emmerdeuse;3
très;276
sympa;83
george;30
autre;279
qui;1092
sortira;4
jamais;284
quelle;65
capitale;8
personne;132
connaît;18
super;270
rappelle;48
nom;43
supergrave;2
mclovin;4
incroyable;67
sait;73
topeka;3
merci;532
acte;3
présence;4
naomi;404
heureux;35
pu;81
rejoindre;10
chez;167
docteur;12
gynéco;7
gynécologue;3
dit;610
te;1335
rappeler;20
garder;44
vagin;2
pur;3
mettrais;3
éloquence;2
travail;39
pourrais;103
montrer;23
alentours;2
matthews;83
rends;23
devoir;92
demain;120
vais;560
f;4
ces;173
cheveux;28
avais;270
bonne;226
allure;2
époque;10
première;78
pensait;12
coupe;9
vol;9
mouettes;2
cool;149
marche;49
arrière;12
reine;16
mode;17
photo;47
jambières;3
élasthanne;2
pois;2
vois;158
parler;333
ancien;7
tellement;158
mou;3
complètement;57
intimidé;2
par;222
conseil;28
connais;110
parti;42
retour;37
mme;26
conseillère;15
orientation;12
espérais;22
puisses;10
mes;237
enfants;67
aiment;11
après;230
leur;80
déménageait;3
eh;110
commencer;27
fera;24
rire;14
vas;313
frapper;10
vêtements;8
doit;192
pauvre;19
père;304
inquiéter;10
truc;207
trouver;102
chemin;14
génial;79
prof;45
voulu;50
donner;52
punition;10
fête;164
anniversaire;72
vendredi;10
stressée;4
maximum;3
chien;12
rendu;12
tales;2
of;8
two;4
cities;4
adore;66
livre;26
dessus;53
année;70
dernière;76
devais;46
prochaine;37
écoute;182
allait;56
s;724
occuper;32
chéri;28
cherché;10
partout;21
matin;40
pris;91
tête;69
trucs;74
euh;69
désolée;287
voici;60
connait;6
rencontrés;13
nos;59
grands;11
mères;7
sont;272
amies;38
ensemble;220
longtemps;44
adrianna;191
devriez;14
rencontrer;54
car;110
dirige;3
springs;24
awakening;8
comédie;12
musicale;12
jalouse;23
auditions;10
arrivée;11
trop;225
tard;157
dû;167
laisser;74
bas;60
edgy;2
rent;4
ish;2
importe;166
décors;2
air;181
meilleure;45
place;56
plaisir;39
verra;15
parlera;12
forment;2
couple;30
parfait;60
êtes;142
perdue;11
www;45
seriessub;16
com;45
présente;42
transcript;2
ydy;2
trad;6
sw38;4
zephyr31;2
sebaset;5
relec;2
resync;2
akazab;2
saison;34
épisode;33
we;4
re;5
not;3
in;6
anymore;2
comment;426
passe;157
journée;46
apparemment;38
tienne;10
expliquer;22
rien;395
dois;506
passer;92
accidentellement;7
bouquin;5
crois;286
tien;8
écoulé;4
dollars;14
somme;2
aurai;38
classeur;4
autocollant;7
division;4
day;3
impossible;23
fans;5
total;6
brandon;6
flowers;2
mis;36
leurs;25
chansons;8
sa;189
playlist;3
célébrités;5
enlever;11
pied;17
résistante;2
exactement;61
trouvais;5
quelques;82
frites;19
suffira;2
silver;300
appeler;59
erin;24
répondrais;2
prévoyais;2
cet;58
grosse;24
nulle;23
apprendras;2
connaître;22
pronto;2
aide;71
lettre;6
roue;3
fortune;5
libérer;4
p;4
tite;2
sauve;2
saine;2
esprit;13
faut;93
confiance;70
site;6
web;3
vidéos;6
gentille;32
ca;21
presque;46
décidé;29
inviter;14
charmant;5
16e;3
soirée;65
adorerais;20
sûr;298
auras;23
nouveaux;13
ira;38
shopping;13
comprends;105
copie;5
attendre;49
stresser;4
petite;76
princesse;6
gâtée;5
charge;7
harry;95
dépensé;5
sûrement;56
quelque;265
manque;28
charlie;8
négociable;2
parlerai;14
deviens;9
ridicule;23
ironique;3
avaient;14
différentes;11
serait;123
dont;63
parlerait;3
problème;180
retournerais;3
clark;42
sommes;37
sortis;8
lycée;98
saurai;2
marcher;23
machine;4
cafetière;4
normale;7
willie;3
connectes;2
garçon;29
devrais;179
distant;5
moment;141
sortir;105
amusée;4
laisses;12
acheter;22
robe;45
magnifique;19
aurait;76
fous;20
envoyé;24
texto;14
rendre;35
écrit;25
commencé;34
écrire;25
capable;14
bout;11
papier;13
blanc;16
pourras;20
prendre;168
idées;14
ressemble;23
envoie;17
e;16
mail;12
dès;22
rentre;18
sauveuse;2
amie;86
continue;21
reste;89
montre;24
dirait;84
jeu;28
défends;9
prends;75
balle;18
yo;7
mouvements;6
malade;28
irais;9
premiers;8
seconds;4
fois;198
pourrez;3
joue;48
arrêtez;19
botté;3
demandée;8
perdu;34
aie;7
agrippe;2
bijoux;5
tords;2
sac;29
ordures;2
régler;11
contrôler;5
colère;49
connaissent;2
juger;4
difficilement;3
réagi;12
raciste;2
irai;18
coach;13
arranger;15
sorte;35
soit;169
rude;4
bébé;125
délicate;2
fleur;6
aille;28
rapide;6
aller;459
réserver;7
dan;3
tana;2
repas;12
bon;348
tromperait;2
trompe;15
veut;179
belle;40
mal;192
cadeau;37
laissez;27
payer;25
filles;104
table;27
chercher;72
boire;45
marrant;46
argent;94
entrée;13
poser;20
question;55
salaire;4
rentrer;49
essayer;49
sarcastique;4
fini;129
lieu;22
lutter;3
lire;21
chef;7
uvre;6
toujours;209
méchant;19
servez;3
bonsoir;15
wagon;2
avions;13
devrait;100
décide;5
grimper;3
h;10
hollywood;20
échelle;3
tomber;46
glisser;2
mètres;2
avait;157
rit;5
chanceux;8
tué;10
taxi;9
idée;121
raccompagnerais;2
raccompagne;4
échangerions;2
histoires;9
pénis;2
suffisamment;5
seule;96
nuit;123
chagrine;2
sujet;22
rendez;41
morris;4
kornblum;2
folle;42
ville;22
défense;4
jeune;24
plage;33
vivait;6
tipi;2
allons;83
gagner;15
celle;32
beauté;15
aimes;78
fesses;13
pourrait;102
casser;9
ufs;6
ricardo;2
montalban;2
cassé;8
dirais;21
moins;110
révélateur;3
amour;60
jedidiah;2
fermier;6
amish;2
baratter;2
beurre;10
aime;287
fou;36
bousculé;2
premier;53
sauté;5
vire;6
mentir;27
équipiers;2
différent;33
étions;4
voudrais;62
sport;16
boutiques;3
coup;84
propos;71
oublie;34
attends;173
vache;9
blog;22
cercle;5
vicieux;5
voyez;8
demi;45
visites;3
avancer;5
partie;80
arrêter;46
hills;51
envahi;2
cas;77
spécial;21
personnel;6
regardez;20
doux;6
chienne;8
ait;50
vidéo;20
sois;98
énervée;7
fasses;13
jetant;2
ordure;6
club;40
bratz;2
jetée;12
éloignée;3
blessée;13
asseyant;3
côté;47
hais;4
antéchrist;4
humiliée;6
devant;34
personnes;33
dedans;28
blâmer;4
combien;57
cause;67
problèmes;49
supposé;4
causer;5
activité;8
scolaire;12
tant;84
déteste;36
blesse;9
finir;23
plaît;129
parleras;2
diras;7
vérité;55
ward;12
poussé;14
comprenez;6
conséquences;14
mentez;2
menti;47
ferais;44
mentirais;2
regardant;7
droit;36
yeux;52
choix;41
virer;8
joueurs;2
commencent;2
bagarres;2
mentait;5
étiez;21
parents;105
pouvait;21
revenir;40
raison;120
laquelle;20
jouait;5
terrain;11
vient;72
match;31
commun;9
redis;3
nôtre;9
jouer;64
simple;15
mens;18
trompes;8
copine;58
final;4
apprécie;28
rappelles;10
terriblement;4
honnête;40
demande;34
aimé;32
con;33
aperçu;2
historique;3
entre;117
classes;4
tale;2
moralité;4
propres;10
sens;131
sacrifice;2
copié;2
mot;29
pensais;190
allais;65
changer;40
soucies;2
demander;65
aidé;12
font;100
aidée;6
plains;2
tiens;48
maxfield;2
achetée;8
trois;39
excitée;16
répondu;11
cory;4
kennedy;2
tilly;2
and;10
the;37
wall;2
jouent;11
excité;7
pensez;18
reprenons;4
mince;16
puissance;2
voix;20
doivent;12
fortes;4
miss;8
austin;4
prenez;12
regardait;5
répétition;13
sûre;63
toutes;65
paroles;4
pense;320
écouté;8
cd;6
voyons;19
centre;16
reprend;6
début;23
lâcher;5
pinceaux;3
joindre;8
ch;5
aimerais;73
chanter;14
occupe;16
passé;171
fil;9
moques;5
reconnu;3
censée;18
pleure;8
menace;5
créative;2
enfant;40
clair;34
désinvitée;2
pleurait;2
tapette;2
soucie;4
tapettes;4
perdre;36
record;2
tricherie;2
détruit;6
chances;10
yale;8
intérêts;4
différents;13
intelligente;12
jen;70
chérie;121
dernier;36
essayage;2
émotionnelle;3
volée;3
excuses;29
responsabilités;8
fiches;10
prouve;6
tort;16
triches;2
triché;4
stupide;43
suite;29
partir;53
excuse;39
poster;3
entrer;25
repris;4
tuer;15
saura;15
message;41
disant;15
désolé;225
penser;52
penses;130
impliqué;4
bagarre;6
punissions;2
tirer;6
sans;158
sentiment;12
moyens;11
embrouilles;3
sévères;4
impression;34
parfois;39
puce;16
pouvais;46
normal;30
parte;7
sexy;35
sec;4
excuser;37
face;28
savez;62
coups;9
église;5
contact;16
vue;39
chance;121
approches;3
invité;16
garce;11
plans;10
adresses;4
incrustées;2
pitoyable;4
debbie;13
centaine;3
ados;17
longue;15
volé;15
hier;81
pit;38
portefeuille;7
clés;22
portables;4
lu;17
retrouvé;6
trouvé;58
appelée;21
sacs;7
trouvés;4
savais;101
gérer;30
rompu;47
dise;18
flippé;5
appelé;59
europe;10
clinique;8
puisse;32
adopté;8
écoutez;35
remercier;21
venu;40
célébrer;3
croyais;52
portable;21
continuer;17
star;12
imaginer;11
façon;66
danse;13
douce;5
ayez;5
rejoignez;4
vraie;22
normaux;3
chaque;38
près;26
dehors;39
trouverais;3
devenu;14
essayé;54
aimais;25
demandé;55
dormir;23
bercer;2
monstre;8
chatouilles;2
endroit;49
absolument;41
californie;19
pc;5
planté;3
renversé;11
ci;15
whisky;8
enfin;115
ice;6
tea;7
amènerai;2
réparateur;3
racheter;5
conduire;20
médecin;14
gros;50
ordonnance;3
alcool;11
fort;25
merde;38
mercedes;4
4l;2
mémoire;10
virginia;2
fasse;27
couché;59
mêmes;9
seulement;32
secondes;6
entendre;39
débie;2
amener;12
dommage;12
soudainement;3
distance;7
arrangerait;3
dégage;14
revoir;48
huckleberry;2
finn;4
garçons;18
voiture;129
emmène;18
entraînement;14
minute;45
tracy;42
aucune;40
sous;45
choc;8
envie;60
situation;22
manière;21
week;28
end;25
difficile;40
réveiller;6
samedi;12
apprendre;30
mari;19
apporter;9
radical;4
apprennes;3
surmonter;7
promets;28
antonio;9
jour;80
boulot;61
appelle;91
dix;19
séance;3
allô;18
hall;13
eus;2
venger;3
riposter;2
blague;36
sol;4
