Mot;Occurrence
font;177
color;93
ff69b4;4
viva;1
la;23
vida;1
coldplay;2
i;13179
used;83
to;6119
rule;9
the;4695
world;90
seas;2
would;441
rise;3
when;460
g;9
gave;42
word;36
now;510
in;1612
morning;73
this;1619
sucks;22
dixon;291
how;758
about;1101
a;4234
new;151
phrase;3
like;1253
uh;498
bites;2
or;443
blows;6
because;403
you;11012
ve;534
been;446
saying;93
for;1387
last;176
miles;7
cause;201
it;4222
come;649
on;1435
is;1900
gonna;591
be;1399
fun;115
we;1941
got;655
weather;12
gothehe;1
palm;29
trees;11
with;1425
more;243
know;2022
guys;308
where;245
are;1302
okay;1133
grandma;33
nes;1
s;4936
us;330
she;1187
getting;145
older;12
and;3471
family;108
first;170
besides;22
ouour;1
mother;91
have;1613
given;9
up;903
lot;189
move;67
too;338
really;859
your;1458
boyfriend;76
le;1
school;327
play;135
as;318
matter;55
of;2054
fact;60
he;1187
heartbroken;2
so;1763
am;367
re;1666
such;90
dork;1
pop;7
just;1850
don;1587
t;3624
talk;329
during;19
hours;28
all;1113
right;1086
yeah;1234
mr;122
principal;51
hear;110
jerusalem;1
bells;1
ringing;4
roman;2
cavalry;1
choirs;1
singing;13
some;460
reason;48
can;1270
explain;25
stpepeter;1
won;104
call;165
my;1827
name;67
never;247
an;381
honest;44
but;1403
thawawas;1
ruled;1
dad;300
still;210
believe;161
grew;6
house;159
ever;140
left;68
well;718
ship;4
has;220
landed;2
see;517
britney;1
fromerere;1
amazing;105
wi;2
whole;172
change;42
why;550
wouldn;99
lived;13
kansas;56
entire;21
life;162
if;728
try;92
something;405
will;312
they;568
get;1003
married;48
l;55
plenty;16
weddings;1
me;2450
shoot;19
ybybe;2
mine;44
trophy;4
wife;13
dude;119
trop;1
w;8
annie;355
seen;58
one;486
her;752
old;75
movies;34
showtime;2
other;164
night;260
tv;8
was;1497
naked;16
full;31
frontal;1
race;4
pool;17
tabitha;16
hello;78
dear;12
mom;351
iced;12
tea;24
before;165
noon;1
maybe;355
little;301
long;146
island;9
somebody;47
betty;1
ford;2
line;29
m;2494
trying;147
help;153
want;992
go;922
yell;1
at;733
gardener;6
parking;13
his;266
crapagagon;1
driveway;3
actually;256
that;3566
our;228
crap;36
wagon;2
then;372
park;12
around;157
corner;10
neighbors;2
notice;11
suck;17
aren;66
freaked;17
out;916
starting;22
over;302
week;58
late;83
what;2512
areouou;1
worried;28
already;96
here;870
ethan;196
dan;3
th;7
y;31
made;123
couple;62
summers;8
ago;61
did;573
not;1648
make;281
kiss;52
kissed;26
bet;34
were;457
shut;45
nice;201
