Mot;Occurrence
ok;113
quoique;1
ce;642
soit;49
je;1783
peux;196
l;782
entendre;10
me;409
dis;52
pas;1038
que;1165
t;541
es;128
un;756
méchant;8
n;433
est;1532
quoi;158
par;101
hasard;2
tu;938
tombée;1
sur;187
moi;341
quand;120
arrivée;11
à;872
la;806
c;830
i;1244
a;1292
avec;209
ton;94
histoire;8
du;255
sd;15
vaughn;165
comprends;27
qu;638
racontes;1
ben;4
pour;490
commencer;12
mon;185
nom;46
michael;23
vous;1094
inquiétez;5
on;886
va;203
sortir;22
de;1559
là;195
il;844
bien;380
restez;6
tranquille;8
ai;494
besoin;86
rien;125
vais;114
j;649
ça;580
fille;83
en;640
vie;73
s;593
occupera;2
d;546
elle;340
compris;41
reste;40
minutes;34
nous;269
allons;18
faire;208
quelques;31
examens;1
précaution;3
mais;303
tout;236
air;25
normal;7
puis;24
rentrer;6
maison;9
bientôt;19
allez;71
devoir;16
prendre;38
repos;1
sûr;119
mlle;19
bristow;66
comment;112
sentez;7
gordon;37
dean;102
département;3
des;287
enquêtes;6
spéciales;6
nouvelles;14
non;236
crains;3
m;386
excuse;18
maintenant;73
agent;70
étant;2
donné;23
venez;10
vivre;13
déjà;54
fait;182
rapport;13
oui;151
sais;210
aurais;46
clarifiiez;1
points;2
si;326
êtes;77
accord;60
dans;289
votre;160
indiquez;1
partiez;1
tous;81
les;542
vacances;2
avez;129
dit;125
où;167
santa;4
barbara;4
et;525
rentré;2
dedans;10
mi;4
chemin;3
peu;64
près;14
avant;71
accident;10
avait;56
anxieux;1
peut;165
être;241
préoccupé;1
détendu;1
prenait;1
jours;24
ne;633
prenez;8
aucune;13
note;2
dites;35
qui;289
vaille;1
peine;9
noté;5
exactement;19
dont;14
souviens;13
suffisant;2
fiancés;1
exact;11
consciente;2
droits;4
mariage;4
passent;3
sécurité;57
nationale;3
le;1041
suis;257
donc;56
demande;18
rappeler;4
envers;3
loyauté;3
ma;124
fiancé;7
vient;34
juste;81
se;149
enlever;6
essaye;16
déterminer;3
attendez;16
une;518
minute;25
insinuez;3
quelles;4
soient;8
informations;10
sera;64
heureuse;7
coopérer;3
expérience;4
traumatisante;1
pouvez;28
lui;117
laisser;20
temps;102
directeur;15
reparlerons;1
merci;112
papa;54
sydney;252
ta;90
mère;27
trahis;3
passé;39
an;61
prison;21
parce;38
croyait;2
collaborais;1
dises;3
puisse;17
impliquer;3
devons;9
comprendre;14
passe;42
objet;5
enquête;11
sa;66
conduite;1
passer;23
plusieurs;15
indicateurs;2
au;200
rouge;5
quels;6
langley;39
pense;47
pourrait;26
double;9
ils;324
pensent;5
pu;28
extraction;14
longtemps;13
entends;9
parler;55
joie;3
rencontrer;17
enfin;20
michaux;6
traduction;22
anyone;25
travis;7
sixe;24
guilamu;36
transcript;24
raceman;23
synchro;23
suggestions;21
critiques;20
insultes;20
aliassub;20
gmail;20
com;45
www;25
forom;24
eu;44
sale;3
journée;12
meilleur;4
état;13
épaule;2
déboîtée;1
crois;76
ceci;5
était;173
adressé;2
curieux;1
ouvrez;1
sympa;4
date;3
voudriez;2
dire;104
savons;8
envoyé;12
lehman;3
devez;21
avoir;81
très;100
mal;36
mémoire;4
défaillante;1
aidait;1
sont;116
quelque;93
part;30
ces;60
hélicoptères;1
furtifs;1
invisi;1
alors;83
remettez;1
satellites;11
travail;34
rappelez;11
dès;30
aurez;12
chose;114
syd;59
y;370
mec;3
insinué;1
pourquoi;78
été;101
chargé;11
cas;16
veux;149
ans;46
demandé;20
étais;54
paumée;2
avais;51
cette;99
coupe;2
cheveux;5
bizarre;7
aime;27
défis;1
attends;40
soupçonnes;1
toi;151
aussi;77
penser;7
déloyal;1
délire;3
ouais;89
voulons;3
savoir;54
fatigué;2
petits;4
jeux;3
lâcheur;1
etês;1
vraiment;66
prêt;23
résister;3
jusqu;28
tue;4
respectable;1
dirait;32
encourage;1
voir;68
fiancée;6
couloir;4
ramène;3
son;115
doigt;1
laissez;11
dehors;4
dépend;4
celui;22
bague;1
plutôt;27
poétique;1
trouvez;6
arrêtez;9
message;32
codé;3
donnez;8
stylo;2
activer;2
blinkman;1
flinkman;5
f;3
compliqué;2
écoutez;17
vouliez;7
accède;4
aux;45
dossiers;11
suite;23
trouverez;5
personne;55
juge;1
saurais;2
amis;9
déjeune;1
ensemble;19
prendra;6
encore;54
combien;23
salut;40
tiens;9
coup;11
trompais;2
sujet;6
te;219
travaillait;4
nuit;16
jetée;1
surprise;6
train;21
entrer;20
effraction;2
installation;1
sécurisée;5
voulais;31
confiance;29
as;264
eue;1
preuve;4
sous;34
yeux;20
devais;8
revivre;1
accorderais;1
bénéfice;2
doute;14
problème;49
écrire;1
remettre;3
place;35
réponds;3
enfuie;4
échappée;1
allô;16
dieu;34
quitte;4
vas;60
écoute;50
poses;1
questions;13
millions;4
dirai;9
pourrai;15
doit;55
communique;2
amènes;2
montre;12
père;73
planque;3
utilisait;1
contacter;14
tessina;1
consigne;1
plaît;49
fais;70
dois;84
réfléchir;6
parlez;7
cachant;1
compromettrez;1
donne;31
chance;33
souhaites;1
protéger;12
prix;3
supposant;2
aies;1
raison;36
ait;19
enlevé;5
même;76
échappé;2
court;3
toujours;87
grand;8
danger;11
laisse;30
ramener;4
mexico;2
périmètre;4
r;9
cherches;3
vérité;23
commence;7
andré;2
femme;42
venue;12
impliqué;3
projet;4
étouffé;2
moyens;5
participé;2
appelait;5
prophète;90
selon;18
rejoigne;2
mathématicien;1
jour;17
décrit;2
appareil;3
créé;3
homme;36
appelé;12
muller;1
origine;6
fut;3
première;10
disait;1
vrai;40
importe;16
fuyait;2
changé;14
identité;1
mienne;1
mois;30
époque;5
type;13
james;1
renée;52
essayons;3
mettre;17
main;11
dessus;17
depuis;41
années;19
pensons;6
nos;31
pères;2
respectifs;1
rienne;19
montrez;1
étiez;6
censé;10
venir;16
seul;15
ayez;6
suivez;6
intention;4
subir;3
interrogatoire;3
pensez;9
oh;79
possible;22
choix;22
déclare;2
officiellement;4
fugitif;4
complice;3
voulez;34
sois;23
indulgent;1
devriez;11
essayer;13
city;6
avertira;2
auront;8
arrêtés;2
bonjour;28
marshall;102
trouvera;9
sidney;7
encrypté;1
dossier;12
bits;3
leur;68
con;2
débrouille;2
originaux;1
apportez;1
cryptologue;1
spécialiste;4
formules;1
travaillant;3
pentagone;3
fondation;1
privée;5
recruté;1
autres;18
scientifiques;1
linguistes;1
meilleurs;5
parmi;3
rencontré;3
quel;22
objectif;2
page;23
livre;6
profeta;1
cinque;1
cinquième;2
texte;4
15e;4
siècle;5
écrit;4
code;39
inviolable;1
voulaient;3
cassiez;1
réussi;11
après;31
parlait;4
protéines;1
acides;1
aminés;1
nucléotides;1
semblait;1
sorte;19
génétique;9
avancée;3
heure;28
ayons;1
révélé;1
notre;61
contacté;6
arrivait;2
accidents;1
voitures;4
incendies;1
crises;1
cardiaques;1
ceux;13
impliqués;2
suivi;5
conseils;1
disparu;12
contactés;1
trouvé;49
sources;7
menant;1
pouvait;10
conservé;1
toutes;23
mes;53
tentatives;1
récupération;2
ont;138
échoué;1
autre;54
piste;12
gens;32
savent;10
font;8
taire;3
contacterai;4
aurai;8
monsieur;17
invitation;2
mari;6
faute;9
assis;4
bas;24
égaré;1
lunettes;1
valse;1
entraîné;1
weiss;12
boîte;5
raccordement;1
modifiée;3
rappelle;10
rappelles;2
refaire;2
faut;81
enregistrements;1
techniques;2
global;2
security;9
numéro;14
série;3
admire;1
collection;2
avis;11
affreux;2
passionné;1
fusils;1
compense;1
walter;2
trahi;6
parle;27
petit;27
nouveau;19
boulot;15
jeune;5
trop;41
rester;21
coincée;1
vieux;5
coffre;11
fort;11
relié;4
centrale;2
alarme;3
changer;6
connexions;2
vois;50
fil;2
marron;3
connecte;2
dernière;21
borne;2
menacez;1
savez;32
sérieusement;5
tellement;7
pathétique;3
intelligent;2
mignon;6
soirée;3
serait;24
mieux;31
nus;1
arrivera;6
fini;27
plus;214
redémarrer;1
système;13
attendre;17
venger;2
impliquent;1
wahou;1
partir;32
ou;46
découvrir;6
visage;2
petite;26
connard;1
dixon;42
prudente;3
viré;1
dirige;9
vers;19
point;24
docteur;18
park;2
vos;50
résultats;3
arrivés;1
bon;73
moment;30
croyez;7
enceinte;8
deux;41
arvin;29
nadia;80
aucun;21
changement;2
jack;74
accuses;1
crime;3
essaie;10
libérer;5
vite;26
maintenue;2
coma;5
souffre;3
maladie;8
comprend;5
incurable;2
responsable;6
aider;45
cellule;8
lisant;1
obscures;1
journaux;1
médicaux;1
désolé;45
venu;6
etais;1
courant;12
voyages;3
déclarés;1
marseille;3
durant;2
derniers;9
lieu;9
pendant;28
tête;15
p;52
o;47
desquels;1
agit;10
serbie;3
istanbul;2
connais;25
corbeau;3
the;584
raven;2
recherchée;2
assassinat;2
ministre;2
intérieur;8
turc;2
meurtres;2
agents;17
stationnés;2
déplacements;2
correspondent;2
siens;3
bit;7
foutu;1
bordel;2
fichiers;9
utilisé;13
version;3
algorithme;3
décryptage;5
piraté;4
réseau;42
tennessee;1
récupéré;5
clé;7
paquet;8
alias;9
référencés;1
entre;28
eux;22
franchi;3
frontière;1
italienne;1
génie;4
9h;1
avance;12
esprit;4
situes;1
ressens;1
voit;12
honnêtement;5
pensais;14
élever;2
enfant;22
monde;39
pourri;1
supposais;1
attendrais;1
attendrait;1
moins;27
regardant;1
inquiet;2
hâte;7
nouvelle;14
génial;5
merveilleuse;2
maman;23
désastre;1
jamais;89
couches;3
demander;14
aide;29
devrais;25
aller;53
reviens;10
prénoms;1
décoder;7
ca;2
présent;8
cherchez;4
chirurgie;2
sorti;6
espère;18
réalises;2
tes;23
efforts;3
héroïques;1
étaient;22
erreur;15
agi;2
impétueusement;1
sans;54
fier;4
faits;5
parles;4
travaillé;12
criminelle;5
poussé;3
risquer;3
intégrité;2
professionnelle;3
expliquer;7
laisses;4
occasion;5
réanimation;1
ses;41
organes;2
subi;3
importants;1
dommages;1
arrêter;25
hémorragie;2
saura;12
prochaines;1
heures;24
chambre;17
réveil;2
viens;34
directrice;1
chase;5
faisait;10
partie;29
statut;2
présumé;1
mort;25
fantôme;3
placé;2
connecté;3
violer;1
lois;3
fédérales;1
partagerai;1
