Mot;Occurrence
all;544
right;541
everyone;38
settle;3
notebooks;1
out;496
we;1915
re;1104
going;318
to;3966
start;40
with;737
three;49
sentences;1
at;443
least;41
one;421
noun;1
and;1265
verb;1
in;1560
each;33
english;6
uh;136
martina;2
why;263
don;712
t;1821
you;5965
go;416
first;84
things;72
saw;61
on;1025
your;1013
way;207
class;8
today;30
i;6668
a;2932
man;170
ped;1
peddling;2
his;355
bicycle;1
good;303
then;203
my;959
friend;33
klaus;3
kiss;4
katrina;3
wolf;2
slap;2
face;29
it;2828
s;3346
true;40
hates;4
anna;118
please;144
turn;44
phone;72
off;137
wasn;64
ringing;2
take;245
over;159
aah;12
mrs;6
kohl;3
vertel;3
hen;3
het;3
is;1562
grappig;5
bobby;2
orr;1
moves;2
for;993
the;4662
shot;36
laugh;2
me;1440
wouldn;58
dream;3
of;1682
let;300
get;508
stick;3
er;1
rip;1
here;555
move;78
back;255
use;71
little;115
more;172
wrist;3
just;641
put;96
snap;2
like;392
this;1287
lift;2
up;339
what;1371
position;48
did;317
play;25
was;919
defense;4
high;20
school;16
coach;2
moved;12
center;14
were;334
chick;2
magnet;1
actually;76
ever;70
took;58
as;422
got;376
knocked;5
ass;5
other;85
team;89
15ear;1
old;44
bearded;1
probably;41
steroids;1
now;450
that;2005
think;306
about;483
so;483
finally;17
there;624
seconds;25
left;61
down;182
by;198
goal;4
had;244
teeth;1
kicked;4
many;43
times;26
said;132
know;1022
screw;1
stopped;8
caring;1
won;121
draw;9
skated;1
around;61
him;513
tied;6
game;11
nah;3
hit;39
post;9
but;694
learn;11
something;231
how;416
can;871
fear;7
syd;143
want;381
slow;11
are;672
afraid;26
yeah;397
her;568
name;108
nancy;6
cahill;36
an;399
operative;5
langley;76
narcotics;2
task;20
force;18
specializing;1
development;5
new;42
synthetics;1
she;694
been;352
stationed;4
europe;8
past;38
years;128
cover;36
associate;12
professor;8
amsterdam;9
university;4
herself;9
hours;73
ago;117
eyewitness;3
report;47
student;5
from;347
last;114
words;13
tell;311
them;267
funny;9
most;53
recent;8
psych;2
eval;1
reported;6
nothing;117
note;3
mental;3
status;33
reviews;1
have;1273
exemplary;2
our;276
assignment;18
husband;10
jason;10
also;44
agent;144
has;267
gone;51
grid;9
hasn;26
touch;24
handler;10
weeks;25
attempts;4
contact;116
afr;1
wife;47
death;18
unsuccessful;2
objective;3
quite;29
simple;16
locate;20
dixon;114
weiss;29
retrace;1
final;13
days;35
vaughn;291
nadia;215
do;882
same;73
sydney;507
jack;215
apartment;2
standard;13
protocol;44
recover;18
files;51
classified;16
computers;3
any;155
evidence;13
cia;53
affiliation;2
questions;23
no;760
bulbs;1
news;20
bristow;96
blood;23
work;154
negative;6
scans;7
clean;18
may;110
looks;70
fine;97
brother;1
thing;120
once;84
bit;41
perhaps;48
us;282
looking;84
cat;3
scan;11
cahills;5
came;78
drug;14
affected;3
nervous;4
system;53
pineal;3
gland;2
twice;9
normal;10
size;7
autopsy;2
revealed;2
condition;24
which;137
indicates;9
itself;15
converts;1
melatonin;2
regulates;1
sleep;20
cycles;1
body;31
temperature;5
however;21
acute;1
imbalance;1
known;39
induce;2
uncharacteristic;2
behavior;3
even;112
acts;4
extreme;3
violence;2
writing;6
closet;5
seemed;7
he;1110
suffering;9
severe;2
paranoia;1
seeing;18
demons;2
initially;1
assumed;13
dealing;9
psychotropic;1
hallucinogens;1
particular;9
biochemical;3
markers;2
none;16
present;10
matter;35
exposed;5
couldn;77
transmitted;1
biting;1
dealt;5
emerging;2
drugs;7
wanted;108
every;68
precaution;7
diagnostics;2
indicate;4
feel;43
okay;544
wants;40
substance;11
who;310
manufacturing;4
being;111
used;54
neither;7
traveled;1
outside;27
month;12
placed;11
usual;6
amount;15
calls;17
they;770
routed;2
through;122
anonymous;5
relays;1
deep;13
well;360
if;649
give;158
routing;6
numbers;10
ll;835
see;338
hack;17
trace;16
far;61
laptop;12
hard;84
drive;47
erased;1
possible;37
weren;20
completely;15
rewritten;1
reconstruct;2
these;113
analyzing;3
data;42
names;15
dates;4
links;1
between;23
sources;18
maybe;104
mind;70
guy;75
crazy;23
locked;15
exhausted;5
slept;1
m;1073
sending;20
home;66
yes;226
course;130
excuse;48
hey;171
oh;244
sexy;4
ha;16
only;167
done;105
need;454
ride;7
thanks;78
freaked;2
tired;13
night;72
not;788
big;24
deal;32
still;173
great;69
god;98
hope;50
didn;214
wake;16
doing;123
headache;2
learned;15
anything;161
say;148
papers;10
thinking;34
makes;29
head;36
hurt;40
marshall;205
says;31
making;24
some;217
progress;8
disk;12
thinks;7
be;943
able;97
retrieve;25
st;5
staying;9
unless;27
am;136
walk;37
gonna;213
almost;55
close;33
sorry;191
early;18
delusional;4
assuming;19
realized;16
their;134
source;18
retracing;1
steps;4
trying;73
figure;13
antidote;7
thought;130
losing;7
wiped;8
remember;59
recovery;13
problem;72
fragmented;1
mother;91
lode;2
travel;12
itineraries;2
dead;83
drop;19
protocols;13
discretionary;1
funds;3
pressing;1
according;20
records;28
meeting;41
scheduled;7
bucharest;1
count;18
kidding;11
mentioned;16
several;29
seems;19
supplies;6
samples;2
photo;8
retrieved;5
disks;1
ladies;4
gentlemen;11
introducing;1
tomorrow;30
obviously;10
attend;6
will;360
identify;8
yourself;68
lead;49
into;205
conversation;9
find;224
d;329
acquired;10
mistake;27
beg;1
pardon;13
field;42
quickly;23
tactical;13
error;5
someone;107
else;84
based;28
limited;9
experience;12
altering;2
must;109
doozy;1
theoretically;1
could;260
effects;10
delayed;2
reaction;3
half;33
hour;47
or;164
kick;2
mean;149
while;43
day;59
two;113
sure;190
hold;64
second;46
honey;9
look;191
boo;10
daddy;6
loves;7
does;69
references;2
thank;176
ahh;6
another;57
ve;517
aspirin;1
sound;18
after;97
mm;19
hmm;29
dreaming;2
told;124
dr;37
jain;2
everything;109
morning;23
tests;14
sideline;1
knows;36
long;104
shouldn;34
plane;28
waiting;36
girl;45
stuff;29
people;141
safe;83
marcus;20
appreciate;16
friendship;5
having;46
whether;12
fit;7
duty;10
decision;15
both;59
history;13
putting;9
ahead;31
own;72
suggesting;19
worked;23
sd;29
recognize;14
brilliance;2
during;15
those;72
suspect;4
working;81
renegade;1
organization;32
somehow;9
loyalty;8
liability;1
job;67
mine;25
should;255
when;317
approach;14
gets;24
suspicious;2
abort;4
code;51
takedown;3
inside;81
club;16
point;59
tea;3
hotter;1
than;85
expected;5
minute;57
change;36
line;26
sight;8
front;42
bar;17
come;235
talk;84
open;38
end;61
hall;2
balcony;1
meet;93
run;59
wait;120
agree;11
sick;18
sent;30
listen;94
lying;22
too;147
police;12
because;113
lie;18
again;93
under;47
fire;12
arm;3
andre;1
sterescu;1
pronunciation;1
romanian;1
national;9
charged;5
possession;12
black;48
market;5
electronics;3
convicted;2
fencing;1
stolen;15
pharmaceuticals;2
appeal;1
choose;9
cooperate;10
regret;6
rest;45
life;121
guys;40
huh;33
answer;40
question;42
chemist;3
pharmaceutical;3
company;21
hired;7
spy;5
keep;112
eye;23
competition;2
sense;24
fact;31
spying;1
behalf;4
u;25
government;31
called;51
performed;7
jobs;3
y;26
eah;2
made;90
pen;6
guess;40
idea;75
incubation;1
period;4
turns;12
research;25
germans;2
czechs;1
chemists;1
anyway;21
toying;1
designer;6
analogs;1
cross;17
brain;15
barrier;1
via;6
pathogen;3
works;22
virus;3
incubates;1
few;77
infects;1
permanently;1
alters;1
weird;13
culture;1
make;204
isn;80
feeling;23
nocturne;11
deliver;9
sample;14
comes;12
vial;9
speed;7
better;64
except;6
energy;6
failed;7
include;1
where;310
developed;16
eastern;3
bloc;1
ask;61
week;23
later;20
bring;55
bad;71
dying;10
incorporates;1
stimulant;2
overrides;1
intel;47
