Mot,Occurrence
i,20140
the,14472
you,14429
to,10322
a,9887
s,8487
de,7858
it,7037
je,6691
that,5723
on,5694
of,5647
est,5600
t,5588
l,5497
le,5490
vous,5473
we,5344
and,5229
la,4993
pas,4529
que,4393
me,3835
is,3599
à,3587
et,3565
un,3537
les,3484
this,3451
in,3340
what,3266
d,3265
m,3163
ne,3122
c,3058
re,3054
il,2915
ce,2727
have,2638
your,2533
nous,2530
en,2527
for,2526
tu,2458
are,2308
une,2252
ça,2248
not,2244
do,2242
be,2240
all,2237
they,2220
qu,2160
pour,2073
know,2066
can,2053
j,2037
no,2032
don,2021
n,1916
des,1894
he,1853
my,1834
with,1783
was,1746
there,1733
out,1696
ai,1695
but,1694
just,1649
get,1624
right,1612
she,1611
here,1603
as,1597
so,1549
one,1500
if,1478
ve,1434
ils,1364
about,1354
cylon,1328
her,1319
ll,1315
cylons,1305
go,1292
y,1291
galactica,1280
up,1274
sur,1270
us,1256
elle,1253
dans,1241
now,1211
si,1204
qui,1172
our,1170
moi,1161
mais,1156
du,1128
se,1122
bien,1105
like,1068
tout,1034
them,1023
gonna,1011
how,1006
back,991
sir,985
will,983
let,982
suis,974
plus,973
au,969
être,963
want,934
at,932
avec,918
think,900
from,888
been,876
non,874
votre,873
see,871
got,868
him,864
ici,860
take,858
come,850
fait,837
people,812
faire,800
time,792
president,788
well,787
va,786
oui,774
ship,772
when,771
did,766
need,759
an,747
down,747
were,746
starbuck,739
sont,737
yes,728
going,718
good,691
adama,691
yeah,690
mon,681
way,678
why,677
fleet,666
avez,662
peut,662
quoi,657
sais,646
would,644
te,633
comme,633
who,628
or,628
cette,624
était,623
vaisseau,622
là,622
okay,617
ont,614
baltar,613
then,612
their,612
some,609
gaius,600
par,597
more,586
monsieur,584
tell,581
something,579
by,573
where,572
had,568
his,564
oh,556
tous,553
caprica,544
son,538
kara,537
could,532
has,530
any,523
really,514
thank,511
ok,504
toi,503
chose,503
look,500
say,495
man,495
new,493
over,488
make,483
didn,482
because,481
off,480
da,480
allez,480
flotte,475
find,475
où,466
two,462
maintenant,455
admiral,453
êtes,453
jump,450
veux,448
am,445
notre,444
lee,442
pourquoi,442
merci,438
même,438
only,429
dit,429
leur,426
sharon,423
never,420
alors,420
thing,418
should,415
quand,411
god,409
give,409
dire,407
still,403
maybe,403
please,402
frak,401
rien,398
es,396
doing,396
lui,395
présidente,393
peux,393
raptor,390
kobol,388
ou,387
ces,386
vraiment,386
sorry,384
before,382
apollo,382
été,382
too,381
comment,378
roslin,374
ma,372
sa,371
these,369
into,369
sam,368
gods,365
hell,364
avons,361
mission,356
than,355
again,354
besoin,352
those,351
very,351
even,350
temps,350
deux,350
put,346
chief,343
avoir,343
juste,343
voir,341
nos,340
much,339
away,336
vos,331
keep,329
earth,327
quelque,327
colonel,326
believe,324
madame,322
said,321
hey,321
jamais,321
little,321
bon,320
chef,317
autre,317
thought,316
avant,312
help,312
love,311
pegasus,309
anything,309
life,307
long,307
five,304
gaeta,303
done,303
encore,300
things,300
made,298
plan,296
très,296
through,296
sure,295
battlestar,293
first,292
other,292
u,291
amiral,290
ton,290
terre,287
won,285
day,284
after,283
every,282
place,282
mr,281
doesn,280
stop,279
vais,277
aussi,274
chance,273
aux,271
question,271
doit,271
hear,270
nothing,267
na,267
point,266
three,266
toujours,265
talk,264
human,263
fois,261
sans,261
mes,260
minutes,260
six,259
vie,257
captain,256
zarek,256
last,253
moment,253
pos,253
laura,253
lot,252
lieutenant,252
work,251
boomer,249
understand,248
enough,248
stay,247
gotta,247
mean,246
parce,246
feel,246
better,246
cela,245
move,245
dieu,244
cally,238
own,235
listen,235
thrace,235
commandant,235
tigh,234
isn,234
coming,233
another,233
www,231
wait,231
being,231
helo,231
accord,231
pense,230
faites,228
capitaine,227
same,226
left,226
donc,224
vu,224
dead,222
old,222
dradis,221
après,221
commander,220
dieux,219
autres,219
sûr,219
soit,216
colonial,214
dois,214
call,214
start,213
saul,213
ftl,213
many,212
told,211
around,210
kat,210
peu,209
vas,208
ready,207
fais,206
until,206
ellen,206
home,206
may,206
wrong,205
lords,205
leave,205
bill,205
remember,204
sommes,203
savez,202
someone,201
team,200
hera,200
part,199
sera,199
wanted,199
personne,197
gens,197
course,197
baseship,197
quelqu,196
found,194
order,194
die,193
sous,193
frakkin,193
viper,192
putain,191
cottle,191
getting,191
crois,190
air,190
lost,189
colonies,189
depuis,188
frakking,188
reste,188
madam,188
net,186
always,185
ses,185
ta,185
monde,185
major,184
must,184
position,183
knew,183
jusqu,183
vaisseaux,183
hold,182
everything,182
yourself,182
étais,181
fire,181
head,181
raider,180
voulez,180
without,180
avait,179
homme,179
déjà,178
father,178
aller,178
might,177
trying,177
ouais,177
job,177
talking,176
entre,176
toute,175
line,175
guess,175
ships,175
care,174
open,173
quorum,173
