Mot;Occurrence
i;1272
on;885
naît;2
vit;8
et;1171
meurt;2
ne;783
peut;208
revenir;11
en;791
arrière;14
pas;1380
de;2291
deuxième;3
chance;51
pour;614
bien;259
faire;235
ce;842
qu;664
a;862
raté;5
la;1637
première;24
fois;75
dans;367
cette;192
vie;91
tout;309
cas;41
ici;241
le;1706
battlestar;41
pegasus;40
au;270
vaisseau;246
déclarant;1
être;287
galactica;145
répondez;14
comment;96
est;1658
possible;23
toute;42
flotte;158
été;122
détruite;3
amiral;134
cain;16
nous;890
savions;1
il;814
y;395
avait;52
d;784
autres;86
survivants;23
part;41
tous;192
les;1127
officiers;10
l;956
équipage;36
du;293
bon;130
retour;26
coloniale;5
ils;411
vous;1646
ont;193
fait;248
mal;50
horrible;3
dont;27
tu;797
as;173
besoin;113
c;869
justice;14
allez;138
foutre;8
elle;392
morte;25
avec;352
certitude;5
que;1290
son;126
étaient;24
saufs;1
sa;98
mission;61
accomplie;2
rien;117
comptait;2
plus;297
prenant;3
commandement;19
je;1778
jure;6
respecter;1
ces;129
valeurs;2
qui;415
faisaient;8
un;945
officier;8
héroïque;2
efficace;1
nouvelle;22
meurtre;5
fisk;8
s;281
répandue;1
craquer;1
à;1211
mort;52
commandant;27
perdu;31
deux;88
quelques;35
semaines;9
place;32
garner;7
aux;87
commandes;6
cdt;1
vaisseaux;52
mères;8
sont;245
apparus;1
missiles;7
approche;19
sommes;68
attaqués;4
faut;78
ftl;45
soit;56
bientôt;20
réparé;2
ou;116
morts;24
dois;79
descendre;8
là;175
bas;27
monsieur;73
avons;108
sacrifié;2
sauver;12
était;204
mon;209
choix;34
échec;1
ma;126
responsabilité;4
félicitations;6
disais;8
ses;64
propres;10
finalement;5
devient;6
a6;3
razor;1
sous;41
titres;15
team;14
lords;23
of;25
kobol;33
remerciements;5
insultes;5
critiques;5
www;87
seriestele;5
net;67
a5;1
participé;1
cet;48
épisode;39
bbsiocnarf;1
dapitch666;1
kaerned;1
linwelin;1
nikomagnus;1
recherche;26
foyer;35
appelé;10
terre;135
pos;64
t;246
es;122
comme;187
môme;2
premier;17
jour;44
école;3
veux;137
me;269
regretter;1
avoir;88
mes;84
côtés;6
hein;16
autant;17
lee;48
adama;75
merci;125
mme;8
présidente;100
huit;17
mois;21
monde;46
changé;24
nos;130
vies;18
jamais;94
endossé;1
des;581
responsabilités;3
soupçonnions;1
devoir;14
honneur;5
service;6
mots;15
principes;1
guident;3
ceux;34
servent;1
armée;7
récemment;4
se;263
faits;7
rares;1
sur;410
ça;736
va;220
changer;14
compter;4
aujourd;20
hui;20
pouvons;21
choisir;7
circonstances;3
mais;371
choisissons;1
façon;18
gère;1
j;689
ai;572
intention;6
donner;22
maximum;1
n;536
attends;23
moins;45
déjà;64
nommé;8
kara;92
thrace;30
poste;9
cag;4
affecterai;1
jours;27
viennent;18
quand;160
ferai;9
point;29
vos;109
choses;52
changent;3
elles;26
restent;6
pareilles;2
gus;1
entrez;8
lieutenant;30
kendra;8
shaw;12
rapport;23
repos;6
asseyez;5
non;268
habitude;5
rester;26
debout;10
oui;174
raffolait;1
chaises;1
même;149
reste;56
influente;1
apprends;4
examiné;2
rapports;10
aptitude;1
sincèrement;3
êtes;144
une;666
énigme;1
tarissait;1
éloges;1
puis;24
série;9
négatifs;1
rétrograde;1
cuisine;1
comportement;4
indiscipliné;1
incessant;1
question;36
an1;6
tôt;11
votre;287
mère;85
donc;63
déléguée;2
quorum;42
marta;1
roulement;2
tambour;2
doit;74
fière;4
moitié;15
base;8
tueraient;1
affectés;1
provisoire;1
vise;1
état;15
major;18
ans;36
baby;1
sitting;1
pourrai;2
tirer;12
épingle;1
jeu;16
plan;27
carrière;3
bonne;35
due;1
forme;11
disons;7
vois;43
passer;25
navette;5
chantier;2
scorpion;2
embarquement;1
immédiat;1
porte;22
spatial;1
idée;34
lecture;1
vacances;3
hobby;1
alors;122
avez;172
trouvé;26
permission;7
pensais;33
