Mot;Occurrence
pos;103
i;4343
veridian;77
dynamics;33
every;55
day;77
something;145
we;921
make;154
makes;45
your;419
life;65
better;64
power;11
that;1328
technology;19
cows;8
well;150
no;326
don;439
t;1047
although;32
have;537
made;75
a;1767
sheep;1
and;1286
medicines;1
airplane;3
engines;2
whatever;28
this;625
is;716
all;315
sorts;2
of;823
things;106
usually;7
off;116
ted;239
1x01;1
pilot;2
the;2246
best;43
job;53
in;704
world;41
want;215
to;2041
metal;3
s;1712
as;151
hard;60
steel;1
but;428
can;433
bounce;2
like;488
rubber;2
edible;5
do;429
m;601
head;35
research;8
development;4
department;20
for;518
one;278
largest;3
companies;11
america;6
veronica;177
my;637
boss;34
need;139
mouse;8
withstand;1
temperatures;1
up;281
degrees;2
computer;19
or;156
live;19
ll;186
get;299
back;158
you;2551
there;248
new;91
waiting;9
be;460
discovered;2
easier;7
everything;44
industrial;2
products;7
biomedical;1
cryogenics;1
defense;2
weaponize;2
pumpkin;5
then;145
so;547
because;208
country;10
with;533
who;187
business;25
grows;1
great;106
deal;37
pumpkins;2
would;189
welcome;14
additional;2
uses;7
them;123
cheaper;2
ways;4
kill;23
their;79
enemies;3
finally;26
gets;35
besides;10
halloween;3
pie;3
ve;242
been;174
at;273
years;39
last;63
year;29
got;141
promotion;7
now;237
run;29
team;33
some;122
smartest;2
people;207
go;238
okay;99
turn;18
simple;8
festive;2
gourd;1
into;91
killer;4
asked;14
dr;13
bhamba;14
take;122
look;167
how;198
nature;7
does;66
it;1743
fantastic;21
thank;62
attacks;1
annihilates;1
powdery;2
mildew;1
disease;15
which;76
mutated;1
designed;4
attack;4
human;19
cell;1
structure;2
causing;4
enemy;3
soldiers;5
grow;9
magnificent;3
soft;5
downy;1
coating;1
die;18
mold;1
oh;153
god;86
spores;1
uniforms;1
think;198
picture;11
cindy;2
lester;1
jerry;3
re;577
on;428
rest;10
drones;5
working;82
spy;4
drone;2
came;29
cheap;4
fabric;6
find;51
another;40
use;42
good;205
texture;1
coloration;1
maybe;114
breakfast;5
meat;29
are;358
serious;5
lighten;1
too;105
funny;31
was;461
joking;2
about;344
not;507
getting;46
joke;6
lem;103
he;372
genius;6
seriously;14
has;106
partners;2
phil;147
also;52
angry;9
toilet;6
paper;17
why;189
couldn;22
they;389
leave;36
next;43
us;152
proximity;1
elegant;1
if;280
harder;14
reach;2
less;27
destroyed;1
going;133
bathroom;10
me;606
used;41
just;443
weird;27
function;3
actively;2
stressful;1
roll;4
dispenser;2
bring;25
before;55
sit;11
what;557
normal;16
becomes;5
keep;53
doing;91
put;61
crap;15
fighter;2
fight;32
stuff;41
shut;15
thought;81
could;155
win;31
remember;33
thing;151
week;34
still;65
didn;113
sandwich;2
yeah;59
should;112
fought;4
hey;63
fellas;15
see;151
line;16
office;61
chairs;2
very;76
strong;7
dark;5
injustice;1
enough;29
knew;14
wouldn;36
won;42
mom;45
tough;4
she;290
once;43
killed;6
bat;3
magazine;2
someone;54
create;8
out;297
nothing;36
an;178
chair;7
man;79
than;77
agreed;15
step;6
any;61
product;22
testing;32
linda;162
squirming;2
comfortable;10
enjoying;1
much;52
whole;36
body;12
rub;2
against;12
know;378
r;15
d;140
legend;2
magical;2
powers;2
never;114
give;50
always;82
tell;100
daughter;32
tells;8
stop;50
telling;24
her;227
giving;25
these;51
numbers;4
scared;4
creamer;13
mine;18
productivity;7
increase;2
when;210
only;90
worked;19
here;238
months;9
rule;9
daydream;1
distracted;3
more;131
productive;1
