Mot,Occurrence
i,3712
you,3432
je,2082
a,2060
est,1865
the,1846
s,1788
to,1741
de,1665
tu,1589
t,1384
pas,1345
que,1303
it,1259
me,1237
on,1160
c,1024
le,1018
la,1007
that,938
et,897
m,893
un,885
à,884
vous,870
ce,832
and,824
what,807
il,766
is,745
ne,705
we,691
l,682
in,675
qu,652
ça,651
une,643
re,614
en,608
d,602
this,601
j,593
of,566
les,535
n,531
know,521
have,512
pour,505
your,498
do,493
can,480
ai,480
don,453
my,450
just,449
he,443
as,443
not,414
qui,412
moi,410
for,405
are,400
with,395
about,374
was,367
so,365
te,356
suis,345
des,343
y,339
be,334
get,332
elle,329
out,328
si,327
avec,327
no,324
she,314
gonna,310
right,309
dans,307
okay,301
all,288
bien,285
jaime,285
up,282
here,280
go,275
sais,271
how,271
faire,269
oh,269
es,268
non,268
mais,265
tout,265
fait,260
toi,259
if,258
va,258
they,257
there,252
être,251
her,249
want,249
now,245
peux,245
but,245
him,244
like,243
plus,242
sur,241
nous,238
ll,238
quoi,236
ok,231
will,231
du,228
who,224
mon,219
at,217
yeah,215
au,208
sarah,207
veux,206
ils,205
était,205
think,199
one,189
need,189
why,188
lui,182
là,178
pourquoi,172
oui,170
let,169
peut,169
juste,169
jamie,168
did,168
comme,168
ve,167
comment,161
ma,157
way,157
tell,155
really,155
vraiment,154
ici,153
se,150
an,149
time,148
ton,147
got,144
dire,143
alors,143
well,143
où,142
good,142
fais,141
dois,141
where,140
from,139
take,139
chose,137
guy,136
dit,135
come,133
jonas,132
maintenant,131
vais,131
were,128
see,125
tom,124
look,123
doing,122
cette,121
ont,121
back,120
little,119
make,116
going,115
ouais,115
didn,114
rien,114
allez,114
avoir,111
sorry,110
becca,107
par,107
berkut,107
too,106
vie,106
had,106
votre,105
besoin,104
ta,104
même,103
work,103
cia,103
could,103
been,102
pense,102
aller,102
thing,102
sont,101
something,101
aussi,100
mean,100
victor,100
down,98
people,98
say,96
help,96
or,96
ca,96
great,95
would,95
should,95
son,95
ces,94
peu,94
bon,94
some,92
jamais,91
love,91
then,90
only,90
life,89
dis,89
talk,88
by,88
avant,88
ou,87
corvus,87
his,86
off,86
êtes,86
more,86
antonio,85
sure,85
vas,85
give,85
quelque,85
never,84
sommers,84
été,82
hé,82
merci,81
quelqu,81
call,80
quand,80
avez,79
sister,77
us,77
because,76
jae,76
trop,75
toujours,75
any,74
maybe,74
our,73
even,73
god,72
find,72
nathan,72
deux,72
before,72
temps,71
parler,71
très,71
dieu,70
said,70
donc,69
bionic,69
hey,69
savoir,69
tous,69
mes,69
tes,69
am,69
fois,68
nothing,68
trust,68
still,68
monde,68
keep,67
over,67
into,66
voir,66
when,65
two,64
point,64
bad,64
sans,64
parce,63
feel,62
has,62
confiance,62
put,62
désolée,62
crois,62
viens,62
doit,62
choses,62
étais,61
aider,61
dad,61
stop,61
move,61
autre,60
much,60
job,59
super,59
than,58
notre,57
ruth,56
isn,56
better,56
ur,56
does,56
anthros,56
minutes,56
avais,55
prendre,55
encore,55
wait,54
avait,54
kill,54
talking,54
trying,54
sa,54
working,53
these,53
thought,53
man,53
guys,53
yes,52
allons,52
mieux,52
aime,52
believe,52
told,52
nice,52
gens,50
personne,50
things,50
faut,50
déjà,50
last,50
anything,50
place,50
paris,50
actually,50
dead,50
woman,50
hell,49
please,49
air,48
gotta,48
seule,48
first,48
car,48
bionique,48
tuer,47
gars,47
which,47
being,47
stevens,47
guess,47
désolé,46
list,46
their,46
mission,46
accord,46
cool,46
ans,46
those,46
salut,45
mort,45
doesn,45
leur,45
idea,44
veut,44
idée,44
laisse,44
eu,44
night,44
savez,44
arrive,44
reste,44
million,44
them,44
three,43
k,43
vrai,43
done,43
someone,43
travail,43
vu,43
liste,43
part,43
agent,42
long,42
thinking,42
hello,42
soit,42
everything,42
thanks,42
wasn,42
thank,42
sécurité,42
other,42
plan,41
pensais,41
around,41
père,41
bonne,41
croire,41
pouvez,41
nick,40
homme,40
imara,40
both,40
femme,40
fine,40
always,40
won,40
sens,40
listen,40
supposed,40
papa,40
faites,39
passe,39
aux,39
phone,39
very,38
away,38
passer,38
head,38
voilà,38
lot,38
regarde,38
leave,38
ever,38
getting,38
tête,37
vois,37
devrait,37
bas,37
new,37
après,37
connais,37
type,37
aurais,37
room,37
parle,37
petit,37
millions,37
big,36
com,36
autres,36
seul,36
after,36
years,36
hi,36
knew,36
dinner,36
devrais,36
world,36
shut,36
partir,36
fille,35
o,35
combien,35
samuels,35
home,35
sera,35
every,34
vincent,34
day,34
avons,34
else,34
toute,34
chez,34
girl,34
made,34
through,34
anthrocytes,34
attends,34
savais,33
raison,33
dernière,33
soir,33
devoir,33
voulais,33
sait,33
live,33
trouver,33
door,33
somebody,33
beaucoup,32
excuse,32
moment,32
also,32
bonjour,32
left,32
mal,32
called,32
meet,32
trois,32
appelle,32
security,32
laisser,32
laissez,32
dîner,32
problème,32
rudhan,32
yourself,32
jours,32
sûr,32
once,31
petite,31
sortir,31
show,31
depuis,31
quel,31
dollars,31
bring,31
five,31
ready,31
arrête,31
heures,31
boulot,31
vite,31
old,31
écoute,30
bye,30
maison,30
voiture,30
found,30
sauver,30
coup,30
situation,30
happened,30
killed,30
travaille,30
days,30
making,30
ago,30
aide,29
check,29
yeux,29
mec,29
kind,29
eye,29
donne,29
change,29
hard,29
again,29
porte,29
cela,29
says,29
ask,29
worry,28
care,28
font,28
later,28
hear,28
heure,28
dont,28
hands,28
impression,28
exactly,28
team,28
toutes,28
président,28
venir,28
most,28
hours,28
saying,28
spa,28
control,28
president,28
picasso,28
until,28
bras,28
understand,28
try,28
watch,28
jour,27
vient,27
minute,27
jusqu,27
die,27
cet,27
pendant,27
wrong,27
droit,27
pourrait,27
voulez,27
sommes,27
nos,27
mains,27
information,27
second,27
sous,27
pretty,26
exactement,26
corps,26
truth,26
might,26
technology,26
pouvoir,26
peur,26
school,26
coming,26
prends,26
stay,26
transcript,26
came,26
yet,26
arm,26
course,26
quelques,26
stuff,26
ah,26
haven,26
run,26
truc,26
terre,26
deal,26
entre,26
person,26
passé,26
sujet,26
drive,26
vérité,26
contact,25
easy,25
name,25
assassin,25
importe,25
already,25
cours,25
sometimes,25
important,25
wanna,25
agents,25
hein,25
argent,25
histoire,25
looking,25
group,25
happen,25
oeil,25
drop,24
ses,24
grand,24
synchro,24
accident,24
whole,24
college,24
chaque,24
parkinson,24
save,24
fast,24
jeans,24
vivre,24
everyone,24
pris,24
wanted,24
brennan,24
six,24
hold,24
tests,23
serait,23
american,23
um,23
essaye,23
appelé,23
contre,23
mettre,23
animal,23
nuit,23
tué,23
moins,23
chance,23
dû,23
technologie,23
penses,23
genre,23
tard,23
partie,23
téléphone,23
façon,22
arrêter,22
open,22
cause,22
aren,22
tried,22
cell,22
sir,22
bionics,22
ear,22
