Mot;Occurrence
centre;2
de;1659
recherche;7
biotechnologique;1
wolf;1
creek;1
je;2082
ne;705
voulais;33
pas;1345
le;1018
contrôle;21
sais;271
dis;89
moi;410
que;1303
tu;1589
m;316
aimes;17
t;459
aime;52
y;339
a;787
plus;238
stoly;1
becca;56
quoi;236
la;1005
musique;2
est;1861
trop;75
forte;8
encore;55
pourquoi;172
porte;29
fermée;4
fais;141
là;178
dedans;7
où;142
il;766
n;531
as;314
droit;27
approcher;5
d;508
un;885
ordinateur;10
connecté;2
à;884
internet;2
faut;50
sorte;11
l;682
ordre;1
du;227
tribunal;2
et;897
si;327
me;442
mailais;1
vas;85
retourne;3
chambre;12
vois;37
ici;153
non;260
donc;69
seule;48
chose;135
qui;412
sa;54
place;21
roulement;1
tambour;1
toi;259
emmène;8
école;10
dans;307
dix;2
minutes;29
facile;16
c;1016
vraie;9
nourriture;7
es;268
une;643
maman;11
ton;147
problème;32
papa;40
essayait;3
contrôler;7
faisait;10
confiance;62
ok;218
laissée;7
sur;241
mon;219
palier;1
veux;206
vivre;24
avec;327
vis;7
lui;182
peux;245
trouver;33
te;356
comment;159
faire;269
cherche;2
grande;16
manifestation;2
ensuite;11
trouve;17
bar;12
proche;10
crois;62
souvenir;5
mais;265
trompes;1
victime;4
attentat;1
voiture;30
piégée;3
bagdad;2
besoin;104
transplantations;1
reconstructions;2
faciales;2
ce;832
triathlète;1
s;350
entendu;21
dire;143
qu;652
pourrait;27
jamais;91
concourir;1
pour;505
certaines;3
femmes;11
gros;12
mieux;52
ces;94
gens;50
ont;121
en;608
commun;3
chacun;1
certain;7
niveau;4
modifié;1
son;79
apparence;5
limite;4
jusqu;27
peut;169
on;682
aller;102
lorsqu;2
agit;11
intervenir;8
oeuvre;1
dieu;70
cette;121
question;11
fondement;2
bioéthique;2
sera;35
notre;57
problématique;1
durant;7
reste;44
semestre;8
allons;52
will;74
suis;345
barmaid;7
sans;64
diplôme;3
professeur;11
chirurgien;8
prendre;55
au;206
sérieux;11
penses;23
prends;26
cas;14
différente;5
quand;80
ta;100
vie;104
déjà;50
toute;34
tracée;1
alors;143
foetus;1
ça;651
flingue;2
peu;94
mystère;5
puis;17
arrivée;9
étais;61
inattendue;4
seul;36
choix;13
père;41
fait;260
ma;155
dois;141
se;150
voit;8
toujours;75
dîner;32
heures;31
disons;5
20h30;2
passer;38
labo;9
quelques;26
pendant;27
totalement;7
repoussant;1
insultant;3
dernière;33
fois;68
ai;480
mis;19
feu;5
micro;8
onde;2
était;205
cassé;6
voilà;38
les;535
bizarres;4
sont;101
mes;69
amis;18
tes;69
plaît;16
demain;17
soir;33
double;4
service;8
marché;13
conclu;5
air;36
superbe;6
j;591
amené;3
des;343
phéromones;1
vais;131
être;251
retard;13
sois;20
gentille;3
amuse;3
bien;285
pense;102
grandes;3
chances;3
accord;46
aboutisse;1
après;37
institut;2
quasiment;2
paraît;1
paris;26
magnifique;4
printemps;2
heureuse;9
sûr;32
devrais;36
venir;28
travail;43
jaime;121
responsabilités;2
mentionné;3
enceinte;8
oui;170
dit;135
juste;168
quelque;85
balance;2
comme;168
exactement;26
train;16
position;5
permet;5
même;103
songer;1
ans;46
cinq;16
mois;13
quatorze;1
jours;32
durée;3
relation;11
quelqu;81
avait;54
demandé;18
croyais;11
coup;30
foudre;2
aurais;37
répondu;1
certainement;3
dès;3
lendemain;1
eu;44
preuve;6
contraire;3
épouse;5
pensais;41
coltrane;3
garçon;9
billie;3
fille;35
obligé;2
leur;45
donner;15
nom;20
demande;15
hémorragie;2
interne;2
blessures;4
étendues;1
bras;28
ainsi;13
aux;39
deux;72
jambes;21
elle;329
revient;3
grammes;1
dazol;1
sortir;31
chérie;21
va;256
rendormir;2
tout;265
ira;6
très;71
promets;10
fractures;2
multiples;3
radiales;2
cubitales;1
artères;1
brachiales;1
endommagées;1
broyé;1
possible;13
amputation;2
dessus;19
genou;1
dommages;5
vasculaires;2
catastrophique;2
perte;2
rythme;3
cardiaque;2
foetal;1
dr;3
anthros;28
sat;1
chute;1
préparez;2
faites;39
personne;50
arrêté;7
toutes;28
autorisations;2
nous;238
avons;34
autorité;2
arrêter;22
prix;11
payer;16
travailler;15
soi;4
disant;5
génie;7
parce;63
dû;23
laisser;32
qi;2
débridation;1
nerf;3
cubital;1
significatifs;1
patient;1
opération;7
existe;5
officiellement;3
aucun;14
risque;8
carte;18
blanche;1
finir;3
tard;23
nécessaire;3
attendant;5
trouvez;2
jae;38
devoir;33
enlever;8
jonction;1
radial;2
semble;15
intact;2
pardonnez;2
car;22
péché;1
docteur;12
tué;23
disneyland;2
lequel;6
allée;11
emmènerai;3
adorer;4
obèses;5
gamins;1
errent;1
but;24
stupide;16
connaître;15
différence;9
manque;9
avant;88
manquerait;1
pouvais;8
penser;17
peau;3
passé;26
accident;12
bébé;8
permanents;1
pourras;5
avoir;111
autres;36
enfants;7
sens;39
arrive;44
expliquer;3
fallu;1
écoute;30
remplacés;6
oreille;21
droite;3
oeil;25
machines;5
moléculaires;2
anthrocytes;15
été;82
substitués;1
huitième;2
cellules;5
sanguines;2
normalement;2
lacérations;2
profondes;1
visage;5
soigner;6
exponentiel;1
améliorer;2
globalement;1
rêve;5
composants;1
bioniques;16
décuplent;1
considérablement;1
force;3
humaine;6
allais;17
mourir;20
chef;6
née;2
wells;2
sommers;46
van;6
horn;2
iowa;2
février;4
mère;20
décédée;2
cancer;2
clean;6
sauf;13
incident;3
dossier;10
classé;2
par;107
cour;3
scellé;1
déscellez;1
travaille;30
bonne;41
candidate;7
faisons;2
sollicitais;1
avis;4
stable;6
retrouvé;3
minnesota;1
inventaire;1
personnalité;1
multiphasique;1
aimé;4
vu;41
situation;15
soeur;21
prouve;2
loyauté;6
intelligente;6
trouvé;19
vieux;20
test;6
combien;35
vous;870
monsieur;22
entraîner;4
scannée;1
testée;2
évaluation;1
psy;1
conclue;1
militairement;1
apte;1
regarde;38
conduit;4
parlé;14
programmes;1
militaires;7
chance;17
opinion;6
valable;1
sujet;26
part;25
mec;29
fricotait;1
trouvons;1
nouvelles;4
données;5
analyses;1
loup;6
bon;94
animal;13
domestique;1
croit;8
chien;5
petite;31
amie;7
retenue;1
contre;23
volonté;9
temps;71
réalise;6
obliger;1
rester;8
envisages;1
tuer;47
humain;5
envisage;1
effraie;2
chez;34
normal;3
aussi;100
viens;62
grave;4
erreur;4
allez;114
rééducation;1
i;558
rééduquer;1
effectue;1
expériences;4
humains;2
retient;1
prisonniers;4
rééduque;1
ruth;29
énervée;2
sommes;27
parler;71
nos;27
pensées;2
pensez;6
retienne;1
sentiments;11
dont;28
préoccuper;1
charge;3
tous;69
plans;7
contingence;2
possibles;1
remettre;4
ceux;9
amenées;1
premier;16
lieu;13
dessiner;4
vrai;43
ou;87
faux;14
restée;2
votre;105
propriétaire;5
partie;23
skier;1
hôtel;11
sympa;10
amusés;1
blessé;6
percutant;1
arbre;2
veut;44
finirai;1
rentrer;12
plan;21
possibilité;3
apprend;4
singes;4
grimaces;1
rencontré;8
regardé;3
agoniser;1
hôpital;4
ils;205
achevée;1
savais;33
sauver;30
amenant;1
mission;26
soit;42
prête;21
combat;6
civile;4
doit;62
bosser;3
pouvoir;26
bouffer;1
compris;15
cela;29
ses;24
implants;9
intéresse;6
intéresser;3
enterré;2
enfin;21
vraiment;154
corps;26
montré;4
autre;60
seulement;18
change;7
rien;114
protéger;17
extérieur;3
fier;1
reprends;3
arrivé;20
arrangerai;1
eux;12
pars;5
vite;31
faxe;1
vers;9
vendredi;8
midi;3
rendez;15
tient;5
dame;2
court;3
propos;17
mensonges;5
trouvais;2
cool;22
puisse;10
laissez;32
partir;36
bordel;10
avez;79
gagné;3
programme;18
tranquille;7
ferai;6
comprendre;11
enjeux;1
mauvaise;20
idée;44
voulez;27
liberté;4
moins;23
illusion;2
remballe;1
autopsie;2
conducteur;3
cou;2
fracturé;1
heure;28
collision;3
conduisait;4
camion;8
devons;7
décroche;1
tellement;21
choses;62
elles;16
arrivent;8
désolée;62
prévenir;1
ski;2
disait;8
laisse;44
tant;20
démenti;1
arrête;31
mentir;9
sait;33
skies;2
café;9
fumeur;1
êtes;86
garde;15
forestier;2
effrayant;5
forêt;1
animaux;2
savent;7
patron;4
attendez;11
travailles;13
prison;10
haute;4
sécurité;42
kilomètres;4
florence;1
endroit;19
achèvent;1
bout;7
utilité;2
ignore;5
frère;13
tailler;1
femme;40
barbara;2
vénus;1
milo;1
bobby;1
aide;29
savez;44
appelle;32
créatures;2
peuvent;16
mal;32
environnements;1
mortels;2
exemple;8
mille;1
pieds;2
sous;27
surface;2
terre;26
extrémophiles;1
démonstration;2
prêt;9
sarah;103
corvus;43
venu;10
celle;11
homme;40
reçu;5
couteau;3
dos;5
dépouillé;1
droits;3
jeté;4
trou;4
bombe;12
retardement;6
genre;23
revoir;15
transmettez;1
amitiés;1
dites;14
salue;4
gardes;4
permettre;2
observation;5
sembles;4
innocente;2
mignonne;1
derrière;8
plutôt;14
impression;18
sers;1
bière;2
offert;1
maison;30
merci;81
connais;37
brièvement;1
rencontrées;2
devine;5
jeter;7
mari;13
saura;3
aider;61
respire;1
1ère;1
oculaires;1
auriculaires;1
déclenchent;1
information;7
apprendre;15
concentrer;5
souhaites;2
cicatrises;1
font;22
cherches;6
arrêtez;7
tête;37
failli;4
faisais;14
puces;8
microscopiques;2
implantées;2
développé;11
technologie;23
devait;9
amputés;2
golfe;2
évidemment;3
potentiel;1
offensif;1
immédiatement;4
transformée;8
soldat;13
conçue;2
guerre;7
active;3
entraînement;11
adéquat;1
seuls;2
peur;26
voulu;3
impliquée;2
supportais;1
perdre;15
retourner;11
voir;66
continuer;5
abandonner;2
façon;22
compliqué;10
explique;2
monde;68
delà;6
admettre;4
point;32
science;10
fiction;4
empêchons;2
tomber;7
entre;26
mauvaises;7
mains;27
décide;1
désolé;46
tiens;12
pause;2
contenus;1
sang;7
filtrer;3
impuretés;2
poumons;2
avantages;2
phénomène;1
foire;2
honnêtement;5
partenaires;5
jogging;2
vouloir;8
paraître;2
mélodramatique;2
première;18
bionique;48
remplacé;6
yeux;29
oreilles;3
refait;1
interface;5
optique;5
deuxième;5
abdomen;1
supprime;1
parties;2
faibles;2
reparti;1
falloir;3
fasses;6
petit;37
progresse;1
blanc;5
fusillade;1
épaule;2
demandons;2
assistance;2
mercy;2
general;2
mlle;4
ressemblez;2
placé;4
millions;35
dollars;27
appartiennent;2
morte;17
conscience;1
menace;2
agents;15
libres;1
tôt;8
devrez;3
pile;4
perdez;2
face;7
mourrez;1
bienvenue;5
jeu;15
rentre;14
quel;31
conditions;1
convient;2
capable;9
maintenant;131
envoyez;2
mecs;7
voudrez;1
enterrerai;2
uns;5
faite;7
ailleurs;5
bonjour;30
lune;2
depuis;31
vingt;1
trois;32
changé;21
synchro;13
trad;8
icefre;3
k;33
bbd1980;2
kasius;1
relecture;2
babamania;2
michvanilly;2
précédemment;11
bionic;14
woman;12
devant;12
annonce;1
appellerai;6
combattre;4
dur;13
parvenir;1
fins;2
armée;17
réunis;2
aujourd;10
hui;10
rendre;7
hommage;1
william;4
fils;21
ami;19
merveilleux;2
résurrection;2
seigneur;3
croyait;4
mort;45
pourtant;3
vivra;3
quiconque;4
vivait;1
mourra;2
ur;56
ouvert;3
tourments;1
