Mot;Occurrence
do;289
you;2043
know;280
what;559
happens;13
next;32
da;2
where;133
are;254
shipping;3
the;1180
bodies;5
detroit;29
who;131
is;535
taking;15
possession;5
van;52
sciver;52
marcus;164
okay;27
can;249
go;144
kidding;8
yes;84
blade;163
series;12
pilot;2
re;306
lost;15
these;34
streets;15
dangerous;5
i;1509
take;94
care;25
of;595
myself;8
oh;85
really;33
and;556
uh;46
well;79
bring;14
them;84
him;175
not;210
we;371
gonna;109
for;327
a;888
little;73
ride;6
friend;21
mine;10
s;837
this;363
place;46
love;9
it;733
sweetheart;15
robbing;2
me;437
asshole;8
just;225
wait;31
here;181
second;13
beautiful;8
hell;41
in;390
there;203
don;232
t;552
worry;9
about;134
easier;4
if;153
struggle;2
honey;20
bucks;3
cheap;2
whore;4
disaster;2
way;60
like;179
barred;2
windows;3
plenty;5
space;6
get;198
bored;3
ping;4
pong;4
table;5
back;95
how;124
much;44
come;102
on;248
ve;140
taken;12
to;954
half;14
dozen;9
sites;2
sealed;2
as;82
tight;4
frog;2
ass;22
pissed;7
every;36
one;159
said;37
have;249
move;20
fast;11
then;60
pick;8
throw;3
down;57
your;269
damn;20
sleeping;5
bag;6
set;4
up;173
shop;5
thanks;14
means;18
deserve;6
zack;43
been;113
such;9
good;77
boy;20
right;98
but;178
last;48
time;117
ever;47
feel;23
pain;10
only;67
pleasure;13
had;59
baby;23
hey;64
anything;42
should;40
out;171
car;6
speech;4
need;96
say;49
or;91
prayer;4
something;93
nobody;13
wants;11
big;20
unity;4
trust;23
an;74
important;4
part;13
that;525
why;62
brought;8
house;77
chthon;58
has;62
lot;26
locked;6
doors;8
meant;3
hold;16
my;252
secrets;4
picking;3
through;31
keyholes;3
too;66
many;26
she;207
home;36
girl;34
missed;10
m;283
great;15
be;243
heard;21
action;7
saw;34
run;8
support;4
group;2
pyac;2
beer;2
works;16
while;21
eat;8
will;137
he;371
was;214
arrested;5
week;12
listen;17
thinking;14
all;178
sit;5
nice;14
long;53
talk;25
before;50
winds;2
prison;2
waste;4
mum;3
bad;29
guy;30
always;34
defend;2
because;33
else;31
look;55
cool;7
think;95
probably;12
now;161
family;23
starr;21
sorry;43
shooting;3
very;30
difficult;5
miss;6
brother;51
twin;2
eh;2
yeah;123
harsh;2
gang;18
sign;8
seen;21
around;26
wasn;32
when;76
two;21
years;37
ago;21
change;16
doing;80
everything;54
find;75
so;183
ll;159
touch;8
bryan;4
boone;55
call;21
mean;42
any;33
help;52
men;5
may;14
tied;4
east;3
side;10
identified;2
man;72
fired;4
assault;3
riffle;2
continues;2
away;36
violence;3
hits;2
city;27
over;49
months;9
mayor;2
called;18
priority;3
earlier;2
morning;6
after;48
body;15
alleged;2
member;6
discovered;2
by;66
river;2
tenth;2
related;3
death;18
three;4
weeks;8
authorities;2
asking;10
anyone;11
information;11
please;43
forward;4
bill;2
finished;6
security;12
media;2
feeds;4
infrared;2
sun;10
make;63
some;87
new;42
friends;9
huh;8
try;13
quietly;4
o;3
does;39
hum;6
hurts;12
tattoo;2
buttlerfly;2
key;9
minute;11
shit;41
doesn;32
count;4
needle;2
at;77
least;15
hour;11
working;21
tell;85
want;107
off;53
wanna;34
told;29
d;59
didn;67
hear;23
reached;4
detective;7
booin;2
robbery;2
homicide;3
avalaible;2
emergency;2
hang;5
dial;4
otherwise;3
leave;19
message;4
tone;2
god;35
no;277
gotta;33
hello;32
left;23
messages;2
krista;158
st;3
dealer;6
sister;22
drug;4
ok;59
took;22
docks;2
his;116
appartment;3
going;79
stuff;17
did;122
looked;8
black;7
dressed;5
narrows;2
could;57
suspect;2
see;101
file;4
maybe;34
