Mot,Occurrence
i,4653
you,4198
a,3819
de,3082
je,2901
the,2841
est,2765
s,2647
to,2565
vous,2463
que,2284
pas,2172
it,1968
t,1914
le,1895
il,1876
un,1812
la,1609
that,1543
tu,1540
et,1520
me,1477
ce,1460
c,1453
à,1427
and,1346
ne,1343
d,1314
l,1303
on,1302
ça,1211
of,1183
une,1140
he,1103
en,1074
n,1035
qu,1029
what,1023
les,1020
j,1010
m,980
is,973
this,910
ai,875
pour,839
in,820
elle,794
know,788
was,774
we,770
have,724
qui,698
for,635
des,635
bien,631
do,621
vicki,604
not,604
don,602
re,592
be,590
y,583
she,578
oh,572
no,570
si,562
your,556
henry,550
être,540
my,536
dans,533
moi,525
can,519
with,516
as,504
était,499
all,497
her,495
so,492
just,490
non,482
mais,480
nous,478
are,476
there,461
tout,454
plus,450
right,443
him,441
like,438
if,436
about,428
yeah,423
suis,421
sur,418
fait,418
but,415
avec,413
du,410
out,397
chose,395
okay,390
sais,389
going,380
well,379
they,364
peut,363
here,359
au,358
think,358
comme,356
mon,352
faire,336
one,333
get,331
who,331
là,330
mike,330
did,324
avez,318
cette,306
his,306
te,301
oui,297
lui,295
ils,293
up,291
got,291
want,291
son,289
quoi,289
se,287
how,286
dit,286
ll,285
at,284
votre,283
quelque,278
ve,270
something,259
alors,254
va,250
or,246
veux,246
now,242
go,237
vampire,231
ou,230
ouais,229
sont,228
ici,228
même,224
ok,223
quand,223
peux,220
see,219
an,219
où,217
dire,217
some,216
pourquoi,212
when,210
would,210
could,209
why,207
coreen,204
autre,203
time,202
vraiment,201
come,201
avoir,201
êtes,200
juste,198
them,197
accord,197
need,196
été,194
more,191
from,190
par,189
had,189
rien,188
were,188
très,187
comment,187
toi,187
avait,185
sa,185
find,185
didn,183
ont,182
ma,182
good,179
toujours,177
where,177
quelqu,176
let,176
will,176
guy,174
ces,173
been,172
besoin,172
look,172
eh,170
bon,170
way,168
mort,167
hey,166
take,165
then,164
tell,163
people,161
merci,158
es,156
voir,155
any,154
nelson,153
maybe,153
jamais,151
dois,148
temps,147
dead,145
thing,145
mean,145
too,144
blood,143
ton,142
vais,142
back,142
crois,142
peu,141
has,140
