Mot;Occurrence
bonsoir;11
maman;18
ma;178
soirée;8
s;389
est;2765
finie;8
plus;442
tôt;23
alors;254
je;2901
t;437
appelle;55
avec;412
toi;187
si;562
la;1609
se;287
finit;3
trop;103
tard;58
c;1446
que;2284
vais;142
vite;23
elle;794
le;1895
fais;112
fuir;6
on;697
allait;31
pas;2172
ensemble;40
tout;454
non;470
ne;1343
l;1303
ai;875
frappé;7
il;1876
était;499
du;410
genre;104
romantique;5
tu;1540
vois;76
a;1591
tenu;3
porte;40
et;1518
m;415
tiré;4
chaise;3
voulu;15
me;537
lire;7
menu;4
sais;389
quoi;289
j;1009
besoin;172
d;1143
aide;56
suis;421
aveugle;8
jusqu;49
à;1425
présent;43
ce;1460
veux;246
peu;141
importe;46
ton;141
prix;8
bien;631
un;1811
oui;297
i;534
savage;1
garden;1
fun;2
house;1
the;41
bovine;2
ouais;229
fera;9
très;187
qui;698
choisis;4
désolé;34
cru;20
avoir;200
entendu;42
bruit;6
y;582
gars;32
une;1140
sorte;49
de;3082
cape;3
noire;19
cool;14
ressemble;13
au;358
prince;5
des;635
ténèbres;7
passe;55
truc;42
te;300
laisse;42
aime;60
aussi;137
dois;148
aller;102
saison;20
épisodes;1
blood;37
price;1
sous;41
titres;1
loky;3
lucille;3
golgi;2
benj;7
linwelin;2
www;41
seriessub;28
com;38
les;1020
inspecteurs;3
vont;26
tarder;2
madame;4
ils;293
ont;182
quelques;78
questions;39
vous;2463
poser;23
service;17
soir;64
celluci;39
graham;3
fallait;7
ça;1211
tombe;8
sur;418
hein;65
vicki;301
qu;1029
fous;15
là;330
failli;11
faire;336
tuer;95
en;1074
essayant;7
empêcher;22
meurtre;54
dave;19
nelson;82
êtes;200
légende;5
épuisé;1
mal;100
collègues;4
combien;42
temps;147
allez;124
tenir;12
va;250
voir;155
trouvé;121
empreintes;15
accord;197
habilles;1
classe;4
pour;838
travailler;26
maintenant;140
sors;9
mariage;5
commence;21
arrives;5
résoudre;12
tes;53
affaires;41
autant;18
être;540
élégant;2
merci;156
as;300
air;45
forme;19
vu;132
quelqu;176
grand;41
sombre;13
aurait;59
dit;286
portait;6
secoué;1
gamin;20
comme;356
poupée;8
ensuite;30
disparu;22
dans;533
cette;305
alcôve;3
bas;35
comment;186
dico;1
rentré;7
n;1034
ressorti;2
depuis;97
autre;203
côté;28
rue;9
venue;21
essayer;23
arrêter;51
donc;128
comprends;31
arme;17
renforts;1
aucune;54
idée;56
situation;11
deviens;11
privé;29
oublies;1
oublié;5
pouvais;25
chiant;1
aurais;65
fait;418
passer;41
super;12
héros;2
oh;268
bon;168
mike;163
devrais;41
psychothérapie;1
souci;3
es;154
rassuré;1
lui;295
retirer;7
dessus;50
accident;14
vol;9
manque;14
rien;188
son;269
cou;17
dirait;33
attaqué;4
tronçonneuse;1
vidé;2
sang;120
où;217
gouttes;1
conduisent;1
allée;10
autres;81
après;90
exactement;42
quel;52
affaire;97
police;58
témoin;9
principal;3
mérite;6
informations;11
faisais;8
possible;27
informer;1
témoins;5
pendant;36
enquêtes;5
pourquoi;212
traites;1
traite;5
flic;33
démissionné;1
laisser;47
professionnels;1
bonne;68
fut;5
plaisir;13
rencontrer;7
bonjour;28
chan;2
détective;35
travaillant;1
avocat;14
hong;2
kong;2
demandais;12
souveniez;1
oncle;2
nommé;4
chi;1
fung;1
désolée;47
dérangement;1
peux;220
aider;89
journaux;6
disent;21
étiez;27
avez;318
ian;20
groupie;1
cimetières;3
coreen;108
fennel;4
mon;350
petit;42
ami;42
étais;93
téléphone;13
quand;223
arrivé;25
puis;52
quelque;278
chose;390
personne;136
tué;94
devriez;25
raconter;3
leur;68
raconté;3
croient;7
croira;2
gens;95
été;194
par;189
marcheur;6
nuit;119
vampire;117
traitez;4
condescendance;1
existent;7
dehors;37
marchant;1
cherchant;5
étancher;1
soif;4
éternelle;3
nourrissant;1
nous;477
nourrit;2
poulets;2
ou;229
vaches;2
mec;56
essayé;19
cacher;13
mais;480
matin;25
pris;49
sûre;32
sera;56
clair;13
lorsqu;3
trouveront;4
responsable;11
car;22
font;28
fausse;2
route;11
certaine;17
payer;14
boulot;34
pub;3
universitaire;1
humain;21
mlle;31
devez;48
savoir;97
celui;58
noir;12
juste;198
enquète;1
plaît;29
gâcher;4
votre;283
argent;33
mets;8
jours;30
jour;50
dépenses;3
faites;65
faux;12
espoirs;4
donnera;6
peut;363
délicieux;2
crois;142
dire;217
regardant;2
b;5
pensais;23
serais;16
colère;12
avais;71
jamais;151
imaginé;1
amant;5
passion;16
centre;11
travail;42
sans;64
vie;110
vaut;18
peine;12
vécue;2
mielleux;1
parie;11
vas;71
même;224
rappelleras;1
triste;8
jeune;18
cynique;1
ans;86
apparences;5
sont;228
parfois;25
trompeuses;2
hé;103
prend;10
croyais;28
pourrait;104
jouer;21
encore;123
rentrer;9
chez;75
pourrais;42
dormir;7
ici;228
journée;23
chargée;1
demain;26
putain;7
tête;54
dingue;15
moi;525
sandra;1
fitzroy;55
suivi;9
excitation;2
évite;4
tant;40
parle;28
déjà;102
deux;132
morts;42
goutte;2
aucun;55
corps;111
films;8
vampires;34
écrivent;1
lisent;1
idiots;1
doute;16
jouent;1
peurs;1
journalistes;1
tiennent;1
aux;75
faits;6
pouvez;77
garder;32
croyez;39
excusez;22
normalement;3
partage;3
extérieur;8
forces;8
ordre;8
moments;2
doit;90
élever;2
rigidités;1
éthique;1
conventionnelle;3
important;16
amen;7
meurtrier;6
eu;97
peur;37
traces;7
devant;24
client;26
dérange;10
parce;99
mort;167
sentiments;4
beacoup;1
sensibles;2
vivants;5
causé;5
ces;173
marques;28
honnêtement;3
victime;20
tuée;22
manière;9
blessures;11
cannelées;1
inégales;1
dents;8
coupé;4
acéré;1
rasoir;3
muscle;1
cartilage;1
animal;9
capable;12
propos;25
victimes;8
saignées;1
quasiment;1
blanc;3
naturel;1
penses;42
fissure;1
mur;6
perdu;24
tueur;39
pense;138
reste;39
confirmer;2
certainement;11
appartient;6
notre;79
avancer;5
avant;105
tests;3
demander;31
plaisante;4
tiens;13
courant;19
norman;21
viendrais;2
tournoi;2
everquest;1
hier;19
avait;185
huit;5
ordinateurs;1
réseau;1
vraiment;201
génial;37
occupé;12
