Mot;Occurrence
hi;39
mom;22
yeah;422
my;536
date;16
ended;6
early;12
so;492
i;4119
thought;89
d;171
give;83
you;4196
a;2228
call;98
with;516
if;436
it;1960
ends;2
too;144
late;32
m;565
going;380
fast;13
ve;270
driven;2
him;441
away;51
know;787
what;1023
we;769
just;490
didn;183
t;1477
fit;5
okay;357
no;570
did;324
not;604
hit;20
he;1102
was;774
one;333
of;1181
those;63
guys;53
held;3
the;2800
door;27
and;1344
pulled;10
out;397
chair;2
tried;18
to;2565
read;16
me;940
menu;4
don;597
need;196
help;139
blind;6
yet;40
desire;3
may;38
have;724
your;556
price;8
that;1543
yes;89
savage;1
garden;3
fun;20
house;27
bovine;2
ll;282
do;621
choose;2
then;164
sorry;72
heard;31
something;259
there;461
s;2258
some;216
guy;174
wearing;18
black;26
cape;3
or;212
cool;16
looks;51
like;438
freakin;2
prince;4
darkness;8
come;201
up;290
gotta;27
go;237
love;65
season;4
episodes;1
blood;106
transcript;11
swsub;9
com;24
synchro;10
benj;6
loky;2
www;25
seriessub;6
be;590
few;61
more;191
minutes;19
ma;4
am;74
detectives;4
are;476
on;605
their;96
way;167
want;291
ask;66
questions;36
all;497
right;443
who;331
catching;3
tonight;40
celluci;32
graham;3
had;189
huh;51
vicki;303
hell;77
doing;107
here;359
uh;87
almost;36
getting;53
myself;34
killed;123
trying;67
stop;88
homicide;29
dave;20
nelson;71
re;591
legend;4
mean;145
burned;3
through;50
lot;76
partners;9
how;286
much;92
longer;7
last;97
listen;80
why;207
see;219
they;364
been;172
able;29
lift;2
any;154
prints;5
will;176
look;172
nice;52
dress;4
for;635
work;106
these;106
days;37
came;60
from;189
wedding;2
start;38
well;379
can;519
close;29
cases;24
might;109
as;204
good;178
thank;78
saw;86
someone;83
big;30
dark;35
looked;18
tossed;2
kid;32
around;94
doll;5
disappeared;12
into;119
alcove;3
websters;1
went;44
in;817
across;7
street;11
over;113
try;56
let;176
get;331
this;910
straight;19
weapon;6
backup;1
idea;51
really;137
plus;8
hardly;7
turn;36
pi;8
forgot;3
everything;80
ever;68
knew;65
forget;21
ignorant;1
sound;19
would;210
done;61
certainly;13
wouldn;59
got;291
prove;16
kind;125
superhero;1
oh;304
mike;167
should;110
psychoanalysis;1
shoot;13
caring;2
settled;2
again;73
an;207
accident;8
doesn;111
robbery;3
money;28
wallet;3
still;110
wounds;13
his;306
neck;18
make;124
somebody;76
after;73
chainsaw;1
also;21
bled;3
where;177
drops;1
leading;4
down;88
alley;6
couple;31
dead;145
end;24
other;115
police;50
business;31
primary;1
witness;9
think;358
deserve;8
little;113
information;24
inform;1
witnesses;5
when;210
were;188
job;36
cannot;3
believe;96
shutting;5
walked;5
expect;12
treated;3
cop;35
guess;48
leave;38
um;56
professionals;1
meeting;9
mr;46
chan;2
name;59
is;973
investigator;15
working;49
lawyer;7
hongkong;1
wondering;15
remember;44
uncle;1
named;13
chi;1
fung;1
bother;4
papers;4
say;136
night;132
ian;20
murder;54
graveyard;1
groupie;1
coreen;96
fennel;3
boyfriend;12
phone;21
happened;48
telling;33
won;52
exactly;51
people;161
by;120
walker;1
vampire;114
understand;61
patronize;2
real;38
walking;22
looking;84
slake;1
unquenchable;1
thirst;2
feeding;4
us;132
feed;10
cows;2
chickens;2
told;60
said;133
hide;14
but;410
paper;7
morning;25
whatever;35
took;57
sure;121
find;185
reasonable;3
explanation;6
because;103
pay;17
at;284
university;6
pub;3
wasn;72
human;30
miss;26
must;53
whoever;26
wore;4
fine;54
investigate;5
please;60
waste;6
time;201
put;56
per;1
day;67
expenses;4
hope;20
delicious;2
graphic;5
novels;5
angry;11
never;103
figured;18
lover;9
passion;16
centre;3
nothing;92
else;69
worth;13
living;19
ah;26
smooth;1
bet;18
even;119
sad;6
young;22
cynical;1
deceiving;3
hey;162
could;209
play;30
home;51
sleep;15
very;62
busy;24
tomorrow;20
man;80
thinking;19
crazy;29
sandra;1
