Mot;Occurrence
wow;84
c;9890
était;3497
euh;307
ouais;825
stupéfiant;4
et;9739
une;7736
énorme;38
erreur;84
enorme;2
pourquoi;1886
on;5533
continue;56
à;9193
faire;1634
ça;6713
eh;467
bien;2995
tu;3460
sais;1274
pas;12280
je;15093
veux;908
dire;1540
l;10772
a;12270
fait;2379
quoi;2300
deux;992
fois;620
année;81
passée;35
trois;287
quatre;104
si;2892
comptes;17
cette;1454
surveillance;25
ce;7173
n;5718
du;4448
sexe;143
peut;1729
être;2752
pour;5879
toi;559
mais;3215
en;6311
est;17535
as;800
raison;406
comme;2022
faisait;155
quelque;914
chose;1211
de;22291
mal;425
drew;16
êtes;1399
avait;1244
besoin;765
pause;28
gagner;45
perspective;7
ceci;143
aide;179
la;12787
laquelle;90
terminé;27
fini;209
téléphone;101
shh;7
booth;1792
adresse;49
oh;889
non;3027
moi;2458
aussi;868
dois;505
passer;202
prendre;318
parker;149
école;123
assure;15
lui;1773
amener;26
bd;19
que;11726
ai;5195
trouvée;86
parce;873
qu;5662
il;10813
adore;83
sûr;677
agent;651
salut;158
le;14550
dr;1435
brennan;1094
disponible;14
bones;1194
qui;3977
se;1773
passe;261
rien;1062
juste;1214
savoir;475
vous;17403
aviez;189
reçu;65
appel;67
alliez;28
venir;207
me;2491
ou;1193
savez;1064
verrai;11
plutôt;229
là;1679
bas;264
ok;1299
d;7477
accord;700
bye;19
ne;6732
penses;85
elle;3728
pensé;154
nous;3169
avons;504
un;12531
enfant;260
ensemble;331
tout;2157
normal;61
cela;322
allait;164
reproduire;8
encore;591
exactement;219
t;1693
avec;3346
salle;96
bain;29
merci;912
désolée;205
j;6153
interrompu;11
avez;2857
devez;179
rebecca;45
mon;2115
ex;75
s;3525
arrêtée;16
chez;286
récupérer;61
avais;437
décroché;5
plus;2371
moins;366
suis;2538
dit;1816
charmant;27
âge;138
indéterminés;3
victime;900
plongée;7
dans;4175
sent;81
composé;12
produits;47
corrosifs;12
domestiques;10
déboucheur;6
égoût;3
acide;39
javel;12
immergée;3
depuis;497
jours;263
très;1298
train;206
été;2040
week;61
end;61
dissoudre;7
accordant;4
au;2670
tueur;212
assez;345
temps;685
les;8482
fassent;6
leur;482
boulot;221
excusez;164
puis;292
entrer;75
ici;1193
plaît;231
pete;77
valero;5
entrepreneur;12
bâtiment;45
venu;133
dès;77
pourrait;468
y;3188
avoir;1117
des;6031
preuves;264
dedans;132
dirais;89
grande;112
partie;307
vais;833
zack;522
m;2551
aider;328
extraire;19
restes;257
trouve;198
sous;493
surface;66
serait;342
simple;102
simplement;160
baignoire;49
attendez;331
godiva;5
ces;1260
choses;305
sont;1727
bon;882
marché;95
pensez;404
quelqu;831
va;1263
vouloir;91
après;735
comment;1076
pourraient;62
ils;1984
ecoutez;117
dis;271
logement;3
subventionné;3
gouvernement;53
veut;539
chaque;244
pièce;109
cinq;116
cents;12
soit;466
justifiée;3
obtiendrai;9
vos;569
reçus;18
pouvez;519
patron;61
apparaît;22
maintenant;546
étais;478
dentiste;27
milieu;59
canal;11
radiculaire;6
pouvait;116
mieux;371
saurais;12
ouvriers;10
sur;3319
seul;277
site;76
sans;621
mentionner;11
tous;869
gamins;43
vandales;3
venant;35
par;1644
dieu;425
seigneur;79
dehors;137
seulement;244
peau;71
fenêtre;37
monte;70
charge;36
plateau;21
voulons;26
réponses;36
vient;236
the;2144
tick;31
tock;31
team;154
callie;29
normajean;20
chba13;23
alspring;25
présente;46
episode;18
2x05;2
truth;14
in;617
lye;2
www;42
forom;18
com;74
descendez;7
doucement;70
continuez;46
waouh;11
sympa;54
devrais;171
ma;1042
caméra;34
aurais;314
compazine;2
médicament;15
neuroleptique;2
aura;119
vidéo;84
vomi;12
autre;836
part;216
doit;435
dépêcher;6
chimiques;27
rongent;4
notre;650
possibilité;35
ait;220
mis;175
vivant;55
trouvons;12
corde;36
ruban;23
adhésif;27
corps;692
bonne;306
oui;2277
monde;433
commençons;12
inquiètera;3
tard;124
premier;147
prendrons;2
joie;27
alors;1000
clairement;42
priorité;21
changer;74
indices;18
dépêche;10
quel;407
poids;63
départ;41
kgs;14
pèse;8
seule;246
environ;136
capacité;14
gallons;2
comptant;6
kg;39
litre;4
gallon;2
mène;24
plein;97
plaçant;2
type;343
moyenne;17
crème;14
remonte;22
toujours;701
cas;261
précis;38
graisse;23
fondue;4
mesurerai;2
son;1937
volume;13
déterminer;58
commencerai;6
séparer;22
toutes;328
organiques;17
demandé;212
tamis;10
truc;338
genre;314
utile;49
gros;137
morceaux;94
vieux;182
mczachy;2
allez;739
bureau;195
légiste;50
dites;358
eau;176
équipe;196
terrain;81
envoyés;11
illico;2
presto;3
énervent;4
quand;1353
votre;2308
nom;348
parlant;46
preuve;239
gâteau;34
même;1073
dégoûtant;15
trop;461
interroge;9
crâne;328
reconstruction;51
partielle;7
hmm;47
déjà;411
travaillé;60
fémur;41
droit;180
poreux;5
fragile;19
moelle;22
pratiquement;12
gélatinisée;3
personne;659
âgée;12
grand;292
vraiment;991
tiens;51
remplacement;9
hanche;16
elles;435
habituellement;12
gravées;3
numéros;16
série;93
celle;192
ci;141
dirait;236
ont;1446
brûlés;9
hé;220
où;1134
mr;144
amèneraient;2
reste;253
sa;1428
spéciale;28
appartient;30
horrible;49
substance;18
visqueuse;6
jaune;18
litres;8
jusqu;237
voudrez;7
voir;826
devinez;18
portefeuille;21
croyez;180
cuir;26
argent;318
cartes;36
lambeau;2
identification;40
complètement;97
émulsionné;2
mm;42
aimerais;162
revenir;53
ancien;45
arrangement;14
parlez;135
directement;24
mes;522
arrivés;10
grâce;73
trouvé;917
donc;1104
but;249
moment;287
ectomorphe;4
mince;32
linéaire;6
traits;18
fins;12
entends;38
es;447
nouveau;181
ton;383
pardon;149
revivant;2
moments;25
continuer;52
tamiser;3
te;685
relax;16
vrai;528
nos;246
faiblesse;8
uh;77
seeley;138
partagés;3
sache;55
quiconque;28
cancanais;2
appelleriez;3
partage;20
point;237
intérêt;41
génial;111
hein;205
ficelle;10
sert;29
balle;172
jouer;90
chat;28
comportement;34
exemple;45
manuel;7
disant;52
grands;16
primates;6
pouvont;2
défense;65
face;99
envies;4
biologiques;9
âgé;17
peux;892
contrôler;29
voyez;299
cellules;29
manque;107
collagène;6
indique;119
ostéogenèse;4
imparfaite;7
maladie;73
os;931
verre;106
supposé;44
nécessairement;12
couché;78
rappelle;43
pourrai;30
entendre;63
voix;63
aurai;64
pu;442
prévenir;23
pendant;349
faisiez;25
amour;174
faisions;3
honte;24
humains;84
agissent;7
selon;106
hiérarchie;12
besoins;18
occupe;64
rangs;7
élevés;12
inévitabilité;2
anthropologique;24
apprécie;51
résumiez;2
inévitabilités;2
anthropologiques;6
voulez;612
web;12
listé;4
peur;245
chérie;128
base;91
données;93
officielle;15
dépisté;2
huit;51
zone;83
combien;228
entre;438
eux;196
hommes;158
adultes;19
donnez;76
seconde;114
généralement;17
tape;18
aucun;285
parle;181
parler;547
accodak;2
nombre;61
métropolitaine;2
zéro;22
idem;2
femmes;151
enfants;189
taux;37
mortalité;4
élevé;31
o;35
i;4887
fatale;10
principalement;8
ostéogénèse;2
graves;35
bénin;3
proche;55
stature;9
normale;40
articulations;14
fragiles;17
sclère;2
grisâtre;2
héréditaire;7
bénins;2
peuvent;136
formes;13
souvent;110
résultat;68
mutation;5
génétique;17
bonhomme;8
gosses;33
eue;18
leurs;238
parents;142
devons;100
contacter;14
familles;24
trouver;363
auquel;17
père;858
laissez;185
imprimer;3
liste;105
imprimez;8
partagera;4
mme;119
seaver;28
institut;48
jeffersonian;168
travaillant;19
collaboration;4
fbi;657
rapport;147
larry;123
agit;97
mari;270
lawrence;13
raymond;9
répond;12
laissé;146
plusieurs;122
messages;11
entrez;23
caribou;2
nord;29
émigre;2
ray;65
chéri;34
visite;32
retrouvé;81
papa;187
appelle;235
temperance;126
venue;74
poser;82
quelques;375
questions;166
disapru;2
jeudi;27
pensions;8
disparu;209
parti;130
voyage;52
affaires;127
semaine;106
oublie;26
jamais;891
rappeler;21
habitude;100
dû;432
tant;227
forme;109
bénigne;4
signer;23
plâtre;21
chercher;179
stylo;26
emprunter;11
photo;137
calotte;3
crânienne;11
décomposée;7
avant;787
eu;530
finir;47
mettre;176
visage;161
toute;248
façon;274
crois;391
obtiendra;7
correspondance;39
peu;679
homme;621
mère;367
fille;439
maryland;25
fils;323
virginie;59
mien;44
turner;15
ans;788
électricien;22
commercial;15
vies;39
jenny;35
prenne;11
ses;728
médicaments;34
maman;82
reverra;2
demain;71
matin;105
betty;4
six;132
demi;53
lien;66
spécial;90
courant;104
senti;18
coupable;58
cause;382
parlé;188
conflit;14
lieu;106
travail;378
aime;409
drôle;67
intelligent;51
travaille;164
dur;127
déplacement;8
propos;153
savais;144
électriciens;2
étaient;318
appelés;13
rester;143
loin;99
charges;22
jacentes;2
sortir;160
gagne;23
enseignante;3
sciences;23
naturelles;7
collège;5
voyager;11
plaint;8
retours;6
maison;246
agréables;3
désolé;327
doivent;61
vérité;150
mèche;16
avaient;104
réussi;60
découvrir;81
mort;927
demande;199
plait;64
veuillez;16
patienter;2
attente;15
serons;18
longs;8
servez;13
tasse;12
café;123
interrogatoires;8
soir;202
poster;5
kitty;2
couple;49
agents;58
curry;9
moran;7
redécoré;2
boirai;4
charlie;94
failli;18
épouser;38
tombée;42
enceinte;78
voulais;249
fallait;32
problèmes;139
voulait;290
débuter;4
propre;144
carrière;48
études;19
logique;98
appliquez;2
aimez;61
mammifères;4
décharge;26
sérotonine;4
montée;11
endorphine;3
naturellement;16
recherche;126
sexuel;36
mot;129
appeler;126
anciens;20
amants;14
beaucoup;446
sens;233
paie;21
pièces;49
différentes;40
bonnes;41
actrices;3
savent;52
quasiment;13
sûre;142
ignoraient;3
apparemment;89
attendre;107
rassembler;14
courage;23
voudrais;85
apprennent;7
enterrement;41
paierais;4
cher;34
haut;133
ressemble;134
arme;488
fragments;117
ressemblent;17
carton;10
mouillé;3
presque;123
traumatisme;34
objet;79
contondant;18
grossièrement;2
v;13
coin;68
2x4;2
petites;61
taches;29
sang;430
impact;42
coup;329
fatal;28
tremper;3
solution;27
alcaline;2
quelle;241
belle;97
journée;50
isolé;13
