Mot;Occurrence
so;3859
i;59459
spent;58
the;31668
night;443
at;2803
todd;14
s;35524
you;27386
remember;260
right;3320
bass;11
player;47
with;4825
big;350
hands;166
nimble;3
angela;678
m;12397
trying;424
to;18896
piece;137
together;492
a;43103
skull;403
re;4056
doing;499
great;584
job;424
wake;18
up;2178
this;6277
morning;133
and;10809
he;7852
sitting;43
there;3496
no;4881
clothes;85
on;5900
just;3621
his;2920
singing;23
me;5461
in;8667
low;53
voice;68
it;13630
was;8337
creepy;51
is;8175
conversation;51
really;1173
appropriate;20
here;2726
sorry;764
but;3701
into;924
live;185
people;1293
anyway;97
has;879
friend;227
thought;635
said;1074
not;4991
good;1607
news;67
hope;184
work;869
related;25
anthropology;50
journal;16
publishing;11
our;1003
evolution;8
of;11514
coronals;1
suture;24
for;5318
interruption;3
supposed;182
bump;12
my;4169
fist;17
yours;113
why;2458
told;604
widely;12
acknowledge;6
gesture;4
mutual;11
success;31
love;587
when;1807
two;1001
impersonate;3
earthlings;3
okay;2312
now;1438
weird;111
some;1315
guy;1012
lounge;12
who;1925
asked;223
give;568
alive;170
because;1426
an;2309
excellent;102
start;225
relationship;136
didn;1633
t;36335
put;516
mirror;24
underneath;25
nose;67
or;1517
anything;871
that;14227
d;13241
know;5313
opened;35
gets;203
her;3404
stop;324
working;337
have;5009
see;1684
left;620
place;483
three;506
years;650
ago;463
first;565
time;1418
ve;1636
been;1356
washington;38
should;985
return;50
person;322
tell;1289
were;2039
coming;217
what;7774
if;2900
take;988
call;620
important;171
author;23
could;1631
come;1107
down;851
half;169
way;1047
as;2038
always;444
don;3512
any;1087
expectations;6
do;4163
civility;3
can;3659
handle;87
are;3853
george;13
university;36
wants;241
talk;611
about;2818
heading;18
their;652
department;114
they;3406
be;3887
lucky;76
get;2455
assume;95
tried;180
already;238
had;1492
like;3295
watching;57
cars;41
mate;14
got;2304
michael;68
stires;28
forensic;163
professor;57
from;2763
north;30
western;6
very;1187
close;210
mm;118
dr;1637
brennan;1411
does;675
mean;1331
seems;197
we;6795
dinner;99
tonight;100
catch;142
sounds;145
reasonable;55
hey;810
bones;2041
whoa;204
easy;158
present;62
ya;36
straight;88
out;2793
illegal;49
ravine;9
found;1370
dump;35
fairfax;4
confirmed;19
human;335
matter;187
rather;87
then;1219
open;187
myself;165
risk;41
being;618
trashed;5
by;1442
contaminating;5
evidence;679
decided;81
bring;193
whole;344
refrigerator;37
all;3748
need;1331
toaster;5
oven;12
bodies;73
going;1598
mostly;66
decomposed;27
which;853
cue;3
leave;249
where;1107
fun;132
alright;5
phew;1
uh;977
she;4024
eighteen;1
early;91
twenties;2
guessing;35
year;340
enough;475
insect;40
activity;47
help;642
us;1329
more;1044
precise;16
remove;80
clean;107
bone;659
zach;8
pick;190
will;1071
address;70
beautiful;152
lab;248
thanks;463
old;587
teacher;56
yep;60
actually;357
eat;135
after;633
seeing;114
well;2431
soup;15
student;106
follows;14
ain;50
gonna;981
happen;193
o;24448
universe;23
sketch;42
victim;1076
intact;24
made;539
dental;77
records;137
name;477
maggie;89
schilling;51
nineteen;3
guess;265
dancer;11
markers;46
metatarsals;3
god;625
go;1828
freedom;17
dance;46
crammed;4
dead;757
shut;108
door;164
hotter;9
other;727
ex;81
lovers;18
knocking;22
your;4384
today;150
lover;15
variable;5
constant;11
speed;45
light;99
save;117
dirty;32
hunky;2
assure;26
purely;12
plutonic;1
share;91
science;117
neither;93
inclination;7
emotional;57
complications;6
yes;1271
data;56
booth;2364
sure;877
went;401
missing;305
eleven;3
months;197
parents;162
ransom;57
note;60
demanding;10
million;84
dollars;47
negotiations;9
dragged;50
couple;210
weeks;163
suddenly;42
contact;85
stopped;55
assumption;25
kidnappers;15
killed;896
visual;17
physical;64
trauma;115
cause;481
death;553
yet;275
stress;50
fractures;184
both;395
wrists;30
running;114
chemical;37
analysis;61
toxicity;5
screens;8
affluent;1
later;130
wow;158
assumed;26
would;1910
eating;46
off;945
autopsy;64
table;65
tomorrow;73
fine;482
missed;64
reservation;10
oh;1707
price;21
pay;113
deciding;5
exploration;6
discovery;5
realize;62
recreational;13
course;429
impressed;25
passed;44
opposed;3
construct;11
nice;330
rely;6
physics;11
think;1894
move;177
depends;16
offer;55
maybe;891
position;47
jeffersonian;194
problem;202
better;437
vying;3
dominance;12
same;545
arena;4
usually;106
closed;42
case;559
girl;385
fridge;12
wrist;69
much;654
else;422
confident;14
cold;87
habits;5
die;162
hard;249
did;2364
fight;165
kept;89
tied;37
animal;74
fought;43
how;2199
those;638
bound;52
struggling;16
keep;429
face;320
1x08;1
original;35
airdate;1
fox;3
nov;1
created;27
hart;1
hanson;1
directed;3
david;45
jones;19
transcribed;1
veronica;5
twiz;1
tv;40
com;105
synchronized;3
subtitled;1
vignemail1;1
using;135
hide;48
body;766
pfft;1
kinda;16
perfect;123
isn;423
without;308
detected;5
rubber;35
gasket;1
sealed;17
odor;4
company;81
use;305
ads;3
late;128
never;955
worried;59
happy;151
yeah;2789
day;450
deserve;37
one;2306
wanted;502
look;1735
equipment;37
let;1209
guys;417
meet;208
him;3357
learn;74
lot;516
twenty;11
adult;29
clinton;11
run;270
through;629
students;53
long;406
tempe;73
advanced;20
colleague;13
pretty;361
offense;45
interested;57
meant;106
ho;25
burn;76
x;678
rays;112
reveal;13
density;29
parathyroid;3
hormone;10
levels;50
also;362
medical;100
condition;75
called;318
hyperparathyroidism;8
symptoms;24
include;20
muscle;33
weakness;8
brittle;32
may;260
premature;3
struggle;42
theory;66
doubt;71
want;1672
doubted;8
resulted;6
unlikely;24
however;30
unrelated;3
non;227
