Mot,Occurrence
i,7115
you,4923
a,3286
je,2985
est,2970
s,2953
the,2785
de,2747
it,2618
to,2507
t,2189
pas,2148
c,2077
on,2049
that,1968
le,1843
tu,1829
que,1731
me,1700
un,1663
il,1637
à,1603
and,1575
ça,1552
vous,1484
la,1463
what,1424
m,1379
et,1351
j,1229
of,1218
en,1204
d,1199
is,1179
ce,1173
this,1137
l,1133
we,1120
in,994
qu,913
ai,908
he,908
les,899
une,887
just,852
your,846
know,837
pour,816
for,789
not,761
re,756
right,754
all,753
as,728
my,727
do,718
ne,709
don,696
des,677
so,655
like,640
moi,639
no,634
was,622
bien,621
be,598
quoi,593
mais,591
qui,585
have,580
tout,578
are,562
n,536
about,536
te,535
but,534
y,530
here,530
can,524
up,520
got,515
get,513
out,510
si,504
there,500
dans,488
with,475
plus,443
they,435
suis,434
du,431
là,421
how,421
ll,419
toi,403
fait,399
good,399
va,398
mon,396
non,394
him,393
at,392
au,386
sais,382
if,369
walt,369
être,361
go,357
bon,356
faire,346
now,345
yeah,340
want,337
one,335
ils,330
okay,328
veux,325
se,322
était,321
going,321
sur,318
man,317
avec,312
come,310
comme,308
elle,303
dire,301
think,299
lui,298
oui,292
some,289
nous,288
why,281
look,275
mean,271
peut,271
or,270
rien,269
alors,268
ton,264
his,262
vraiment,254
an,251
ve,249
who,249
need,248
really,248
es,247
dit,246
say,244
pourquoi,241
see,241
tell,240
où,239
time,238
faut,233
would,233
well,232
did,231
let,230
back,230
way,228
son,225
ma,223
oh,219
jesse,219
votre,216
peux,213
comment,210
très,210
where,209
something,208
down,207
hank,207
ou,200
juste,199
when,198
could,196
then,196
gonna,195
take,194
quand,193
deux,192
from,192
will,191
she,189
même,186
accord,184
been,184
them,184
par,182
vais,180
us,180
more,177
our,177
fais,175
avez,172
merci,172
dis,171
yo,168
sorry,168
didn,167
had,167
cette,167
doing,165
thing,165
white,164
money,163
mec,163
sont,161
off,160
ici,159
hey,158
little,157
make,154
skyler,153
maybe,153
ta,153
were,149
guy,149
even,148
ces,148
god,146
two,146
very,144
hell,143
call,143
dollars,141
her,139
talk,139
please,136
by,136
crois,135
avoir,135
peu,134
chose,134
voir,134
autre,133
am,133
tous,133
much,133
yes,132
www,132
marie,131
trop,130
walter,130
voilà,130
ont,130
tuco,129
thank,129
any,129
allez,128
said,128
argent,128
jamais,126
temps,126
donc,124
these,124
besoin,123
toujours,122
dois,120
chez,120
pinkman,120
sure,119
truc,118
over,117
après,117
fois,116
work,116
should,115
give,114
encore,114
aussi,114
too,114
vas,114
because,113
vrai,113
talking,113
êtes,111
avait,109
air,107
vois,105
nothing,105
listen,105
big,104
house,104
parler,103
sûr,102
home,101
notre,101
car,100
anything,100
never,99
enfin,99
sang,98
better,98
mieux,97
avais,97
maintenant,97
dad,96
sa,96
veut,96
vu,96
only,96
parce,96
mr,96
fine,95
été,95
aller,94
eu,94
étais,94
sous,94
does,93
kind,93
écoute,93
part,92
actually,92
name,92
keep,92
moment,91
sans,91
day,91
avant,91
again,91
quelqu,91
last,89
saying,89
mal,88
quelque,88
problème,88
ouais,88
phone,88
cool,88
ever,88
famille,88
bad,87
place,87
has,87
police,86
désolé,86
into,86
those,86
wait,85
genre,85
mes,85
understand,84
put,84
amphéts,84
petit,84
type,83
first,83
long,82
shit,82
parle,82
déjà,82
family,81
than,81
thought,81
beaucoup,81
pense,80
leave,80
bonne,79
thinking,79
help,79
told,79
personne,79
damn,79
tyno,79
still,79
monde,79
ass,78
doesn,78
meth,78
doit,78
cancer,78
new,77
great,77
guess,76
nice,76
leur,76
came,76
gotta,76
vie,76
every,76
heisenberg,75
cause,75
other,75
business,75
laisse,75
things,74
maison,73
everything,73
their,73
around,73
cet,73
point,72
tes,72
sera,72
baby,72
enough,72
minute,71
cook,71
putain,71
week,71
toute,70
prendre,70
regarde,70
always,70
com,70
guys,69
people,69
moins,68
soit,68
old,68
grand,68
remember,68
which,68
whatever,68
before,67
papa,67
voulez,66
huh,66
nom,66
coming,66
lot,66
attends,66
depuis,66
puis,65
reste,65
next,65
plaît,65
real,65
looking,64
won,64
homme,64
find,63
super,62
trying,62
three,62
albuquerque,62
through,62
thanks,62
done,61
arrête,61
quel,61
trois,61
plan,61
best,61
aux,60
sérieux,60
feel,60
jusqu,60
tête,60
may,59
bitch,59
dude,59
bonjour,59
passé,59
whole,59
badger,59
jesus,59
arrive,58
pourrait,58
hear,58
left,58
stuff,58
head,58
try,58
semaine,57
exactly,57
deal,57
wrong,57
appelle,57
night,57
beau,57
elliott,57
working,57
combien,57
passe,57
gros,56
quelques,56
made,56
today,56
comprends,56
else,56
femme,56
père,56
chance,56
savoir,55
own,55
hein,55
another,55
ans,55
after,55
getting,55
nouveau,54
being,54
savez,54
voulais,54
anyway,54
mois,53
called,53
dû,53
viens,53
merde,53
saul,53
sait,53
trouvé,52
isn,52
ses,52
coup,52
found,52
bordel,52
believe,52
choses,51
check,51
aucun,51
brother,51
prison,51
least,51
seriously,51
assez,51
supposed,51
stop,51
pretty,50
high,50
seul,50
aider,50
vos,50
aime,50
heard,50
ask,50
passer,49
face,49
law,49
boulot,49
salut,49
care,49
already,48
might,48
aujourd,48
sell,48
dieu,48
bas,48
hui,48
nos,48
pris,48
absolutely,48
life,48
idée,48
vite,48
drug,48
both,47
schrader,47
aucune,47
years,47
job,47
maman,46
days,46
excuse,46
côté,46
faites,46
junior,46
ain,46
knows,46
start,46
frère,46
honey,46
compris,46
histoire,45
love,45
rv,45
dealer,45
morning,45
half,45
mind,45
sens,45
dead,45
wanted,45
school,45
pendant,45
someone,45
matter,45
pouvez,45
tiens,44
camping,44
écoutez,44
michvanilly,44
voiture,44
run,44
quelle,44
myself,44
same,44
sûrement,44
couple,44
eh,44
connais,44
went,44
probably,43
fric,43
rester,43
drogue,43
payer,43
fille,43
bébé,43
soir,43
pardon,43
mort,43
agent,43
trouve,43
clean,43
mom,43
mettre,43
stups,42
possible,42
raison,42
devrait,42
pay,42
happened,42
six,42
seulement,42
ah,42
heure,42
question,42
kid,42
change,42
bref,42
cas,42
travail,42
yet,42
wasn,42
jours,41
tant,41
minutes,41
end,41
message,41
petite,41
boy,41
connard,41
turn,41
lab,41
stay,41
jour,41
yourself,41
serait,41
meet,41
porte,41
el,41
sub,41
fr,40
since,40
parlé,40
autres,40
hit,40
shut,40
gretchen,40
sit,40
took,40
forom,40
exactement,39
idea,39
titres,39
plutôt,39
compte,39
months,39
news,39
sir,39
kevin,39
problem,39
dea,39
aurais,39
appeler,39
bring,39
fils,39
pourrais,39
second,39
contact,39
blue,39
gens,39
word,39
chérie,39
affaires,39
gets,39
clair,39
wife,39
pote,39
droit,38
until,38
paso,38
fini,38
dessus,38
laisser,38
entre,38
labo,38
pounds,38
prends,38
dedans,38
plein,38
mère,38
million,38
vient,38
salope,37
aurait,37
everybody,37
affaire,37
away,37
dont,37
move,37
téléphone,37
appelé,37
buy,37
ted,37
use,37
vendre,37
h,37
tard,37
hello,36
wanna,36
louis,36
hard,36
flynn,36
kilos,36
easy,36
vont,36
aimerais,36
cell,36
four,36
course,36
important,36
cul,36
ira,36
chimie,36
means,35
laissez,35
essaie,35
prie,35
demande,35
used,35
door,35
produit,35
importe,35
simple,35
main,35
kill,35
together,35
calme,35
while,35
couldn,35
asking,35
wouldn,35
souviens,35
ready,35
chemistry,34
celui,34
gone,34
emilio,34
world,34
tuer,34
show,34
pu,34
breaking,34
vieux,34
few,34
goes,34
hand,34
trouver,34
partir,34
génial,34
hours,34
story,33
tellement,33
nouvelle,33
shot,33
moitié,33
totally,33
once,33
façon,33
donné,33
says,33
saw,33
combo,32
aura,32
making,32
late,32
haven,32
attention,32
gonzo,32
seen,32
cooking,32
peur,32
gomie,32
avis,32
wants,32
without,32
venir,32
anyone,32
donne,32
chaque,32
hi,31
grave,31
regardez,31
happy,31
penses,31
having,31
prêt,31
service,31
open,31
happen,31
somebody,31
traitement,31
hold,31
danny,31
gave,31
inside,30
suite,30
beneke,30
telling,30
suppose,30
abord,30
times,30
arrêter,30
partner,30
entire,30
marché,30
live,30
skank,30
year,30
looks,30
sortir,30
dites,30
o,30
later,29
many,29
entendu,29
happens,29
désolée,29
elles,29
side,29
acheter,29
table,29
welcome,29
set,29
mother,29
product,29
definitely,29
confiance,29
husband,29
yeux,29
semaines,29
cut,29
trucs,29
makes,29
gun,29
demandé,29
route,28
jane,28
arriver,28
demain,28
presque,28
anybody,28
enfants,28
krazy,28
questions,28
con,28
holly,28
partie,28
soon,28
stupid,28
far,28
devrais,28
imagine,27
town,27
situation,27
dirait,27
état,27
sounds,27
prochaine,27
must,27
synchro,27
perdu,27
leurs,27
cash,27
mine,27
uh,27
dernière,27
journée,27
most,27
grammes,27
trust,27
feeling,27
patron,27
heures,27
buddy,27
each,27
manger,26
gars,26
dealers,26
absolument,26
seriessub,26
pot,26
pensais,26
rest,26
nobody,26
ville,26
case,26
mexique,26
avocat,26
fous,26
serious,26
ago,26
nuit,26
problèmes,26
mari,26
weeks,25
croyais,25
water,25
arrivé,25
between,25
wish,25
em,25
killed,25
intérieur,25
salamanca,25
under,25
belle,25
neuf,25
rue,25
treatment,25
continue,25
gueule,25
respect,25
selling,25
sale,25
anymore,25
straight,25
tomorrow,25
dinner,25
kids,25
fera,25
taking,25
herbe,24
yours,24
courant,24
coin,24
lycée,24
met,24
g,24
tué,24
contre,24
los,24
attendez,24
clear,24
santé,24
goodman,24
wendy,24
essayé,24
prix,24
longtemps,24
girl,24
break,24
station,24
demander,24
cousin,24
lit,24
devant,24
préparer,24
either,24
solution,24
excusez,24
certain,24
skinny,24
front,24
lost,24
près,24
parfait,24
five,24
tio,24
sort,24
room,23
donner,23
kick,23
ferais,23
autant,23
street,23
espère,23
bout,23
monsieur,23
pick,23
daughter,23
running,23
parles,23
marijuana,23
touch,23
rappelle,23
voyez,23
étaient,23
moyen,23
loin,23
such,23
close,23
essayer,23
sky,23
seeing,23
portable,23
plaisir,23
game,23
everyone,22
cours,22
parti,22
eau,22
hôpital,22
content,22
meilleur,22
pound,22
dur,22
cartel,22
reviens,22
vouloir,22
ahead,22
ailleurs,22
tomber,22
full,22
commence,22
person,22
pouvoir,22
crystal,22
waiting,22
font,22
brandon,22
outside,22
excellent,22
chacun,22
bière,22
toutes,22
positive,22
calling,22
top,22
dollar,22
flics,22
lately,22
endroit,22
chéri,22
paid,21
hommes,21
asked,21
aide,21
occupe,21
nouvelles,21
site,21
eat,21
bet,21
tight,21
attendre,21
appreciate,21
safe,21
hospital,21
facile,21
entendre,21
matin,21
changed,21
appris,21
allé,21
penser,21
marche,21
drive,21
gale,21
comprendre,21
order,21
deuxième,21
hope,21
sinon,21
eux,21
mis,21
changé,21
answer,21
tôt,20
offer,20
reason,20
dès,20
espèce,20
payé,20
watch,20
disais,20
semble,20
arrêté,20
hands,20
types,20
envie,20
fly,20
traduction,20
sound,20
laser,20
figure,20
revoir,20
missing,20
adresse,20
breys,20
birthday,20
vaut,20
lawyer,20
bouge,20
tonight,20
mot,20
volé,20
level,20
serai,20
haut,20
vérité,20
ceux,20
inquiète,20
carmen,20
almost,19
impression,19
beer,19
seule,19
speak,19
low,19
chercher,19
débile,19
comprenez,19
talked,19
bar,19
ferme,19
casse,19
doctor,19
peine,19
step,19
sérieusement,19
beautiful,19
choix,19
tried,19
seems,19
bientôt,19
tomás,19
garder,19
photos,19
ballon,19
années,19
junkie,19
occuper,19
spend,19
tirer,19
fête,19
ni,19
veulent,19
fin,19
pouvait,19
giving,19
quatre,19
apprendre,19
eyes,19
sauf,19
different,19
completely,19
meilleure,19
wake,19
hang,19
jure,19
disparu,19
fond,19
cinq,19
dernier,19
christ,19
driving,18
forget,18
client,18
allais,18
pire,18
retard,18
millions,18
luck,18
accident,18
rendre,18
normal,18
hugo,18
sense,18
words,18
bullshit,18
propre,18
finally,18
reçu,18
hot,18
trouble,18
needs,18
venu,18
exemple,18
jr,18
sign,18
grande,18
terre,18
cops,18
dérange,18
joli,18
fact,18
office,18
dr,18
complètement,18
conneries,18
number,18
manque,18
dehors,18
travailler,18
bed,18
patient,18
ur,18
garde,18
fort,18
ensemble,18
aunt,18
ait,18
month,17
hier,17
court,17
divorce,17
censé,17
connaît,17
line,17
perfect,17
montre,17
commencer,17
knock,17
fat,17
erreur,17
premier,17
secret,17
prend,17
avons,17
distributeur,17
apparemment,17
brock,17
scared,17
lose,17
able,17
play,17
awesome,17
faute,17
flingue,17
mad,17
brought,17
sympa,17
alone,17
lives,17
poisson,17
tante,17
jimmy,17
crap,17
refuse,17
faisait,17
road,17
mets,17
comes,17
knew,17
simplement,17
uncle,17
parlez,17
sac,17
walk,17
chili,17
till,17
terrible,17
santa,16
voit,16
impossible,16
truth,16
bureau,16
cela,16
boss,16
production,16
bastard,16
vol,16
card,16
started,16
worry,16
adore,16
free,16
oncle,16
bye,16
surprise,16
regarder,16
smoke,16
art,16
fe,16
parole,16
utiliser,16
early,16
crash,16
foutre,16
touche,16
learn,16
criminal,16
assure,16
carte,16
parfois,16
p,16
savais,16
glad,16
certains,16
sick,16
piece,16
glass,16
using,16
mayhew,16
sleep,16
men,16
voyons,16
mistake,16
owe,16
black,16
assurance,16
b,16
sorti,16
small,16
pareil,16
somewhere,16
niveau,16
conduire,16
faudrait,16
gas,16
bag,16
gamin,16
répondre,15
salle,15
doivent,15
assis,15
cherche,15
apparently,15
mouth,15
bought,15
congratulations,15
none,15
évidemment,15
light,15
drop,15
blood,15
double,15
gagné,15
tour,15
process,15
worked,15
vers,15
turns,15
fault,15
pull,15
derniers,15
pseudo,15
anniversaire,15
perdre,15
heads,15
takes,15
territoire,15
fasse,15
revient,15
cannot,15
bonnes,15
fallait,15
mauvais,15
clients,15
prévenir,15
pile,15
caught,15
bizarre,15
hour,15
lieu,15
revenir,15
mouche,15
death,15
wondering,15
train,15
texas,15
ice,15
though,15
total,15
ten,15
capable,15
aren,15
associés,15
vivre,15
reprendre,15
disons,15
devait,15
address,15
prépare,15
track,15
derrière,15
longer,15
write,15
ressemble,15
blanc,15
hair,15
sol,15
aurai,15
finir,14
rentrer,14
bleu,14
swear,14
anywhere,14
certainly,14
mars,14
shoot,14
taille,14
chambre,14
key,14
jouer,14
jackson,14
messieurs,14
tranquille,14
known,14
system,14
tourner,14
looked,14
fair,14
celle,14
kept,14
return,14
fugue,14
friend,14
frontière,14
venez,14
réfléchi,14
souci,14
slow,14
arme,14
enfoiré,14
wearing,14
speaking,14
crime,14
croyez,14
due,14
sitting,14
brain,14
meeting,14
against,14
prenez,14
devais,14
orange,14
vend,14
souvent,14
dépêche,14
exact,14
batch,14
ouvrir,14
