Mot,Occurrence
i,53284
you,49406
a,36862
je,34280
s,32586
the,32472
est,30348
de,26250
t,25798
pas,24774
to,24230
tu,24134
it,23960
on,19738
l,18772
que,18720
me,17952
le,17812
c,17722
la,16646
and,16644
that,16488
m,15436
ne,14762
un,14590
et,14150
of,13306
il,12922
we,12866
à,12460
what,12072
ce,11990
j,11844
ça,11264
en,11026
d,10968
vous,10756
les,10724
is,10236
this,9954
n,9844
in,9524
qu,9502
buffy,9300
une,9122
ai,9080
not,9044
re,8952
know,8236
elle,8236
don,8188
have,8074
be,8036
no,7766
just,7742
do,7670
can,7636
for,7482
she,7472
as,7398
des,7290
pour,7276
was,7270
he,6930
mais,6868
but,6792
my,6764
with,6620
ll,6504
moi,6440
are,6252
so,6126
si,6070
all,6070
like,6026
your,5946
y,5892
qui,5750
there,5426
suis,5374
te,5342
bien,5242
her,5056
get,5036
out,5030
they,4960
tout,4946
here,4928
oh,4898
non,4880
plus,4842
about,4840
être,4814
du,4572
ok,4472
think,4360
right,4296
dans,4250
if,4246
va,4240
sais,4210
well,4116
up,4112
toi,4110
avec,4092
fait,4062
go,4026
nous,3970
se,3860
faire,3812
one,3746
quoi,3708
now,3702
es,3650
peut,3592
était,3566
mon,3532
oui,3518
au,3494
ve,3480
comme,3396
yeah,3390
gonna,3380
how,3356
veux,3264
at,3072
willow,3036
got,3022
là,2988
him,2984
did,2980
rien,2964
ils,2940
good,2900
see,2806
giles,2764
something,2730
will,2704
time,2642
really,2638
or,2620
peux,2600
could,2518
let,2508
sur,2458
back,2450
chose,2450
mean,2440
need,2428
spike,2418
ma,2404
come,2400
some,2374
why,2368
thing,2362
when,2360
who,2324
didn,2316
dire,2310
were,2306
dit,2296
où,2274
more,2260
ca,2258
look,2232
quand,2228
lui,2228
us,2222
then,2156
way,2112
want,2100
from,2092
been,2088
sont,2078
where,2070
hey,2030
little,2030
ici,2028
ton,2016
xander,2000
an,1968
should,1958
pourquoi,1942
comment,1922
maybe,1922
ou,1902
angel,1890
dawn,1860
take,1834
cette,1830
say,1824
slayer,1822
même,1816
vais,1812
them,1808
très,1792
alors,1774
tell,1766
make,1766
would,1766
quelque,1762
too,1760
sorry,1750
going,1742
wanna,1730
fais,1712
had,1710
crois,1688
yes,1676
bon,1674
any,1658
faut,1656
vraiment,1644
par,1638
lt,1634
by,1628
mal,1622
help,1592
never,1586
juste,1578
ta,1542
sure,1536
son,1516
jamais,1492
voir,1490
dois,1482
tueuse,1480
much,1470
find,1464
peu,1452
love,1446
vampire,1430
temps,1430
toujours,1426
god,1416
his,1414
still,1402
avoir,1402
ont,1384
people,1376
tous,1356
guys,1354
even,1350
aussi,1350
off,1344
things,1320
has,1304
besoin,1302
avez,1296
anything,1294
our,1290
trop,1290
down,1288
monde,1284
encore,1262
été,1262
étais,1260
kill,1258
faith,1252
stop,1240
over,1232
aller,1232
big,1222
maintenant,1218
vas,1206
only,1204
feel,1200
doing,1200
very,1196
merci,1194
mes,1188
better,1188
bad,1178
autre,1170
night,1164
am,1160
said,1156
doesn,1148
doit,1148
alex,1144
tuer,1138
before,1130
into,1124
demon,1118
girl,1116
than,1116
vu,1112
guy,1108
first,1104
part,1104
vampires,1096
anya,1094
mieux,1090
because,1086
aime,1086
dis,1082
ces,1080
vie,1080
thought,1066
again,1058
avais,1054
sans,1048
avant,1044
work,1044
deux,1042
quelqu,1040
nothing,1032
isn,1032
sûr,1024
sa,1016
talk,1012
away,1008
avait,1000
everything,988
two,988
man,988
personne,974
these,968
please,962
place,962
fois,960
tes,954
démon,954
last,954
vrai,952
êtes,948
life,946
riley,942
around,940
does,938
p0,938
air,938
stuff,936
mom,926
guess,920
lot,910
dieu,910
veut,910
cool,908
votre,906
won,906
ever,898
sort,896
kind,890
always,886
give,886
keep,884
salut,882
great,878
choses,876
school,876
fine,876
soir,876
allez,864
parler,862
other,862
day,856
sunnydale,852
long,846
after,844
nice,836
wrong,834
those,834
déjà,830
gotta,824
someone,824
might,818
ses,816
world,816
tara,808
mort,806
vois,802
après,802
uh,802
through,800
previously,800
moment,796
being,794
savoir,794
notre,790
wait,790
leur,780
dead,780
plan,778
parce,774
pretty,774
désolée,772
donc,764
cos,762
fun,760
truc,754
getting,750
home,748
their,748
sera,746
new,746
aider,742
cordelia,740
fille,740
eu,738
sous,738
call,738
chez,736
oz,732
pense,728
super,728
passe,724
wasn,724
seule,722
made,720
peur,720
voulais,716
mère,708
moins,708
coming,708
autres,708
soit,706
depuis,704
beaucoup,702
sens,702
talking,700
thank,700
sang,698
accord,698
hurt,690
looking,688
friends,688
told,686
understand,686
done,684
real,678
wanted,676
happened,676
passé,672
believe,672
care,670
gens,670
put,668
aux,666
which,666
amis,662
glory,658
elles,650
actually,650
remember,650
viens,646
bonne,646
point,644
petit,640
toute,638
aurais,638
laisse,638
must,638
stay,632
pourrait,630
killed,628
try,628
devrais,626
else,624
marked,624
raison,624
every,622
arrive,622
sait,618
car,618
spell,614
enough,614
problème,612
hi,612
pouvoir,610
tête,608
hear,606
old,606
course,604
trouver,602
parle,600
evil,598
whole,590
alone,586
thanks,586
hell,584
may,580
comprends,578
démons,576
chance,574
em,574
left,574
quel,572
arrête,572
came,572
voilà,570
hard,570
reste,566
gone,566
leave,566
jour,564
fight,562
hein,562
dû,560
tonight,558
devrait,554
maman,552
ah,550
nuit,548
assez,546
regarde,544
petite,542
passer,540
important,540
knew,538
face,534
probably,534
aide,530
tant,526
wouldn,526
kinda,526
best,524
trying,524
huh,520
blood,520
serait,516
power,514
head,512
grand,512
everyone,510
show,508
trouve,506
partir,506
saw,506
thinking,504
cours,502
enfin,498
trouvé,496
together,494
idée,492
ready,492
toutes,490
die,488
deal,488
wish,486
connais,486
exactly,484
tard,484
aurait,484
boy,484
miss,480
friend,478
anyone,478
heard,478
haven,478
idea,478
summers,476
seen,476
question,472
fini,472
prendre,472
found,470
while,468
house,468
saying,466
another,466
seul,464
pu,464
désolé,464
start,462
um,458
puis,456
hé,456
partie,456
chercher,456
girls,456
lls,452
homme,450
hello,450
attends,448
ensemble,446
supposed,444
warren,444
plutôt,442
mind,442
ni,440
three,440
use,440
excuse,438
ans,438
entre,438
magic,438
lycée,436
sortir,436
nos,434
appelle,434
makes,434
yourself,432
couldn,432
check,432
ask,432
savais,430
whatever,428
genre,428
magie,426
vite,426
pendant,426
without,426
premier,426
myself,424
name,424
own,422
demons,422
coup,422
histoire,420
yet,420
change,420
until,420
different,418
arrêter,418
filles,418
used,416
cas,416
sûre,416
quelle,414
tué,412
force,410
happen,410
pensais,410
listen,408
faites,406
end,406
human,404
person,404
type,404
tellement,400
mother,398
took,396
since,396
key,396
late,394
having,394
once,392
looks,392
town,392
watch,392
went,390
hope,390
nouveau,390
attention,390
bring,388
already,388
bit,388
minute,386
mr,386
vos,386
demain,384
soon,384
trucs,384
danger,382
allons,380
aimerais,378
both,378
laisser,378
worry,378
contre,378
rester,378
jusqu,378
normal,376
vont,376
cause,376
live,374
amour,374
venir,374
few,372
most,372
ii,372
next,370
heure,370
years,370
ben,368
enfer,368
dur,368
prends,368
room,368
sois,366
crazy,366
job,366
maison,366
pourrais,364
same,364
dirait,364
envie,362
happy,362
high,358
tue,358
jonathan,358
ouais,358
matter,358
many,356
death,354
quelques,354
means,352
everybody,352
party,350
savez,350
cet,348
bonjour,348
trois,348
anyway,348
hate,346
pain,344
nom,344
mine,342
minutes,342
word,340
sûrement,340
true,340
bizarre,340
pris,340
porte,340
funny,338
secret,338
heart,338
sometimes,338
somebody,336
shouldn,336
tiens,334
knows,334
mourir,334
voulez,332
possible,332
making,330
later,330
bronze,328
called,328
aren,328
problem,328
seulement,328
french,328
corps,328
weird,326
importe,326
pardon,326
hand,326
hier,326
figure,324
compris,324
tomorrow,324
play,322
hold,322
hit,322
class,322
turn,322
aucune,320
génial,320
donne,320
essaie,318
such,318
move,318
today,318
wants,318
ville,316
trouble,316
aura,314
needs,312
working,312
parfois,312
rest,312
demande,312
open,312
run,310
fin,310
vengeance,310
gets,310
amy,308
clef,308
marche,306
longtemps,306
ami,304
celui,304
vient,304
terre,304
feeling,304
shut,302
yeux,300
body,300
sommes,298
its,298
okay,298
parlé,298
nobody,298
forget,298
vue,298
parti,296
days,296
dernière,296
meet,294
close,294
inquiète,294
least,294
simple,294
i1,294
grave,292
mettre,292
jours,290
second,290
tried,290
seem,288
though,288
eat,288
safe,288
âme,286
taking,286
ur,282
woman,282
dark,282
prête,282
mec,282
espère,282
sister,282
souviens,280
croyais,280
afraid,280
cherche,280
suppose,278
nouvelle,278
comes,278
also,278
école,278
date,276
morte,276
entendu,276
visiontext,276
compte,274
eux,274
regardez,272
sent,272
stupid,272
book,272
money,270
dance,268
either,268
kids,268
lost,268
inside,268
easy,266
tha,266
cela,266
soirée,266
quite,266
met,266
morning,266
endroit,264
free,264
esprit,264
travail,264
première,262
femme,262
wow,262
couple,262
ya,262
main,262
aimes,262
books,262
sympa,260
test,260
étaient,260
sauf,260
baby,260
boys,260
facile,260
chaque,260
bouche,258
train,258
men,258
drôle,258
sleep,258
mission,258
penses,258
surprise,256
amie,256
seems,256
aucun,256
côté,254
strong,254
forces,254
ascension,252
bientôt,252
says,252
eh,252
soul,252
serai,250
goes,250
prie,250
walk,248
imagine,248
under,248
bas,248
faute,248
rupert,248
attendre,248
commence,248
puce,248
each,248
almost,248
jouer,246
side,246
full,246
dessus,246
walsh,246
read,246
bloody,246
six,246
hands,244
killing,244
perdu,244
sense,244
year,244
père,244
combien,244
autant,242
fort,242
less,242
peine,242
trust,242
alive,242
telling,240
hui,240
aujourd,240
font,240
break,240
far,240
pire,240
croire,240
brought,240
arriver,238
hommes,238
eyes,238
presque,236
glad,236
mauvais,236
sit,236
vieux,236
droit,236
venu,236
monstre,234
ailleurs,234
essayer,234
promise,234
dont,234
adam,232
plein,232
watcher,232
heures,232
voulait,232
enfants,232
family,232
sors,230
a6,230
b,230
fault,230
lf,230
pouvez,228
fire,228
arrivé,228
anybody,228
team,228
argent,228
chérie,228
hair,228
leurs,228
fera,228
façon,226
honey,226
fête,226
ceux,226
feu,226
shall,226
gros,224
stand,224
livres,224
mot,224
mlle,224
except,224
ait,222
parles,222
suite,222
livre,222
sounds,222
parents,222
tomber,222
week,222
oublié,222
reason,220
choix,220
till,220
idiot,220
dites,220
avons,220
boulot,220
suffit,218
cut,218
coeur,218
conseil,218
confiance,218
adore,218
devant,218
harris,218
famille,218
ira,218
calme,218
ago,218
witch,216
près,216
seeing,216
unless,216
master,216
touch,214
hot,214
allais,214
buff,214
questions,214
ecoute,212
horrible,212
five,212
clear,212
battre,212
loin,212
half,210
équipe,210
against,210
surtout,210
bet,210
scared,208
hours,208
door,208
comprendre,206
instant,206
rentrer,206
game,206
chip,206
retour,206
gave,206
donné,206
demander,206
morts,204
handle,204
mis,204
ls,204
yours,204
ex,204
control,204
o,202
penser,200
powerful,200
police,200
terrible,200
journée,198
andrew,198
joyce,198
changé,198
principal,198
