Mot,Occurrence
i,29668
you,14165
a,11243
the,8852
to,8550
s,7694
de,6533
je,5993
vous,5415
est,5402
it,5381
on,5104
t,4950
un,4577
pas,4150
le,4038
que,3956
me,3951
that,3839
la,3560
and,3524
à,3506
il,3418
of,3388
tu,3328
in,3281
c,3232
m,3204
et,2928
d,2887
we,2837
is,2829
l,2723
re,2708
j,2689
les,2595
he,2568
ça,2550
this,2503
une,2482
your,2435
what,2394
pour,2347
for,2347
en,2269
ce,2114
they,2023
ai,2010
my,2004
know,1990
do,1982
qu,1971
can,1929
have,1915
ne,1896
get,1887
with,1815
don,1780
des,1736
got,1726
just,1687
be,1676
no,1651
not,1650
out,1576
there,1473
ll,1453
are,1424
if,1424
but,1423
qui,1417
n,1362
as,1354
about,1345
dans,1342
so,1326
si,1298
michael,1285
was,1284
like,1279
y,1249
ils,1235
him,1218
mais,1207
want,1207
gonna,1206
avec,1203
here,1193
all,1170
up,1170
go,1129
plus,1111
need,1081
bien,1080
moi,1053
right,1052
yeah,1032
faire,1021
sur,1015
who,985
sam,956
du,953
now,911
some,906
at,890
she,880
tout,866
think,864
suis,861
mon,856
good,850
être,847
an,843
one,831
elle,815
mike,813
well,807
se,796
how,795
te,777
va,772
oh,766
when,750
fait,750
them,748
au,736
fi,732
non,713
ve,710
back,700
là,698
time,692
guy,686
sais,679
his,678
peut,676
quoi,667
little,651
see,645
make,627
her,622
veux,621
take,611
come,604
dit,597
let,589
lui,586
or,580
from,573
où,571
tell,571
quand,566
look,559
avez,558
where,553
toi,553
okay,553
votre,552
job,549
could,546
way,539
peux,537
êtes,535
work,535
comme,528
did,527
down,521
more,514
nous,514
people,513
ont,510
off,505
call,505
son,504
going,502
man,501
sont,499
miami,496
juste,494
will,492
besoin,482
something,480
car,479
us,472
were,471
money,469
rien,468
someone,467
était,465
talk,465
ici,462
ton,454
guys,454
ma,449
avoir,443
why,442
been,435
help,432
ou,431
vais,430
chose,430
had,420
bon,419
find,417
too,412
es,409
thing,408
hey,404
then,399
dire,394
over,393
say,393
peu,393
doing,390
would,388
dois,385
said,381
temps,379
argent,375
quelqu,374
allez,374
into,369
place,367
should,365
voir,365
mom,364
give,361
lot,359
oui,358
didn,357
sure,344
ouais,340
fais,337
comment,337
any,336
friend,335
ok,333
faut,330
même,328
très,323
keep,321
pourquoi,321
really,321
mean,320
by,319
westen,319
around,316
alors,315
b,314
par,312
quelque,312
donc,311
put,309
much,306
gars,305
new,304
deux,303
anything,303
business,300
never,296
maintenant,295
bad,294
two,292
our,292
name,292
parler,291
fine,290
voiture,290
than,289
security,289
has,288
nothing,287
nate,287
doit,284
these,283
police,282
cette,281
autre,280
aller,277
quelques,276
fois,276
maybe,274
sûr,273
aussi,273
things,272
kill,272
ces,270
merci,269
talking,265
still,264
vraiment,263
fbi,263
été,263
better,262
told,259
sa,259
ami,258
encore,258
voulez,255
ta,255
jamais,255
sorry,253
enough,252
getting,250
doesn,247
other,244
tous,241
fiona,241
veut,238
might,236
even,236
boulot,235
gens,235
long,234
savoir,233
burn,233
mes,232
toujours,232
thought,232
leave,231
part,231
kind,230
nice,230
problem,227
few,227
again,227
problème,224
notice,224
avant,224
away,223
before,223
deal,222
after,222
thank,219
looking,218
personne,218
hell,217
house,217
very,217
am,216
leur,216
pense,215
used,214
faites,214
their,214
pouvez,212
family,211
only,211
those,209
vas,207
plan,206
old,205
big,205
coming,204
burned,203
mieux,203
wait,203
dis,203
vos,203
tuer,202
whatever,202
cash,200
chance,199
aux,198
prendre,198
phone,198
sans,197
cops,197
trop,197
please,194
chez,194
wanted,194
pretty,194
home,194
stay,193
mec,193
meet,193
sécurité,192
étais,191
carla,191
spy,189
nom,189
until,187
everything,186
trouver,186
because,186
every,185
crois,185
après,185
e,185
anyone,185
o,185
first,184
uh,184
through,183
aider,183
mr,183
agent,182
beaucoup,182
trying,181
great,181
h,180
bonne,180
vie,180
day,180
care,178
life,177
point,177
listen,176
voilà,176
best,175
eu,174
looks,173
type,173
moment,171
cause,171
air,171
dead,170
hard,170
move,169
stop,169
thanks,168
mère,167
won,167
passe,167
yes,167
mal,167
shoot,166
gun,166
real,163
u,162
travail,162
last,161
avais,161
information,160
together,159
does,159
done,159
maison,157
désolé,157
isn,157
vois,156
jusqu,156
use,156
ex,155
tes,155
famille,154
course,154
trust,154
