Mot,Occurrence
i,7674
you,6465
a,3808
je,3479
the,3145
s,3123
t,3121
est,2936
de,2778
to,2696
it,2579
pas,2467
that,2430
tu,2351
me,2246
on,2071
c,2059
que,1908
m,1719
un,1671
le,1621
of,1610
and,1568
ça,1536
j,1534
what,1521
et,1499
la,1492
à,1431
en,1197
l,1150
ce,1132
is,1113
my,1099
une,1081
vous,1080
in,1052
know,1049
d,1027
not,1004
ai,1002
this,940
re,913
your,902
as,902
don,887
we,887
just,883
il,878
for,876
qu,872
do,850
no,803
with,801
mais,787
pour,780
be,753
les,733
like,726
have,713
te,710
elle,709
she,703
moi,680
was,674
but,669
so,642
hank,626
si,624
about,616
bien,613
right,608
are,608
suis,602
he,600
get,591
can,589
all,588
qui,583
quoi,574
toi,568
mon,552
avec,546
up,545
out,540
des,532
ne,526
non,525
want,502
fait,494
think,480
tout,478
sais,477
dans,477
plus,475
y,466
être,462
there,462
veux,445
here,444
good,443
got,436
go,427
es,422
well,422
fucking,418
one,416
her,413
va,413
du,409
fuck,406
yeah,405
là,402
faire,386
gonna,385
ma,384
n,380
now,380
really,373
oui,365
okay,363
at,363
comme,360
était,357
oh,357
if,355
some,355
come,354
ll,345
how,343
au,340
little,334
shit,330
ve,324
did,317
ton,314
time,297
se,295
love,284
or,281
vraiment,279
why,278
sur,277
dire,277
mean,275
becca,269
who,267
peux,262
cette,261
could,260
ta,260
peut,258
putain,257
see,257
would,256
an,253
say,252
back,250
look,249
let,247
dit,239
too,238
ou,235
lui,235
man,231
way,230
something,229
fais,228
they,225
pourquoi,224
bon,223
moody,222
rien,221
runkle,211
didn,209
jamais,209
had,208
take,207
thing,207
alors,206
him,206
où,204
maybe,204
were,202
never,200
karen,199
yes,198
very,197
merde,195
been,195
merci,194
vais,190
même,190
much,190
from,190
sorry,187
quand,186
hey,185
when,185
trop,183
peu,181
comment,180
where,179
should,178
charlie,177
femme,177
nous,176
tell,176
going,175
juste,174
son,174
aussi,174
allez,173
bill,172
aime,171
his,170
will,170
because,170
make,169
off,168
très,166
crois,166
kind,165
vas,158
then,158
sure,157
more,150
god,148
need,148
doing,148
dois,147
down,146
toujours,146
guy,146
fille,145
big,143
nice,142
avoir,142
truc,142
over,141
thank,141
vie,141
am,140
fois,140
dieu,140
ici,139
par,139
girl,138
life,138
temps,137
vois,135
vrai,134
autre,134
mia,133
mes,132
dis,131
votre,131
voir,131
donc,131
daisy,130
old,130
thought,130
ok,129
new,128
give,128
us,127
ever,124
marcy,123
bonne,123
deux,123
night,122
voilà,122
sont,121
étais,121
into,120
lew,120
chose,120
accord,119
petit,118
said,118
ass,117
ils,117
them,117
sa,116
avais,115
woman,115
cause,114
père,113
does,113
baby,113
sans,113
tous,113
great,113
things,112
tes,112
work,111
anything,110
chez,110
by,110
our,110
ouais,110
parce,110
any,109
car,109
always,109
sûr,108
êtes,107
doesn,107
avez,106
arrête,103
maintenant,103
people,102
actually,102
even,102
aller,102
please,101
faut,101
feel,101
déjà,100
ces,100
désolé,99
home,98
part,98
veut,98
better,98
moment,98
aurais,97
again,97
talk,96
cool,96
still,96
mal,96
might,96
call,96
notre,95
été,95
parler,95
dad,94
other,94
bad,94
encore,93
air,93
viens,93
put,92
chérie,92
stop,92
house,91
only,90
day,90
two,88
has,88
those,88
pense,88
avant,87
quelqu,87
mec,87
vieux,87
book,87
cul,87
around,86
vu,86
than,86
together,86
wrong,86
fucked,85
made,85
rick,85
long,84
soir,84
guys,84
fine,84
super,84
talking,83
lady,83
agent,83
mieux,83
before,83
ans,82
york,82
guess,82
done,82
wanna,82
après,82
nothing,81
trying,80
first,80
place,80
lot,80
reste,79
excuse,79
thinking,78
voulais,78
regarde,77
once,77
quelque,77
devrais,77
eu,76
point,76
getting,76
daughter,75
someone,75
best,75
which,75
papa,75
question,74
yourself,74
after,74
course,73
last,73
maison,73
mère,73
aux,73
pretty,73
nuit,72
pourrait,72
hard,72
ashby,71
wanted,71
sex,71
father,71
coming,71
chelsea,70
job,70
whatever,70
another,69
springfield,69
asshole,69
arrive,69
petite,69
own,69
these,68
away,68
read,68
wait,68
happy,68
chance,68
through,68
mom,67
soit,67
toute,66
beautiful,66
genre,66
came,65
ah,65
problème,65
fun,65
ensemble,65
wife,65
besoin,65
such,65
parle,65
myself,64
sens,64
thanks,64
keep,64
amour,63
being,63
ses,63
told,63
salut,63
remember,62
honey,62
hear,62
jesus,62
quel,62
wouldn,62
miss,62
moins,62
bébé,61
envie,61
looking,61
whole,61
depuis,61
baiser,61
raison,61
homme,60
mind,60
believe,60
idea,60
grand,60
while,60
care,59
sue,59
stay,59
pardon,59
sweet,59
everything,59
end,58
passé,58
yours,58
attends,58
real,58
