Mot;Occurrence
okay;363
big;143
guy;146
you;6455
and;1560
me;1421
we;887
ve;324
never;200
done;82
this;940
before;83
but;663
desperate;3
times;38
call;95
for;875
mesures;1
my;1098
name;46
is;1112
hank;350
hello;36
i;6839
m;1156
sorry;187
sister;11
was;674
just;883
trying;80
to;2695
have;713
a;2786
little;332
chat;5
with;800
your;900
husband;15
up;541
there;461
can;585
help;44
no;794
wouldn;62
t;1794
want;499
bother;7
real;58
life;136
person;17
about;616
it;2578
be;751
in;1049
fact;34
that;2430
s;2795
why;278
here;444
the;3131
thing;206
having;40
what;1518
might;96
crisis;6
of;1606
faith;4
mean;275
put;91
simply;3
write;52
which;75
really;373
kind;165
sucks;6
because;170
supposed;36
writer;55
professional;10
one;415
at;360
seem;36
able;8
produce;5
so;642
much;190
as;238
goddamn;23
predicate;1
know;1049
apologies;4
fucked;85
again;97
apologize;13
well;422
normally;5
would;256
suggest;6
bunch;8
our;110
fathers;4
or;268
couple;32
hail;4
maries;1
don;877
think;480
gonna;385
get;588
blow;51
job;58
make;169
feel;101
any;109
better;98
from;189
something;229
tells;7
not;1004
suck;16
itself;6
re;908
nun;5
totally;56
fucking;411
hot;40
sweet;59
baby;112
jesus;62
going;175
hell;42
bad;94
dream;26
yeah;405
hard;71
say;252
drifted;1
off;168
thought;130
myself;64
nicest;2
possible;24
wake;14
mister;4
kudos;2
definitely;25
stumbled;2
upon;24
nicer;3
ways;3
nice;142
yes;198
very;197
quid;1
pro;4
quo;1
does;113
mind;60
he;596
given;15
an;248
orgasm;13
ever;124
go;424
downtown;3
toward;1
south;3
land;5
hood;1
true;46
has;88
made;85
take;206
shower;6
first;80
then;158
spent;15
minutes;21
find;52
clit;6
how;343
did;317
do;849
pretty;73
sure;157
thinks;9
bottom;8
near;9
vaginas;6
weird;27
hint;4
happen;42
gps;1
stored;1
ass;117
yours;58
on;891
found;20
fuck;406
maybe;204
should;176
hide;3
under;17
d;219
heather;1
whose;12
piece;24
shit;328
all;585
need;146
pants;18
anywhere;16
are;608
these;68
those;88
where;179
motherfucker;34
gotta;52
kidding;29
like;726
years;50
bro;4
yo;6
kfed;1
man;228
boat;2
right;608
let;247
him;205
guys;84
work;111
out;540
dead;15
californication;26
1x01;1
ladies;37
daddy;25
new;88
look;247
dad;94
mentally;3
insane;11
extremly;1
high;27
functioning;2
special;17
needs;18
works;20
mcdonald;1
exactly;53
late;48
wearing;8
invite;7
two;88
join;9
come;350
restaurant;2
sounds;44
tempting;4
got;433
plans;10
must;46
date;42
night;121
mom;67
peanut;3
enjoy;18
time;297
kiss;31
classy;8
funny;39
coming;71
who;267
won;52
round;8
wether;1
win;9
lose;13
play;32
game;23
looks;41
fun;62
her;410
laugh;12
inside;24
yellow;2
submarine;1
pirates;2
johnny;5
depp;3
concur;2
rather;21
expand;1
cinematic;1
horizons;1
pick;25
film;6
based;6
litterature;1
theme;3
park;4
ride;21
try;49
room;42
sushi;4
takeout;1
house;88
chow;2
chinese;5
father;71
daughter;75
ask;48
anything;109
love;281
naked;17
lady;82
bedroom;21
wait;68
hair;22
vagina;22
she;698
ll;342
check;36
doing;148
hi;34
surprise;11
surprised;13
cooling;1
things;112
bit;53
excuse;50
either;31
way;212
easy;23
god;147
amazing;9
talking;83
into;120
sack;12
now;380
exacted;1
revenge;5
please;101
wasn;48
least;29
satisfying;3
wife;65
turned;10
precious;9
book;87
shitty;16
movie;41
other;93
shut;49
by;110
truth;20
than;86
only;86
cadaverous;1
lay;12
also;20
taste;11
movies;12
thank;141
cheers;6
girlfriend;8
wish;28
could;260
us;127
stuff;56
together;86
honey;62
yell;3
shrivels;2
testies;1
twelve;1
old;129
finds;3
slut;8
still;95
feeling;27
cute;16
mentioned;3
huh;39
jealous;10
lucky;17
away;68
custody;2
bill;87
tried;26
convince;1
legal;3
advice;11
boyfriend;24
start;43
started;22
when;185
cheated;9
universe;7
someone;74
married;52
somebody;28
else;53
cheating;10
were;202
actually;102
bullshit;35
technicality;1
asked;20
wanna;82
didn;209
herd;2
dug;4
imagine;11
disappointment;1
biggest;8
cliché;4
sitting;8
googling;1
yourself;74
saw;26
google;1
isn;52
dictionary;1
will;169
differ;2
even;102
touch;29
each;35
until;16
buried;2
throw;21
sticking;5
dick;47
moves;3
back;248
fine;82
worst;11
writing;41
