Mot,Occurrence
i,3429
you,1963
the,1423
a,1400
s,1266
to,1200
it,1061
je,1060
est,1053
de,980
t,904
that,820
on,808
pas,780
c,701
and,693
le,678
tu,653
un,618
vous,600
la,587
of,585
me,572
que,545
à,529
l,526
m,517
et,507
what,494
is,486
il,481
this,464
we,463
ça,462
in,449
j,430
les,412
know,381
ce,366
elle,365
zoe,364
en,362
d,348
re,341
my,340
she,339
une,337
qu,330
ai,321
for,321
can,317
your,316
have,311
was,310
ne,306
not,302
all,300
but,291
just,289
no,288
be,280
don,275
pour,273
do,269
are,266
mais,265
her,255
there,230
they,230
like,228
dans,222
so,221
y,219
he,218
moi,214
here,213
des,211
right,210
graystone,208
du,205
n,205
as,204
si,201
if,201
with,200
out,193
about,184
qui,171
get,171
était,170
suis,170
tout,169
bien,169
quoi,167
go,163
nous,160
think,155
now,154
okay,154
sur,149
up,146
plus,145
gonna,144
ll,144
sais,144
te,142
au,141
one,140
ils,139
va,138
fait,138
want,136
at,135
how,131
là,130
ma,130
mon,130
ve,126
être,120
did,119
need,116
comme,115
come,114
let,113
him,113
well,113
caprica,112
es,111
fille,111
got,111
toi,109
tauron,108
avec,108
sorry,106
really,106
peut,106
an,106
avatar,105
faire,105
going,105
see,105
votre,104
who,103
daughter,102
back,102
take,101
son,100
been,99
look,99
from,99
yeah,95
time,93
some,93
ici,92
lacy,92
could,92
vergis,91
daniel,90
tamara,90
us,89
veux,89
were,88
why,88
dit,88
something,88
avez,87
good,86
robot,86
peux,86
gemenon,86
rien,85
will,85
way,85
vraiment,84
ton,82
cette,82
would,82
monde,81
world,80
lui,80
our,79
sont,79
make,77
or,77
his,76
se,75
say,74
real,74
pourquoi,74
tell,73
thing,72
hey,72
off,72
comment,71
find,71
maybe,71
dieu,70
help,70
non,70
where,69
peu,67
much,67
when,67
more,67
life,66
merci,66
où,66
oh,65
sure,65
v,64
didn,64
dois,64
then,62
jamais,62
ben,62
only,62
sa,62
thank,62
yes,62
voir,61
into,61
please,60
very,60
people,60
bon,60
mean,59
très,59
vas,59
chose,59
quand,58
god,58
them,58
ont,58
too,58
doing,58
work,57
again,57
should,57
even,56
même,56
oui,56
doit,56
aussi,55
holoband,55
by,55
dr,55
dire,54
home,54
had,54
because,54
thought,54
vie,54
fais,53
allez,53
little,53
has,52
aller,52
besoin,52
said,52
gods,52
notre,52
isn,51
encore,51
game,50
mort,50
sûr,49
anything,49
ta,49
crois,49
amanda,48
train,48
knew,48
ces,47
still,47
never,47
clarice,47
down,47
before,47
feel,46
mes,45
par,45
faut,45
any,45
joseph,45
désolé,44
remember,44
ses,44
deux,44
doesn,44
dead,44
put,43
vais,43
trop,43
avait,43
avoir,43
school,43
jeu,42
listen,42
long,42
daddy,42
place,42
am,41
frak,41
new,41
papa,41
trouver,40
won,40
ou,40
cause,40
réel,40
dieux,39
mal,39
these,39
temps,39
away,39
cubits,39
virtual,39
wrong,39
chez,39
might,38
things,38
day,38
êtes,38
tous,38
chance,37
autre,37
room,37
talk,37
avais,37
everything,37
after,36
than,36
vrai,36
first,36
call,36
over,36
nothing,36
été,36
ever,36
kind,36
getting,36
two,35
actually,35
adama,35
alors,35
saw,35
willie,35
sera,35
déjà,34
morte,34
trying,34
man,34
girl,34
someone,34
avant,34
duram,34
toujours,34
question,33
gone,33
those,33
vu,33
aider,33
après,33
quelque,33
better,33
give,33
true,32
soit,32
juste,32
attentat,32
étais,32
uh,32
sister,32
guatrau,32
tes,32
talking,32
made,32
knows,32
bombing,31
guess,31
city,31
through,31
sam,31
accord,31
sans,31
aime,31
club,31
kill,31
gens,31
aux,30
name,30
parler,30
savoir,30
agent,30
believe,30
dû,30
unique,30
désolée,30
sir,29
pmc,29
done,29
told,29
last,29
école,29
stop,29
wait,29
autres,29
body,29
lost,29
great,29
depuis,29
around,29
bring,28
reste,28
adams,28
hear,28
yourself,28
code,28
aide,28
company,28
part,28
sait,28
mcp,28
vos,28
important,28
sarno,28
maintenant,28
serge,28
other,28
happened,28
love,28
own,27
père,27
message,27
family,27
mieux,27
quelqu,27
always,27
point,27
