Mot;Occurrence
lords;9
of;11
kobol;9
before;9
the;11
fall;9
pour;272
la;575
fabrique;6
http;7
www;8
sous;20
titres;8
eu;18
ans;26
avant;34
chute;8
allez;53
elle;365
est;1053
là;130
juste;32
devant;13
en;362
bas;18
c;692
pas;780
leur;23
faute;5
tu;653
sais;144
ils;139
savent;3
ce;366
qu;330
font;4
il;481
faut;45
on;473
traîne;3
ça;462
y;219
s;121
lassent;2
jamais;62
vraiment;84
malsain;6
t;211
fais;53
va;138
changer;8
et;507
nous;160
aider;33
vas;59
à;528
mort;50
bordel;7
était;170
quoi;167
un;618
crash;2
a;434
dû;30
flipper;3
revenir;10
version;4
précédente;2
encore;51
ton;80
niveau;4
j;429
ai;321
foi;3
toi;109
sera;35
parfaite;7
vu;33
que;545
l;525
es;111
graystone;98
étonnant;2
te;142
faire;105
foutre;4
caston;2
raté;5
du;205
sang;20
des;211
tripes;2
je;1060
suis;170
parti;5
après;33
allée;7
voir;61
sa;62
disparition;3
ces;47
cons;2
ont;58
confisqué;2
mon;130
holoband;28
irai;5
de;973
maison;22
part;12
gemenon;42
demain;16
largement;4
le;678
temps;39
mais;265
plus;143
dieu;70
unique;27
omniscient;8
omnipotent;8
ainsi;17
soit;32
out;3
dehors;8
allume;5
les;412
détecteurs;4
tout;169
fait;138
tricheuse;6
serge;11
plaît;17
arbitrage;2
automatique;5
i;884
bien;169
sûr;49
amanda;19
enfant;6
avec;108
moi;214
meilleure;7
pardon;16
désolé;44
entendu;8
si;201
dieux;39
savaient;9
quel;18
gamin;8
excusez;10
daniel;29
message;15
urgent;3
académie;7
vous;600
attend;4
propos;4
zoe;153
reparti;2
attends;24
d;263
savoir;30
sait;28
même;56
agit;7
école;29
sèches;2
calme;14
provoques;2
consignez;2
dit;88
trouves;2
drôle;3
aimer;3
suite;12
ni;16
voiture;17
téléphone;5
privée;3
sortie;8
pendant;14
mois;14
allons;11
une;337
longue;5
journée;11
z;2
bâtiment;4
souviens;21
désolée;30
papa;41
peux;86
aller;52
punie;2
exception;2
inaugure;2
nom;26
excitant;4
nouvelle;10
aile;2
fac;2
info;2
université;2
apollo;3
porte;19
parce;23
donné;10
milliard;4
aux;30
anciens;2
élèves;2
ne;306
trop;43
loin;4
votre;104
science;2
me;159
dégoûte;2
paie;3
toit;2
qui;171
abrite;2
suffit;8
as;117
beaucoup;16
chance;18
désirer;2
plaindre;2
ta;48
famille;18
ignores;3
signifie;7
travailler;4
dur;13
quelque;33
chose;59
tombe;4
cuit;3
dans;222
bec;3
épouserai;2
homme;18
riche;3
regretteras;2
toute;22
vie;54
comment;69
pu;22
voulais;11
bon;60
quand;58
sorti;4
couteau;2
peuvent;7
trouver;40
regarder;7
marrant;3
sont;79
état;7
second;2
facile;4
vus;4
faisaient;2
adoraient;2
dirait;13
demande;8
pourquoi;74
maintenant;28
assurer;3
recommencera;2
pensais;15
protocole;4
sécurité;11
collait;2
non;67
n;205
retourne;4
auras;3
inquiéter;4
traumatisée;2
savais;24
réel;40
rien;85
ici;92
façon;8
dont;14
gens;31
regardaient;2
se;75
passait;2
rendait;2
forts;2
retourneras;2
comme;115
extérieur;2
pareils;2
certains;11
contribuer;2
croyais;10
devait;5
voyager;2
léger;4
passeports;2
arrives;4
quelle;6
heure;14
vers;12
19h;4
dis;26
toujours;34
arriverai;2
sans;31
doute;6
peu;67
fête;6
h;8
retard;9
son;84
anniversaire;2
veux;89
willie;12
traumatisé;2
accord;31
mère;21
vais;43
au;141
tribunal;4
devrais;22
avoir;43
fini;9
mieux;27
inadmissible;4
promets;4
seras;5
promis;20
très;59
honneur;7
jure;6
repasse;2
monter;2
lev;8
entends;6
soir;18
chérie;14
truc;21
dire;54
merde;20
dépêche;4
lace;7
lacy;32
accueillera;3
sur;149
caprica;54
aura;10
reculerait;2
dira;7
ait;6
décollé;2
importe;13
tendu;2
vois;23
type;4
petit;18
con;4
vient;17
sent;5
tauron;43
dès;5
entrent;2
mangent;2
terre;9
partie;23
espère;8
oui;56
frappé;2
couilles;4
tamara;41
osé;2
méritait;2
pire;7
regrette;8
maman;10
pardonne;5
rester;14
jusqu;22
ben;29
zo;5
volonté;4
vrai;36
chassera;2
autres;29
deux;44
semaines;5
tard;16
cette;82
tragédie;4
insensée;2
sachiez;2
gouvernement;7
prend;11
terrorisme;4
sérieux;5
enquête;5
continuera;3
justice;5
faite;3
agent;16
duram;15
merci;66
m;176
maire;2
premier;9
ministre;25
saisis;2
occasion;2
transmettre;2
condoléances;2
