Mot;Occurrence
lords;4
of;574
kobol;3
before;38
the;1412
fall;6
http;3
www;12
sous;3
titres;3
eu;3
come;114
on;335
is;485
she;339
there;229
right;210
down;47
in;447
front;9
it;1061
s;1145
not;302
their;24
fault;3
you;1963
know;380
they;230
just;289
don;271
t;693
what;494
re;341
doing;58
we;463
should;57
leave;14
get;171
caught;4
happening;8
ever;36
tired;4
this;464
so;221
sick;9
worry;12
will;83
all;300
change;19
and;692
gonna;144
help;70
do;269
kill;31
damn;4
happened;28
derezzed;2
flipped;2
out;190
or;77
something;88
must;24
ve;126
defaulted;2
back;102
to;1199
last;29
copy;24
i;2545
guess;31
as;87
strong;5
yet;14
have;311
faith;3
ll;144
be;280
perfect;11
cause;28
graystone;110
a;966
surprise;6
go;163
frak;41
yourself;28
caston;2
are;266
okay;154
anything;49
happen;9
after;36
left;15
some;93
more;67
blood;15
guts;2
logged;2
off;72
few;20
minutes;8
did;119
check;8
our;79
girl;34
disappeared;3
frakkers;2
confiscated;2
my;340
holoband;27
can;317
access;9
her;255
from;99
home;54
splitting;2
for;321
gemenon;44
tomorrow;13
plenty;3
time;92
tweakage;2
but;282
zoe;211
no;288
buts;2
one;140
true;32
god;58
knows;32
directs;3
us;89
say;74
was;310
need;116
turn;11
sensors;4
that;820
exactly;17
serge;17
activate;2
line;9
please;60
auto;2
umpire;2
course;13
amanda;29
miss;24
cheater;7
honey;3
immature;2
me;413
m;341
better;33
than;36
sorry;106
hear;28
gods;52
if;201
only;62
worlds;13
knew;48
baby;20
excuse;16
daniel;61
an;104
urgent;2
message;12
athenian;4
academy;7
regarding;2
here;213
again;57
let;113
prejudge;2
even;56
dealing;2
with;200
holobands;11
at;135
school;43
cutting;6
class;3
defiance;2
take;101
deep;6
breath;4
lock;2
up;146
now;154
think;155
funny;7
maybe;71
car;20
privileges;2
phone;16
grounded;4
month;11
got;111
big;25
day;38
z;2
your;315
building;9
remember;44
daddy;42
see;105
going;105
make;77
exception;2
every;19
named;6
excited;5
about;184
having;10
name;30
side;12
new;31
computer;24
science;6
wing;2
apollo;2
university;2
donated;3
billion;5
cubits;22
alumni;2
fund;2
thin;3
ice;4
already;18
like;228
want;136
associated;3
filthy;2
dirty;5
put;43
roof;2
over;36
head;10
young;10
lady;4
enough;15
lucky;8
everything;37
could;92
possibly;5
complain;2
family;27
idea;24
means;12
build;5
work;57
hard;24
been;99
handed;5
learn;5
how;131
marry;3
into;61
money;16
regret;3
rest;13
life;66
believe;30
didn;64
mean;59
worries;4
couldn;21
when;67
he;218
pulled;4
knife;2
started;17
relax;10
why;88
watching;12
fun;8
because;54
asleep;3
too;58
easy;12
answer;16
saw;35
faces;6
definitely;5
were;88
loved;11
sound;11
gee;3
wonder;11
sure;65
derez;2
thought;54
d;85
solved;3
fail;1
safe;9
protocol;6
clearly;3
won;40
really;106
wasn;25
real;74
nothing;36
way;85
people;60
drew;4
strength;5
outside;10
bring;28
whole;16
travel;4
light;10
passports;2
checking;2
eta;2
tonight;16
thinking;13
always;27
shouldn;8
much;67
later;19
party;4
starts;2
hi;18
dad;24
late;10
his;76
birthday;2
wanna;5
willie;23
therapy;4
told;29
