Mot,Occurrence
i,44732
you,38730
a,23976
the,23508
s,22755
je,22301
to,22264
t,19813
est,19710
pas,18108
de,17714
it,17175
tu,15218
on,14921
that,14186
que,13450
le,13403
ne,12406
me,12119
we,12062
what,11153
il,11145
and,11045
vous,10724
la,10475
c,10460
m,9519
à,9238
un,9102
of,9024
ce,8953
et,8925
ça,8367
is,8241
n,7791
les,7405
know,7379
l,7356
en,7328
qu,7154
don,7067
d,6965
not,6852
j,6836
this,6754
have,6726
re,6558
just,6540
can,6493
no,6389
do,6332
he,6284
in,6228
pour,6131
be,5825
for,5764
ai,5649
une,5629
are,5303
but,5261
your,5077
as,5042
okay,5011
so,4985
all,4968
my,4874
mais,4831
phoebe,4609
was,4520
well,4463
des,4431
si,4415
qui,4402
elle,4371
non,4253
nous,4223
get,4202
piper,4174
she,4171
right,4117
with,4073
moi,4013
they,3970
if,3928
here,3919
yeah,3872
about,3814
out,3787
bien,3765
him,3680
y,3680
oh,3659
ll,3539
think,3498
her,3437
how,3361
go,3338
être,3308
te,3283
tout,3257
there,3256
plus,3218
va,3188
suis,3157
now,3090
oui,3034
gonna,2998
like,2928
why,2777
did,2766
fait,2756
sais,2751
us,2724
peut,2707
up,2626
du,2622
one,2621
prue,2588
dans,2542
ve,2521
toi,2506
quoi,2487
paige,2480
se,2429
faire,2425
back,2393
au,2378
at,2343
them,2307
who,2270
time,2258
avec,2252
mon,2235
good,2230
était,2173
ils,2122
need,2112
mean,2078
come,2074
comment,2062
see,2046
really,2033
let,2021
veux,2020
es,2018
rien,1980
leo,1978
où,1967
want,1946
pourquoi,1915
peux,1913
là,1912
got,1878
from,1874
didn,1854
ici,1850
lui,1848
where,1794
will,1773
look,1772
could,1724
comme,1701
or,1692
maybe,1670
because,1661
too,1650
our,1649
help,1647
would,1627
léo,1606
find,1596
something,1591
were,1591
been,1590
then,1574
cole,1533
hey,1518
ma,1517
sur,1517
way,1517
dire,1483
when,1479
sont,1473
little,1470
going,1460
dit,1457
an,1432
demon,1424
faut,1419
should,1411
tell,1402
his,1379
take,1366
ton,1353
son,1353
more,1348
démon,1332
sorry,1313
fais,1280
doing,1270
avez,1268
bon,1266
wait,1265
chose,1264
très,1261
only,1251
quand,1231
vais,1230
alors,1219
temps,1210
some,1186
aussi,1186
still,1184
ou,1175
crois,1167
cette,1162
votre,1148
dois,1146
had,1144
sure,1139
by,1135
voir,1132
am,1131
make,1127
wyatt,1123
pouvoir,1113
say,1110
never,1098
ont,1096
any,1082
power,1081
elles,1075
vraiment,1071
thing,1069
before,1066
merci,1065
mal,1064
avoir,1060
êtes,1053
par,1042
pouvoirs,1038
même,1033
powers,1027
after,1016
doit,1003
even,998
doesn,989
besoin,987
love,986
anything,982
has,979
avant,951
ta,947
accord,940
again,938
peu,934
jamais,931
work,929
wanna,929
encore,923
yes,912
quelque,910
notre,907
over,900
maintenant,895
autre,894
mes,885
guys,880
vie,877
said,876
nothing,871
sans,863
spell,860
talk,852
vu,852
down,852
kill,843
please,840
été,839
gotta,838
very,835
aller,832
much,831
toujours,828
juste,826
happened,824
life,823
potion,815
sa,812
vas,810
démons,804
better,803
sort,803
into,800
actually,800
keep,799
magic,792
than,789
great,787
veut,783
aider,782
trop,779
won,778
stop,773
call,771
witch,769
off,761
ces,750
everything,750
evil,748
long,748
thought,742
first,739
believe,733
god,722
give,721
allez,720
deux,716
away,709
kind,708
bad,708
tous,700
trying,699
demons,697
passé,695
which,694
leur,691
magie,688
hi,688
does,687
tes,684
trouver,683
déjà,678
tuer,674
other,672
their,671
halliwell,671
book,669
trois,665
étais,664
thank,663
two,663
chance,662
home,658
sûr,652
fois,650
fine,649
last,649
chris,644
isn,641
try,640
après,636
passe,636
parler,630
