Mot;Occurrence
je;19475
ne;11038
savais;196
pas;16107
que;11900
tu;13323
étais;581
là;1690
ça;7360
va;2808
désolée;552
oui;2671
un;8005
peu;844
nerveuse;29
non;3776
eh;192
bien;3329
d;5635
autant;139
qu;6311
on;11213
sait;505
triade;107
est;17310
responsable;46
des;3838
meurtres;18
inutile;61
expliquer;108
mais;4351
de;15655
chauffage;9
serait;303
sympa;64
gèle;3
dedans;68
as;3633
payé;15
la;9140
note;33
gaz;8
croyais;190
t;10524
occupais;6
du;2262
moi;3534
c;9192
le;11892
club;218
toi;2228
maison;341
te;2846
souviens;161
quand;1074
j;5846
ai;4850
repris;11
fac;20
vrai;453
appelle;279
compagnie;24
à;8242
première;81
heure;201
tant;360
hâte;25
piper;2808
revienne;25
si;3958
elle;3768
fait;2445
mon;1934
fax;8
quoi;2216
et;7809
revient;46
a;15321
disparu;109
avec;1961
léo;1531
était;1878
pour;5453
bon;1120
ridicule;83
ce;7943
n;6948
réfléchis;36
s;12238
manifestée;2
depuis;435
mois;101
son;1057
genre;169
ecoute;87
nous;3825
lâcher;12
notre;810
soeur;190
plus;2830
ange;128
gardien;54
alors;1096
pourquoi;1678
silence;17
forcément;44
se;2170
souci;50
aussi;1024
moins;497
pouvoirs;868
deux;628
pendant;170
balade;3
sur;1291
les;6598
nuages;7
comme;1520
andouilles;1
attendre;178
chance;461
avoir;903
été;733
attaquées;20
rien;1740
voir;963
projet;15
ignore;188
justement;43
où;1732
diable;33
passée;60
intérêt;75
livre;521
prue;2159
suffit;152
fichues;13
sans;780
sais;2431
es;1778
inquiète;199
suis;2728
avais;529
raison;504
revoyait;1
jamais;801
parce;566
veut;691
revenir;157
cause;209
eux;213
trop;696
souvent;72
enfreint;3
règles;64
qui;3915
2h;1
mat;3
doute;112
darryl;274
allô;92
reçu;44
allais;92
attends;459
y;3196
il;9847
pense;387
repéré;10
tueur;44
croit;50
lié;36
démon;1259
base;28
laisse;330
signe;84
démoniaque;83
front;64
ses;518
victimes;52
triangle;4
inversé;9
lui;1618
échappe;16
toujours;731
par;925
magie;662
dirait;155
une;4863
rune;8
l;7228
vue;123
quelque;791
part;398
rave;9
avis;98
filer;36
m;5652
encore;809
vers;73
sortie;47
gardiens;41
voilà;334
ouverture;7
laquelle;44
démons;771
emparent;3
âme;126
innocente;43
reste;347
loin;115
en;6528
tue;149
autre;801
question;384
écoute;248
ces;662
protègent;9
tueurs;17
échange;40
peux;1659
arrêter;281
me;7338
débrouiller;13
rappelle;81
passé;621
dans;2166
trois;565
minutes;139
sauve;52
parlais;46
