Mot,Occurrence
i,25208
a,14691
you,13619
t,12417
s,12120
the,8756
e,8575
to,7854
je,7144
o,7118
est,6687
n,6359
de,6298
m,6131
c,5920
l,5755
it,5266
d,5004
on,4828
that,4824
pas,4596
tu,4427
h,4391
me,4273
le,4247
r,4069
que,3967
and,3932
chuck,3810
y,3789
un,3729
la,3593
what,3507
is,3461
of,3334
we,3264
u,3163
vous,3161
à,3159
in,2910
il,2867
et,2806
no,2799
this,2679
j,2624
ce,2542
know,2471
my,2373
en,2350
ça,2345
re,2299
ne,2204
for,2084
do,2063
your,2049
have,2040
une,2032
w,2026
just,2017
pour,1976
g,1917
he,1916
ai,1903
qu,1895
are,1851
not,1841
les,1817
can,1810
don,1810
be,1806
oh,1665
okay,1661
as,1577
so,1554
here,1507
yeah,1498
with,1462
k,1448
moi,1442
was,1408
right,1400
but,1358
sarah,1354
b,1351
bien,1339
about,1335
uh,1314
suis,1303
get,1296
f,1267
all,1253
hey,1225
des,1223
like,1196
out,1192
qui,1189
casey,1173
si,1149
mais,1147
there,1146
go,1144
if,1137
dans,1137
mon,1137
going,1124
well,1103
got,1085
non,1075
p,1065
morgan,1048
te,1040
now,1033
ll,1029
tout,1028
up,1027
quoi,996
nous,976
him,971
avec,968
du,964
good,943
they,928
at,928
she,924
think,924
how,919
more,916
être,911
plus,908
fait,894
one,889
au,883
va,878
sais,872
toi,872
elle,870
want,867
faire,855
ve,823
really,819
sur,759
who,758
bartowski,757
did,756
es,739
v,723
an,720
need,712
là,684
agent,682
her,672
let,669
why,666
come,659
oui,656
se,649
look,635
sorry,634
intersect,632
ma,631
ils,630
back,623
peux,609
or,608
était,606
time,601
where,600
comme,598
would,598
man,590
see,589
ellie,586
peut,584
wait,583
us,580
dire,576
veux,570
buy,569
ton,564
mission,555
take,554
been,554
où,553
tell,553
our,546
gonna,543
his,543
some,535
lui,535
could,533
guy,528
vais,524
from,523
vraiment,511
will,506
mean,504
say,499
something,491
little,491
pourquoi,482
work,479
were,452
ici,452
merci,447
cia,446
guys,440
way,439
son,438
bon,436
juste,432
please,428
fais,427
comment,426
sont,426
then,425
yes,422
when,420
bryce,415
votre,414
very,408
rien,408
thank,408
walker,406
big,405
ou,401
has,400
down,397
thing,392
didn,390
too,389
très,388
help,386
over,385
chose,383
them,383
dit,381
had,380
by,378
two,373
am,373
sure,372
shaw,372
talk,371
même,368
off,368
fulcrum,367
avez,362
doing,361
life,361
dois,359
never,359
spy,359
make,355
cette,354
should,353
ta,350
god,346
great,345
par,343
désolé,341
peu,340
vie,340
maybe,340
avoir,335
quand,331
allez,330
um,329
jeff,326
alors,326
ok,321
kind,319
besoin,318
fine,309
night,308
jamais,305
call,301
êtes,299
give,299
maintenant,299
into,295
anything,295
notre,292
last,291
doit,291
listen,288
any,287
only,287
job,287
love,287
everything,286
first,284
devon,282
people,281
donc,279
temps,278
été,277
find,276
quelque,276
real,272
mec,271
because,270
sûr,269
buddy,269
voir,268
huh,267
nothing,267
jill,266
new,265
toujours,264
aussi,264
thought,262
charles,261
ont,257
still,256
font,255
actually,254
trop,253
ces,249
vas,249
super,246
soir,245
deux,243
car,242
tous,241
parler,241
much,241
kill,240
mes,240
thanks,238
these,237
before,236
believe,235
aller,235
vrai,235
pense,233
team,233
general,232
even,231
espion,228
accord,228
ever,226
sa,226
dude,226
ring,225
ouais,225
x,224
anna,224
moment,222
hi,220
john,220
veut,219
autre,219
sans,219
mike,219
does,218
avant,217
said,216
na,216
again,215
put,214
day,213
monde,212
étais,211
faut,210
friend,209
