Mot;Occurrence
i;3831
b;152
version;35
française;26
subbers;72
in;75
black;78
transcript;26
ragbear;11
com;43
traduction;13
adaptation;12
baptiste;19
lolo1410;10
gozav;9
et;2806
sido;1
blog;5
http;26
blogspot;8
forum;14
xooit;17
fr;26
c;3857
est;6686
pas;4593
une;2032
bonne;207
idée;131
on;2626
peut;584
rester;78
ici;452
je;7144
le;4245
sens;80
ce;2542
plan;83
quel;146
de;6273
la;3554
survie;5
elle;869
a;2429
été;277
découverts;1
suis;1303
invisible;3
tu;4427
peux;609
me;1133
laisser;95
tomber;39
faire;855
ça;2345
mec;271
qu;1895
que;3965
bricoles;1
mon;1137
évasion;3
ton;563
propre;40
anniversaire;15
es;738
ma;577
gnifique;1
sais;872
frangine;14
truc;154
morgan;350
moi;1442
n;1383
l;2816
impression;26
bien;1338
s;765
intégrer;7
à;3157
fête;68
parce;151
ne;2203
connait;13
personne;178
il;2866
y;1080
des;1223
amis;105
toi;872
se;646
trouve;62
ils;630
sont;426
tous;241
médecins;15
qui;1189
captent;1
vraiment;511
nos;126
blagues;8
enfin;96
tes;151
ok;318
mes;240
j;2429
ai;1901
invité;21
femmes;38
en;2344
chair;6
os;8
pour;1974
alors;326
t;1456
prie;61
avant;217
restes;22
besoin;318
d;2001
un;3725
coup;104
main;42
pote;127
non;1064
bon;433
va;878
monsieur;103
viens;169
avec;968
soyons;6
sociables;1
maintenant;299
drôle;22
intelligent;11
beau;63
merci;443
voilà;164
capitaine;30
génial;128
appelle;99
comme;598
repéré;4
quelques;115
candidates;1
chuck;1265
elles;40
géniales;1
vous;3160
présente;46
frère;81
ellie;185
salut;148
tellement;57
entendu;75
parler;241
déguisé;3
travaille;80
au;878
nerd;45
herd;36
oh;264
trop;253
mignon;22
veux;570
dans;1136
vie;340
fignoler;1
quinquennnal;1
reste;151
choisir;15
police;26
caractères;1
arrivé;55
fait;894
mal;165
sur;759
call;9
of;14
duty;9
manette;1
donne;85
irritations;1
bout;23
plusieurs;16
heures;61
dit;379
avais;174
stanford;63
techniquement;19
exact;24
eu;196
licence;1
quelle;64
était;606
ta;343
matière;2
principale;7
ingénierie;2
dieu;182
connaissais;3
ingénieur;7
faisait;27
athlétisme;1
crois;206
gymnastique;1
aussi;264
bryce;165
larkin;53
collocataire;1
devient;22
comptable;2
dur;57
dire;576
revoir;62
faille;3
sécurité;105
base;48
données;44
as;979
petite;84
amie;37
moment;173
quand;330
étais;211
standford;4
appelait;7
jill;106
rencontrés;7
première;61
année;29
temps;278
souviens;48
rencontré;17
cours;33
économie;2
traversais;1
cour;10
avait;157
son;375
sac;19
m;1138
empressé;1
aller;235
ramasser;3
habituel;3
arrive;131
les;1810
films;11
deux;243
personnes;24
percutent;1
toute;116
bande;18
commun;12
époque;9
comment;423
sort;22
train;77
du;964
retour;44
imagine;27
trouvait;3
plus;887
attirant;3
chambre;88
forte;24
ouvre;27
porte;85
ordinateur;84
intersect;299
compromis;9
fais;427
sauter;19
partir;112
renforts;6
geste;6
arrête;88
tout;1028
suite;70
couvrez;2
doite;1
toit;11
toutes;68
unités;2
regroupent;2
répète;9
bouge;68
tard;94
sauce;15
aux;139
saveurs;3
celle;37
te;1040
confidence;1
même;368
si;1148
demande;66
aucune;65
femme;124
veut;219
entendre;36
ex;45
déprimant;1
accord;228
ans;100
dois;359
doit;291
avoir;335
cette;354
conversation;13
nouveau;107
assez;106
répétée;1
remettrai;1
demain;93
dirait;71
monde;212
passé;137
hein;122
oui;652
cas;92
allez;330
parlé;54
filles;37
début;16
signe;15
souvenu;1
quoi;996
virer;31
école;13
volé;43
copine;58
rappelles;7
pense;233
souvenir;11
nous;976
avons;109
là;684
effrayant;9
troll;4
brandit;1
épée;5
zork;6
vieux;43
jeu;91
vidéo;57
mode;14
texte;3
programmé;6
notre;292
trs;1
mecs;41
étiez;27
cool;67
seulement;46
pouvais;44
héro;1
armes;76
utiliserais;2
tuer;143
encore;200
branché;2
rentres;3
chez;140
ah;63
heure;105
pédale;1
prudemment;3
attaquer;5
couteau;10
menaçant;1
vas;249
ouais;225
allais;52
poser;31
question;90
trafiqué;1
ponch;3
quelque;276
chose;372
cloche;12
accuses;1
après;150
ces;249
années;62
où;553
confiance;122
dégagée;1
universal;1
city;2
attention;45
retards;1
près;29
aéroport;12
burbank;54
contrôle;44
véhicules;2
signal;24
détresse;3
autoroute;4
san;11
gabriel;1
river;1
accrochage;1
santa;2
ana;1
donc;278
matin;34
joue;25
xbox;4
genre;98
laisse;113
moins;106
fusil;2
sniper;5
prendrai;9
soin;30
gars;114
lui;535
bouffer;2
grenade;6
voudrais;42
jeux;28
vidéos;7
mais;1146
horriblement;1
tête;135
rendre;36
service;33
dérange;25
conduire;9
attends;187
sérieux;44
voiture;98
fonction;5
histoire;53
caisse;9
roule;11
chrome;1
ou;399
plastique;3
rends;23
évite;4
route;31
numéro;46
flics;12
période;9
déploiement;1
tuyau;2
chers;2
nerds;4
journée;55
annonce;5
difficile;28
virus;14
informatique;23
bras;10
nom;109
irene;2
demova;4
vient;98
actrice;2
porno;8
serbe;2
nombre;4
appel;27
célibataires;4
sera;193
élevé;8
méchant;27
celui;67
enfants;20
tueur;11
ordinateurs;23
hier;86
soir;243
modèle;9
expo;3
portable;19
prism;2
express;2
grillé;7
lorsque;6
quelqu;206
excusez;75
décidé;20
accéder;10
site;2
mlle;7
anna;100
ferme;37
yeux;49
nourriture;13
sexy;35
excuse;41
rend;16
dingue;22
amour;52
pouviez;5
oncle;13
gros;69
vicieux;1
arriver;43
discours;9
division;1
pacifique;5
géneral;2
suscité;1
polémique;1
sujet;44
sa;223
critique;4
normal;29
stanfield;2
ancien;14
commandant;2
allié;2
otan;2
déjà;155
atterri;1
nuit;111
dernière;90
essaie;50
empêcher;13
lieu;41
rien;408
direction;10
renseignements;8
nationaux;2
washington;31
cia;203
graham;5
vos;120
agents;90
nsa;54
retrouver;27
interroger;2
grâce;26
rambo;2
obtenu;3
avez;362
agent;301
mort;135
livre;19
or;6
présent;35
ébruite;1
demandé;38
major;20
casey;417
dirige;11
enquête;3
cherchait;5
servait;2
cet;116
septembre;1
ont;257
dû;135
ami;151
partager;7
leurs;42
informations;34
créé;8
moindre;9
donnée;5
possession;5
transferée;1
recherchait;2
analysait;1
mots;21
clés;18
conversations;2
découvert;10
choses;111
ignorons;2
étaient;27
cryptées;2
milliers;4
images;19
reçu;32
mail;11
courant;59
secrets;64
retrouvez;8
trouvé;107
disque;13
signature;3
repérage;2
los;48
angeles;47
tombe;15
très;388
trouvais;2
peu;340
pâlot;1
stop;11
the;46
presses;1
who;1
is;1
that;1
vicki;2
vale;3
espère;81
batman;2
mieux;132
voici;82
pensais;116
gens;114
appelaient;2
ailleurs;31
parents;31
sadiques;1
fous;44
décharge;2
puis;86
aider;154
sarah;463
venue;16
intellicell;1
sûr;269
vis;15
desserre;1
juste;432
derrière;35
petits;16
tournevis;2
neuf;44
aucun;50
soucis;10
êtes;299
doués;4
geeks;8
dirais;27
plutôt;69
grave;20
voyez;44
urgence;37
filmé;3
récital;1
relire;1
jeter;21
oeil;33
mis;52
cassette;2
dedans;49
numérique;3
effet;35
toujours;264
mère;57
mur;8
désolé;341
par;341
prête;18
habitude;25
arrière;22
pourquoi;482
grande;33
gêne;2
autres;89
danseuses;4
secret;74
vraies;7
grandes;9
boîte;16
marché;57
bonjour;75
écoutez;67
prêts;30
reprendre;11
minutes;74
savez;105
combien;59
côutent;1
dollars;39
buy;229
more;228
remarqué;11
monnaie;10
agitation;1
sommes;81
passifs;1
