Mot;Occurrence
man;480
morgan;531
this;2265
is;2899
a;8184
bad;148
idea;140
well;899
we;2715
can;1519
t;6773
stay;154
here;1246
chuck;2063
i;16070
m;3431
uncomfortable;9
with;1211
the;7204
plan;92
what;2828
survival;2
knocking;9
on;1782
door;92
that;4013
s;7890
her;537
ve;698
been;473
compromised;15
ghost;3
you;11240
leave;126
me;2548
like;968
do;1703
to;6519
are;1512
doing;299
uh;983
escaping;1
from;440
your;1712
own;110
birthday;16
party;93
wow;112
look;510
fan;13
tastic;2
know;1993
sis;23
thing;311
and;3224
don;1470
really;648
feel;134
re;1891
fitting;2
in;2361
at;767
my;1965
cause;130
anybody;25
they;760
all;1042
friends;105
jokes;5
okay;1337
have;1713
invited;16
real;232
live;50
women;31
for;1742
so;1241
please;361
let;555
go;928
need;610
hand;61
buddy;219
no;2262
right;1150
ellie;298
boy;72
come;541
going;914
be;1530
social;6
funny;34
smart;28
handsome;11
thank;341
oh;1117
there;955
captain;41
awesome;127
call;241
him;845
identified;3
some;438
candidates;1
introduce;7
brother;85
hi;184
heard;93
much;196
about;1101
costume;13
nerd;62
herd;41
cute;20
want;717
working;113
five;84
year;51
just;1654
choose;28
font;148
happened;122
did;575
hurt;76
controller;1
chafes;1
after;137
several;11
hours;55
yes;348
technically;27
correct;20
graduated;7
was;1126
major;37
engineering;6
god;278
knew;98
great;279
guy;393
he;1608
an;595
engineer;5
um;265
ran;19
track;13
think;762
gymnast;2
too;324
bryce;152
larkin;49
roommate;3
now;857
accountant;1
distant;4
siren;1
wails;1
grunts;11
shoes;9
squeak;3
frantic;1
typing;1
panting;8
it;4289
hard;82
say;406
good;747
bye;72
male;3
voice;19
security;93
breach;6
data;23
vault;34
girlfriend;66
while;84
back;525
stanford;44
yeah;1212
met;38
freshman;2
remember;115
when;348
jill;154
economics;1
class;35
walking;14
across;18
quad;1
she;697
had;321
dropped;18
bag;19
rushing;1
pick;54
up;835
kind;237
of;2774
whole;118
cartoon;2
bumped;1
heads;7
gang;10
us;478
common;15
then;356
ah;90
not;1543
train;20
home;114
music;41
playing;44
open;76
intersect;288
computer;138
blow;34
backup;17
alarm;18
blaring;1
yelling;5
freeze;18
stop;164
grunting;6
continuing;2
cover;109
screaming;4
over;313
radio;6
roof;15
units;4
converge;3
repeat;10
groaning;5
move;164
late;52
casey;595
sizzles;1
thanks;195
seven;17
layer;1
dip;4
tasted;2
eight;17
layers;1
even;181
though;63
may;123
ask;127
woman;71
wants;90
hear;99
old;114
depressing;1
years;139
ago;52
time;502
conversation;18
again;172
rehearsed;1
enough;103
fine;254
ll;849
get;1086
tomorrow;84
hey;897
sighs;15
seems;45
everybody;68
huh;210
super;44
cheer;4
talked;18
start;82
blast;8
past;33
remembered;5
dude;167
who;617
got;860
kicked;12
out;997
school;55
stole;24
girl;140
zork;4
text;3
based;12
video;54
game;98
programmed;3
our;451
version;13
using;28
trs;1
guys;359
were;365
cool;81
if;922
could;452
only;245
hero;39
satchel;1
weapons;29
would;490
use;108
kill;212
terrible;33
troll;3
still;220
pedal;1
safe;82
mutters;1
attack;11
nasty;9
knife;13
blipping;1
cacophous;1
audio;7
plays;8
throughout;4
buzzing;2
thuds;4
distorted;1
normal;29
same;99
question;71
spike;2
punch;19
something;408
goes;45
wrong;142
blame;9
these;198
where;474
trust;140
announcer;1
clear;60
universal;1
city;12
watch;75
delays;1
near;11
burbank;66
airport;13
checking;11
vehicles;1
sigalert;1
san;13
gabriel;1
river;8
freeway;5
southbound;2
fender;1
bender;2
santa;6
ana;1
northbound;1
morning;81
xbox;3
sniper;6
rifle;3
take;477
care;135
won;117
give;237
made;121
eat;33
frag;1
grenade;6
as;496
love;247
talk;304
games;21
splitting;2
headache;4
fact;47
favor;28
mind;118
driving;8
whoa;136
being;154
serious;41
drive;39
company;38
car;114
big;242
deal;79
