Mot,Occurrence
i,29977
you,29928
a,28329
the,25003
de,21857
s,18124
to,17661
vous,16201
je,16184
est,15571
t,13973
le,13472
que,13456
it,13016
la,12792
pas,12783
that,12204
il,11878
à,11581
on,10912
un,10711
was,10253
l,9954
ce,9495
me,9372
and,9060
et,9007
c,8998
in,8909
d,8529
ne,8443
of,8384
he,8084
tu,7994
what,7478
les,7424
en,7271
n,7122
qu,6792
j,6746
une,6663
ça,6596
pour,6261
m,6171
ai,6089
we,6030
for,5703
était,5640
elle,5353
your,5283
my,5086
par,5010
she,4965
this,4933
des,4831
her,4639
no,4510
with,4465
know,4374
qui,4258
dans,4222
got,4147
don,4022
but,3913
so,3895
is,3888
about,3886
him,3859
re,3814
out,3783
like,3758
do,3709
up,3624
nous,3624
mais,3593
not,3513
just,3489
du,3341
have,3302
all,3229
at,3188
avec,3165
be,3119
can,3062
get,3007
moi,2957
avez,2908
y,2886
être,2829
au,2822
yeah,2808
fait,2780
son,2779
one,2769
sur,2759
as,2747
non,2746
they,2731
his,2701
there,2695
plus,2662
si,2631
tout,2616
lui,2554
were,2547
bien,2512
did,2501
right,2501
here,2473
comme,2454
mon,2432
had,2390
didn,2369
dit,2336
votre,2320
là,2312
back,2283
suis,2283
faire,2280
how,2250
are,2223
go,2223
who,2211
avait,2209
ü,2207
from,2181
oh,2169
if,2154
se,2118
ll,2114
cette,2040
why,2026
well,1980
peut,1941
when,1924
now,1911
ils,1909
oui,1904
alors,1853
time,1830
want,1806
quoi,1804
te,1797
ma,1791
never,1758
see,1718
night,1709
quand,1701
sa,1697
été,1684
think,1660
pourquoi,1601
où,1591
ve,1552
jamais,1547
sais,1521
come,1478
dire,1467
chose,1466
va,1455
us,1454
could,1452
going,1448
good,1434
toi,1433
maybe,1425
rien,1412
an,1411
look,1411
gonna,1409
said,1408
let,1407
some,1397
tell,1381
where,1380
veux,1355
then,1352
been,1343
guy,1301
something,1277
too,1269
off,1266
them,1261
down,1258
man,1244
take,1233
or,1229
ont,1228
même,1225
would,1162
juste,1161
avoir,1138
ici,1137
way,1135
by,1114
quelque,1113
hey,1110
sont,1104
toujours,1093
es,1078
après,1071
after,1066
comment,1057
okay,1053
père,1051
ans,1049
say,1049
over,1047
étais,1044
êtes,1043
ces,1032
day,1017
will,1017
vu,996
girl,993
ou,991
make,990
told,984
quelqu,975
two,973
peux,970
kid,969
wasn,962
voir,957
cause,952
fille,935
mort,935
need,932
deux,919
parce,918
before,912
only,911
our,906
years,904
found,903
talk,902
home,896
temps,895
aussi,895
tous,886
ouais,885
thought,884
thing,883
maintenant,881
ton,872
autre,867
still,864
