Mot;Occurrence
congratulations;26
jimmy;168
hey;927
mr;304
wyatt;15
thanks;292
even;622
though;134
you;25581
tanked;3
my;4420
final;33
held;45
onto;39
your;4616
b;71
well;1680
i;23237
ve;1338
had;2060
a;14279
lot;586
of;7249
stuff;191
on;4777
mind;237
math;22
kind;551
took;634
backseat;4
haven;166
t;10047
signed;44
yearbook;12
yet;137
ll;1758
do;3094
it;11210
later;257
m;3009
saving;11
page;42
for;4848
there;2307
s;12543
candid;2
us;1213
in;7537
chemistry;7
lab;46
we;4930
have;2778
our;768
goggles;2
but;3262
can;2601
definitely;30
tell;1152
yeah;2303
cool;117
what;6414
say;884
huh;435
coach;67
look;1179
weird;40
suit;31
me;5533
about;3275
feel;240
like;3232
at;2678
funeral;42
and;7466
am;341
way;984
losing;65
star;72
runner;6
loss;20
villanova;3
gain;9
right;2191
excuse;153
quinn;34
time;1567
hi;131
got;3541
lighter;12
smoke;37
here;2090
morning;268
lil;204
know;3622
lindsey;20
dunlay;1
child;109
services;13
since;235
tenth;7
grade;46
is;3287
she;4180
one;2333
yours;129
claire;31
tate;4
knows;164
everything;382
hates;22
everyone;227
great;213
kid;833
her;3931
dad;682
was;8702
killed;713
grad;13
night;1402
adams;19
high;284
he;6655
teacher;54
student;62
his;2315
girlfriend;90
pregnant;48
the;21165
baby;417
that;10257
which;156
wisdom;5
teenagers;10
they;2352
left;526
trash;32
hit;293
by;961
car;458
same;506
never;1494
found;791
driver;35
new;468
direction;13
approached;2
man;1039
yesterday;59
talking;472
murder;374
balcony;5
answer;114
few;367
questions;95
first;594
describe;5
guy;1080
met;153
old;659
drove;64
white;198
van;43
or;998
between;129
this;4159
school;475
pulls;13
up;3105
wants;162
to;15259
talk;726
says;328
who;1891
meaning;69
when;1657
said;1234
wasn;834
did;2049
get;2610
name;566
license;20
plate;21
teachers;18
came;565
out;3283
chased;13
him;3193
away;694
probably;183
lying;68
find;581
go;1854
now;1609
shouldn;82
gonna;1153
parents;294
an;1102
edge;17
years;727
foster;41
care;333
will;725
uniforms;11
area;46
watch;153
more;689
thing;773
before;776
off;1079
d;1903
be;2704
coming;326
back;1994
read;136
george;82
burial;4
no;3848
grave;30
diggers;1
ask;256
potter;9
field;57
too;1075
good;1191
bones;66
so;3261
guys;413
hear;378
parachuter;1
sutton;10
going;1275
elaborate;8
girl;836
homicide;144
parachuting;1
from;1870
northeast;6
detectives;116
inside;158
drag;12
tommy;183
died;566
job;481
shot;350
traffic;9
stop;412
goinna;1
fallen;12
hero;57
daughter;283
wanting;21
come;1235
gil;6
sherman;7
worked;202
maybe;1143
already;248
asked;154
looker;2
hold;190
against;152
if;1823
throws;3
around;559
does;339
word;143
some;1196
type;98
scandal;8
involving;3
sergeant;63
sexual;25
nature;11
ill;11
advised;3
sixth;25
sense;81
trouble;174
graduated;16
june;59
outside;122
run;318
theory;46
drunk;58
forward;44
ellis;24
gave;346
birth;23
party;146
then;1131
bin;3
two;808
reckless;6
endangerment;1
lost;316
custody;26
bounced;6
been;1170
ever;662
lives;82
halfway;15
house;506
