Mot,Occurrence
i,4960
you,2876
a,2304
the,1743
s,1717
to,1572
je,1531
de,1438
t,1429
est,1353
it,1224
that,1163
on,1133
pas,1082
un,1022
le,988
and,963
c,940
tu,894
me,882
m,876
la,858
et,823
of,784
j,766
à,724
ça,710
is,703
vous,698
en,664
l,654
in,647
what,643
we,640
que,605
d,602
my,574
une,559
this,555
il,551
pour,525
les,524
ai,505
for,497
your,496
re,486
have,468
be,440
not,433
with,425
he,417
as,415
don,404
like,397
are,389
can,388
ce,383
des,374
do,372
but,348
was,327
so,320
mais,317
know,316
qu,308
suis,306
si,304
moi,294
qui,290
avec,288
get,287
dans,278
jeff,272
just,271
du,265
out,265
if,261
abed,256
all,254
at,252
about,252
plus,250
quoi,249
mon,243
être,240
es,239
there,239
ne,235
ll,234
she,231
no,224
here,222
fait,222
right,222
comme,218
au,218
britta,215
te,212
pierce,210
got,209
gonna,204
how,202
n,201
one,199
him,199
they,197
se,196
up,196
bien,194
tout,192
y,190
want,189
did,188
elle,184
toi,183
go,181
ma,181
good,180
sur,178
était,176
think,175
an,167
now,164
nous,157
va,156
ve,156
ton,152
why,152
her,152
annie,150
veux,145
let,143
who,143
when,143
là,142
troy,142
or,141
see,141
faire,138
would,136
his,136
from,135
cool,134
look,133
non,131
lui,131
say,127
because,124
really,124
pourquoi,123
will,122
people,122
were,121
am,120
car,118
sais,117
greendale,117
peux,116
us,116
time,116
need,115
ils,114
ou,114
dit,114
son,112
could,111
class,111
going,109
cette,109
our,109
more,109
make,109
dire,108
sorry,108
rien,107
come,105
back,104
shirley,103
man,103
take,101
merci,101
peut,100
tell,100
fais,99
par,98
sont,97
some,96
ta,96
winger,95
by,95
où,95
never,94
quand,93
something,93
guys,92
cours,92
day,91
been,90
doing,90
vais,89
cause,89
way,89
them,88
being,88
should,86
guy,86
avoir,86
même,85
jamais,85
comment,85
voilà,84
chang,84
didn,84
off,84
has,84
had,83
little,82
votre,82
group,81
even,80
oui,80
alors,79
two,79
groupe,78
maybe,77
thing,76
over,76
tous,76
deux,76
then,75
bon,74
too,74
only,73
spanish,73
vaughn,73
ici,73
help,72
avez,72
school,71
sans,71
okay,71
trop,70
yeah,70
said,70
êtes,70
where,70
truc,69
vraiment,69
talk,69
sa,69
mes,69
dois,68
well,68
vie,67
parler,66
real,66
très,66
life,66
vu,65
much,65
ses,65
than,65
love,64
nice,63
study,63
monde,62
before,62
avant,62
vrai,62
thought,62
désolé,61
aime,61
aussi,61
bad,61
call,60
girl,60
into,60
faut,60
very,60
stop,60
first,59
getting,59
these,59
friend,59
super,59
aux,59
great,58
espagnol,58
mean,57
doit,57
made,57
vos,57
ces,57
everyone,57
last,56
new,56
things,56
veut,56
voir,56
team,56
mal,56
sure,55
other,55
face,55
thanks,55
notre,55
étais,55
put,54
someone,54
