Mot;Occurrence
bonjour;32
comment;84
on;694
éteint;2
ça;710
maman;15
tu;892
peux;116
m;281
aider;27
merci;101
beaucoup;21
désolé;61
d;484
avoir;86
été;37
brusque;1
la;842
plupart;4
entre;34
vous;698
sont;97
là;142
depuis;28
quelques;15
jours;14
et;823
en;662
tant;31
que;605
doyen;35
je;1531
voulais;31
faire;137
partager;4
paroles;4
sages;2
inspirées;1
qu;308
est;1353
ce;383
une;559
université;6
publique;9
entend;3
de;1434
choses;17
fac;42
seconde;7
zone;5
pour;524
ados;2
à;724
problème;24
jeunes;5
marginaux;1
quadras;1
divorcés;3
vieux;26
qui;290
veulent;11
stimuler;2
leur;37
esprit;3
attendant;4
mort;26
c;932
a;554
dit;114
néanmoins;1
souhaite;3
bonne;49
chance;31
discours;4
plus;245
long;6
il;551
manque;9
fiche;11
pourriez;6
chercher;14
autour;7
j;765
aimerais;15
vraiment;69
ne;235
suis;306
moitié;7
arabe;5
père;33
palestinien;1
citoyen;2
américain;4
pas;1082
un;1021
terroriste;2
dirait;30
souvent;5
colère;5
contre;24
ma;179
mère;44
les;524
états;3
unis;4
elle;184
l;653
quitté;4
lui;131
car;87
américaine;1
au;218
fait;222
appelle;40
abed;113
ravi;7
te;212
connaître;3
rencontrer;5
dans;278
cet;17
ordre;4
propos;8
question;28
t;531
ai;505
posée;1
h;25
quand;93
avez;72
demandé;10
fille;41
canon;7
du;265
cours;92
espagnol;58
trouve;22
faille;2
parlé;15
fois;45
emprunter;2
crayon;3
mais;317
britta;99
ans;34
octobre;2
deux;76
frères;4
ainés;2
travaille;5
avec;288
des;374
enfants;14
comme;218
moi;294
pense;30
foirer;5
son;100
exam;16
donc;34
se;196
concentre;2
donne;21
air;33
distant;1
nom;37
dieu;28
vois;44
enfin;18
quoi;249
servir;4
jamais;85
truc;69
aussi;61
gentil;5
s;147
ils;114
connaissaient;1
aurais;30
petit;43
bureau;16
jeff;119
winger;44
le;988
génie;7
droit;8
arrête;22
dire;108
vie;67
assieds;3
toi;183
reviens;15
aies;4
relié;1
septembre;3
conduite;2
état;5
ivresse;1
encore;44
moins;29
aidé;9
tout;192
était;176
simple;6
mon;243
avocat;18
ici;73
étudiant;15
drôle;24
trajectoire;1
pétrin;1
barreau;2
suspendu;3
licence;3
ont;45
découvert;4
diplôme;5
usurpé;1
étais;55
diplômé;1
columbia;1
faut;60
envoyer;7
par;98
email;1
as;253
bon;74
choix;10
espère;13
notre;55
amitié;12
me;264
procurera;1
avantages;2
tutorats;1
soutien;5
moral;4
réponses;7
examens;6
voilà;84
mes;69
matières;2
demandant;1
bafoué;1
intégrité;2
toute;22
cette;109
institution;1
toilettes;22
duncan;10
semblais;1
regardant;1
convaincu;1
jury;1
faisant;5
demi;3
tour;7
sur;178
autoroute;1
commandant;2
chaloupas;2
aux;59
urgences;2
ton;152
seul;27
crime;5
être;240
patriote;2
adore;17
pays;6
vais;89
voir;56
es;237
homme;40
bien;194
connais;17
proverbe;1
mal;56
acquis;1
profite;5
si;304
avais;53
voulu;6
apprendre;12
serais;20
venu;4
feygnasse;20
team;20
fabrique;20
plan;15
drague;2
ok;12
absolument;7
parler;66
groupe;78
mec;52
joue;17
iphone;1
études;7
signe;5
où;95
facile;10
assistant;3
certifié;4
dors;6
tard;12
heure;19
touche;4
voiture;27
besoin;41
aide;34
savais;17
ou;114
i;1121
jefe;1
patron;2
rendez;6
biblio;2
y;184
seras;5
peu;53
veut;56
devrait;21
simuler;2
étude;15
non;125
pardonnez;1
éduqué;2
télé;14
conditionné;3
croire;8
noire;8
mentor;1
cosmique;2
payer;4
vos;57
tacos;1
sein;1
field;1
oui;80
excusez;7
seinfeld;1
très;66
table;17
nous;157
pièce;8
liste;10
contacts;1
inscris;4
tes;52
coordonnées;2
autres;36
retard;9
peut;100
connaissance;3
remarqué;5
fais;99
conversation;6
pareil;10
veux;145
savoir;30
abandonné;2
lycée;20
pensant;2
impressionner;4
radiohead;1
surprise;3
impressionne;1
rejoint;3
corps;15
paix;2
mannequin;3
pieds;8
inhalé;1
lacrymos;1
lors;1
manif;3
épouse;3
crois;39
dessus;19
aime;61
honnêteté;5
dis;42
vérité;12
apprécie;9
mens;1
parle;46
choisi;2
dirais;5
atteindre;2
but;6
apprécies;1
réponse;6
honnête;3
place;22
pourquoi;123
invité;6
raisonnablement;1
serait;20
cool;64
breakfast;6
club;12
tous;76
refoulé;2
pleurer;7
endors;1
lit;12
devient;11
trop;70
chaud;5
texto;6
voyons;7
surement;2
personnel;1
reçu;6
va;156
dois;68
étrange;1
aller;34
bizarre;21
sidéré;1
glauque;3
quelqu;50
maîtrise;1
langage;1
sms;5
cinq;12
minutes;20
commencez;2
étudier;23
verbes;2
trouves;3
ressembles;2
elisabeth;2
shue;2
sois;24
naturel;3
semblant;12
regarder;8
sport;8
empêcher;2
piste;3
type;8
poker;1
imagine;5
disais;7
dégoter;1
ces;57
fonce;3
pu;8
demande;17
différencies;1
jeune;14
assez;18
longtemps;7
rendre;10
alors;79
