Mot;Occurrence
how;202
do;372
we;640
turn;28
this;555
off;82
mom;30
you;2876
think;175
can;388
help;72
me;618
with;424
thank;52
so;320
much;65
i;3839
didn;84
t;898
mean;57
to;1571
snap;3
good;180
morning;33
many;16
of;782
are;389
halfway;1
through;37
your;496
first;59
week;20
at;252
greendale;63
and;962
as;162
dean;39
thought;62
would;136
share;6
few;15
thoughts;3
wisdom;2
inspiration;1
what;643
is;703
community;19
college;44
well;68
ve;156
heard;25
all;253
kinds;2
things;56
it;1223
s;1570
loser;6
for;496
remedial;1
teens;2
something;93
dropouts;1
middle;8
age;7
divorcees;1
old;42
people;121
keeping;5
their;36
minds;4
active;1
they;197
circle;8
the;1736
drain;1
eternity;1
that;1163
however;3
wish;9
luck;10
there;239
more;109
a;1750
card;6
missing;3
look;129
around;45
our;109
immediate;1
areas;1
cause;74
really;124
wanted;40
m;595
only;73
half;15
arabic;2
my;574
dad;20
palestinian;1
he;417
us;116
citizen;3
not;433
threat;1
national;2
security;15
wanna;40
know;316
after;44
meeting;7
him;199
angry;7
america;7
just;271
leaving;14
although;2
she;231
left;27
was;327
american;8
name;53
abed;143
by;95
way;89
nice;63
then;75
meet;20
in;646
order;14
now;164
about;252
question;26
had;83
when;143
asked;20
deal;22
hot;29
girl;56
from;135
spanish;72
class;111
find;44
road;2
talked;10
her;152
once;14
while;27
borrowing;1
pencil;5
britta;116
birthday;5
october;2
has;84
two;78
older;8
brothers;3
one;199
em;18
works;7
children;8
thinks;17
gonna;204
flunk;4
test;13
focuses;2
sorry;108
if;261
seems;9
cold;8
holy;8
crap;15
see;141
value;7
nicest;2
thing;76
anyone;29
ever;53
said;70
absolutely;11
these;59
guys;92
knew;22
like;397
did;188
d;118
have;468
given;8
small;13
office;10
jeff;153
winger;51
genius;8
law;7
got;209
stop;56
saying;35
will;122
never;94
sit;17
down;50
still;45
cannot;10
figure;11
out;265
jury;1
connect;5
september;2
11th;4
dul;1
let;143
alone;19
why;152
helped;6
simpler;2
time;116
lawyer;19
doing;90
here;222
student;26
be;440
an;159
inspiring;3
journey;1
am;120
bit;14
jam;1
state;3
bar;4
suspended;3
license;3
found;16
degree;8
less;17
than;65
legitimate;1
graduated;1
columbia;1
get;287
email;5
attachment;1
picked;5
fine;40
school;71
hoping;2
friendship;11
yield;1
certain;9
advantages;1
academic;1
guidance;1
moral;3
support;8
every;42
answer;18
classes;19
taking;31
schedule;7
asking;4
insulted;3
integrity;3
entire;9
institution;1
waster;1
bathroom;13
duncan;11
seem;13
into;60
day;88
convinced;2
yours;11
peers;1
made;57
u;1
on;439
freeway;1
tried;6
chalupas;2
emergency;3
call;56
box;6
crime;5
loving;3
love;63
very;60
but;342
ll;234
man;99
familiar;4
adage;1
cheaters;1
prosper;1
learn;15
wouldn;34
come;104
don;395
hit;17
okay;71
dream;8
study;63
group;81
guy;86
playing;17
bejeweled;1
his;136
iphone;1
sign;9
up;196
twice;10
easy;19
credit;16
actually;49
tutor;4
board;4
certified;3
say;127
hour;9
scratch;1
car;31
need;115
willing;4
bet;9
or;140
jefe;1
meets;2
library;8
thanks;55
re;486
means;17
shouldn;17
too;74
hard;32
fake;9
right;222
raised;6
tv;16
conditioned;2
believe;53
black;25
woman;27
over;75
cosmic;2
mentor;1
were;121
pay;11
damn;17
tacos;1
sein;1
field;3
yes;40
seinfeld;1
bienvenido;1
bienvenuto;1
whole;22
table;17
room;22
contact;5
sheet;7
put;54
stuff;39
rest;15
running;12
late;12
acquainted;1
may;45
noticed;5
talk;69
big;33
god;47
dead;23
want;189
dropped;9
high;38
because;124
some;96
reason;14
impress;6
radiohead;1
surprised;4
gets;29
back;104
joined;1
peace;3
corps;1
little;82
foot;5
modeling;1
tear;3
gassed;1
world;29
trade;5
rally;4
marry;3
guess;42
above;6
else;18
honesty;4
tell;100
truth;12
lie;3
go;179
anything;49
honest;5
yeah;70
house;12
invited;7
cool;70
single;11
logical;1
info;1
breakfast;15
club;12
each;24
issue;2
balled;2
make;109
cry;7
somethin;1
doozy;1
chamber;1
emotional;4
text;11
message;19
give;52
bad;60
boy;26
read;13
probably;23
gotten;3
pee;12
weird;23
stumped;2
creepy;8
makes;35
does;41
no;224
someone;54
misguided;1
grasp;1
abbreviation;1
five;18
minutes;20
ahead;14
verbs;2
elisabeth;2
shue;2
act;15
natural;6
pretend;8
watching;10
athletic;1
proceeding;1
couldn;20
them;88
trying;50
team;36
game;23
poker;1
kind;38
trucking;1
suppose;4
possible;3
those;41
answers;7
could;111
difference;6
between;19
wrong;48
discovered;2
early;9
long;28
enough;29
either;16
relative;2
case;20
booyah;4
average;3
person;42
harder;6
relativism;1
play;31
shrink;2
protect;4
pride;6
accept;5
chicken;30
use;29
reverse;4
psychology;2
psychologist;1
using;8
regular;4
spineless;1
british;4
twit;1
professor;39
year;35
adorable;5
pecking;1
pleasure;8
shouting;2
drawing;4
attention;8
myself;23
aren;14
homework;9
babysitter;1
certifies;1
where;70
coolest;6
bring;32
jacket;10
wallet;2
keys;5
fire;7
ileave;1
slumdog;3
millionaire;1
racist;16
busted;4
listen;33
smoker;1
filtered;1
safe;8
ready;21
started;23
showed;6
mine;17
took;21
page;12
craigslist;1
trained;2
untutorable;4
dinner;12
drinks;4
should;86
prioritize;1
prove;7
slip;5
crew;8
night;41
stay;30
least;12
till;7
who;143
studies;3
strangers;2
pierce;112
hawthorne;12
wipes;5
award;3
winning;5
moist;6
towellete;1
ask;32
also;19
toast;2
master;2
introductions;1
definitely;8
already;29
brittles;2
arab;4
inappropriate;3
sure;55
roy;1
wonder;6
troy;81
princess;4
elizabeth;1
annie;81
finally;13
beautiful;6
creature;1
named;4
shirley;57
even;80
close;15
accident;5
maybe;77
been;90
lot;38
groups;2
fell;6
apart;2
unresolved;1
tension;8
address;1
concern;1
invite;7
sweetie;7
behind;9
sweeties;1
being;88
younger;3
inferior;1
indicates;1
life;66
decisions;8
response;2
better;49
needs;18
decide;4
whether;4
considered;6
child;6
adult;7
pity;5
respected;1
adults;2
respect;12
head;23
grabbed;2
face;47
pushed;1
jukeboxes;1
try;35
learning;9
jukebox;2
discuss;5
creepiness;1
pardon;3
unaware;1
finds;7
advances;2
sexually;4
harassing;2
since;19
sense;9
harass;1
somebody;17
turns;6
harassment;1
dude;35
prominent;1
business;14
leader;3
highly;1
sought;1
guest;2
take;101
courting;1
advice;6
teenage;2
quarterback;5
prom;6
king;6
anymore;14
isn;45
riverside;5
went;25
wearing;18
stupid;31
letter;5
importantly;5
sat;2
algebra;1
hooked;2
pills;4
adderall;2
jock;3
lost;18
scholarship;3
dislocating;1
both;19
shoulders;1
keg;6
stand;20
flip;4
pull;6
legend;1
christmas;22
banner;1
bender;1
family;44
carton;1
cigarettes;1
hey;20
smoke;5
johnny;5
nobody;22
puts;3
baby;11
corner;3
dirty;10
dancing;12
parking;11
voice;9
disguising;1
gone;14
hash;2
stone;1
unturned;1
finished;8
yet;12
begin;6
driving;5
curriculum;1
semester;23
buddy;27
whoa;1
grabby;2
satisfaction;1
fairness;1
lexus;5
worth;5
though;7
won;42
next;35
four;11
years;12
payment;1
advance;3
leather;3
seats;2
built;4
ball;3
warmers;1
bluffs;1
weak;4
colonies;1
disbarment;1
hearing;5
supposed;18
drive;13
wiping;3
butt;8
leaf;1
disaster;1
thai;1
food;9
wait;45
human;22
beings;10
shambles;1
shot;12
getting;59
pants;16
compliment;3
lying;5
smart;11
unbelievable;4
decent;2
clean;6
mess;5
whatever;17
earth;7
forget;11
shallow;3
douchebag;2
eat;16
words;15
new;51
everybody;38
yell;2
appreciate;10
tone;1
humans;1
different;13
other;55
animals;7
feet;5
bears;1
species;3
observes;1
shark;5
sharks;2
observe;2
same;34
pick;16
steve;1
part;25
dies;1
inside;4
sympathize;1
forgive;6
ben;8
affleck;2
academy;2
screenwriting;1
mistake;7
themselves;4
clear;6
awesome;19
admit;8
ass;30
driven;3
lights;3
ice;7
cream;7
melts;1
offer;11
dalai;1
lama;1
sometime;5
regret;3
earned;3
wife;5
mother;18
specific;6
improvised;1
cares;12
astronauts;1
moon;3
hate;26
oxygen;1
shaman;1
pass;12
salt;2
gives;7
bowl;1
soup;4
designed;2
hear;38
yourself;21
sitting;6
extend;2
compassion;1
pencils;3
twerp;1
stopped;10
become;5
unstoppable;1
hereby;4
pronounce;4
stripes;1
meatballs;2
bill;2
murray;2
agree;7
tonight;23
special;21
excuse;25
engagement;1
lied;4
calming;1
everyone;57
creep;3
purposely;1
upset;9
attempt;2
wasting;1
happy;38
report;2
benefits;1
having;32
tomorrow;22
whose;7
wasted;5
start;28
speech;1
paid;4
money;13
before;62
came;9
shaped;2
toilet;3
explains;2
everything;25
michael;3
douglas;2
asperger;1
burger;3
serious;6
disorder;1
meningitis;1
gift;9
punch;3
hippy;1
important;25
lesson;5
friend;59
tools;2
acquired;1
survive;2
second;16
chance;13
teach;9
express;6
tuition;3
aisle;1
keep;46
jeffrey;10
remind;6
deserve;6
divorced;6
seven;11
times;20
sometimes;11
married;3
looked;7
studying;10
boring;5
clowning;1
doesn;50
matter;15
lose;12
please;35
piss;1
wrinkled;1
brain;7
huh;10
real;66
rolling;4
bed;12
covered;3
any;42
pretty;48
sports;5
coat;2
funny;34
most;24
without;18
work;39
going;109
deaf;1
talking;31
far;9
upstairs;1
sounds;33
pressure;5
called;39
afternoon;2
corrections;1
fall;7
catalog;1
cosmology;1
cosmetology;1
astrology;1
astronomy;4
students;31
cover;8
smiling;3
opinion;2
whoever;9
growing;5
patch;4
cannabis;1
gymnasium;1
congratulations;5
cruise;1
claim;2
tickets;2
increase;1
awareness;3
homelessness;1
binoculars;1
campus;20
news;18
debate;14
pa;2
system;8
continues;1
suggesting;1
its;15
volume;1
lowered;2
others;7
purpose;6
story;14
unfolds;1
announcements;3
ten;11
feel;52
scene;7
show;30
illusion;3
lasts;2
until;18
says;29
again;46
shame;2
tardiness;2
word;35
chat;1
bond;4
sorta;1
hope;17
baths;1
together;48
comes;12
self;7
obsessing;1
guatemala;5
journalists;2
killed;8
own;29
government;3
jumped;3
column;1
happening;7
nothing;34
murdered;3
country;2
speaking;11
worst;10
spoilers;2
happened;19
stories;3
understand;18
milady;3
milord;3
smell;4
vitamin;2
p;6
jazzed;1
everywhere;6
entrance;2
waiting;17
usually;3
spend;10
personal;5
lives;14
problems;7
emptier;1
three;36
ring;6
binder;2
notes;4
might;33
fit;4
double;7
spaced;1
c;8
liner;1
feygnasse;14
la;16
fabrique;14
episode;7
1x02;1
later;15
bye;12
today;20
anniversary;2
horrible;11
impression;1
specifically;4
grandsons;1
metaphor;4
transformer;1
ours;2
reading;5
torah;1
harmless;1
full;13
ups;2
downs;1
douche;5
ray;3
vision;4
trust;10
exploit;3
bums;2
friends;47
cute;17
selfish;6
narcissistic;1
point;29
near;3
delusion;1
pursue;1
desperately;1
starts;10
beer;3
kids;15
calls;8
sausage;5
fest;2
discover;3
living;13
side;23
looking;26
glass;3
jodie;2
foster;2
susan;1
sarandon;1
likeable;2
google;2
journalist;1
chacata;2
panecos;2
wrote;10
article;4
