Mot,Occurrence
i,1642
de,1248
je,1156
a,1043
est,989
que,859
you,736
vous,733
pas,707
the,685
un,665
le,628
la,584
et,548
c,545
à,544
to,517
il,508
tu,480
j,473
ce,468
l,453
s,442
pour,411
une,404
that,396
d,387
is,387
n,382
me,373
ne,372
it,368
ai,365
les,364
en,338
not,336
qu,335
on,334
of,304
and,293
ça,293
in,255
m,251
qui,237
t,224
dans,224
mais,215
my,211
trevor,210
des,207
elle,207
this,201
mon,200
what,199
suis,197
être,188
moi,184
do,183
avec,181
si,177
was,176
for,174
are,174
du,172
y,171
as,160
your,155
have,154
au,150
no,145
plus,143
tout,140
so,139
fait,137
can,137
bien,132
faire,129
we,125
était,122
with,121
know,116
sur,116
nous,116
peut,115
but,115
comme,112
son,110
non,109
se,106
te,105
dit,103
ils,102
cette,101
be,101
avez,98
ma,97
peux,96
sais,94
votre,92
if,88
oui,85
lui,83
joe,82
ici,82
sa,81
là,80
here,79
well,79
par,79
toi,79
es,79
quoi,78
chose,78
think,77
will,77
see,76
vraiment,75
où,74
dire,74
va,74
marshall,74
crois,74
go,73
quand,72
he,72
love,71
sont,71
pos,70
yes,70
get,69
été,66
claire,66
avoir,65
all,65
his,65
veux,64
how,64
amour,63
there,62
jamais,62
am,62
comment,62
merci,62
like,62
ok,61
êtes,60
re,60
mes,60
étais,59
voir,59
they,59
ton,58
who,58
juste,57
autre,57
want,57
clint,55
même,55
more,55
quelque,55
an,55
très,54
ont,54
parce,52
vie,52
fois,52
pourquoi,52
dois,52
at,52
about,51
good,51
ou,50
time,50
alors,50
toujours,50
come,49
besoin,49
peu,48
ca,48
savez,47
oh,47
riley,46
encore,46
lt,46
gt,46
ces,46
maintenant,46
her,46
mère,45
femme,45
or,44
dieu,44
been,43
fille,43
ouais,43
just,43
choses,43
bon,43
homme,42
avais,42
why,42
up,41
she,41
find,41
were,41
avait,41
donc,41
ta,40
people,40
something,40
now,40
okay,40
sûr,40
temps,40
soir,40
rien,40
when,39
did,39
deux,39
ses,39
père,39
out,39
one,39
type,39
new,38
après,38
only,38
never,38
fais,38
sã,37
because,37
from,36
vais,36
ã,35
dis,35
bar,35
leur,35
had,35
aussi,35
quelqu,35
monde,34
eu,34
robin,34
could,34
vrai,34
º,34
look,33
has,33
nick,33
dave,33
then,33
got,33
idée,33
man,33
by,32
tell,32
font,32
holly,32
going,32
aller,32
moment,32
déjà,32
him,31
histoire,31
beaucoup,31
ll,31
parler,31
say,31
chez,31
great,30
peaches,30
moins,30
travail,30
depuis,30
very,30
mccrae,30
hé,30
ans,29
cupid,29
need,29
right,29
perhaps,29
porte,29
prendre,29
york,29
plan,29
pense,29
patient,29
cupidon,29
vu,28
gens,28
sans,28
passé,28
dr,28
back,28
aime,28
sorry,27
paula,27
maybe,27
quelques,27
fils,27
bonne,27
viens,27
grand,27
salut,27
trouver,27
allez,27
savoir,27
god,26
soit,26
voilà,26
where,26
guy,26
puis,26
jack,26
fête,26
demain,26
couple,26
someone,26
rendez,26
some,26
really,26
said,26
maman,25
vois,25
sure,25
quel,25
should,25
trop,25
work,25
tes,25
