Mot;Occurrence
t;157
es;69
sûr;40
que;857
ça;293
va;74
l;421
impressionner;1
et;548
pas;707
la;583
faire;129
disparaître;1
un;662
geste;2
somptueux;1
dave;15
elle;207
te;101
tombera;1
dans;224
les;363
bras;4
prêt;7
presque;6
allons;4
le;626
spectacle;3
commencer;5
holly;16
être;188
bouleversée;1
là;80
on;231
est;989
d;375
accord;23
je;1156
suis;197
bonne;27
année;5
i;463
dirait;11
quelqu;35
a;485
fait;137
une;404
blague;5
ce;468
soir;40
où;74
qui;237
vous;733
soyez;8
j;472
espère;8
êtes;60
impressionnée;1
cherche;9
tu;477
devrais;16
fuir;1
fillette;2
devrait;18
partir;8
flics;1
arrivent;1
grandiose;2
dois;52
arrêter;11
répète;1
arrêté;4
puis;26
interviewe;1
racontes;1
ton;58
histoire;31
aux;22
médias;1
as;97
de;1227
publicité;2
gratuite;4
mec;11
mon;200
visa;1
expiré;1
m;170
enverra;1
fissa;1
en;334
irlande;1
peu;48
importe;16
aurais;23
apprécié;4
parles;5
partie;19
arrête;11
comptais;1
plutôt;12
revendiquer;1
par;79
petite;13
annonce;1
me;190
ferai;8
raconterai;1
qu;335
au;150
revoir;8
officiers;1
nuits;3
solitaires;2
auteur;1
à;544
succès;2
dr;16
claire;42
mccrae;18
vu;28
nouvel;2
an;8
des;207
cojones;1
loin;5
ici;82
quelque;55
part;12
cette;101
doit;19
se;106
dire;74
aime;28
super;24
romantique;7
ne;372
trouvez;2
sais;94
si;177
étais;59
demanderais;4
quel;25
genre;18
hommes;16
affaire;3
brave;1
loi;1
pour;411
non;108
n;266
réponse;5
pense;29
c;544
plus;143
fantasme;2
surfait;1
ces;46
temps;40
ci;10
relation;18
rend;8
folle;2
ou;50
indispose;1
excusez;12
moi;184
quoi;78
votre;92
appel;9
surprise;7
charles;1
pensais;11
souhaitiez;1
débarrasser;1
vrai;34
généralement;1
préfère;5
psychiatre;6
croit;5
psychanalyse;1
mais;215
avez;98
plein;6
fans;4
réclament;1
suivi;6
cas;10
particulier;3
semble;10
vos;19
cordes;1
peut;115
prochain;4
best;1
seller;1
il;508
cupidon;29
tenace;1
sur;116
point;19
ignore;1
serai;10
efficace;2
tout;140
halopéridol;1
rispéridone;1
lui;83
injectés;1
sûrement;4
état;3
légume;1
été;66
étrangement;1
résistant;1
toute;23
médication;1
allez;27
voir;59
même;55
parti;8
entends;4
schizophrènes;1
hasard;5
parie;1
tous;23
ensemble;17
isaac;1
amenez;1
nouveau;13
patient;14
bureau;12
suffit;5
monsieur;8
ai;365
soirée;15
libre;7
aussi;35
accrocher;1
déranger;1
insinuation;1
docteur;5
suppose;17
dévêtir;1
sera;21
nécessaire;1
aller;32
juste;57
extérieur;3
partirait;1
jamais;62
nous;116
peux;96
aider;14
laissez;10
voulez;22
faites;9
sortir;16
travail;30
impossible;2
punition;2
sorte;4
mortels;2
unir;2
couples;12
heureux;14
pouvoir;14
repartir;2
vers;3
olympe;9
bien;132
répondu;1
donc;41
fauté;1
lors;4
expulsion;1
ils;102
ont;54
parlé;14
réapprendre;1
métier;1
foirage;1
amour;63
du;172
romantisme;3
mal;18
prendre;29
sérieux;7
pourquoi;52
centaine;2
faisais;4
avant;23
midi;4
quelle;12
manière;10
arc;5
mes;60
flèches;3
sont;71
magiques;4
avec;181
présent;2
pourriez;2
lancer;3
comprendre;5
magie;4
voyez;15
combien;11
pensez;4
quête;3
durera;1
sans;28
deux;39
semaines;12
dix;4
jours;19
dernier;11
mot;13
six;1
quatre;4
observation;1
présente;4
aucun;14
relâchement;1
son;93
illusion;3
vérifie;1
toujours;50
personnes;10
disparues;1
espoir;1
connaître;3
identité;4
voilà;26
vas;22
marla;1
dis;35
adores;1
soigner;2
anciens;3
aile;1
passant;2
convaincu;2
personnel;3
parlez;9
décrivez;2
encadré;1
carte;8
prise;4
vue;8
depuis;30
appartement;15
parliez;1
fête;26
stop;1
vêtements;4
option;3
endroit;16
fabuleux;1
idée;33
vague;3
décrit;2
playboy;1
mansion;1
mercure;2
keum;1
couvre;2
souvent;6
sauvé;1
mise;2
fois;52
volé;3
licorne;1
s;140
tenait;1
points;5
importants;2
messager;1
dieux;14
fils;27
jupiter;1
vénus;1
mars;2
maman;25
papa;9
démarre;1
doucement;1
romulus;1
fondateur;1
rome;1
pélée;1
grand;21
banni;1
guerre;11
troie;1
intéressé;3
noires;1
connaissez;9
mythologie;4
comment;62
psyché;5
réagi;2
quand;72
envoyé;10
femme;45
ma;95
sa;79
était;122
mortelle;3
amoureux;16
malgré;2
objections;1
ignoriez;1
incroyable;9
monde;34
sait;8
arrivé;6
y;157
image;2
crois;74
souviendrais;2
reconnaissez;1
marié;7
exact;2
durant;4
appeler;13
montré;4
inoffensif;1
autrui;3
x;1
aucune;16
nom;25
trevor;133
pierce;13
soulage;1
inquiétudes;1
approuvons;1
sortie;3
condition;3
continuiez;1
surveiller;2
ses;39
progrès;2
finir;4
voudrions;1
rapport;9
hebdomadaire;1
tenant;1
informés;1
dont;11
recherche;2
emploi;1
désolée;12
autres;13
dossiers;3
attente;2
progresse;1
devrons;2
réintégrer;1
immédiatement;2
démarrer;1
approche;1
pharmacologique;1
agressive;2
merci;62
dossier;7
suivant;1
quelques;27
soirs;3
semaine;6
dirige;3
groupe;12
regardez;7
célibataires;12
informel;1
autour;4
table;3
parle;12
relations;8
concepts;1
rendez;26
parfait;16
cibles;1
faciles;2
minute;9
dites;7
trouver;27
rentrer;7
chez;31
bas;19
feignais;1
viens;27
mettre;21
jeu;5
réputation;3
sympa;3
gardez;1
offre;7
dieu;44
homme;42
verrai;3
gens;28
besoin;49
arrêtez;1
plaît;7
synchro;2
ori;1
reborn;1
walyd20;1
breys;1
adaptation;1
pluch;1
finally;1
sehderik;1
relecture;2
mpm;1
cru;5
avait;41
jeté;4
rivière;1
important;7
retour;5
plans;1
chambre;15
louer;2
regarde;15
loues;1
disparais;1
mois;11
dû;7
hôpital;8
beaucoup;31
savoir;27
erreur;7
diagnostic;1
rien;40
buenos;1
días;1
lita;4
quiero;1
bañar;1
sudor;1
soeur;7
mecs;4
old;1
el;1
paso;1
disent;4
guise;2
bienvenue;3
veux;64
baigner;1
ta;40
sueur;2
vraiment;75
truc;17
marche;11
attention;8
future;1
antiquité;1
laisse;14
clé;6
laisses;2
récupérer;4
affaires;9
emballées;1
garde;7
chef;8
promets;2
salle;7
comble;1
margaret;1
respecte;2
décision;5
seulement;17
continues;1
petites;3
annonces;1
serait;17
sage;2
mentionner;2
clairement;1
voeu;1
chasteté;2
encore;46
autre;57
personne;21
faudrait;3
contenter;1
écouter;8
premières;3
réunions;5
ami;18
aide;20
raconte;3
vie;52
amoureuse;15
bossais;1
bar;23
père;39
américaine;2
arrivée;4
gare;1
connolly;1
devait;9
avion;8
retourner;7
new;23
york;20
fallu;1
minutes;13
eu;34
transcendante;1
palpable;1
connexion;3
malheureusement;2
celui;17
changé;9
panneau;2
savez;47
dépensé;1
argent;16
simple;8
rues;1
instant;3
magique;5
pub;5
dublin;2
amis;11
entendez;1
transcendantale;1
tangible;2
béguin;1
prônez;1
faut;16
surtout;5
choisir;3
second;3
choix;5
intelligents;1
intelligent;3
stupide;3
combattre;2
minotaure;1
soyeux;1
audacieux;6
coup;9
foudre;1
mythe;3
fondé;2
solide;1
mêmes;4
intérêts;6
respect;2
mutuel;1
amitié;1
obtenir;3
alors;50
passion;10
chaleur;2
fièvre;1
sexe;5
reste;15
après;38
soient;5
mortes;1
elles;10
estompées;1
lentement;1
arraché;1
coeur;16
bon;43
moment;26
conclure;1
tres;6
equis;6
descendant;1
rue;3
propose;2
margaritas;2
moitié;5
prix;4
duo;1
mariachi;2
karaoké;1
tiendrai;1
coulera;1
flots;1
restez;4
années;16
pratique;3
préparée;1
romain;1
nuit;25
préparé;1
juge;2
people;1
speed;1
date;2
admettons;1
redites;2
leur;35
tirez;1
dessus;16
tombant;1
follement;2
méthode;4
laisser;13
essayer;7
soucie;2
ville;11
vis;2
déjà;32
centre;6
chose;76
nourrissez;1
fantasmes;3
souffrir;3
vivre;8
promis;3
étiez;8
danger;3
ni;14
regretter;1
patron;4
manhattan;3
reculer;1
inscrits;1
rapporte;1
tequila;2
courage;6
liquide;1
ok;57
irai;1
alcool;5
prendrai;2
café;15
reviens;6
shot;1
citron;1
por;2
favor;1
señor;1
façon;12
kawa;1
bombe;3
hein;9
travaille;8
glaciale;1
journaliste;3
the;12
post;1
gants;1
jimmy;5
battre;3
apporterai;1
serveur;2
noir;2
dit;103
suivez;1
passe;18
lit;13
pointe;2
joue;5
histoires;5
réconfortantes;1
longtemps;6
très;54
vais;36
secret;4
vient;16
suivants;1
madelyn;6
monte;1
scène;3
aubaine;1
sois;14
mort;6
mardi;5
ennuyiez;1
devais;3
vérifier;3
travailliez;1
responsable;4
oubliez;1
sers;2
plage;2
orgasme;1
exceptionnel;2
torride;1
futon;1
réfléchissez;1
géniale;2
partenaire;2
aidée;2
remets;2
serais;6
effrayée;1
apprenais;1
gars;12
traversé;3
pays;6
partez;2
chercher;15
calme;4
écrire;3
mérite;7
revient;5
suggéré;2
bouger;2
demandé;13
laquelle;9
trou;1
nourrir;2
prétendre;1
différent;5
incruster;1
étrangers;1
intervention;1
divine;2
problème;18
comme;112
demandais;1
adorateurs;1
bilan;1
médical;1
adorateur;1
ah;7
oui;85
temple;2
eros;1
chelsea;1
vendent;1
lingerie;1
trash;1
évidemment;1
sacrements;1
prévu;1
interview;1
dj;2
demain;26
club;10
brooklyn;1
fou;12
magicien;1
dimanche;3
assurer;1
yvonne;1
famille;18
su;2
allais;7
traverser;2
inconnue;2
soutenir;2
rencontré;13
mère;45
lisdoonvarna;2
festival;2
rencontres;7
difficile;12
croire;18
rencontre;10
nommée;1
existent;1
couple;9
tuée;1
avais;42
ans;29
chauffard;1
soûl;1
photo;9
prof;7
musique;6
écran;3
veille;1
montre;7
cool;9
entrer;5
merde;3
absolument;1
fréquenté;1
avaient;3
air;17
rasoir;1
essuyais;1
utilise;8
journal;5
engager;1
portraitiste;1
dessin;1
fille;43
rêves;4
pointer;1
décrire;1
prévois;1
ouvrir;6
piscine;1
entendu;18
disputer;1
fermeture;1
aurait;18
appelé;15
psy;2
véritable;2
pomme;1
discorde;1
disais;5
ed;1
ross;1
éros;1
grecs;1
appellent;2
italiens;1
choisis;1
garder;1
viré;1
réunir;6
compter;2
gagnes;1
chaque;11
réuni;2
vois;25
fais;38
aimerais;11
décident;1
cheveux;7
yeux;7
espiègles;1
meurs;1
faim;2
désespérément;1
resto;3
grec;3
baklava;4
photographe;1
mince;2
partage;3
taxi;4
retrouvera;1
grande;12
roue;4
toi;79
daryl;1
hall;2
john;4
oates;2
petit;21
parce;52
géniaux;1
invité;5
webmasters;1
meilleurs;5
sites;1
loges;1
sens;8
mieux;16
boxers;1
