Mot,Occurrence
i,4905
you,2947
a,1921
je,1728
the,1607
s,1569
est,1502
t,1406
to,1280
de,1275
me,1151
que,1140
vous,1045
tu,1030
pas,1027
on,1006
it,997
le,896
il,893
that,824
c,817
un,785
what,779
m,762
ce,752
la,715
this,687
à,685
et,673
ça,655
l,655
and,649
j,628
d,612
he,608
qu,594
is,580
of,571
in,549
know,536
hopper,533
ai,504
les,498
en,492
re,467
we,465
une,447
pour,444
ne,442
your,421
qui,414
don,414
for,412
do,412
garza,405
my,391
as,388
just,379
was,366
moi,360
about,354
are,341
tout,339
they,336
with,320
des,320
mais,313
all,312
have,310
n,305
can,302
te,301
get,295
but,293
sais,293
ils,287
rita,281
here,281
got,280
dans,279
be,275
right,267
not,265
quoi,257
no,256
yeah,255
y,251
up,251
gonna,248
brett,248
so,247
non,245
out,245
fait,241
did,240
va,238
si,232
avec,232
sur,227
bien,227
there,227
she,223
elle,222
who,221
him,218
now,216
suis,211
how,211
du,203
était,200
ve,198
go,195
think,194
oui,193
if,190
ll,188
at,187
au,186
mon,186
why,186
like,185
là,185
need,179
her,178
se,178
chad,171
faire,169
où,166
toi,165
dit,161
pourquoi,160
day,159
avez,158
tell,155
votre,154
didn,153
lui,153
comment,149
plus,149
one,149
where,149
okay,146
some,141
cette,141
peux,140
booth,140
nous,137
murder,137
come,136
être,135
ont,135
man,133
comme,133
ici,130
his,128
rien,127
time,127
let,125
ma,125
accord,125
been,124
veux,124
es,123
down,122
see,122
andrea,120
ton,120
want,119
over,117
même,116
had,115
back,115
call,114
something,114
meurtre,113
peut,113
were,113
from,112
an,112
dire,111
way,110
well,109
when,108
damien,105
êtes,103
vais,102
dominguez,101
alors,100
chose,100
gotta,99
guy,99
quand,98
going,97
them,96
could,96
journée,96
say,95
take,95
today,95
ces,94
crois,92
said,92
make,92
look,92
fais,91
faut,90
detective,90
eddie,89
son,89
juste,89
or,88
inspecteur,88
alberto,88
hop,86
ok,86
us,86
dois,86
same,86
everything,85
find,85
last,83
hui,82
avoir,82
help,82
aujourd,82
quelque,81
thing,81
voir,81
would,81
quelqu,81
doing,80
wanna,79
people,79
père,78
will,78
encore,78
deux,78
sorry,78
sont,77
jen,76
parler,76
oh,76
par,76
anything,76
allez,75
ouais,75
good,75
talking,74
then,73
hell,72
tous,72
never,72
hey,72
été,72
name,72
talk,72
ou,72
dis,71
should,70
maintenant,70
bon,69
police,69
besoin,69
jamais,69
cop,69
killed,68
vu,68
night,68
merci,68
vas,68
vraiment,68
sa,67
these,67
tué,66
too,66
put,66
étais,65
aussi,65
away,65
temps,65
avant,65
give,65
torrez,65
really,64
fois,64
any,64
two,63
ta,63
parce,63
avait,63
shelton,62
case,61
detweiler,61
autre,61
passé,61
because,61
déjà,60
yes,60
club,60
morning,59
looking,59
guys,59
maybe,59
happened,59
savoir,59
into,58
little,58
more,58
place,58
listen,57
thought,57
told,57
mean,57
please,57
wait,57
off,57
battle,57
jour,57
by,56
affaires,56
billy,56
danger,56
understand,56
sure,56
message,56
found,55
ex,55
kill,55
every,55
baxter,54
flic,54
car,54
things,54
before,54
trouvé,54
toujours,52
aller,52
affaire,52
donc,52
disciples,52
désolé,51
gun,51
wanted,51
keep,51
passe,51
important,51
again,50
avais,50
those,50
depuis,50
chez,49
shelten,49
dû,49
appelle,49
still,48
arme,48
after,48
personne,48
sûr,48
old,47
wrong,47
dad,47
savez,46
dossier,46
nick,46
demain,46
called,46
nuit,45
nothing,45
femme,45
attends,45
matin,45
après,45
am,45
even,45
our,45
stop,45
homme,45
only,45
arrête,45
believe,44
than,44
cops,44
safe,44
work,44
très,44
father,44
air,44
miguel,44
tomorrow,44
aider,43
écoute,43
ask,43
soir,43
frère,43
eu,43
veut,43
soeur,42
hier,42
care,42
brother,42
flics,42
nom,42
someone,42
sister,42
has,41
gars,41
came,41
faites,41
chaque,41
el,41
questions,41
aux,41
appelé,41
leave,41
isabella,40
fencik,40
trouver,40
chance,40
gens,40
fine,40
vois,40
www,40
mes,40
move,39
trying,39
comprends,39
long,39
procureur,39
randall,39
