Mot;Occurrence
tu;1029
as;309
besoin;69
d;469
un;784
nouvel;4
oreiller;2
j;628
aime;25
cet;16
et;673
le;896
sais;293
on;566
pourrait;27
rester;17
à;685
la;710
maison;21
ce;752
soir;43
peut;113
être;135
verra;4
comment;149
se;178
passe;51
journée;96
i;1064
embouteillage;2
sur;227
l;645
a10;2
en;491
direction;3
de;1274
où;166
semi;2
remorque;2
s;257
est;1502
renversé;2
tombée;2
une;447
centaine;3
boîtes;3
couches;4
les;498
trois;20
voies;4
es;123
tendu;4
continue;11
ça;655
va;238
passer;30
travailles;1
trop;23
dur;9
vient;12
fille;33
qui;414
a;784
cumulé;1
gardes;1
jour;57
nuit;45
depuis;50
cinq;7
jours;31
eh;12
c;808
vie;29
infirmière;5
flic;54
dis;71
moi;360
pourquoi;160
ne;442
pas;1027
aller;52
balader;2
long;7
côte;2
échapper;2
du;203
monde;28
pour;444
je;1728
dois;86
voir;81
affaires;56
internes;28
15h00;3
propos;15
andrea;59
oui;193
si;232
grave;5
que;1140
assez;9
détesterais;1
devoir;9
perdre;9
autre;61
partenaire;27
parce;63
quelqu;81
veut;43
servir;3
son;82
propre;3
intérêt;3
penses;10
chad;85
mêlé;3
ah;9
non;243
ecoute;10
ton;120
boulot;21
parler;76
mon;186
ex;24
sous;20
douche;7
juste;89
n;304
était;200
bien;227
alors;100
referai;1
plus;149
voulais;28
casser;2
truc;31
avec;232
palmier;1
ma;115
mère;20
me;365
avait;63
donnée;1
suis;211
désolé;51
peux;140
avoir;82
nouvelle;13
petit;32
endroit;19
mignon;1
palm;1
springs;1
crois;92
appelle;49
station;1
service;17
choses;27
ont;135
été;72
tout;339
parfait;11
accord;125
t;502
hôpital;14
sois;15
prudent;1
caresse;1
rambis;7
répondre;3
douzaine;4
mails;1
vidéoconférence;1
doit;31
démarrer;1
maintenant;70
note;2
dit;161
quoi;257
veux;124
burbank;1
8h00;1
dans;279
minutes;16
venice;1
oh;33
zut;1
merde;14
madame;6
policier;4
vous;1045
remercie;3
officier;5
excusez;15
il;893
bouchon;1
mademoiselle;3
histoire;25
excuse;4
avez;158
fait;241
tomber;25
ceci;12
appelez;10
secours;8
dieu;28
voiture;37
m;338
harper;1
votre;154
chien;10
aboyé;2
très;44
fort;6
dernière;22
zeitoun;4
fuite;12
haut;6
femme;45
plombier;3
venu;20
merci;68
quand;98
givré;1
comme;133
toi;165
mis;18
foutoir;1
ai;504
compris;20
donne;12
neuf;6
messages;3
message;32
deux;78
allo;3
soeurette;2
essayé;22
joindre;4
six;6
fois;64
hier;42
rien;127
eu;43
ennui;1
téléphone;14
mais;313
bon;69
sûre;5
air;43
énervée;1
qu;594
retard;5
école;7
tard;24
bye;1
sept;8
sang;35
damien;51
allume;3
portable;13
ils;287
trouvé;54
refuge;9
hop;41
sortir;29
cette;141
police;40
mains;14
doux;4
reste;35
calme;18
inspecteur;88
brett;118
hopper;265
ouais;75
dites;29
vos;28
gars;41
lâcher;2
arrête;45
meurtre;113
assistant;10
procureur;39
alberto;43
garza;200
droit;10
garder;12
silence;5
abandonnez;1
pourrez;4
dire;111
prenez;8
siège;3
avant;65
excuser;4
défoncé;4
porte;11
mandat;13
dû;49
tuyau;1
anonyme;1
demeuré;1
obtenir;5
juge;13
signe;4
temps;65
éclair;1
nous;137
étiez;11
orgueilleux;1
choi;17
spivak;16
connaissance;2
savez;46
ici;130
toutes;15
tactiques;1
donc;52
irai;8
au;186
but;3
aviez;6
contre;34
blague;7
arme;48
crime;24
empreintes;32
dessus;27
facile;6
planquer;3
pistolet;7
fabriquer;1
des;320
aussi;65
quoique;1
croyez;11
avons;9
chances;1
celui;18
donné;11
soit;30
impliqué;4
eue;4
chez;49
penderie;6
plutôt;14
stupide;7
pénétré;1
y;250
mettre;7
flingue;9
voisin;2
parlé;31
excité;2
çà;1
personnel;5
ou;72
quelque;81
chose;100
êtes;103
après;45
journaux;4
tué;66
exact;4
étais;65
rita;143
shelton;31
elle;222
westside;2
alibi;7
deuxièmement;1
jamais;69
rencontré;7
aucun;22
mobile;1
contrat;4
avocat;15
ait;16
fiché;2
autres;18
veuillez;1
regarder;5
appareil;1
photo;17
pouvez;19
reculer;1
fais;91
patienter;2
savoir;59
mieux;27
frère;43
mise;3
pied;2
leur;37
raconter;8
certaines;4
occupé;13
allons;12
veinard;1
dégoté;2
meilleur;7
défense;5
etat;2
barry;10
colburn;7
te;301
rejoindra;1
tribunal;4
accusation;2
voyons;8
baxter;27
faire;169
sors;12
artillerie;1
fédéraux;7
là;185
appelé;41
toute;29
matinée;2
personne;48
bouge;5
ni;15
bureau;25
dossier;46
possible;9
pétard;2
nature;4
seul;25
confiance;22
affaire;52
dépend;3
témoignage;4
paraître;3
insensible;1
sérieusement;2
vais;102
trouver;40
témoin;19
vedette;1
sans;22
vu;63
lui;153
laissé;27
répondeur;4
voulait;9
prendre;28
passé;61
concentre;3
prison;24
pourrais;22
aider;43
par;76
plaider;2
cause;9
auprès;1
los;6
angeles;5
leurs;12
trouvée;7
allé;8
appartement;8
répond;3
recherche;12
équipe;7
terrain;3
première;8
priorité;2
partir;22
réussi;2
moment;24
soeur;42
jen;35
voit;9
bas;20
vas;68
disent;16
enfin;8
mettrait;1
peu;32
importe;22
puisque;1
attends;45
parle;34
souvent;9
problème;27
ces;94
coups;7
fil;10
raconte;7
craques;1
histoires;2
entre;23
randall;19
sûr;48
tuer;26
jennifer;8
bonne;21
mine;1
viens;20
heure;19
payer;5
flics;42
montent;1
tordus;1
soutirer;1
rencontre;2
commettre;4
mérite;4
vraiment;68
récompense;1
vrai;28
gens;40
sourire;2
moche;1
particulier;2
femmes;1
retrouve;10
quatrième;3
retrouver;7
vieux;25
rentre;6
score;2
dodgers;16
ripoux;5
prouver;13
chats;2
fouetter;1
ci;1
assassinat;2
malheureux;1
sent;3
coup;32
monté;6
plein;7
nez;2
coincé;6
mec;29
beaucoup;17
récemment;3
honnête;2
déjà;57
mariés;2
allez;75
avoue;8
fout;3
haine;1
gardé;4
nom;42
devrais;28
pastille;1
menthe;1
comprends;39
refuses;1
violer;1
code;3
honneur;8
laisser;22
ta;63
gêne;2
coucher;3
divorcés;1
étions;2
partenaires;6
années;8
bosser;3
ensemble;14
arrivé;35
petite;27
oublie;10
attention;7
détention;2
fous;16
sentiment;2
cas;15
compte;18
tenu;3
gravité;2
preuves;12
physiques;1
encontre;1
suspect;9
demandons;3
caution;2
refusée;2
informé;2
existence;1
pouvant;2
disculper;1
client;2
quant;2
emploi;1
instant;11
invisible;1
considérons;1
dangereux;7
fuir;5
avion;6
