Mot;Occurrence
transcript;10
www;23
1000fr;3
com;13
subtitles;10
sub;10
way;101
fr;10
v;11
you;2947
need;179
new;15
pillows;3
my;391
rule;2
and;649
know;536
it;997
we;465
could;96
stay;39
at;187
your;421
place;51
tonight;18
maybe;59
ll;188
see;122
how;211
the;1607
day;158
goes;12
i;3841
ve;198
got;280
a;1137
sigalert;2
on;440
northbound;2
to;1280
an;109
overturned;3
semi;3
spilled;4
over;117
hundred;8
cases;10
of;571
diapers;5
all;312
across;5
lanes;2
traffic;4
somebody;37
s;1312
tense;3
keep;51
going;97
get;295
been;124
working;16
too;66
hard;17
this;687
coming;33
from;112
girl;38
who;221
works;8
four;9
double;1
shifts;1
in;549
five;20
days;23
life;29
nurse;4
cop;69
let;125
just;379
take;95
drive;11
up;250
coast;2
blow;7
off;56
world;5
for;412
meeting;23
with;320
internal;10
affairs;8
is;580
about;354
andrea;61
yeah;255
serious;16
enough;20
d;143
hate;9
lose;7
another;24
partner;33
cause;26
personal;6
axe;1
grind;1
think;194
chad;86
has;41
something;114
do;412
listen;57
business;23
me;786
bringing;2
ex;31
husband;25
shower;7
that;824
wasn;17
t;904
right;267
so;247
never;72
again;50
didn;153
mean;57
break;10
palm;2
tree;4
thing;81
mom;19
gave;18
m;424
sorry;78
where;149
can;302
one;148
cute;3
little;58
springs;1
called;46
gas;2
station;20
things;54
haven;18
exactly;19
no;255
everything;85
good;75
call;114
hospital;16
be;275
safe;44
give;65
rambis;7
hug;1
okay;146
dozen;5
e;7
mails;1
return;3
conference;1
starts;3
like;185
now;216
note;3
says;12
what;779
want;119
burbank;1
by;56
minutes;22
venice;1
crap;15
ma;10
am;45
thank;34
officer;9
excuse;22
miss;13
don;414
some;141
or;88
dropped;9
oh;43
god;33
are;341
car;39
mr;20
hopper;268
dog;9
bark;1
very;21
last;83
night;68
zeitoun;4
have;310
leak;9
upstairs;6
wife;23
say;95
plumbers;5
come;136
psycho;2
did;240
make;92
mess;12
nine;4
messages;3
message;24
two;63
hello;19
sis;2
six;9
hang;17
ups;3
goin;1
nothing;45
had;115
problem;25
phone;36
but;290
sure;56
sound;15
kinda;5
rattled;1
re;467
late;12
school;9
talk;72
later;20
bye;6
seven;11
damn;26
damien;54
turn;18
cell;11
they;336
hit;30
house;32
hop;45
ass;34
police;29
hands;12
easy;21
relaxed;1
detective;90
brett;130
these;67
guys;59
under;35
arrest;28
murder;137
assistant;24
alberto;45
garza;205
remain;5
silent;5
if;190
anything;76
seat;4
before;54
apologize;1
breaking;1
down;122
door;15
warrant;13
more;58
than;44
lame;1
anonymous;1
tip;2
judge;14
sign;7
kind;26
blitz;1
well;109
told;57
us;86
puff;1
choi;17
spivak;18
pleasure;3
look;92
here;281
tactics;1
back;115
forth;1
straight;7
against;25
gotta;99
kidding;9
weapon;17
prints;29
gun;51
plant;2
doable;1
tougher;1
chances;6
whoever;5
tell;155
closet;11
pretty;17
stupid;12
move;39
man;133
why;186
would;81
broke;3
into;58
put;66
there;227
neighbor;1
said;92
plumber;2
was;366
crazy;23
aren;8
according;1
newspapers;1
sometime;2
rita;138
shelton;31
she;223
westside;1
alibi;7
secondly;1
even;45
met;8
motive;1
hire;3
lawyer;6
after;48
booked;3
everyone;18
else;37
camera;3
please;57
much;29
step;8
away;65
guess;22
as;79
mine;10
brother;42
leave;41
go;194
telling;36
certain;5
people;79
fingerprints;1
mug;1
shot;26
busy;10
lucky;9
best;18
defense;7
attorneys;2
state;3
barry;10
colburn;5
he;608
meet;20
court;3
arraignment;1
baxter;27
better;26
flex;1
federal;5
muscle;2
outta;9
doing;80
morning;59
nobody;16
giving;5
inch;1
not;265
office;18
l;10
p;5
clean;18
record;4
happening;23
pissed;4
hurts;1
run;31
only;45
trusts;1
case;61
hinges;1
his;128
testimony;4
being;35
insensitive;1
seriously;4
supposed;26
find;85
star;2
witness;14
without;10
him;218
left;34
machine;7
wants;15
happened;59
focus;3
jail;10
help;82
unless;8
kill;55
tried;20
word;24
county;14
theirs;2
her;178
check;20
apartment;12
answering;3
cops;44
looking;59
first;38
priority;1
understand;56
pulled;11
couple;22
favors;3
time;127
sister;42
jen;41
gonna;248
fine;40
found;55
someone;42
doesn;35
matter;13
because;61
wait;57
talking;74
mind;12
wanna;79
those;50
phones;1
really;64
between;11
randall;20
course;21
killing;14
jennifer;10
lookin;1
face;8
music;1
boy;7
will;78
pull;20
lot;35
stunts;1
weasel;1
out;245
committing;1
definitely;6
wins;2
prize;1
ugly;2
smile;1
especially;4
women;1
quality;3
old;47
score;5
dodgers;9
game;9
dirty;13
prove;14
few;15
other;35
besides;4
may;26
whole;24
murdering;1
real;25
shame;6
isn;29
screams;1
setup;3
mile;1
cold;11
spending;2
lately;4
when;108
honest;3
woman;19
married;4
already;25
truth;14
bugs;1
kept;12
name;72
breath;3
mint;1
unspoken;1
code;3
yet;19
sleeping;4
were;113
divorced;2
weren;11
partners;10
anymore;7
expect;4
believe;44
years;35
rolled;1
togeth;1
while;19
forget;16
watch;17
convict;1
play;9
screw;8
feeling;13
due;4
severity;1
crime;12
physical;2
evidences;1
suspect;11
requests;1
bail;2
ask;43
honor;4
district;1
attorney;13
made;27
aware;1
exculpatory;1
attest;1
client;3
locate;1
consider;3
danger;28
flight;2
risk;3
decorated;2
year;9
veteran;2
department;4
pursuing;1
charge;6
degree;2
request;2
granted;1
held;3
remanded;1
preliminary;1
hearing;7
set;26
week;12
today;95
whether;1
produced;1
dismissed;2
running;18
questions;20
admit;4
confess;10
hell;72
tough;9
guy;99
persona;1
show;9
firsthand;1
dangerous;7
city;20
happen;33
anyone;25
random;1
acts;1
assault;1
battery;3
rape;1
carjacking;1
calm;13
worry;15
kids;23
swear;12
whatever;22
choice;8
remember;27
every;55
decision;32
consequence;25
relax;9
mild;4
sedative;5
unwind;2
sleep;8
worst;7
nightmare;2
feel;18
sore;1
wrong;47
ever;24
déjà;3
vu;5
gives;1
creeps;1
happens;6
quite;6
sight;2
baby;28
slow;10
side;15
shave;2
walk;15
yes;60
gets;23
home;28
patrol;3
outside;3
water;2
sir;27
earlier;5
shift;4
started;9
taking;14
vacation;6
massive;1
trauma;2
head;27
bleeding;4
multiple;1
fractures;1
bus;10
crash;5
driver;3
stroke;5
went;39
control;7
cart;1
ready;8
bay;12
three;25
coffee;11
sit;15
until;14
learn;3
touch;8
assignment;1
country;1
jules;1
verne;1
referring;1
security;3
floor;4
west;2
missing;16
probably;15
watching;7
acting;8
any;64
far;12
block;2
then;73
start;14
alright;37
thanks;34
considering;1
circumstances;2
anywhere;13
highly;2
favor;10
caught;21
nevermind;1
own;25
troubles;1
deal;29
stick;4
ok;61
doors;3
opening;2
boarding;1
westbound;1
train;1
cover;9
exits;1
closing;3
great;18
minds;2
huh;7
tattoo;2
guilty;3
forehead;1
youall;1
ain;17
dive;3
teams;1
won;27
santa;1
monica;1
pier;1
nerve;1
feeding;1
source;1
asking;23
wanted;51
laying;2
low;3
saying;34
tomorrow;44
eight;3
should;70
received;11
package;33
bad;28
kick;1
law;2
felt;6
necessary;1
anyway;9
spoke;5
trying;39
drop;8
charges;5
still;48
picking;1
glass;2
someplace;2
soon;12
stinking;1
runs;9
ninth;3
fellas;3
gentle;1
secret;15
rally;6
win;8
itching;1
toe;3
tag;2
ya;2
behind;15
certifiable;1
end;16
death;9
row;1
second;14
cut;9
bring;28
proud;2
convinced;2
payoff;1
shouldn;13
mattress;1
seconds;5
trust;20
shoulder;6
months;8
fact;6
latin;16
disciples;19
hear;37
u;5
strictly;1
confidential;4
flipped;3
kid;24
ortiz;6
trial;3
hopefully;1
involved;8
disappearance;3
search;4
signs;3
struggle;1
trace;2
done;30
does;35
headed;3
clubbing;1
hey;72
arms;3
around;24
nice;19
discuss;2
men;32
bitch;12
till;5
next;25
turned;5
sell;9
trap;2
helping;7
yo;4
playing;9
news;7
handful;1
knew;33
hiding;7
them;96
feds;7
protecting;5
long;32
gone;12
wake;16
window;3
cars;6
skinheaded;1
fools;2
strapped;1
skinheads;10
nah;7
ol;1
hog;1
ridin;1
boys;7
fool;2
figure;14
farmed;1
crew;2
bigger;11
names;14
our;45
personally;1
protection;4
myself;10
making;19
mistake;14
blew;2
part;16
plan;9
capable;7
fall;8
curtain;1
came;41
information;12
hurt;14
stop;43
love;23
sweet;3
thought;57
bumpy;1
past;7
framing;10
change;10
plans;7
snatch;1
grab;6
desperate;3
sin;1
suicide;2
specialty;1
wonder;3
picked;3
wouldn;22
must;23
hospitals;1
possible;6
backup;3
system;12
snatched;1
ended;3
sense;11
store;3
supplies;1
patch;3
promise;16
explain;15
framed;26
detectives;7
try;21
flip;5
heading;2
goodness;1
r;8
highway;3
animal;1
used;22
handling;1
ground;5
sheriff;6
sees;3
roads;2
blood;16
scared;11
trouble;13
through;29
keeping;10
alive;9
hide;6
truck;8
once;11
road;4
calling;17
complicated;5
short;2
version;2
killed;68
frame;2
sterilize;1
getting;21
bullet;18
surgeon;3
yourself;32
seen;26
tools;1
extract;1
vice;2
unit;2
narcotics;9
buy;7
team;6
rough;4
trade;1
scum;3
junkies;1
crack;1
whores;1
sick;6
line;7
work;44
trick;2
brings;1
loving;1
worried;12
cost;4
career;4
weeks;7
battle;29
robbery;8
homicide;20
fun;6
microscope;1
streets;4
minute;6
particular;1
crusader;1
nutty;2
bar;11
front;11
both;23
respect;4
loyalty;1
shied;1
ones;6
chest;5
execution;6
style;7
teach;2
academy;1
shed;2
light;3
important;26
contacted;4
always;24
supersedes;1
investigations;4
cooperate;2
yesterday;20
hold;14
lodged;1
deep;2
major;3
artery;1
although;2
sucks;1
anybody;16
sleazy;1
friend;15
slim;10
registered;1
murdered;8
investigation;9
took;32
overnight;2
impossible;2
woken;1
same;86
report;12
living;18
rock;1
quarry;4
knows;25
stuck;5
big;28
needle;4
twice;3
since;21
swiped;1
talked;9
boyfriend;7
shock;2
lost;14
accident;2
papers;3
headlines;1
motel;15
conversation;4
either;7
different;35
depends;2
lady;7
shop;3
save;22
fix;8
thinking;8
needles;2
given;4
hallucinogen;1
none;10
ago;19
having;11
headaches;1
million;1
times;16
looked;4
explanations;1
shrink;1
stepped;3
care;42
lived;1
together;17
lying;15
ambushed;2
local;1
sheriffs;3
secure;2
brought;13
w;6
final;1
moments;1
capped;1
amazing;7
inning;1
beat;3
giants;3
highlights;1
sports;1
also;11
dress;1
coulda;3
sold;4
stray;3
poor;1
scruffy;1
mutt;1
vegas;4
honeymoon;2
broken;2
inside;18
die;20
naturally;1
washed;1
yours;11
bathroom;2
credit;4
alone;11
em;24
takes;6
drastic;2
checkpoint;1
clear;18
vests;1
shut;19
played;6
voice;6
mail;9
sent;24
dr;3
artlet;1
c;9
miller;1
doctors;1
lie;11
asked;16
nicely;1
moved;3
seems;7
ambulance;3
transport;1
ours;2
treat;1
common;4
criminal;2
father;44
ladies;1
jobs;1
ms;10
correct;2
provide;1
entire;3
absolutely;2
wound;1
danny;5
yan;6
gentlemen;2
club;30
chinatown;7
informant;7
drug;8
dealer;4
human;1
garbage;4
helps;3
pieces;2
hitters;1
list;8
arrests;2
leads;4
colombian;1
cartel;1
paying;4
juicy;1
nuggets;1
official;3
payouts;1
filed;2
interesting;3
withdrawal;1
account;3
eddie;41
process;3
bed;5
covered;5
gaping;1
hole;2
butchered;1
almost;5
idea;32
feels;3
honey;7
whip;1
pasta;1
angry;5
shape;1
blue;10
crashing;1
nurses;1
