Mot,Occurrence
you,1294
i,1159
a,769
est,765
je,728
tu,721
s,661
pas,598
de,577
the,573
to,550
it,541
t,524
que,523
il,397
c,396
le,392
ne,355
ce,352
me,349
un,337
what,320
n,301
ça,297
la,296
that,293
on,291
à,291
et,286
and,264
m,263
l,261
he,258
of,253
une,240
is,237
luke,231
do,215
qu,215
en,214
not,208
j,207
we,202
ai,199
vous,197
as,196
d,188
have,186
know,184
in,181
galvin,180
be,177
this,177
don,170
te,169
les,167
no,162
pour,160
your,159
was,154
elle,154
re,151
she,145
my,144
qui,141
des,140
are,140
mina,136
with,131
y,128
ve,127
can,127
bien,123
there,123
non,122
for,122
mais,120
him,119
toi,119
got,118
ll,118
about,117
so,116
moi,116
like,110
nous,106
but,106
suis,105
être,105
était,105
sais,104
tout,101
think,98
all,95
chose,94
well,94
get,94
es,93
ruby,93
just,92
avec,91
si,91
ok,90
plus,89
up,89
they,86
quoi,86
here,86
oh,84
dans,83
quelque,82
faire,81
veux,79
mon,78
want,77
peux,77
life,77
something,77
her,76
right,75
if,75
fait,75
out,74
va,74
rien,74
là,73
vie,73
comme,73
ton,72
see,72
going,71
lui,71
dit,71
du,71
oui,70
go,69
yeah,69
come,68
se,67
did,67
who,66
now,63
at,62
how,62
one,62
helsing,62
will,62
van,62
sur,59
ils,59
vraiment,58
fais,57
could,57
par,57
time,57
au,56
dire,56
jamais,54
why,54
good,54
tell,53
ici,53
peut,52
où,52
were,52
been,52
sorry,51
son,51
alors,51
really,50
them,50
let,49
an,49
sont,49
ma,49
pourquoi,48
très,47
where,47
need,47
désolé,46
by,46
half,45
his,45
say,45
or,45
dois,44
when,44
never,44
rupert,44
nothing,43
had,43
ally,42
didn,42
pense,42
ou,41
quand,41
maintenant,40
thing,40
very,39
crois,39
gilgamel,38
back,37
way,37
would,37
père,36
avais,36
yes,36
merci,36
mort,36
find,36
juste,35
ta,35
demi,35
comment,35
take,35
should,35
avoir,35
down,35
bon,34
tibbs,34
has,34
quincey,33
même,33
some,33
choses,33
voir,33
anything,33
too,33
said,33
vois,33
old,32
vampire,32
besoin,32
keep,32
font,31
us,31
things,31
mean,31
sure,31
am,31
peu,31
madge,30
only,30
aussi,30
veut,30
vais,30
trop,30
temps,30
allez,29
then,29
autre,29
kill,28
won,28
from,28
long,28
karen,28
alice,28
eu,28
maybe,28
ont,28
give,28
name,27
aller,27
tuer,27
simeon,27
dead,27
thought,27
dad,27
more,27
doit,27
vampires,27
été,27
night,26
look,26
off,26
any,26
mum,26
eh,26
type,26
after,26
mr,26
around,25
depuis,25
mes,25
avez,25
après,25
vu,25
seul,25
talk,25
tes,25
avait,25
toujours,25
parler,25
siméon,25
salut,24
avons,24
people,24
message,24
please,24
does,24
doing,24
jamie,24
bonne,24
cette,23
sans,23
home,23
devrais,23
killed,23
nom,23
ouais,23
nice,22
sang,22
quelqu,22
jay,22
told,22
doesn,22
own,21
bit,21
sûr,21
always,21
seen,21
little,21
place,20
thrip,20
years,20
passe,20
personne,20
suppose,20
better,20
last,20
savoir,20
amis,20
fois,20
blood,19
voiture,19
mauvais,19
before,19
wants,19
problème,19
these,19
talking,19
viens,19
thanks,19
must,19
ever,19
déjà,19
trouver,19
exactly,19
thank,19
turn,19
wasn,19
angel,19
mère,19
wouldn,19
idea,19
over,18
fine,18
looking,18
aurais,18
new,18
longtemps,18
someone,18
call,18
girl,18
great,18
abraham,18
nasty,18
aime,18
two,18
laisse,18
deux,17
êtes,17
car,17
boy,17
aux,17
make,17
ces,17
much,17
first,17
passé,17
entre,17
rat,17
moment,17
even,17
étais,17
help,17
plaît,17
tué,17
different,16
day,16
air,16
again,16
beaucoup,16
appelle,16
everything,16
penses,16
votre,16
than,16
nuit,16
hi,16
trust,16
through,16
says,16
prendre,16
word,16
happened,16
kind,16
point,16
part,16
fille,16
might,16
rutherford,16
other,15
tous,15
vas,15
connais,15
love,15
away,15
leave,15
dis,15
dracula,15
accident,15
bad,15
left,15
coming,15
problem,15
ans,15
pu,15
into,15
big,15
hear,15
ange,15
cool,15
safe,15
else,15
hello,15
sens,15
encore,15
important,15
pensais,15
importe,14
classe,14
guy,14
anyway,14
father,14
friends,14
gens,14
raison,14
aurait,14
believe,14
friend,14
meet,14
wanted,14
arrive,14
parti,14
anselm,14
most,14
soit,14
idée,14
ah,14
wrong,14
without,14
hey,14
maggie,13
regarde,13
sois,13
pourrais,13
devrait,13
happy,13
parce,13
faites,13
mieux,13
whole,13
pouvoir,13
garçon,13
many,13
eux,13
wait,13
ffff00,13
perdu,13
color,13
understand,13
lost,13
com,13
maman,13
dû,13
face,13
knew,13
done,13
may,13
sa,13
toute,13
quite,13
use,13
feel,13
bas,13
died,13
stop,12
facile,12
donc,12
avant,12
remember,12
man,12
plan,12
ami,12
gone,12
fu,12
kung,12
jour,12
seem,12
confiance,12
worry,12
enough,12
genre,12
choice,12
dear,12
orbe,12
heure,12
easy,12
vengeance,12
prétend,12
happen,12
test,12
écoute,12
faut,12
course,12
gonna,12
sent,12
orb,12
savez,12
pretending,12
tard,12
yours,12
sait,11
saying,11
their,11
stay,11
espèce,11
épée,11
partie,11
real,11
went,11
dieu,11
those,11
run,11
contre,11
laisser,11
sera,11
once,11
sword,11
trouve,11
matter,11
parle,11
lot,11
femme,11
autres,11
petit,11
truc,11
our,11
chez,11
question,11
start,11
whatever,11
ask,11
tour,11
accord,11
bizarre,11
loin,11
arcadya,11
monde,11
moins,11
quel,11
deal,11
attention,11
put,11
care,11
grade,10
stacks,10
human,10
danger,10
supposed,10
minute,10
ait,10
prends,10
demon,10
choix,10
haven,10
option,10
anika,10
listen,10
college,10
guide,10
speedwell,10
faute,10
goes,10
came,10
isn,10
jusqu,10
parlé,10
yourself,10
medium,10
jenny,10
pendant,10
enfant,10
garde,10
dessus,10
hurt,10
traveste,10
enfants,10
allons,10
another,10
façon,10
harpy,10
took,10
leur,10
assez,10
donne,10
jonathan,10
nouvelle,9
smell,9
aucun,9
actually,9
world,9
inquiète,9
vieux,9
phone,9
business,9
team,9
entendu,9
same,9
imagine,9
fils,9
voulais,9
pretty,9
thinks,9
grace,9
morte,9
toutes,9
three,9
partir,9
commence,9
vrai,9
gave,9
worried,9
harpie,9
mot,9
idiot,9
permis,9
against,9
harker,9
town,9
dernier,9
shoot,9
piège,9
comprends,9
génial,9
ses,9
souviens,9
exactement,9
vite,9
stuff,9
pourrait,9
histoire,9
beware,9
until,9
donné,9
being,9
seeing,9
hall,9
téléphone,9
démon,9
rayonnages,9
aider,9
regarder,9
smite,9
moyen,9
freak,9
story,9
lovely,9
driving,9
croyais,9
made,9
work,9
club,9
because,9
fault,9
www,9
god,9
found,9
julius,8
somewhere,8
seulement,8
yet,8
retourner,8
pizza,8
terry,8
along,8
waiting,8
ira,8
peur,8
forget,8
pris,8
difficile,8
watch,8
arrivera,8
normal,8
wandering,8
lying,8
death,8
plein,8
dna,8
zippy,8
excuse,8
adn,8
still,8
seule,8
quelle,8
pyromancer,8
laissé,8
heard,8
sanctity,8
feeling,8
st,8
missing,8
job,8
sandy,8
wish,8
children,8
hell,8
show,8
anyone,8
welcome,8
mother,8
probably,8
entirely,8
calm,8
water,8
making,8
happens,8
thee,8
mind,8
watching,8
hold,8
tomorrow,8
kidding,8
alive,8
sainteté,8
enfin,8
sense,8
means,8
luggs,8
allait,8
catch,8
sentir,8
gun,8
1000fr,8
odeur,8
ceux,8
demain,8
demandé,8
eau,8
propos,8
maison,8
grand,8
vos,8
années,8
excusez,8
venu,8
voudrais,8
cet,8
passer,7
famille,7
dehors,7
simple,7
between,7
croire,7
every,7
semble,7
weird,7
lives,7
ressemble,7
vôtre,7
vies,7
heures,7
blind,7
swear,7
huh,7
papa,7
oublie,7
case,7
monstre,7
friendship,7
voilà,7
entité,7
freaks,7
its,7
voulu,7
aura,7
guess,7
seras,7
sauvé,7
cat,7
saved,7
sortir,7
tiens,7
compris,7
reste,7
filles,7
machine,7
pyromancien,7
true,7
ur,7
ferais,7
sécurité,7
far,7
dedans,7
combien,7
small,7
lycée,7
times,7
amie,7
tue,7
nouveau,7
rester,7
endroit,7
réussi,7
bonjour,7
try,7
few,7
wife,7
tête,7
second,7
dunelm,7
mission,7
best,7
looks,7
war,7
cas,7
which,7
thinking,7
vrais,7
elles,7
monstres,7
arme,7
vérité,7
tomber,7
mauvaise,7
mal,7
boulot,7
petite,7
used,7
girlfriend,7
pub,7
méfies,7
chance,7
attends,7
trouvé,7
sort,7
prêt,7
dernière,7
five,7
power,6
brilliant,6
jack,6
copine,6
minutes,6
wires,6
e,6
colonial,6
pensé,6
blah,6
super,6
guerre,6
bring,6
saw,6
paradis,6
saint,6
started,6
play,6
favourite,6
anges,6
girls,6
nos,6
terre,6
miss,6
sommes,6
trying,6
leyden,6
coin,6
year,6
change,6
eat,6
round,6
asked,6
verre,6
voulez,6
aucune,6
couldn,6
clair,6
family,6
while,6
appreciate,6
amber,6
since,6
concert,6
called,6
phrase,6
ago,6
attend,6
clown,6
global,6
seriously,6
net,6
appris,6
santé,6
kid,6
switched,6
heaven,6
rest,6
vivant,6
woman,6
bingo,6
often,6
keeps,6
sit,6
walk,6
piano,6
sync,6
absolutely,6
hard,6
violence,6
donner,6
pourtant,6
ain,6
celui,6
offer,6
voulait,6
hand,6
aimes,6
trace,6
entity,6
four,6
tobias,6
différent,6
amour,6
tôt,6
possibly,6
live,6
latin,6
gladiolus,6
kinda,6
cause,6
entendre,6
ville,6
chercher,6
aveugle,6
trois,6
mince,6
impossible,6
later,6
mec,6
seconde,6
getting,6
mourir,6
bet,6
tire,6
puisse,5
parrain,5
voit,5
hot,5
savais,5
luck,5
pouvez,5
humains,5
blague,5
intelligent,5
smiter,5
truth,5
enchilada,5
head,5
glad,5
shower,5
espère,5
version,5
apporte,5
form,5
faux,5
expert,5
parents,5
tried,5
seems,5
trip,5
grave,5
date,5
paquet,5
least,5
correct,5
move,5
act,5
abby,5
telling,5
finis,5
manque,5
dirais,5
boys,5
niveau,5
useful,5
monkey,5
savent,5
regardes,5
manger,5
balls,5
damn,5
homme,5
myself,5
feu,5
forgive,5
relec,5
bye,5
aide,5
planning,5
numéro,5
soir,5
ladies,5
utilise,5
such,5
rather,5
jure,5
young,5
godfather,5
following,5
join,5
mettre,5
london,5
bat,5
comes,5
première,5
killing,5
afraid,5
fête,5
managed,5
fight,5
interesting,5
nebraska,5
cela,5
synchro,5
body,5
fin,5
respect,5
garden,5
calme,5
denial,5
demons,5
middle,5
funny,5
madame,5
singe,5
heureux,5
trad,5
surely,5
conversation,5
jeune,5
cos,5
pose,5
bête,5
ready,5
dunnyme,5
check,5
quelques,5
em,5
each,5
sign,5
souvent,5
cher,5
arrête,5
die,5
clear,5
fast,5
odour,5
notre,5
trouvera,5
châtieur,5
rubbish,5
colère,5
travail,5
problèmes,5
wanna,5
stupid,5
sorte,5
égouts,5
harpies,5
pulse,5
taking,5
sûrement,5
cours,5
envoie,5
premier,5
entends,5
zombie,5
person,5
drink,5
dégage,5
contact,5
turns,5
sister,5
matcob,5
side,5
hein,5
londres,5
utile,5
sous,5
lies,5
child,5
visions,5
humain,5
style,5
buy,5
cherche,5
completely,5
strange,5
surprise,5
école,5
permettre,5
number,5
market,5
corps,5
innocents,5
whether,5
plutôt,5
knows,5
esprit,5
school,5
paid,4
dunno,4
speak,4
greenwich,4
turned,4
sympa,4
avis,4
monsieur,4
adresse,4
proud,4
continue,4
réalisé,4
park,4
rentrer,4
ways,4
rend,4
arrivent,4
devoirs,4
fou,4
prennent,4
contente,4
thé,4
rule,4
action,4
penser,4
pire,4
relax,4
rire,4
cold,4
smiting,4
laissez,4
femmes,4
bed,4
opinion,4
marché,4
peuvent,4
signe,4
seven,4
aaaagh,4
fini,4
pièce,4
kids,4
bière,4
boîte,4
parles,4
manques,4
fire,4
neuf,4
end,4
hoping,4
sûre,4
personnes,4
fool,4
training,4
gentil,4
early,4
front,4
choisi,4
dites,4
inhumains,4
target,4
réfléchis,4
blown,4
under,4
cover,4
v,4
quick,4
trouveras,4
pensaient,4
h,4
witty,4
fasse,4
chickens,4
pareil,4
liberty,4
er,4
earlier,4
charmant,4
sake,4
vue,4
sortie,4
sir,4
hair,4
r,4
sixth,4
amazing,4
ohhh,4
realise,4
jude,4
maureen,4
arrière,4
rapport,4
propre,4
experience,4
allé,4
partout,4
failed,4
équipe,4
effet,4
baltic,4
stairs,4
harper,4
certainly,4
serious,4
arrêter,4
peter,4
dise,4
sériessub,4
chocolate,4
devriez,4
raconté,4
save,4
hommes,4
enlever,4
messenger,4
õ¹â½,4
pick,4
jouer,4
frs,4
revenir,4
shocked,4
trap,4
worse,4
presents,4
poor,4
route,4
powerful,4
étaient,4
burning,4
compte,4
already,4
bref,4
worked,4
puissant,4
suspicious,4
allais,4
mark,4
joyeuse,4
clearly,4
lie,4
merveilleux,4
serait,4
meilleur,4
given,4
couple,4
jardin,4
devons,4
dirait,4
recherches,4
immeuble,4
rock,4
douche,4
courez,4
pardonne,4
journée,4
abord,4
scent,4
san,4
package,4
arts,4
pensent,4
send,4
rare,4
dont,4
makiwara,4
prat,4
hier,4
jours,4
questions,4
puis,4
docteur,4
police,4
service,4
messing,4
sérieusement,4
explanation,4
kuma,4
trucs,4
sewer,4
aren,4
état,4
indeed,4
hands,4
shall,4
humble,4
patron,4
dragons,4
bras,4
pensez,4
hours,4
righteousness,4
apparemment,4
heart,4
together,4
disparu,4
changer,4
morts,4
autour,4
stake,4
soirée,4
feels,4
su,4
affaires,4
aviez,4
near,4
affaire,4
obviously,4
gil,4
disait,4
humans,4
omelette,4
cannot,4
pieter,4
leurs,4
touch,4
drive,4
difficult,4
ais,4
messager,4
sixième,4
week,4
probablement,4
trick,4
likes,4
alone,4
close,4
drugs,4
beer,4
ages,4
dark,4
hour,4
suite,4
hiya,4
perhaps,4
gotta,4
rejoins,4
prénom,4
beats,4
demande,4
tonight,4
crazy,4
travesty,4
étions,4
coffee,4
mine,4
protéger,4
possible,4
party,4
parie,4
cross,4
state,4
book,4
fleurs,3
treat,3
pure,3
température,3
vide,3
entrainement,3
explain,3
example,3
impressed,3
transport,3
rendre,3
fasses,3
emmener,3
casser,3
moments,3
croyez,3
frère,3
correctly,3
normale,3
sadly,3
ass,3
glace,3
vivre,3
celle,3
anglais,3
whose,3
saurais,3
sumérien,3
soeurs,3
jolie,3
lasagne,3
parfaite,3
sweet,3
drôle,3
semaine,3
rats,3
essayer,3
année,3
appelé,3
guns,3
anniversaire,3
fier,3
cadeau,3
culture,3
vieil,3
totally,3
beneath,3
forever,3
marvellous,3
piece,3
souhaite,3
showtime,3
armoise,3
using,3
souls,3
anywhere,3
able,3
wonder,3
rumeur,3
next,3
subtle,3
bienvenue,3
city,3
hurry,3
dutch,3
entered,3
recently,3
weren,3
push,3
fall,3
shame,3
brought,3
faster,3
um,3
irai,3
nul,3
vit,3
queue,3
walls,3
locate,3
gets,3
spent,3
vers,3
montrera,3
vraie,3
original,3
faisait,3
shouldn,3
judgement,3
pratique,3
angels,3
promise,3
forcément,3
order,3
nôtre,3
battre,3
totale,3
code,3
freaked,3
innocent,3
aimerais,3
dérange,3
dumb,3
pleasure,3
mensonges,3
ressens,3
pouvait,3
feras,3
mangé,3
unless,3
either,3
trainer,3
boire,3
coup,3
appears,3
bump,3
archives,3
pass,3
revoir,3
full,3
issues,3
totalement,3
professor,3
occasion,3
appeler,3
ideal,3
advice,3
control,3
chasse,3
plenty,3
extra,3
utiliser,3
parlais,3
énervé,3
instead,3
break,3
none,3
essaye,3
suivi,3
connaissait,3
rencontrer,3
sauver,3
lâche,3
sewers,3
afford,3
dating,3
snapped,3
gars,3
wake,3
dents,3
ice,3
felt,3
signifie,3
justice,3
seconds,3
