Mot;Occurrence
ils;59
ne;355
te;169
payent;1
pas;598
assez;10
pour;160
ça;297
eh;22
bien;123
les;167
conditions;1
sont;49
mêmes;1
partout;4
mes;25
clés;1
il;397
y;128
a;257
désolé;46
dr;1
graham;1
trad;5
kamelia;2
dunnyme;5
harper;4
lmf;2
relec;5
murdock;1
synchro;5
matcob;5
eu;28
une;240
intrusion;1
dans;83
ce;352
lycée;7
classe;14
trois;6
je;728
pense;42
la;296
secrétaire;1
dû;13
le;392
déranger;1
elle;154
l;261
dit;71
est;765
morte;9
nous;106
sommes;6
découverts;2
totalement;3
savent;5
où;52
vit;3
ok;33
dois;44
aller;27
que;523
fête;5
commence;9
bienvenue;3
ténèbres;2
m;104
man;3
salut;24
tu;721
être;105
luke;93
faites;13
vous;197
t;126
ai;199
réveillé;1
n;298
réussi;7
à;291
faire;81
marcher;1
cette;23
satanée;1
machine;3
glace;3
suis;105
galvin;80
rupert;20
peux;77
quelque;82
chose;93
de;575
mot;9
anglais;3
décrire;1
état;4
d;153
omelette;2
parfaite;3
c;396
en;214
rapport;4
avec;91
température;3
interne;2
ni;2
crue;1
trop;30
cuite;1
comme;73
vois;33
français;1
merci;36
ont;28
un;337
baveuse;1
charmant;4
quelqu;22
qui;141
s;69
va;74
pendant;10
des;140
années;8
sans;23
donner;6
aucun;9
signe;4
idiot;8
même;33
qu;215
dire;56
jenny;4
bon;34
important;9
es;93
là;73
maintenant;40
et;286
magnifique;2
surprise;4
depuis;25
quand;41
ville;6
moment;14
sais;104
dormi;2
heures;7
vas;15
rester;7
peut;52
non;122
j;205
réservation;1
au;56
compton;1
hôtel;1
connais;15
oui;70
après;25
southwark;1
bridge;1
besoin;32
dormir;1
voudrais;8
conduire;2
mais;120
école;5
direction;2
opposée;1
pourrait;9
accompagner;2
pourquoi;48
bonne;24
idée;14
coin;5
rue;1
prends;10
taxi;2
laisse;18
finir;2
son;45
petit;11
déjeuner;2
mange;2
jamais;54
choses;33
fait;75
mec;6
maman;13
veux;79
me;111
ton;72
ami;12
mon;78
ouais;23
alors;51
parrain;5
blague;5
connaissais;2
père;36
ta;35
mère;19
étions;4
bons;3
amis;20
effet;4
fut;3
dur;2
avons;24
perdu;13
très;47
as;159
déjà;19
vu;25
quelles;1
sortes;2
du;71
regardes;5
rien;74
propos;8
toi;119
moi;116
soir;5
sortie;4
entre;17
mecs;2
quoi;86
part;9
annule;1
comprendra;1
suppose;13
fille;16
prévois;1
rentrer;4
seul;25
aime;18
filles;7
peuvent;4
attendre;3
parlé;10
19h30;1
hall;4
royal;1
festival;1
rejoins;4
ouvre;1
avant;12
chez;11
si;91
fais;57
attention;10
souviens;9
mordent;2
i;168
ruby;29
celle;3
on;150
problème;19
se;67
passe;20
type;9
apparu;1
était;105
apparemment;4
veut;30
plaisantes;2
écoute;12
book;1
apporte;5
vais;30
ici;53
travailler;2
maison;8
pourrais;13
passer;7
prendre;16
cool;5
plus;89
croyais;9
rats;2
gros;2
singe;5
avez;25
singes;1
quartier;2
détériore;1
mangé;3
notre;5
serpillère;1
devrais;23
appeler;3
municipalité;1
hommes;4
fourgon;1
occupent;1
genre;12
oublie;7
grave;4
anniversaire;3
amber;3
irai;3
montrera;3
vers;3
22h30;1
saura;1
toute;13
façon;10
manqueras;1
grand;8
année;3
dernière;7
nul;3
abraham;9
v;2
h;2
aucune;6
r;2
naissance;2
sa;13
mort;36
vieil;3
lui;71
ressemble;7
remarques;1
air;14
famille;7
dehors;7
barbe;1
nouveau;7
bébé;2
imagine;5
découvrirai;1
excusez;8
madame;5
mina;52
été;27
extraordinaire;2
venais;2
tout;101
fou;4
impulsif;1
aimerais;3
présenter;2
harker;5
voici;1
rutherford;8
tes;25
fans;1
attendent;2
doit;27
libérer;1
passage;1
voir;33
croire;7
avoir;35
foi;2
semble;7
impossible;3
fabuleuse;1
toujours;25
par;57
viens;19
jolie;3
avais;36
réalisé;4
aveugle;6
duper;1
unique;1
spéciale;1
vraiment;58
étranges;1
attaquer;1
espèce;11
avait;25
affreux;1
observait;1
demandé;8
faisais;3
vérité;7
guerrier;3
aussi;30
ainsi;2
tous;15
guerriers;1
froide;2
guerres;1
froides;1
lutte;3
humains;5
inhumains;4
eux;13
gens;14
gardent;1
ces;17
créatures;3
leur;10
place;6
demi;35
vie;73
laquelle;2
appartiennent;1
parles;4
personnes;4
parle;11
différente;2
êtres;1
surnaturels;1
plupart;3
villes;1
mètres;2
distance;2
rat;8
sept;2
fois;20
nombreux;2
pourtant;6
souvent;5
pareil;4
voies;1
ou;41
existent;2
oh;27
vus;2
vampires;12
loups;1
garous;1
nom;23
importance;2
contente;4
classer;2
châtier;1
châtiez;1
monsieur;4
dommages;1
extrêmes;1
promptement;1
efficacement;1
colère;5
dieu;11
santé;6
van;31
helsing;31
leyden;3
aux;17
pays;2
bas;13
arrête;5
moques;1
dis;15
apparenté;1
personnage;1
littérature;1
vol;2
identité;1
bram;1
stoker;1
auteur;1
dracula;8
volé;2
crois;39
inventé;2
existé;1
allez;29
finis;5
verre;6
montrer;3
note;2
cet;8
endroit;7
smithfield;1
marché;4
viande;2
chambre;1
souterraine;1
ans;15
fondue;1
gel;1
permanant;1
fallu;3
mois;2
ouvriers;1
retirer;2
trouvé;7
mcdonald;1
rivières;2
flaxman;1
hawk;1
pensaient;4
avaient;2
atterri;1
moyen;9
âge;3
change;3
eau;8
ancienne;1
coule;3
cela;5
prendra;1
longtemps;18
attend;6
révisions;1
devoirs;4
arrivent;4
savez;12
haut;1
monde;11
réel;2
jouez;1
saleté;2
arme;7
feu;5
auriez;2
pu;15
tuer;27
travaux;2
sur;59
micro;1
ondes;1
exactement;9
entité;7
peu;31
moins;11
chaud;1
petites;3
pommes;2
terre;6
médaillon;1
prêt;7
perd;2
utilise;5
force;2
amusant;2
temps;30
shazzam;1
bibliothèque;3
numéro;5
mondiale;2
formes;2
inhumaines;1
appelons;3
rayonnages;9
travaille;3
construit;1
garde;10
art;1
début;3
bonjour;7
bizarre;11
bras;4
appris;6
connaître;2
quel;11
point;8
autour;4
appartient;1
escient;1
chance;6
agir;3
passé;17
disait;4
accident;9
voyage;3
affaire;4
partie;11
affaires;4
monstres;7
étiez;3
sait;11
su;4
cas;7
agissait;1
voiture;19
fin;4
histoire;9
essayé;3
durement;1
protéger;4
êtes;17
parti;14
aviez;4
vos;8
raisons;3
facile;12
blessée;2
aurait;14
ses;9
cibles;2
nuit;16
cambriolée;1
aujourd;1
hui;1
montré;1
appartement;2
soit;14
coïncidence;2
dorénavant;1
habites;1
donc;12
laisser;11
tomber;7
rejoindre;1
voulez;6
couverture;1
éclats;1
aïeul;1
choix;10
autres;11
destinée;1
dernier;9
refuser;3
option;5
incroyable;3
comment;35
gênes;1
parlons;1
demain;8
suffisamment;1
pouvez;5
changer;4
projets;3
venu;8
mieux;13
vaut;3
tard;12
profondément;1
parlerai;2
soirée;4
étais;17
caché;1
juste;35
rattraper;3
super;5
parie;4
aurais;18
souhaité;1
argent;3
seigneur;1
monstre;7
jeté;1
dents;2
pointues;1
importe;14
expert;3
gars;3
allumer;1
lumière;1
fière;2
héros;2
parler;25
sois;13
sage;2
gentiment;1
lâche;3
suite;3
certifie;1
pulvériser;1
vieux;9
ravi;2
rencontrer;3
connaissait;3
puisse;5
envoyé;1
trouver;19
inquiète;9
formidable;1
suivi;3
essaye;3
remercier;1
trouve;11
mots;2
suiviez;1
protégeais;1
atouts;1
sauvant;2
refus;2
envisageable;1
minute;4
envoyés;1
ceux;8
capuche;1
étaient;4
signifie;3
plan;7
montent;1
peine;3
suivre;1
propre;4
salive;1
recherché;1
près;3
toutes;9
amie;7
prudent;3
aille;1
découvert;2
impressionné;3
agit;1
agressé;1
savoir;20
gentillesse;1
expliquer;3
voyons;3
veulent;1
personne;20
jusque;2
clair;6
loin;11
préparé;1
interviens;1
trouvera;5
armes;2
dont;4
autre;29
question;7
bête;5
aidera;3
sérieusement;4
qualifiée;1
trucs;4
descendre;1
célèbre;1
jonathan;5
assistant;1
premier;5
conservateur;1
ait;10
dedans;7
ferai;3
quelques;5
recherches;4
faut;12
devons;4
combattons;1
mauvais;19
pressentiment;3
plaît;17
appelle;16
accord;10
sûr;21
raisonnable;2
chauffeur;1
censée;1
compte;4
conduis;1
inutile;1
traiter;1
derrière;3
milieu;3
doucement;3
lourd;1
bizarres;1
munitions;1
deux;17
liquides;1
argenté;1
verte;1
plastique;1
soluble;1
cible;1
humaine;3
ferait;2
bosse;2
k;1
o;1
dégâts;1
physiques;1
long;4
terme;1
tire;6
évaporent;1
balle;2
magique;1
excellence;1
magie;1
science;1
censé;1
servir;1
penseras;1
autrement;1
désolée;3
niveau;5
ira;8
estime;2
soi;2
disparu;4
attends;7
arrive;14
préparer;1
relativement;1
calme;5
étonnes;2
ramenée;1
devrait;13
retourner;8
berceau;1
aimes;6
beaucoup;16
fiancée;1
aimerait;1
sixième;4
sens;15
aveugles;1
possèdent;1
trompes;1
garderie;1
sang;22
dises;1
train;2
cause;5
attaqués;1
arrivera;8
encore;15
mal;7
aurai;2
bosses;2
pied;2
amour;6
différent;6
différences;1
diras;1
rentrée;1
ma;43
faute;10
apprécies;1
intéressant;3
intéressante;1
paquet;5
histoires;1
colorées;1
raconté;4
jeunes;1
voyageant;1
allaient;2
papa;7
brillant;2
disparaitrai;1
équipe;4
coucher;1
occupe;2
examens;1
baltic;2
stairs;2
entendu;9
viennes;1
gouverneur;1
arrivé;3
entrée;3
douleur;1
rues;2
sombres;1
pluie;1
tombant;1
pavés;1
confort;1
fuit;1
mince;5
aperçu;1
angoisse;1
désespoir;1
résumé;3
fillette;2
gladiolus;3
thrip;10
service;2
détestes;1
respecter;1
the;1
john;1
just;1
hawks;1
it;1
all;1
up;1
immeuble;4
rivière;1
visage;2
ombre;3
chasseur;2
primes;1
penses;16
pouvoir;13
localiser;3
méchant;2
stupide;3
jusqu;10
sécurité;7
vrai;9
garçon;13
pardonne;4
image;2
assurer;1
ferais;7
châtieur;5
châtié;1
feriez;1
veniez;1
blesserions;1
subtile;1
distinction;1
intransigeant;1
tends;1
mains;3
montrerai;1
allons;10
tiens;7
promesses;1
seulement;8
menotter;1
menottez;1
sucreries;1
dessous;3
pose;5
connaîtras;1
joué;2
serait;4
plutôt;5
connaitras;1
hein;5
merveilleux;4
tais;1
gladys;1
merde;3
cancéreuse;1
injures;1
touchent;1
négocier;1
style;2
négocie;1
châtie;1
puis;4
prenez;1
tour;8
nos;6
manches;1
effrayant;3
sous;5
grille;1
venez;2
partir;9
confiance;12
pote;2
perçant;1
cou;2
aura;7
dessus;10
cran;1
châtieurs;1
pousse;3
tiré;2
hésité;1
maudite;1
hurlé;1
trajet;1
hier;4
paye;1
pizza;4
déj;1
regarde;13
page;1
suivante;1
diagnostiqué;1
condition;1
rare;3
symptômes;1
évidents;1
sortir;7
préavis;1
médecin;1
traitant;1
professeur;3
e;3
expensive;1
cher;5
quelle;8
heure;12
permanence;1
rubbish;1
smiler;1
vérifie;1
lit;2
révisé;1
votre;16
examen;2
félicitations;1
cachez;1
envisagé;1
cours;5
supplémentaires;1
pensé;6
devriez;4
allo;2
réelle;1
écoutez;2
arcadya;11
global;6
team;6
net;5
sériessub;4
com;5
ally;19
surveille;1
ur;7
récite;1
prière;1
madge;15
ange;15
mark;2
emmené;2
paradis;6
wandering;7
cat;7
sunnylilie;2
makiwara;2
siècle;2
pratique;3
arts;2
martiaux;2
membres;1
utilisés;1
genoux;1
coudes;1
pieds;1
totale;3
exact;2
but;3
former;1
mentalement;1
physiquement;2
kuma;2
san;2
enregistre;1
nombre;2
coups;1
portés;1
seconde;6
esprit;5
corps;5
rapide;1
meilleur;4
surpasser;1
pardon;1
physique;1
reste;7
relâcher;1
arriverai;1
certains;1
travail;5
applique;1
rentre;2
douche;4
chaque;2
tôt;6
terry;4
appelé;3
confirmé;1
fasses;3
leçon;1
abord;4
permis;9
entrainement;3
jeune;5
soucis;1
tue;7
tâche;1
doucher;1
restez;2
vautours;1
enfant;10
police;2
questions;2
jours;4
auront;1
marre;1
iront;1
emmerder;1
pensent;4
énervée;1
princesse;1
emmenée;1
arrêter;4
rejoint;1
jamie;10
promis;1
parce;13
parents;3
refilé;1
pot;1
colle;2
frère;3
bref;4
délaisses;1
petite;7
voit;5
étrangement;1
choquée;2
déçue;1
emmener;3
