Mot;Occurrence
they;86
re;151
not;208
paying;2
you;1294
enough;12
for;122
this;177
well;94
it;540
s;592
the;572
same;9
each;5
term;2
my;144
room;2
oh;57
there;123
sorry;51
dr;1
graham;1
who;66
cooking;3
monsters;2
in;181
kitchen;3
keeps;6
a;512
knife;2
tucked;3
her;76
garter;1
nervous;3
like;109
screaming;2
motorcycles;2
keep;32
fires;1
burning;4
i;991
ll;118
water;8
running;2
we;202
know;184
over;18
when;44
turn;19
out;74
lights;2
been;52
break;3
at;62
his;45
high;1
school;5
type;17
three;9
d;35
say;45
secretary;1
must;19
have;186
disturbed;1
she;145
didn;42
t;398
dead;27
compromised;2
to;550
hell;8
where;47
he;258
lives;7
ok;57
gotta;4
go;69
show;8
time;57
welcome;8
dark;4
ages;4
mum;26
hi;16
be;177
luke;138
what;320
are;140
doing;24
did;67
wake;3
can;127
get;94
damned;2
ice;3
machine;4
work;9
m;159
galvin;100
rupert;24
anything;33
no;161
word;16
english;3
language;2
describe;1
correct;4
state;4
of;253
perfect;3
omelette;2
all;94
do;215
with;131
internal;2
temperature;3
neither;2
raw;1
nor;2
cooked;1
see;72
french;1
thanks;19
baveuse;1
don;169
love;15
someone;18
stays;1
away;15
years;20
and;264
doesn;22
even;17
write;3
idiot;1
jenny;6
matter;11
here;86
now;63
wonderful;2
surprise;1
how;62
long;24
town;8
while;6
haven;10
slept;1
hours;4
staying;2
could;57
stay;11
couldn;6
fine;18
reservation;1
compton;1
hotel;1
heard;8
ah;11
yes;36
down;35
by;46
southwark;1
bridge;1
need;47
some;33
sleepee;1
would;37
drive;4
but;103
opposite;1
direction;1
afraid;5
maybe;28
take;35
me;238
why;54
good;54
idea;19
corner;2
grab;1
cab;2
let;49
him;119
finish;2
breakfast;3
never;44
eats;1
ve;127
got;118
stuff;9
is;237
guy;14
anyway;14
something;77
want;77
tell;53
your;159
boyfriend;2
yeah;69
then;29
godfather;5
kidding;8
knew;13
father;14
mom;1
were;52
friends;14
indeed;4
was;154
bad;15
lost;13
very;39
ever;19
things;31
kind;16
eye;3
look;26
about;117
tonight;4
boys;5
night;26
somewhere;8
cancel;2
understand;13
assume;2
that;293
party;4
planning;5
on;141
going;71
home;23
alone;4
right;75
friend;14
ladies;5
wait;13
has;34
spoken;1
royal;1
festival;1
hall;5
meet;14
open;3
until;9
if;75
care;11
remember;12
bite;2
hiya;4
ruby;64
talk;25
one;62
problem;15
happened;16
turned;4
up;88
dad;27
apparently;1
wants;19
joking;2
listen;10
art;2
folder;1
bring;6
into;15
college;10
place;14
myself;5
come;68
yours;12
cool;10
ya;1
thought;27
had;43
rats;1
big;15
more;27
monkey;5
monkeys;1
wow;3
goes;10
neighbourhood;2
ate;2
our;11
mop;1
mmmm;1
should;35
call;18
council;1
men;2
vans;1
deal;11
thing;40
forget;8
amber;3
birthday;3
said;33
off;26
face;7
half;45
won;28
missing;8
much;17
rubbish;4
last;20
year;6
abraham;9
v;2
h;2
j;2
r;2
born;1
died;13
old;32
family;6
resemblance;1
er;4
apart;2
from;28
beard;1
new;17
little;21
sprog;1
suppose;7
so;116
find;36
pardon;2
thank;19
excuse;7
ma;6
am;31
mina;84
amazing;4
coming;15
wild;2
impetuous;2
somebody;1
harker;4
rutherford;8
fans;1
waiting;8
move;5
along;8
seeing;9
believing;1
believe;14
seems;5
impossible;3
fabulous;1
as;37
through;16
beautiful;3
girl;18
huh;7
realise;4
blind;7
fool;4
unique;1
special;2
really;50
weird;7
attacked;3
creepy;2
looking;18
watching;8
asked;6
truth;5
warrior;3
man;9
us;31
warriors;1
