Mot,Occurrence
i,64298
a,31370
you,31163
t,26222
s,23882
je,21508
de,17823
to,17392
the,16004
est,15395
e,15175
tu,13739
n,13646
que,13638
pas,13490
m,13336
it,12641
o,12315
l,12125
d,11796
c,11690
me,10990
that,10781
and,10556
on,10303
à,9429
le,9305
et,9138
la,9137
vous,9083
un,8777
j,7970
h,7917
il,7897
ne,7839
y,7651
ce,6912
en,6858
we,6709
of,6667
what,6626
r,6583
ça,6336
une,6116
qu,6063
ai,5976
pour,5703
in,5661
is,5582
my,5517
u,5407
les,5378
this,5284
just,5249
for,5064
re,4926
was,4873
oh,4861
so,4852
have,4743
know,4655
don,4577
he,4530
your,4449
elle,4438
not,4329
be,4218
as,4195
can,4160
mais,4115
do,4080
she,3976
but,3960
no,3863
w,3854
are,3757
with,3643
des,3606
moi,3520
si,3513
bien,3470
well,3396
suis,3324
qui,3240
g,3234
her,3212
te,3178
about,3048
get,2834
fait,2808
if,2800
avec,2770
non,2744
mon,2700
all,2683
tout,2675
dans,2665
out,2648
plus,2586
there,2535
here,2511
était,2450
nous,2412
être,2409
ll,2401
faire,2397
up,2322
like,2297
go,2291
sais,2283
au,2283
how,2244
oui,2238
du,2227
okay,2210
b,2202
him,2185
right,2183
gonna,2169
va,2165
think,2160
f,2151
quoi,2148
want,2092
veux,2083
they,2059
se,2058
at,2048
p,2042
ve,2039
now,2021
why,2002
toi,1988
ma,1959
yeah,1922
k,1890
one,1824
dit,1809
lui,1802
là,1763
alors,1739
when,1737
did,1734
really,1711
es,1698
would,1688
got,1671
son,1659
pourquoi,1654
come,1646
had,1644
good,1630
susan,1623
mike,1608
going,1602
peux,1589
quand,1577
comme,1561
bree,1561
sur,1532
dire,1496
could,1482
time,1481
peut,1479
see,1467
who,1465
been,1458
let,1429
ton,1424
vraiment,1416
carlos,1414
sorry,1412
were,1410
back,1404
need,1388
hey,1373
ils,1370
some,1366
uh,1360
dialogue,1359
default,1358
cette,1357
an,1351
v,1341
vais,1325
lynette,1307
didn,1284
his,1279
look,1278
tell,1239
our,1235
little,1198
will,1195
am,1191
from,1162
take,1158
rien,1141
say,1130
yes,1117
où,1115
avoir,1106
merci,1100
then,1098
because,1093
something,1091
comment,1085
juste,1080
votre,1076
bon,1075
edie,1065
sa,1061
make,1059
mean,1053
ta,1052
chose,1051
avait,1036
fais,1035
sont,1018
avez,1007
us,1006
way,991
doing,988
très,986
never,965
by,953
said,950
should,944
jamais,941
même,940
love,936
sure,935
ok,925
mère,919
orson,918
temps,908
par,907
over,903
peu,897
aussi,896
ici,892
crois,892
talk,890
god,883
gaby,865
besoin,864
tom,859
more,854
parce,848
please,845
home,844
off,837
voir,834
or,827
dois,827
where,825
thought,820
font,807
too,806
maintenant,806
people,804
them,804
autre,801
thing,796
femme,794
mes,787
thank,772
much,766
encore,764
été,762
notre,758
toujours,750
parler,746
sous,744
ou,737
told,736
avais,734
étais,730
faut,724
give,723
vie,715
êtes,710
um,702
accord,701
fois,699
maison,695
down,693
has,693
help,691
day,690
house,690
mom,686
ont,685
fine,680
_,679
ces,672
into,670
even,667
quelque,666
aller,665
life,664
mal,660
chez,659
allez,656
wait,653
only,651
sûr,649
again,649
vas,648
dieu,647
great,647
yellow,634
still,633
maybe,629
andrew,628
julie,627
moment,622
pos,614
find,614
quelqu,614
dis,608
après,608
very,607
call,606
désolée,605
feel,602
tous,594
night,592
enfants,592
deux,590
man,589
avant,588
work,587
maman,583
stop,575
ses,572
anything,570
any,569
voulais,569
eu,567
mrs,565
wanna,563
wanted,562
first,561
mari,560
trop,556
pense,556
two,555
color,553
aime,550
vrai,549
ca,549
vu,547
husband,544
ever,543
new,541
karl,536
keep,536
those,534
doesn,533
hi,530
leur,529
police,526
away,524
bonjour,523
after,520
sans,520
gabrielle,519
other,514
tes,514
katherine,512
père,512
mieux,511
always,510
before,506
guy,505
cause,498
mme,498
fille,498
things,496
gens,495
place,494
nice,493
car,486
baby,486
aux,485
care,485
lot,484
these,483
their,483
having,483
everything,481
mother,480
woman,474
donc,474
remember,474
put,473
salut,469
solis,466
petit,465
kids,465
getting,463
titres,463
honey,462
jour,461
depuis,461
big,461
thanks,461
made,460
course,457
soit,453
problème,453
ah,452
someone,451
every,451
long,444
better,444
part,442
does,441
viens,441
guys,440
being,440
job,439
bonne,438
than,437
veut,435
zach,434
passé,433
vois,431
eh,431
done,430
last,430
personne,429
won,429
might,429
prendre,427
kind,424
ans,423
air,423
soir,423
point,422
nothing,419
choses,415
désolé,415
excuse,415
quel,412
chérie,412
monde,411
question,410
actually,410
déjà,408
years,407
voilà,405
beaucoup,405
serait,404
talking,403
hell,403
believe,402
around,400
aider,399
mariage,398
money,397
family,397
chance,396
trying,396
isn,396
savoir,395
bad,393
sera,393
toute,393
doit,392
bébé,390
aurais,388
wife,388
arrive,386
fils,385
best,384
wrong,384
guess,384
rex,375
famille,374
thinking,372
argent,371
old,370
left,369
homme,366
passe,366
came,365
friend,364
friends,364
mind,364
while,362
grand,361
hear,360
happened,360
raison,359
next,359
voulez,359
wisteria,355
through,353
gotta,353
happy,348
laisse,347
since,346
porter,344
scavo,344
idée,343
nos,342
leave,342
found,341
attends,341
tant,340
mois,338
plaît,338
wouldn,337
ask,336
another,336
seule,336
coming,336
dû,335
mayer,335
moins,334
wasn,334
looking,333
autres,330
vos,327
mr,325
pensais,325
knew,324
tellement,324
demain,323
parle,322
saw,322
room,321
danielle,320
together,320
devrais,319
pardon,319
pendant,318
quelques,317
tard,316
hello,315
name,315
face,313
enough,313
went,312
else,312
arrête,312
pourrait,311
aurait,311
start,310
few,309
toutes,309
try,309
understand,309
girl,308
juanita,307
super,306
faites,306
pretty,304
heard,304
dinner,299
amour,299
desperate,298
stay,298
papa,298
avons,297
married,297
entre,296
dr,296
pris,295
idea,294
party,294
petite,294
minutes,294
passer,293
regarde,292
ensemble,292
young,290
elles,289
van,288
tomorrow,288
savez,287
dad,285
once,285
assez,283
fun,283
cet,282
until,282
partir,281
which,281
saying,280
fini,277
school,277
voiture,277
couldn,274
whole,272
secret,272
daughter,271
kamp,270
father,269
sex,269
venir,269
problem,269
amie,269
appelle,268
nuit,268
such,268
amis,268
housewives,268
own,268
truc,266
cas,265
must,264
myself,264
stuff,264
huh,264
enfant,264
today,264
sait,263
trouver,263
exactly,262
late,260
vient,260
minute,260
pu,259
taking,259
delfino,257
week,257
prison,256
change,256
sûre,256
morning,256
lane,254
bye,254
george,254
connais,253
three,253
run,252
pouvez,251
mort,251
ex,250
parents,250
hope,249
comprends,249
couple,248
listen,248
ian,248
sortir,248
