Mot;Occurrence
i;8468
précedemment;2
dans;1705
desperate;90
housewives;90
elle;2918
est;9847
partie;148
avec;1767
les;3439
enfants;306
et;6220
le;6111
chien;35
mais;2733
pourquoi;1099
vous;5263
a;4647
suivi;10
à;6214
atlantic;4
city;5
au;1450
courant;88
pour;3806
l;4338
autre;524
femme;540
choses;253
allaient;13
de;11289
mal;452
levez;8
mains;46
que;8629
je;13943
puisse;54
voir;559
en;4476
pis;10
sacrément;6
douée;13
il;5122
semblerait;7
insemination;2
soit;292
une;3962
réussite;13
oh;581
seigneur;23
mêmes;17
bonnes;46
nouvelles;63
ma;1246
priorité;5
maintenant;524
c;5957
la;5866
mère;590
mon;1761
enfant;137
ne;4807
étaient;99
pas;8924
tant;219
ça;4373
tu;9412
as;2038
réfléchi;27
proposition;12
d;3493
habiter;5
chez;430
moi;2293
pense;366
vais;838
décliner;3
offre;33
non;1639
suis;2097
plus;1706
forte;23
gens;323
pensent;25
parfois;90
fois;477
vérité;96
acceptée;5
découvrez;2
capable;30
sortons;4
ici;564
accomplir;5
j;4962
aimerais;118
me;2622
faire;1554
admettre;8
internement;3
psychiatrique;7
avoir;735
dépression;9
nerveuse;13
presque;78
impossible;51
un;5797
fait;1856
chaque;124
voisinage;12
emménagent;3
déménagent;3
même;603
si;2345
très;598
peu;573
entre;158
eux;69
emballent;2
partent;7
heures;105
du;1463
matin;118
ce;4350
n;3044
était;1628
première;128
betty;9
applewhite;4
essaye;44
s;1547
éclipser;5
milieu;25
nuit;151
déjà;280
arrivé;96
chicago;23
où;765
ses;359
fils;246
rompre;12
sa;716
petite;177
amie;198
jeune;57
melanie;22
foster;8
plaisantes;20
peux;1100
plaquer;8
fais;667
quelqu;418
se;1281
toi;1372
appelles;24
comme;1028
voudras;17
ca;197
m;2405
ira;93
ok;549
veux;1403
finir;62
matthew;18
peut;1030
être;1612
garce;30
y;1848
des;2292
avantages;12
sortir;163
fille;358
crois;593
sais;1512
quoi;1521
parle;220
juste;785
côté;123
es;1170
folle;79
apparemment;47
on;4372
discussion;20
sérieuse;56
rejoindrais;2
parc;17
21h;3
fini;198
eh;275
bien;2202
raison;243
te;2191
montrer;69
personne;263
dit;1233
mieux;349
revoir;117
trop;399
tôt;83
caleb;14
premier;91
