Mot,Occurrence
i,22678
you,9605
a,8543
the,7391
de,6772
je,6622
s,6450
to,5700
est,5526
t,4569
it,4352
pas,4319
le,4243
on,3957
me,3873
que,3812
tu,3581
la,3519
un,3507
il,3421
c,3405
that,3335
à,3288
m,3191
and,2974
l,2791
of,2788
j,2785
et,2730
vous,2720
d,2517
he,2404
en,2392
in,2380
ce,2371
les,2363
une,2219
ça,2217
ai,2171
this,2163
pour,2124
what,2121
is,2072
my,2040
ne,1885
we,1852
for,1818
qu,1787
was,1654
re,1605
have,1570
your,1546
no,1492
not,1479
be,1468
des,1446
know,1435
n,1426
mais,1412
as,1411
but,1396
so,1351
just,1335
can,1330
moi,1312
with,1302
do,1259
qui,1232
don,1221
dexter,1200
all,1197
si,1175
dans,1111
are,1078
suis,1066
mon,1043
du,1038
like,1025
there,998
bien,995
got,993
get,993
up,992
elle,992
right,992
about,991
here,988
out,984
ll,964
him,955
plus,947
sur,943
avec,942
au,942
y,902
être,899
she,896
te,892
if,866
fait,861
at,855
tout,823
one,820
his,810
non,793
était,782
faire,770
yeah,739
là,726
they,720
now,713
how,710
her,693
toi,687
who,683
want,681
sais,677
va,677
ma,674
need,664
comme,657
morgan,653
ve,650
go,645
good,643
gonna,643
oh,637
okay,630
son,627
veux,626
well,620
es,618
se,608
think,597
peut,590
did,586
quoi,576
lui,570
time,569
nous,567
why,556
from,549
ils,540
an,540
when,501
peux,499
see,498
rita,484
ton,481
come,480
quand,479
pourquoi,478
could,469
let,468
cette,466
miguel,464
rien,462
bon,459
hey,458
alors,457
some,454
sa,453
dit,452
dire,452
didn,447
been,445
way,443
look,443
back,442
fucking,441
really,430
ici,430
où,425
oui,419
or,419
something,418
lundy,416
were,411
would,411
votre,408
avez,408
chose,401
tell,400
them,393
vais,391
vraiment,388
off,387
même,384
jamais,382
where,382
too,380
juste,379
had,378
take,373
more,366
us,365
will,365
dois,364
putain,361
sang,360
dex,359
our,359
never,358
fuck,357
man,357
avoir,356
sure,356
little,355
deb,353
over,353
autre,352
then,350
guy,347
ta,345
ou,345
merci,343
sorry,343
make,340
should,338
mes,335
aussi,333
harry,330
maintenant,329
sont,327
miami,322
doakes,322
blood,320
besoin,320
comment,319
par,319
night,315
maybe,315
uh,314
toujours,313
work,313
été,310
down,303
case,303
deux,301
fais,300
find,300
encore,298
vie,298
temps,292
life,291
going,291
only,289
killer,288
très,288
freebo,286
still,286
vu,282
ont,281
ces,280
say,279
thing,276
voir,276
shit,273
by,273
quelque,271
any,269
am,268
even,267
mean,266
people,266
police,266
help,265
doing,265
faut,264
tous,262
anything,261
keep,261
ses,257
into,257
père,256
has,255
last,255
peu,254
fois,254
talk,251
quelqu,251
enfants,247
sûr,246
paul,245
êtes,244
because,244
accord,241
crois,236
call,235
always,234
tueur,230
said,230
étais,230
angel,230
place,229
avait,229
much,227
donc,227
avant,227
than,227
kill,226
