Mot;Occurrence
pour;2121
www;58
forom;29
com;37
i;8586
ce;2371
soir;224
c;3343
est;5519
le;4241
grand;79
et;2729
ça;2217
va;673
arriver;45
encore;296
il;3420
faut;264
que;3802
arrive;119
belle;30
nuit;176
miami;153
une;2218
ville;63
formidable;11
j;2777
adore;28
la;3495
nourriture;10
cubaine;5
les;2363
sandwiches;3
au;942
porc;6
mes;335
préférés;3
mais;1412
l;2788
heure;95
ai;2171
faim;15
d;2014
autre;351
chose;385
voilà;154
mike;1
donovan;1
bon;459
je;6622
vous;2720
tiens;55
maintenant;329
alors;457
faites;76
exactement;49
dis;162
voulez;82
veux;626
soyez;21
sage;5
conduisez;2
tournez;3
ici;430
devez;35
écouter;15
faire;770
regardez;36
non;789
oui;419
horrible;17
n;1419
pas;4319
s;812
plaît;93
ouvre;18
yeux;84
regarde;109
tu;3572
as;884
fait;861
ou;345
t;1345
arrache;6
paupières;1
ca;182
m;1164
a;3195
pris;126
beaucoup;145
de;6762
temps;292
bien;991
nettoyer;12
ces;280
petits;46
garçons;13
un;3499
eux;65
resté;11
si;1166
longtemps;76
dans;1111
terre;28
qu;1785
tombait;2
en;2385
morceaux;38
sorti;30
par;319
bouts;2
salue;1
marie;7
pleine;17
grâce;44
seigneur;14
arrête;106
jamais;382
aidé;14
quiconque;11
prie;33
donnerai;4
importe;85
quoi;576
supplie;3
moi;1310
ils;540
ont;281
supplié;2
était;782
plus;916
fort;48
vraiment;388
me;1271
comprendre;37
crois;236
comprends;65
très;288
vois;123
aussi;333
à;3288
des;1444
enfants;247
ne;1885
pourrais;106
contrairement;9
toi;687
pourquoi;478
valeurs;5
bientôt;49
seras;29
empaqueté;1
quelques;78
sacs;20
poubelle;14
propres;30
mon;1042
propre;46
petit;151
coin;29
du;1038
monde;137
sera;147
endroit;73
net;7
heureux;30
meilleur;58
appelle;114
dexter;524
morgan;282
sais;677
qui;1232
tel;27
suis;1066
soit;132
cela;43
laissé;62
vide;30
intérieur;28
gens;146
simulent;1
leurs;67
relations;18
humaines;3
avec;942
autres;142
impression;16
toutes;103
simuler;8
simule;1
hé;57
ohé;1
capitaine;42
avez;408
pêché;1
gros;41
marlin;1
aujourd;78
hui;78
fardeau;6
imagine;44
reproche;2
parents;34
adoptifs;1
harry;162
doris;4
boulot;128
élevant;1
sont;327
tous;262
deux;301
morts;22
présent;22
tués;8
vrai;193
es;612
différent;26
hein;60
dire;451
papa;149
billup;1
disent;17
buddy;2
disparu;42
trouvé;190
tombe;25
fiston;18
chien;28
sale;38
cabot;1
bruyant;1
aboyait;1
toute;143
maman;70
pouvait;18
dormir;31
elle;992
malade;23
foutu;21
clebs;1
jappait;1
dès;45
vent;6
faisait;34
tomber;52
feuille;3
sur;943
trottoir;5
y;881
avait;229
os;14
là;726
dedans;46
seulement;76
ceux;42
hola;2
sang;360
parfois;47
met;15
nerfs;2
vif;3
aide;102
contrôler;25
chaos;7
code;73
père;256
adoptif;10
contenté;2
policier;15
appris;55
raisonner;3
comme;657
couvrir;13
traces;26
monstre;46
soigneux;2
ok;146
dex;153
te;884
rentres;9
scène;63
crime;97
motel;9
merdique;4
the;5
seven;2
seas;2
besoin;320
joli;32
putain;361
fromage;7
