Mot;Occurrence
for;1818
www;60
forom;4
com;57
i;14092
tonight;137
s;5638
the;7386
night;315
and;2974
it;4352
going;291
to;5700
happen;72
again;219
has;255
nice;123
miami;169
is;2072
a;5348
great;158
town;51
love;165
cuban;14
food;26
pork;7
sandwiches;2
my;2039
favorite;26
but;1385
m;2027
hungry;17
something;418
different;73
now;713
there;997
he;2404
mike;1
donovan;1
one;820
you;9605
re;1605
mine;67
so;1351
do;1259
exactly;90
as;527
say;279
what;2121
want;681
be;1468
quiet;23
drive;27
turn;62
here;988
have;1570
listen;80
look;441
no;1479
uh;314
yes;201
horrible;11
isn;148
t;3224
please;178
open;109
your;1546
eyes;59
at;854
did;586
or;412
ll;964
cut;79
eyelids;1
right;992
off;383
face;74
took;118
me;2602
long;170
time;569
get;993
these;206
little;331
boys;33
clean;65
of;2787
them;393
had;378
been;445
in;2377
ground;16
was;1654
falling;16
apart;16
pulled;24
him;955
out;984
bits;8
pieces;40
hail;2
mary;5
full;48
grace;2
lord;5
stop;146
that;3335
never;358
helped;19
anybody;34
can;1330
anything;261
good;641
beg;2
couldn;63
help;265
myself;81
understand;107
trust;74
definitely;34
see;498
either;55
children;48
could;469
not;1479
like;1025
ever;170
kids;213
why;556
standards;3
soon;88
packed;5
into;257
few;78
neatly;1
wrapped;8
hefties;1
own;155
small;21
corner;14
world;83
neater;1
happier;2
place;173
better;202
name;131
dexter;676
morgan;371
don;1212
know;1435
made;135
way;427
am;267
whatever;80
left;141
hollow;3
inside;79
people;266
fake;17
lot;170
human;54
interactions;1
feel;190
all;1197
very;158
well;620
ahoy;3
captain;45
any;269
big;158
marlin;1
today;104
burden;5
guess;144
blame;12
foster;18
parents;26
harry;168
doris;4
wonderful;6
job;140
raising;10
they;720
both;90
dead;134
didn;447
kill;226
honest;27
aren;47
mean;266
pop;7
billups;1
buddy;53
disappeared;14
found;225
grave;12
son;108
dog;33
noisy;1
creep;3
dad;209
barking;1
mom;107
sleep;50
she;896
sick;42
lousy;4
yapping;2
every;135
leaf;6
blew;11
down;303
sidewalk;4
were;411
bones;8
just;1335
hola;4
blood;320
sometimes;47
sets;5
teeth;14
on;1842
edge;8
other;178
times;49
helps;9
control;66
chaos;6
code;81
father;192
satisfied;4
cop;132
taught;38
how;710
think;597
cover;41
tracks;5
neat;14
monster;46
are;1077
okay;630
dex;206
crime;109
scene;94
by;273
shithole;1
seven;11
seas;4
motel;13
need;664
pretty;75
fucking;441
with;1302
cheese;7
top;24
foul;6
mouthed;1
sister;132
debra;90
heart;62
won;164
let;468
anyone;114
only;289
person;95
who;683
loves;12
feelings;23
about;991
if;866
d;503
deb;195
strange;9
disarming;1
looking;213
homicide;73
daylight;1
makes;85
most;75
grotesque;2
killings;9
staged;1
new;169
daring;1
section;5
disney;5
dahmer;1
land;11
forensics;45
hey;445
up;987
jeez;4
where;382
hell;131
keep;261
gun;32
another;188
hooker;15
pool;13
chopped;7
third;16
months;39
serial;52
killer;285
broward;3
this;2163
suspects;9
wish;65
knew;110
vice;18
laguerta;95
sent;31
room;103
told;170
stay;120
sight;14
god;210
forbids;1
listens;6
tell;400
does;164
someone;205
dumb;7
much;227
power;23
knows;104
play;62
game;36
take;373
lesson;11
ass;104
kissing;4
politics;2
catch;54
guy;347
before;226
kills;34
girls;15
emotionally;7
invested;2
always;234
yeah;739
also;69
said;230
go;645
after;194
hunches;3
types;1
murders;41
bounce;2
some;454
ideas;13
later;53
smarter;5
when;501
talking;104
more;366
confidence;10
meantime;4
avoid;10
talk;251
matthews;19
tight;16
maybe;315
put;208
case;301
making;66
already;115
sex;39
suit;14
cause;145
haircut;4
masuoka;1
saw;165
damn;77
hot;41
should;338
spatter;51
near;19
body;130
weirdest;3
thing;276
angel;125
show;82
sticky;1
messy;7
awful;7
hadn;14
thought;220
beautiful;39
idea;96
doing;265
rid;18
hard;95
shape;5
got;993
too;380
head;122
over;352
unique;2
shit;273
prints;23
ve;650
seen;89
such;63
dry;11
flesh;12
finish;25
terminó;1
looks;95
completo;1
leg;9
four;54
almost;45
using;46
ruler;1
three;87
started;50
make;340
fourth;7
stopped;24
possible;35
interrupted;7
witness;42
working;108
porter;1
back;442
dónde;2
va;4
trabajo;1
those;198
mating;1
rituals;2
which;153
really;430
bloodless;4
may;90
exceeded;1
abilities;1
morning;131
sue;3
dan;1
families;12
next;132
bloodbath;3
miss;58
party;33
thanks;178
salt;1
earth;8
work;313
solve;11
rate;3
hone;2
craft;4
viva;1
outfit;1
bastard;15
worked;33
wasn;161
happy;85
needs;71
laid;12
congrats;1
yet;79
nope;18
start;65
mental;7
autopsy;8
use;88
theories;8
doughnut;7
keeping;29
fingernails;3
leave;131
home;213
without;76
rubber;4
gloves;11
boy;67
days;94
gonna;643
doesn;220
fills;3
nights;12
morbid;5
sense;57
fun;42
probably;94
true;57
find;300
girl;73
charming;5
fired;9
then;350
would;411
bring;90
doughnuts;8
una;2
más;1
gracias;7
de;10
nada;3
empty;28
hotel;41
cokehead;4
dealer;28
hallmark;3
couple;41
die;45
hands;72
professional;11
child;30
walls;25
finger;7
painting;1
give;200
creeps;7
sorry;343
fuck;357
analysis;13
