Mot,Occurrence
i,8768
you,4484
a,3134
s,2696
je,2657
the,2654
de,2525
est,2263
to,2234
t,2052
it,1948
tu,1849
pas,1770
que,1671
on,1616
me,1581
that,1428
c,1403
le,1367
and,1345
la,1331
un,1282
et,1252
don,1221
m,1219
à,1108
vous,1105
il,1090
ça,1045
of,993
j,963
l,930
ce,924
in,922
d,921
is,892
what,891
en,889
ne,830
les,828
une,818
pour,806
qu,777
this,772
know,767
elle,748
my,738
your,734
re,725
we,724
ai,717
lucy,708
she,702
for,691
do,674
no,661
he,641
just,633
have,632
oh,620
n,584
moi,575
her,571
not,539
with,532
be,529
was,523
so,521
qui,510
okay,503
as,502
te,500
bien,491
get,489
can,485
non,480
all,470
mais,466
are,462
right,457
si,456
but,456
des,453
mon,442
yeah,424
suis,421
_,421
dans,418
like,414
avec,410
out,409
sais,409
they,404
about,383
tout,382
here,377
want,373
sur,367
va,367
if,362
faire,360
du,359
fait,358
y,358
got,357
toi,345
up,331
ll,330
holt,327
plus,325
well,321
quoi,319
gonna,313
ils,302
one,300
veux,299
come,299
julia,296
now,294
how,293
there,289
at,289
au,282
ok,278
être,278
who,273
était,273
son,270
go,270
good,267
là,265
nous,263
se,261
es,258
really,254
oui,250
did,246
think,246
vraiment,243
look,242
him,240
merci,238
rien,235
dit,230
hey,228
comme,226
see,225
cette,222
when,220
ton,220
his,219
lui,217
god,215
sa,215
synchro,214
story,207
from,205
peux,204
alors,204
ma,203
sorry,202
quand,202
yellow,200
an,200
let,199
need,193
some,192
dieu,191
magazine,190
back,190
ve,188
votre,185
going,181
could,181
ouais,180
salut,180
why,179
bon,177
spiller,172
love,172
peut,171
people,170
traduction,170
time,167
avoir,167
or,167
had,166
little,165
great,160
pourquoi,160
faut,159
didn,158
will,158
dire,157
tell,157
were,155
give,154
take,153
sub,152
fais,152
thank,152
cover,150
over,150
make,149
dirt,149
shit,148
mean,148
très,146
même,146
comment,145
sont,144
would,141
photos,139
call,138
ta,137
vais,137
way,136
allez,136
voir,135
avez,134
sharlee,134
accord,133
because,132
par,131
something,130
sous,128
been,128
ou,127
anything,124
please,124
chose,123
où,122
autre,122
juste,121
say,121
man,121
then,120
yes,117
aime,116
us,116
uh,114
aussi,113
toujours,113
ont,113
should,113
jamais,113
hi,113
off,112
our,112
has,112
ici,111
by,111
willa,111
peu,109
talk,109
super,107
two,107
much,107
avais,106
never,106
brent,106
vas,106
dois,105
them,105
baby,104
parce,103
titres,102
work,102
besoin,102
too,101
merde,101
um,100
more,100
deux,100
avait,100
désolé,100
doing,99
été,99
maybe,99
am,98
b,97
told,96
quelqu,96
down,96
couv,95
first,95
crois,94
sure,93
where,92
said,92
temps,92
étais,92
père,91
personne,90
film,89
guy,89
even,88
thing,88
encore,88
sûr,88
ces,88
parler,88
photo,86
article,86
big,85
thought,85
find,85
voilà,85
listen,85
eu,85
star,85
mère,85
mec,85
maintenant,84
écoute,84
mal,84
mes,84
tous,84
hollywood,84
tape,84
still,82
johnny,82
dis,82
veut,82
g,82
déjà,81
into,81
these,81
bad,80
ses,80
nothing,80
mallory,80
êtes,80
quelque,79
keep,79
girl,79
better,79
only,79
chez,79
trop,78
mclaren,78
always,78
avant,78
vrai,77
kira,77
show,77
monde,77
konkey,76
friend,76
tes,75
viens,75
fois,75
mieux,75
any,74
thanks,74
gotta,74
dirtnow,74
aller,74
new,73
gens,73
notre,73
put,73
désolée,73
excuse,72
does,72
very,72
hé,72
wait,72
gage,71
job,71
depuis,71
won,71
interview,70
ans,70
aundre,70
other,70
car,70
fille,69
appelle,69
hein,69
chérie,69
sera,69
bébé,68
before,68
jack,68
nice,68
help,68
boulot,67
pense,67
histoire,67
ever,67
savoir,66
ass,66
isn,66
day,66
part,65
air,65
vu,65
home,65
com,65
sex,65
doesn,65
than,64
regarde,64
feel,64
money,64
hell,64
dana,64
wants,63
away,62
prendre,62
voulais,62
vois,62
wanted,62
life,62
their,62
mother,62
real,61
movie,61
bonne,61
getting,61
again,61
last,60
vie,60
plaît,60
dawson,60
cause,60
truc,59
beaucoup,59
done,59
donc,59
week,59
next,59
milan,59
hard,59
father,59
wanna,59
barrow,58
else,58
night,58
après,58
leur,58
someone,58
name,57
moins,57
voulez,57
those,57
génial,56
whole,56
everything,56
passe,56
house,56
chance,55
after,55
shot,55
huh,55
jour,55
kind,55
place,54
pourrait,54
guys,54
around,54
prince,54
together,54
sans,54
amie,53
petit,53
savez,53
arrive,53
kill,53
soit,52
source,52
best,52
lot,52
pretty,52
deal,52
another,52
move,51
nom,51
devrais,51
every,51
donne,51
problème,50
amber,50
fine,50
sweet,50
grand,50
things,50
old,50
talking,50
believe,49
ex,49
remember,49
face,49
press,49
coup,49
mind,49
hear,48
run,48
parle,48
mom,48
stop,48
being,48
coming,48
bullshit,48
magazines,48
family,48
aux,47
might,47
contact,47
wouldn,47
petite,47
enough,47
quel,47
sammy,46
moment,46
serait,46
left,46
voiture,46
minutes,46
semaine,46
bureau,46
passé,45
roy,45
pictures,45
transcript,45
kenny,45
dad,45
says,45
called,45
genre,45
long,45
ensemble,45
own,45
choses,44
looking,44
doit,44
laisse,44
wasn,44
important,44
course,44
leo,44
toute,44
office,44
nouveau,43
understand,43
care,43
argent,43
tweetie,43
meet,43
fini,43
world,43
attends,42
action,42
maman,42
secret,42
business,42
message,42
adore,42
leave,41
gave,41
tête,41
having,41
somebody,41
three,41
both,41
famille,41
through,41
mcpherson,41
yourself,41
prends,41
jasmine,40
pu,40
wow,40
farber,40
made,40
papa,40
paul,40
raison,40
happened,40
problem,40
soir,40
already,40
tweety,40
since,40
vos,39
aurais,39
bye,39
gibson,39
reste,39
second,39
assez,39
hope,39
connie,39
phone,39
souviens,38
dessus,38
head,38
dur,38
autres,38
ami,38
entre,38
heard,38
which,38
hold,38
trust,37
sait,37
boy,37
year,37
studio,37
try,37
pendant,37
hello,37
fous,37
taking,37
elles,37
truth,37
mort,37
police,37
hurt,37
play,37
cul,36
winter,36
seule,36
thinking,36
gets,36
couverture,36
enfin,36
trying,36
knew,36
bonjour,36
faites,36
actually,36
tristan,36
trouve,36
eh,35
million,35
arrête,35
normal,35
tina,35
ask,35
beautiful,35
su,35
went,35
whatever,35
pris,35
probably,35
looks,35
vient,35
wrong,35
quelques,35
aurait,35
puis,35
honey,35
agent,35
comprends,35
everyone,35
maison,35
amour,35
years,35
carrière,34
ted,34
femme,34
chris,34
h,34
stars,34
inside,34
sois,34
vidéo,34
saying,34
cates,34
stay,34
picture,34
jesus,34
maddy,34
vérité,34
career,33
pensais,33
sit,33
parlé,33
minute,33
connais,33
seulement,33
tonight,33
while,33
came,33
couple,33
frère,33
ah,33
suite,33
questions,33
exclusive,33
today,33
pourrais,33
premier,33
respect,33
cet,33
start,33
everybody,33
dead,33
sortir,32
dernière,32
question,32
totally,32
cassette,32
yellowsubteam,32
travail,32
importe,32
guess,32
brother,32
public,32
donny,32
tellement,32
haven,32
makes,32
working,32
person,32
promise,32
pay,32
dirait,31
nos,31
vont,31
presse,31
première,31
use,31
room,31
chéri,31
may,31
yet,31
prison,31
cas,31
sens,31
belle,31
train,31
took,31
jail,30
toutes,30
anyone,30
mis,30
peur,30
seul,30
voici,30
dude,30
scoop,30
côté,30
appeler,30
knows,30
mettre,30
used,30
supposed,30
same,30
jason,30
homme,30
goddamn,30
manager,30
jimmy,30
numéro,30
donné,29
issue,29
meilleure,29
piece,29
tomorrow,29
attention,29
sick,29
bitch,29
font,29
gros,29
demain,29
veulent,29
toy,29
ita,29
girlfriend,29
combien,29
entendu,29
crazy,29
camera,29
avons,29
woman,29
half,29
sort,29
point,28
damn,28
plutôt,28
mr,28
confiance,28
cool,28
aimerais,28
trouvé,28
seigneur,28
shoot,28
rester,28
aide,28
miss,28
until,28
nuit,28
parents,28
blaire,28
anybody,27
ready,27
editor,27
hospital,27
episode,27
swsub,27
set,27
screw,27
pouvez,27
metalmarco,27
ait,27
aimes,27
hot,27
penses,27
trouver,27
ira,27
savais,27
least,27
jouer,27
hit,27
mois,27
appelé,27
tuer,27
laisser,27
sell,26
donner,26
mm,26
saison,26
ago,26
pritchard,26
pregnant,26
morning,26
rebecca,26
couldn,26
mariage,26
rôle,26
craig,26
found,26
matter,26
dr,26
live,26
façon,26
pouvoir,26
stuff,26
épisode,26
shut,26
myself,26
courant,26
romy,26
seen,26
contre,26
word,26
laissez,26
nobody,26
most,26
happen,25
croire,25
chef,25
devant,25
anymore,25
tant,25
idea,25
sûre,25
accident,25
aren,25
five,25
enceinte,25
though,25
also,25
stupid,25
turn,25
passer,25
sent,25
porte,25
service,25
terry,24
sweetie,24
perez,24
fun,24
conneries,24
hmm,24
stories,24
banheart,24
gars,24
fils,24
entrer,24
devrait,24
side,24
wish,24
buddy,24
jusqu,24
pardon,24
times,24
écoutez,24
celebrity,24
idée,24
hate,24
personal,24
carlton,24
open,24
met,24
dingue,24
alone,24
six,24
walk,24
gay,24
fincher,24
pote,24
allais,23
killed,23
kidding,23
check,23
quelle,23
tiens,23
news,23
tuesday,23
aider,23
assistant,23
dick,23
true,23
croyais,23
friends,23
full,23
aucune,23
sûrement,23
allons,23
kids,23
bit,23
quinn,23
entendre,23
daddy,23
dog,23
worry,22
dont,22
paparazzi,22
celui,22
saw,22
bas,22
tyreese,22
tomber,22
celle,22
many,22
pom,22
marche,22
trisko,22
private,22
sweetheart,22
later,22
hand,22
tyrese,22
bring,22
donnie,22
demande,22
tard,22
hôpital,22
season,22
dites,22
affaire,22
droit,22
aujourd,22
partir,22
comes,22
hui,22
prie,21
goes,21
shouldn,21
journaliste,21
making,21
morte,21
aura,21
vite,21
pire,21
sang,21
beau,21
door,21
glad,21
book,21
kid,21
télé,21
copine,21
sale,21
daughter,21
soon,21
malade,21
net,21
putain,21
drink,21
top,21
mcdaniel,21
died,21
floumette,21
pop,21
tué,21
sister,21
émission,21
regarder,21
voulait,21
lunch,21
close,21
easy,21
christ,21
e,20
yel,20
either,20
ni,20
drogue,20
few,20
seems,20
ceux,20
pensé,20
trucs,20
info,20
laissé,20
dû,20
jours,20
yell,20
child,20
babe,20
tv,20
date,20
needs,20
trois,20
party,20
ye,20
anyway,20
essaie,20
venir,20
justice,20
salope,20
video,20
enfant,20
cut,20
infos,20
read,20
pull,20
joey,20
publier,20
mia,20
days,19
vouloir,19
pick,19
addicted,19
high,19
blogan,19
line,19
em,19
cell,19
regardez,19
grave,19
married,19
partie,19
fera,19
copy,19
sleep,19
secrets,19
happy,19
months,19
chambre,19
living,19
personnes,19
ann,19
internet,19
unless,19
fin,19
photographe,19
drugs,19
sexe,19
follow,19
soeur,19
yello,19
longtemps,19
type,19
ferais,19
millions,19
contrat,19
sympa,19
worth,18
school,18
seriously,18
heure,18
espère,18
means,18
major,18
photographer,18
excusez,18
ray,18
ferai,18
coeur,18
must,18
prise,18
eux,18
propos,18
end,18
debbie,18
meilleur,18
clean,18
bosse,18
chien,18
klay,18
chad,18
aurai,18
sortie,18
harrod,18
suivre,18
almost,18
murder,18
demandé,18
hands,18
rape,18
chuck,18
death,18
reporter,18
schizophrenic,18
sommes,18
seconde,18
works,18
ozzy,18
dealer,18
publicist,18
telling,18
release,18
chercher,18
enfants,18
prochaine,18
hours,18
joue,18
calls,18
drunk,18
attend,18
under,18
tommy,18
tried,18
rest,18
couilles,18
mets,17
perdre,17
paid,17
web,17
dehors,17
coma,17
hour,17
weren,17
rencontrer,17
plaisir,17
dinner,17
marché,17
envie,17
covers,17
revoir,17
write,17
watch,17
change,17
such,17
luck,17
rendre,17
boss,17
shots,17
nouvelle,17
wedding,17
calling,17
answer,17
men,17
arrivé,17
répondre,17
impression,17
voit,17
women,17
main,17
far,17
films,17
control,17
town,17
pages,17
loves,17
happens,17
amis,17
