Mot;Occurrence
lucy;340
j;954
ai;716
besoin;102
de;2523
toi;345
minutes;17
pour;805
mon;439
nouveau;43
client;4
bon;176
sang;21
elle;748
a;1075
l;926
air;52
ridicule;2
b;21
je;2657
suis;421
gay;11
hollywood;38
duplex;1
chérie;69
jessica;3
veut;82
que;1671
tu;1849
publies;1
un;1280
démenti;2
est;2260
vraiment;243
pas;1770
maintenant;84
ok;271
on;810
en;889
reparlera;1
ouais;180
c;1396
célé;1
boulimique;2
ne;830
ferais;19
ça;1045
à;1108
votre;185
place;22
quoi;319
donc;59
harvey;3
il;1089
faut;159
laisser;27
traîner;7
son;243
verre;10
par;131
les;828
temps;92
qui;510
courent;1
surtout;7
vous;1105
connaissez;13
la;1329
jatropha;1
curcas;1
deuxième;5
femme;34
non;473
une;818
plante;2
toxique;2
pousse;5
dans;418
tropiques;1
très;146
difficile;14
détecter;1
sans;54
goût;6
et;1249
tue;10
avez;134
idée;24
du;359
nombre;5
personne;90
voudraient;2
voir;135
terre;13
suppliant;1
d;744
appeler;30
urgences;2
damien;1
fields;1
moins;57
mètres;1
photo;70
lui;217
pleine;7
turlute;1
griffith;1
parc;3
au;281
eu;85
profil;2
cara;1
valente;1
affichée;1
avec;410
sa;203
nanny;1
manny;2
vrai;77
clichés;4
sur;367
ces;88
défilés;1
prostituées;1
yacht;1
était;273
intelligent;5
amusant;5
n;576
même;146
fait;358
couverture;36
êtes;80
loin;13
être;278
spielberg;1
plus;313
aucune;23
chance;39
le;1367
comique;1
dernière;32
page;6
chez;79
savez;53
ce;924
divorce;6
m;410
coûté;1
deux;100
mes;84
trois;20
maisons;2
autant;15
sdf;2
pourquoi;160
peur;30
parce;103
vos;39
potes;3
lisez;2
magazines;22
secrètement;2
adorez;1
chaque;16
mot;16
bien;491
détestiez;1
admettre;4
moi;575
incroyable;8
presque;14
rue;4
dirt;73
édition;4
spéciale;5
synchro;183
traduction;170
_;336
y;353
ye;20
yel;20
yell;20
yello;19
yellow;149
s;328
su;35
sub;96
i;2478
merci;238
ita;14
lady;6
jane;8
relecture;5
saison;26
episode;2
pilot;1
v1;7
prince;27
tyrese;11
roi;3
terrain;4
soir;40
points;2
marqués;1
triple;4
double;6
quel;47
effet;14
génial;56
aimerais;28
soit;52
toujours;113
comme;226
comment;142
comptez;2
aborder;1
playoffs;1
jouer;27
me;529
blesser;6
assister;2
réunion;11
parents;17
profs;2
enfants;18
tommy;9
sages;2
paroles;1
stade;1
pontiac;1
gardez;4
désolé;100
marié;11
heureux;13
fous;37
sois;34
ton;220
lit;14
mort;37
où;122
ta;137
mère;85
ait;26
pris;35
feu;6
veille;1
guerre;6
nucléaire;2
veux;299
photos;105
embrasse;6
maria;3
qu;777
douzaine;1
immondes;1
derrières;1
célébrités;4
britney;2
oh;185
oui;250
derrière;7
beignet;1
butin;1
fessier;1
passez;2
fromage;4
mal;84
mais;466
peu;109
trop;78
abstrait;1
gars;24
cul;36
strophes;1
couvertures;7
piste;6
maîtresse;3
meurtre;16
pagliaca;1
vérifiée;1
histoire;67
coûtera;2
cher;2
ressemble;4
genre;44
salope;20
notre;73
dites;22
si;456
