Mot,Occurrence
i,5902
you,5742
a,3993
je,3849
de,3364
to,3313
the,3298
s,3134
est,3065
que,2658
tu,2638
pas,2314
it,2216
t,2207
me,2096
and,2042
et,1984
le,1919
that,1899
la,1753
ã,1615
ne,1581
m,1566
c,1564
l,1559
vous,1558
ce,1454
un,1445
what,1427
il,1415
of,1397
on,1344
pour,1292
is,1162
for,1159
en,1074
re,1069
j,1069
d,1060
in,1053
my,1044
this,1035
à,1007
ai,1006
nick,991
your,987
know,977
une,940
not,934
he,893
qu,885
do,877
oh,876
we,873
have,866
les,832
no,831
n,826
just,817
darling,792
as,783
with,769
be,766
moi,720
was,713
mais,704
so,698
non,690
don,676
but,661
qui,644
bien,638
are,633
well,623
suis,623
can,618
all,618
elle,614
about,601
sais,595
mon,592
si,588
ça,575
avec,564
karen,561
te,556
des,541
she,531
yeah,521
tout,506
right,488
want,480
faire,469
okay,466
toi,466
dans,466
quoi,464
patrick,460
brian,455
y,452
here,451
out,444
gonna,438
veux,432
plus,424
fait,423
there,423
nous,417
es,415
if,412
get,410
oui,410
tripp,405
ll,405
go,404
jeremy,404
like,400
him,398
her,390
simon,386
au,379
up,377
at,373
du,372
dã,364
juste,359
ma,356
son,342
ton,341
did,339
sur,338
ok,329
ve,326
dire,324
va,321
être,318
dit,315
think,311
lui,310
e,306
se,303
était,302
votre,301
how,295
now,293
who,288
when,287
merci,285
comme,284
his,283
peux,283
come,283
why,280
hey,277
one,276
tell,275
lisa,273
vraiment,268
cette,264
see,261
good,261
really,261
quand,258
alors,254
would,253
little,250
look,247
let,244
from,244
uh,243
family,238
père,238
ici,236
they,235
pourquoi,234
chose,233
rien,233
sorry,232
were,231
will,229
could,228
avoir,227
time,226
got,225
peut,225
ta,220
an,220
am,220
going,219
love,214
thank,213
back,212
famille,209
vais,204
been,204
say,204
take,203
dad,203
because,202
jamais,200
george,197
had,197
or,196
didn,195
sure,193
elder,193
câ,192
father,192
ca,191
never,188
rã,188
mean,186
avez,185
some,184
ellen,182
là,182
make,180
fais,180
way,180
dois,180
our,180
new,179
papa,179
then,179
us,177
need,177
voir,175
ãªtre,174
ou,173
vie,172
yes,171
something,170
ouais,170
bon,169
parce,169
where,167
thing,165
life,162
mr,160
toujours,159
has,156
letitia,156
over,155
femme,155
quelque,155
kiki,152
comment,152
please,151
sã,150
peu,150
par,150
mes,147
maintenant,145
said,145
sont,143
told,142
ils,142
aussi,142
doing,141
lã,140
by,140
jâ,140
sa,139
lâ,139
night,139
fois,138
parler,137
should,137
font,136
tã,136
too,135
talk,135
donc,135
quâ,135
god,134
accord,134
more,133
notre,133
down,132
dis,132
aller,131
deux,131
tous,131
tait,129
crois,128
même,126
very,126
vas,126
euh,126
où,126
nola,126
juliet,125
still,123
even,123
nâ,123
part,122
fils,121
aime,121
maybe,120
monde,119
encore,118
temps,118
dieu,117
carmelita,117
freddy,116
anything,116
darlings,116
ces,115
man,115
york,115
thought,114
ever,114
long,114
things,114
wait,114
besoin,114
moment,112
into,112
day,111
last,111
autre,110
allez,110
wife,110
dâ,109
two,109
find,109
pense,109
only,109
place,108
people,108
hell,108
much,108
veut,107
everything,107
off,106
avait,106
nothing,106
doesn,105
quelqu,104
money,104
soir,104
away,104
them,104
vois,104
très,103
again,102
dutch,102
mã,102
hé,101
chase,100
petit,100
than,99
wanted,99
mariage,99
soit,97
first,97
prã,96
work,96
home,96
ont,96
depuis,95
passe,95
listen,94
help,94
étais,93
chez,93
someone,93
sans,92
any,92
avais,91
personne,91
brother,91
feel,90
choses,90
give,90
always,90
désolé,89
homme,88
being,88
eu,88
viens,88
um,88
été,87
before,87
pã,87
great,87
fine,87
vrai,86
isn,86
hi,85
thanks,85
won,85
minute,85
done,85
after,84
mother,84
years,84
care,83
does,83
sera,83
avant,83
trã,83
beaucoup,82
pourrait,82
oã¹,82
clark,81
toute,81
chance,81
frã,80
salut,80
voulais,80
point,80
vu,79
quel,79
prendre,79
leur,78
demain,78
made,78
police,78
kind,77
hã,77
ans,77
call,77
ah,76
mom,76
bonne,76
voulez,76
actually,76
these,76
car,75
coming,75
hello,75
million,75
tomorrow,75
truth,75
trop,74
ses,74
excuse,74
guess,74
mieux,74
idea,73
mère,73
argent,73
daddy,73
maison,73
propos,73
bonjour,73
bad,72
guy,72
ãªtes,72
other,71
entre,71
keep,71
job,70
better,70
nuit,70
those,70
today,70
stay,70
ecoute,69
baby,69
lyons,69
laisse,69
moins,69
happened,69
www,69
fille,68
put,68
tes,68
talking,68
sâ,67
com,67
whole,67
their,67
which,67
jour,67
both,66
maman,66
best,66
plan,66
every,66
world,66
bã,66
happy,65
enfants,65
puis,65
wants,65
yourself,64
r,64
tonight,64
matter,64
venir,64
wasn,64
raison,64
cause,63
problem,63
attends,63
case,63
pendant,63
andrea,63
arrive,62
cela,62
savez,62
went,62
mãªme,62
solã,62
paddy,61
getting,61
came,61
plait,61
air,61
cet,61
trying,61
tant,61
devrais,61
took,61
affaire,61
might,60
nice,60
color,60
else,60
jusqu,60
serait,60
together,60
aux,59
girl,59
around,59
partie,59
own,59
savoir,58
enfin,58
faut,58
second,58
leave,58
êtes,58
ask,57
course,57
natalie,57
called,57
nicky,57
mâ,57
stop,56
gotta,56
tâ,56
important,56
mal,56
house,56
reste,56
exactly,56
understand,56
end,55
found,55
nom,55
gens,55
pat,55
millions,55
lt,55
enough,55
avons,55
doit,55
cas,54
passé,54
woman,54
toutes,54
morning,54
pourrais,54
mind,54
start,53
grand,53
amour,53
same,53
parents,53
having,53
wedding,53
partir,53
remember,52
question,52
avocat,52
monsieur,52
trust,52
petite,52
pu,52
sex,52
ready,52
pris,51
office,51
seule,51
mort,51
parle,51
left,50
hein,50
may,50
simple,50
senator,50
après,50
assez,50
true,50
name,50
problã,49
change,49
mrs,49
venu,49
quelques,49
since,49
married,49
through,49
voilà,49
promise,49
real,49
minutes,49
try,49
hear,48
next,48
happen,48
vos,48
lot,48
vérité,48
problème,48
passer,48
until,48
must,47
asked,47
ur,47
looking,47
hui,47
live,47
week,47
whatever,47
aurais,47
show,47
already,46
idã,46
sommes,46
ensemble,46
three,46
aprã,46
sait,46
gã,46
big,46
old,46
trouver,46
between,46
confiance,46
hope,45
few,45
aurait,45
demande,45
plaza,45
believe,45
information,44
jr,44
wrong,44
sois,44
quelle,44
déjà,44
ago,44
another,44
meet,44
comprends,44
business,44
bureau,43
fini,43
genre,43
such,43
avion,43
knew,43
vã,43
worry,43
face,43
haven,43
anniversaire,43
company,43
lawyer,43
set,43
chã,42
aider,42
sortir,42
exactement,42
yet,42
seul,42
autres,41
tellement,41
suite,41
met,41
dont,41
dernière,41
late,41
faites,41
sir,41
sûr,41
run,41
ni,41
bye,41
coup,41
working,41
whoa,41
devrait,41
washington,41
nouveau,41
plane,41
murder,40
marriage,40
savais,40
accident,40
vivre,40
travail,40
ex,40
passã,40
allons,40
aujourd,40
histoire,40
once,40
importe,40
pretty,40
regarde,40
times,40
nos,40
cool,40
deal,40
pouvez,40
truc,39
sens,39
public,39
kai,39
party,39
pensais,39
eh,39
possible,39
voiture,39
photo,39
person,39
secret,39
saying,39
daisy,39
penses,39
fã,38
without,38
hard,38
tard,38
situation,38
choix,38
huh,38
surprise,38
children,38
mois,38
dinner,37
laisser,37
taking,37
chef,37
alexander,37
year,37
jã,37
dollars,37
wouldn,37
boy,37
sit,37
husband,37
free,36
telling,36
questions,36
completely,36
tais,36
cã,36
phone,36
later,36
yours,36
aide,36
sometimes,36
guys,36
enterprises,36
matin,35
sofia,35
nouvelle,35
mari,35
rester,35
parfait,35
ait,35
enfant,35
idée,35
ydy,35
connais,35
friend,35
campagne,35
elles,35
alone,35
heard,35
killed,35
bas,35
conversation,34
many,34
makes,34
désolée,34
