Mot;Occurrence
i;575
l;1055
amour;53
de;3359
argent;73
est;3062
la;1747
racine;2
tous;131
les;831
maux;2
enfin;58
c;1529
ce;1452
qu;884
on;727
dit;315
détruit;4
tout;503
que;2658
j;1058
ai;1006
toujours;159
pensé;25
quand;258
étais;93
petit;100
mon;591
père;238
travaillait;8
pour;1289
famille;209
plus;424
riche;18
new;63
york;57
darling;417
boulot;23
s;553
ils;142
veulent;16
acheter;15
une;940
île;2
je;3849
dois;180
voir;175
avant;83
ça;575
pendant;63
moi;719
pourris;1
ici;234
tu;2636
veux;432
démissionne;3
non;681
devlin;2
occupe;16
toi;466
des;541
puisqu;3
ont;96
besoin;114
nous;416
il;1410
était;302
dur;16
travailler;27
mais;704
pire;16
ma;342
mère;73
finiras;1
par;149
revenir;16
à;1007
raison;64
déjà;44
fait;423
dutch;51
ne;1580
reviendrai;3
pas;2312
nicky;27
n;811
ta;218
faute;25
maman;66
doit;55
partir;53
au;378
revoir;22
coeur;10
et;1982
aussi;142
puisque;11
grandi;9
dans;466
ombre;5
incroyablement;3
prospère;2
qui;643
employait;1
attends;63
d;861
accord;134
deux;131
trois;29
choses;90
régler;3
reviens;10
minutes;25
après;50
rentre;11
ok;312
te;555
déteste;16
t;576
aime;121
me;687
suis;623
promis;30
fois;138
adulte;3
serais;26
jamais;200
comme;284
travaillerais;2
votre;301
a;1698
appelé;22
super;25
autre;110
soupe;1
populaire;4
le;1917
juge;18
campbell;1
officieusement;1
habitude;15
elle;614
avait;106
dire;324
eh;39
bien;638
légalement;4
parlant;10
soeurs;1
pitié;3
peuvent;8
garder;23
leur;78
terrain;4
jeu;26
tant;61
mieux;74
si;573
elles;35
trouvent;1
million;24
seigneur;11
pourquoi;234
monde;119
cruel;1
café;5
hier;21
daisy;18
vous;1558
avez;185
encore;118
veut;107
déjeuner;6
avec;563
semaine;27
prochaine;11
va;321
être;318
possible;20
faire;469
mois;38
appelez;8
dites;30
désolé;89
occupé;10
y;433
semaines;23
cela;62
avion;43
écrasé;2
changé;9
là;182
enterrement;10
papy;3
oui;410
sûr;41
bizarre;18
ouais;170
as;510
excusez;28
m;569
agent;5
pourrions;3
passer;48
êtes;58
justin;9
timberlake;6
ou;172
k;2
fed;1
eu;88
droit;30
plaisantez;4
voilà;49
amis;31
chérie;17
dieu;117
voudrais;18
mourir;20
tish;12
peux;283
arriver;24
freddy;61
quitte;5
golf;7
pro;2
devenir;12
karen;262
réponds;5
bébé;26
sont;143
idiots;2
épouse;5
annoncerez;1
officiellement;3
candidature;2
sénat;17
plaît;18
politique;21
un;1440
triste;10
jour;67
juliet;56
vos;48
répétitions;1
en;1071
attendant;8
nuit;70
se;297
passe;94
très;103
aimerais;26
aveugle;2
jouer;31
drôle;4
comment;150
sympa;8
paraît;1
mauvaise;22
nul;7
préparez;4
vraiment;268
nouvelle;35
ligne;6
lingerie;1
es;413
rentré;4
tahiti;2
expressos;1
kelly;3
slater;1
bonjour;71
sentiments;17
sur;337
ces;115
articles;2
presse;17
scandale;7
assez;50
temps;118
médias;1
respectables;1
patrick;223
étiez;6
proche;10
george;93
appris;19
vélo;1
pêche;1
mouche;2
aidé;4
barreau;3
beaucoup;81
simple;25
avocat;52
voulez;76
excuser;22
nick;475
fais;180
profite;2
parade;1
merci;283
veinard;2
vas;126
mes;147
condoléances;3
toutes;54
même;126
ton;341
peu;150
trop;74
intégré;1
notre;133
pensait;5
son;218
travail;40
mêler;1
cracher;1
autant;20
fric;3
sais;595
brian;223
kiki;76
côté;13
battons;1
prie;23
dis;132
verra;11
gens;55
prendre;79
verre;13
tripp;199
aurait;45
créer;2
cette;264
fondation;7
nom;55
papa;175
vais;204
lui;310
paperasse;2
aura;27
fini;42
promets;20
joue;11
dégonflés;1
jouerai;1
rien;233
du;371
vient;31
idée;35
toute;81
histoire;40
occident;1
crois;128
exagères;1
devrait;41
point;44
souhaite;10
pat;23
fils;121
employé;1
peut;225
confier;1
campagne;35
rejeton;1
maria;6
pense;109
sait;46
adore;15
tort;9
depuis;95
mal;56
aimer;12
quelqu;104
frais;7
frangin;1
voulu;16
avoir;227
hé;101
ignace;1
frère;29
jeremy;196
énième;1
descendre;2
midas;4
canapé;3
comprends;44
laisserait;1
marché;9
partie;59
mêle;2
tour;10
avocats;8
stupide;14
selon;2
écoutez;7
avons;54
discuté;3
meilleur;29
feraient;2
moins;69
cher;16
sentiraient;1
sûrs;1
bon;167
quoi;463
soit;97
saoule;4
amoureuse;13
alors;254
ramène;8
bu;8
scotch;3
seul;42
vulgaire;1
parasite;3
envie;29
nouveau;41
