Mot;Occurrence
the;3280
love;211
of;1397
money;99
is;1162
root;5
all;618
evil;7
that;1899
s;2581
what;1427
they;235
say;204
anyway;28
makes;34
everything;107
go;404
wrong;44
certainly;19
i;5327
always;90
thought;114
when;287
was;713
a;2295
kid;28
my;1044
dad;203
worked;19
for;1158
richest;11
family;237
in;1050
new;116
york;58
city;29
darlings;96
it;2216
job;57
clare;8
if;412
gonna;438
buy;28
an;203
entire;13
island;16
have;865
to;3309
at;373
least;30
see;261
first;97
yeah;521
right;488
and;2040
get;410
sit;37
here;450
rot;1
you;5739
want;480
me;1409
quit;12
do;877
fine;87
no;830
devlin;2
take;203
care;83
because;202
obviously;21
need;177
more;133
than;99
we;872
working;41
hard;38
on;617
but;647
even;123
harder;2
mom;76
some;184
point;36
ll;405
come;282
your;987
senses;2
ve;321
already;46
dutch;51
m;997
not;934
coming;75
back;212
nicky;30
fault;18
mommy;26
just;817
has;156
good;261
bye;32
sweetheart;13
too;135
as;273
grew;5
up;377
shadow;2
father;192
immensely;2
wealthy;1
he;892
wait;114
out;444
few;45
things;114
be;766
ten;22
minutes;24
then;179
home;96
okay;461
hate;24
so;698
promised;10
myself;32
would;253
never;188
anything;116
like;400
work;96
called;57
great;87
who;288
else;60
uh;243
let;244
them;104
eat;16
food;9
bake;1
judge;17
campbell;1
um;88
completely;36
off;106
record;14
usual;2
does;83
she;531
well;623
legally;6
speaking;12
sisters;3
eternal;3
mercy;2
can;617
keep;71
their;67
little;249
playground;2
oh;485
find;109
million;51
dollars;4
yep;8
god;134
why;280
world;66
miserable;3
coffee;10
from;243
yesterday;12
daisy;21
told;142
again;102
really;261
wants;65
lunch;15
next;48
week;25
able;33
nick;516
been;204
over;155
two;109
months;24
since;49
talked;17
him;398
look;247
call;77
tell;275
sorry;232
busy;19
am;220
weeks;25
ago;44
plane;41
crashed;4
changed;15
everyone;30
grandpa;5
funeral;5
sure;179
are;633
weird;17
excuse;59
officer;10
through;48
justin;10
timberlake;6
or;187
k;6
fed;2
l;504
heard;35
em;29
today;70
everybody;28
gotta;56
kidding;23
daddy;73
friends;32
honey;17
tripp;206
wanna;16
die;29
tish;16
this;1035
hey;264
freddy;55
how;295
feel;90
leave;58
pga;1
mr;132
karen;299
darling;375
don;674
t;1631
answer;27
baby;65
re;755
idiots;1
marry;21
will;229
formally;1
announce;3
candidacy;2
senate;33
please;151
folks;6
politics;8
sad;10
day;111
juliet;69
rehearsals;1
going;219
until;48
dark;4
blind;3
playing;14
fun;21
ya;7
rumor;2
act;7
poor;23
true;50
designing;1
line;15
lingerie;1
did;339
tahiti;1
double;6
espressos;1
kelly;2
slater;1
says;27
hi;85
reaction;3
stories;6
about;601
tabloids;4
listen;94
spend;33
enough;55
time;226
dealing;2
with;769
reputable;1
media;2
patrick;237
were;231
close;29
george;104
taught;5
ride;10
bike;1
fly;8
fish;2
helped;3
pass;8
bar;10
much;108
our;180
lawyer;42
us;175
doing;141
know;977
watching;10
parade;2
thanks;85
special;13
very;126
thank;213
loss;7
insert;1
himself;19
into;112
felt;25
his;283
insinuate;1
could;228
suck;7
possible;19
brian;232
kiki;76
fight;16
dead;24
these;76
people;107
ever;114
done;85
dirty;24
sex;52
season;11
episode;10
having;53
drink;17
d;199
start;53
charitable;7
fund;7
name;50
paperwork;4
promise;49
turn;21
pumpkin;2
hell;108
worst;15
idea;73
history;14
western;1
think;311
melodramatic;1
should;137
pure;4
simple;25
besides;10
didn;195
grow;8
pat;32
offspring;1
employee;1
maybe;120
maria;7
panchito;1
manage;7
campaign;24
feels;13
loves;11
loving;4
someone;93
wet;8
brother;91
wanted;99
ignatz;1
other;71
jeremy;208
many;34
times;39
midas;4
couch;4
understand;56
market;5
part;65
yet;42
stay;70
saying;39
shop;3
around;59
which;67
huge;6
mistake;26
by;140
way;180
had;197
extensive;1
conversation;16
there;423
better;70
lawyers;4
lot;48
less;20
wouldn;37
bring;28
massive;6
attitude;2
entitlement;2
table;19
entitled;3
drunk;10
shut;14
scotch;4
one;276
glorified;2
parasite;2
fresh;7
anybody;17
choice;25
give;90
try;49
vineyard;5
bought;12
bordeaux;1
amazing;19
still;123
interest;10
taste;9
often;6
change;34
huh;38
mean;186
help;94
daily;2
affairs;5
gone;25
whew;1
alone;35
eating;7
alive;10
equipped;3
deal;40
contemplated;1
bringing;15
hotshot;1
reins;1
seems;23
considered;1
johnnie;1
cochran;1
found;55
bit;19
grandstander;1
loudmouth;1
spoke;15
bill;4
clinton;3
asked;47
represent;6
took;61
shot;17
thing;165
stopped;13
guy;72
flattered;1
said;145
share;12
guys;36
growing;6
won;85
wife;110
daughter;29
successful;1
man;115
best;66
got;225
moral;5
center;9
lucky;19
fit;13
put;68
nuts;3
year;37
top;6
pay;23
works;17
town;11
projects;1
practice;6
salary;3
miss;34
solid;3
citizen;2
side;21
trust;52
own;59
regular;5
hours;32
whatever;47
participating;1
questionable;1
forces;1
hand;18
lie;28
ask;57
night;139
win;26
lottery;1
dinner;37
tickets;5
b;9
last;111
checked;4
basically;4
free;34
lisa;148
yes;171
giving;16
foundation;6
gna;1
pretty;40
impressive;4
away;104
mess;9
minute;47
taking;37
prove;3
reason;31
opportunity;11
guess;74
hello;73
its;12
later;36
poker;9
ethan;3
hawke;1
place;76
yacht;4
winning;2
feeling;21
totally;17
exactly;56
toilet;2
paper;4
francois;2
title;3
chelsea;1
piers;1
galley;1
where;166
registered;2
france;9
probably;34
germany;4
knock;8
office;51
wettest;2
phone;28
numbers;4
forget;20
picking;4
after;84
school;31
late;41
trapped;4
getting;61
parishioner;2
maple;7
grove;7
academy;2
deflowered;1
truth;75
check;29
kinds;4
actually;76
before;87
use;25
save;15
orphans;3
used;26
read;24
poetry;2
loud;2
sweet;27
remember;52
married;49
instead;8
three;46
four;26
isn;86
life;162
prenups;1
soon;27
ready;52
exciting;5
hope;45
enjoy;14
being;88
anniversary;5
party;39
tonight;64
both;66
armed;1
nice;60
academic;1
institution;1
reverend;10
auction;1
lecture;3
bozo;1
somebody;28
beat;8
wake;13
tomorrow;75
morning;54
tires;1
slashed;1
something;170
baptism;1
frank;3
child;24
problem;63
long;84
refuses;1
claim;3
boy;37
son;124
pardon;3
second;54
terrible;3
duncan;1
mcdoorknob;1
cast;2
financing;1
whole;67
production;5
paid;13
course;54
haven;43
seen;30
looks;12
mugs;1
squeak;1
squawk;1
lines;5
wee;2
twig;3
nightmare;4
wasn;64
anymore;34
earned;4
lotsf;1
ways;6
wish;23
earn;1
went;62
stepped;1
stage;4
couldn;21
her;390
bag;10
mate;2
play;25
se;6
friggin;15
game;30
dude;15
came;61
boat;10
illegals;1
wrote;7
now;293
crayon;1
drew;1
pee;4
snow;1
shyster;1
doesn;105
met;32
those;70
captain;3
teach;3
outta;5
bail;13
kill;25
damn;20
matter;64
forgot;19
pick;27
most;29
important;27
stupid;20
lame;3
taken;26
human;14
someday;10
walk;24
house;55
favor;24
extravagant;3
gestures;1
protest;1
ighsóò;1
tout;3
heure;2
influence;8
attorney;19
general;20
released;2
misunderstanding;7
planning;14
assure;6
client;20
together;60
kylie;1
minogue;1
innocent;13
charges;8
brought;15
against;20
story;33
smuggling;1
country;17
harvest;1
organs;1
dumb;2
further;7
questions;18
killed;35
talk;135
any;92
thinks;14
loser;2
without;38
arrested;14
starvation;1
every;66
billion;8
living;30
stretch;2
imagination;2
made;78
learn;13
coke;3
dealer;3
happy;65
philharmonic;1
josh;1
groban;1
might;60
singing;1
wedding;53
18th;1
u;11
open;24
tiger;2
woods;1
sees;7
shirt;2
cost;10
bucks;2
chill;3
doug;1
henning;1
flown;2
vegas;4
hot;16
air;10
balloon;1
rides;1
ponies;1
typical;1
birthday;33
vanished;2
searched;1
wine;17
cellar;3
down;132
sobbing;1
carried;4
car;41
tender;2
men;10
raise;6
sometimes;36
cosmos;4
state;27
decay;1
tough;6
space;10
apart;8
talking;68
past;17
buddy;6
future;17
kennedys;1
earlier;7
jeez;4
owns;7
private;16
outside;12
glasgow;1
jet;14
cool;24
word;29
headed;4
news;23
dan;9
running;23
american;11
woman;53
moment;30
dover;1
sir;41
missed;8
supposed;32
disappear;3
voice;7
mad;8
ashley;2
square;3
room;27
end;34
pageant;1
beautiful;26
adventure;3
truly;7
flesh;1
blood;7
gift;20
children;38
honor;31
saratoga;2
racecourse;1
ahead;13
leopold;1
irish;1
ice;5
breeders;1
cup;6
ridden;1
tommy;1
crenshaw;1
daring;3
meet;44
library;1
code;9
pink;2
unseemly;2
head;23
move;22
looking;47
sent;20
nobody;16
imagine;15
only;109
dated;2
saw;31
happened;69
between;46
short;14
deserve;5
loved;23
interrupt;3
hair;8
black;3
gown;1
pissed;2
cannot;15
show;46
belong;7
clock;2
question;20
admit;17
yours;36
willing;15
stick;6
proud;25
bastard;8
luck;17
run;41
stand;16
comes;19
worthless;5
ow;4
bitch;19
started;25
doctor;27
somewhere;20
expelled;1
quite;29
pillow;2
needs;17
rest;23
doc;1
clue;2
knows;18
tricky;1
lay;3
train;9
tracks;1
speak;23
ears;4
serious;17
note;2
death;28
explain;15
girlfriend;16
tried;24
gets;29
emotional;4
kills;3
seven;9
hotel;21
tranny;3
hooker;6
make;180
sound;28
different;15
stop;52
whoa;32
united;9
states;10
senator;50
occupy;1
highest;1
offices;2
land;5
courage;4
integrity;3
once;39
upset;8
friendly;2
looked;14
means;19
youl;1
whose;13
ring;2
iook;1
joke;3
oddly;1
helpful;3
welcome;22
number;21
join;8
golf;4
club;10
write;9
requisition;1
desk;7
requisitioned;1
named;6
norman;5
exley;10
church;15
settle;8
debts;1
asking;33
airplane;2
mechanic;3
affair;19
years;84
knew;43
days;18
finally;26
recovered;2
bottom;8
explosives;1
bouncing;2
ocean;3
floor;5
body;10
real;49
proof;6
warrant;2
leads;1
information;35
touch;8
watertight;1
lockbox;1
personal;9
effects;1
concerned;8
amount;7
nothing;106
though;19
answers;3
aren;20
either;15
lose;23
whether;11
putting;14
waterproof;1
box;3
waiting;27
helicopter;3
traffic;5
demonic;1
service;13
police;39
vamanos;1
freedom;8
cupcake;3
mine;30
kiddo;1
fame;1
seriously;18
value;6
opinion;4
trying;61
figure;23
sell;16
hit;26
bahamas;1
camp;3
virtue;1
idiot;4
congratulations;12
royalty;1
andrea;32
kids;24
vice;7
patty;7
romance;2
videos;1
goes;15
same;53
japanese;2
spokesperson;1
kinda;33
face;31
front;12
www;42
opensubtitles;4
org;4
jenilim;1
downloaded;3
left;50
briefcase;11
biggest;17
empire;12
builder;9
letitia;96
sophisticated;8
socialite;8
principled;8
politician;9
professional;12
divorcee;4
behaved;10
twins;13
nev;1
may;50
murdered;3
blue;15
suit;8
cleaners;1
wild;6
salmon;1
poached;1
soupcon;1
hollandaise;1
steamed;2
broccoli;1
al;1
dente;1
making;28
nearly;8
raw;2
crosscut;1
stem;1
wallet;1
keys;2
casual;1
observer;1
assume;6
wasted;4
babysitting;2
also;26
highly;4
score;1
gut;1
decision;11
reasons;6
none;19
e;56
mention;14
owe;13
figuring;2
combination;6
hoping;10
perfect;29
picture;22
photo;11
shoot;18
worse;5
launch;5
cheapen;1
including;5
fourth;9
husband;37
heart;27
set;43
leaving;13
altogether;1
pursuing;5
happening;13
romantic;12
habits;1
embarrassing;3
while;32
stronger;1
older;2
disingenuous;1
becoming;5
mrs;36
elizabeth;1
caterers;1
arrived;6
discuss;8
kitchen;6
decided;27
telling;36
believe;45
sister;30
paying;7
secretly;1
arranging;1
behind;24
big;46
sounds;21
kind;76
normal;11
sized;1
independent;4
size;3
postage;1
stamp;1
penthouse;7
suite;4
bummer;1
mutt;1
bingles;4
totem;1
allowed;8
dogs;2
exceptions;1
investigate;1
staying;16
grateful;4
independence;3
mother;84
final;6
live;46
calling;19
lied;24
daughters;9
orphan;17
parents;24
bullet;8
accident;17
sweden;7
business;40
english;10
cannon;1
hung;3
union;3
date;22
subway;5
usually;8
runs;4
prlem;1
rebranding;1
hip;1
idiocy;1
lives;13
except;9
figured;12
hang;16
tone;6
piece;13
cake;7
cash;9
beginning;4
paralega;1
breaker;1
calls;13
cause;38
radical;1
copyright;2
song;6
answering;2
machine;3
hasn;15
yell;2
surprising;3
address;5
hear;48
canceled;1
checks;10
ducks;1
row;3
chief;29
early;13
spot;2
checking;2
engine;3
overhear;1
secret;21
gave;27
understanding;4
blackmailed;2
illegitimate;1
sabotage;2
shape;2
form;3
honesty;7
along;22
lady;12
friend;35
letitidarling;1
woulda;2
troublesome;2
ydy;29
com;46
bbs;27
proudly;18
presents;17
sync;21
âí;1
ëë¼;1
clark;43
ah;24
enjoying;3
book;29
bustick;1
scene;5
xenophon;1
crests;1
mountain;1
water;3
stretched;2
thalatta;2
sea;2
stunning;1
forest;4
lawn;1
cemetery;1
natalie;24
kimpton;11
freaked;7
crap;14
blizzard;1
maximum;7
privacy;3
elevator;1
girl;59
sing;2
backup;1
project;12
writing;3
songs;2
trading;2
third;6
brand;3
ass;15
stuck;7
slave;1
grape;1
smushed;1
sidewalk;1
bad;72
carlos;1
sucks;5
old;46
st;7
barths;3
cancel;2
president;8
push;13
law;15
happen;48
clear;24
worried;12
light;11
election;19
handle;20
surface;2
splinters;1
contrary;5
popular;2
belief;5
takes;14
generation;1
eldest;2
carry;3
public;26
scion;2
tree;5
yourself;64
must;47
jr;22
movie;9
corner;3
watched;4
sacrificed;1
crazy;19
wash;2
pet;2
insure;1
gold;5
reasonable;1
nonot;1
fiance;2
fashion;11
magazine;4
hero;2
th;5
avoiding;7
obvious;7
sake;10
almighty;1
pushed;8
kenneth;8
issues;5
transsexuals;2
anyone;32
difference;2
power;10
chef;4
stays;2
argyle;3
belgium;3
cook;6
nations;1
cocinar;1
para;1
changing;7
appearing;1
jules;8
lions;5
pocket;2
maintaining;2
appearances;1
w;8
necessity;2
became;4
lifestyle;3
tampered;4
n;15
reports;5
known;22
wondering;8
bed;22
capable;9
murder;40
faith;13
shaky;2
puts;5
facts;3
believes;2
keeps;14
track;7
written;1
journal;9
frightened;1
hurt;11
lion;2
wrangler;1
apparently;10
insurance;5
solve;4
become;23
hola;1
tthink;1
high;14
priority;1
appreciate;14
security;12
plenty;9
fantastic;4
walked;8
alejandra;1
college;5
med;1
indicates;1
absolute;4
certainty;1
lots;3
stuff;33
arctic;1
expeditions;1
barely;5
died;17
odd;2
heck;3
cross;2
discombobulated;2
ahold;1
spending;4
forever;12
adopt;1
perhaps;11
five;17
returned;4
recording;4
drawing;1
pictures;10
afternoon;7
giant;3
waterfall;1
artist;12
brazil;25
animagine;1
landlady;1
sold;10
funny;11
sucking;1
leech;1
willfully;1
self;11
righteous;3
expecting;9
doorstep;2
bless;5
bigger;2
near;9
daddies;2
confused;4
confusing;1
quickly;4
id;1
rebecca;6
colfax;6
publicist;5
ng;1
voting;7
lonely;4
golfer;3
straight;13
familyolitics;1
women;14
girls;9
freakin;2
ruin;7
pleasing;1
situation;17
solved;2
circus;2
er;1
hath;1
passed;6
glory;3
earth;6
uncle;17
hold;30
magnificent;1
dream;8
dear;27
across;8
orange;4
during;12
stole;9
duh;1
travesty;1
technically;4
unnamed;1
youth;1
filled;3
arcane;1
secrets;7
treasure;2
maps;1
ki;2
object;2
swedish;10
nobel;2
peace;8
prize;3
committee;10
fascinating;3
experience;7
deaf;2
such;42
pretend;8
astounded;2
mistaken;5
blaming;3
attractive;2
notion;3
hideous;1
randomness;1
groundless;1
accusation;2
terrifically;1
another;44
mail;5
surprise;21
silly;8
trip;10
prence;1
guest;5
belgian;1
month;16
bum;1
especially;13
signature;3
perfume;5
bangs;13
guts;5
understandable;2
sec;4
shower;8
verse;2
trees;2
eggy;1
sis;3
scratch;3
gustav;10
concentrate;2
concentrating;1
embrace;2
dreamed;1
shouldn;12
virtual;2
reality;6
goggles;1
momster;1
sounded;2
plug;4
blink;1
games;2
clown;1
cosmic;3
pirates;3
tango;2
tanya;2
present;12
young;12
education;1
fulfill;1
dreams;9
importantly;2
pride;1
respect;11
representing;3
anywhere;11
simon;200
elder;100
billionaire;9
immigration;2
papers;13
patent;2
records;2
criminal;5
files;2
fige;1
principal;1
gathering;6
carrots;1
yuck;1
toe;1
nails;1
toenails;1
tv;3
committed;7
adultery;1
lara;3
faithful;3
example;3
report;12
finish;15
safe;19
evidence;9
accusing;3
murderer;7
agreed;9
trusted;8
advisor;2
sends;2
rolls;1
hop;2
slept;3
wink;1
tormented;2
ing;3
seeing;22
position;17
untouchable;2
investigator;3
couple;11
decide;5
suspicion;1
responsible;7
personally;4
dossier;6
complied;1
damning;1
internet;4
interviews;2
profiles;2
corporate;5
copy;3
bothered;2
hour;19
charmed;1
raunchy;1
tape;28
web;3
midnight;4
thursday;2
mm;24
hmm;16
tall;2
poppy;1
bloody;1
mil;2
rache;1
natties;1
contact;4
contacting;1
becomes;5
legal;14
spin;3
launches;1
press;14
prs;1
knees;1
freaks;3
exists;2
performance;4
cumberland;1
fielding;1
policy;3
shove;2
detailed;1
plan;37
order;10
person;39
banned;1
starting;14
fire;14
each;32
small;9
minded;1
victim;4
quote;5
comment;2
success;4
happiness;4
boys;3
random;2
bash;1
suspects;3
diamond;1
necklace;2
thrown;2
manager;3
smoothies;1
banana;2
seem;29
mind;54
filmed;2
performing;1
sexual;10
ellen;92
carmelita;58
honest;18
frankly;2
knowledge;1
assumed;4
russian;3
russia;6
tourism;1
program;2
lock;2
ivan;1
catherine;1
unpacking;1
lately;5
sensing;1
sort;17
vibe;1
twin;7
tuition;5
fell;13
wall;4
elton;2
john;4
estate;8
broke;7
wrist;1
tennis;3
cell;3
philanthropist;5
blew;4
exploring;1
possibility;3
stamps;1
hunger;1
angelina;1
adams;3
detective;8
crash;8
site;3
transferred;5
motive;2
connection;8
application;1
alien;3
employment;4
certification;1
entered;2
disclosure;3
statement;6
signed;10
patented;1
prism;3
processor;2
failed;6
disclose;1
prior;1
art;16
ts;1
tired;12
aussie;3
outling;1
requirements;2
delivered;2
p;9
pier;1
bulgari;5
einstein;1
audio;1
file;15
attached;3
rough;6
definitely;10
spoken;6
claims;3
font;103
