Mot;Occurrence
x1;773
x2;773
y1;773
y2;773
radio;8
does;336
he;2141
ride;6
a;6995
red;135
nosed;1
reindeer;1
turn;258
that;5717
down;557
it;9097
off;420
steve;4
o;57
joe;29
shut;130
up;1054
tardis;418
whooshes;2
rose;124
mickey;59
jackie;26
s;9905
the;15005
i;18518
know;1450
heard;93
she;1586
alive;154
said;611
so;1558
didn;293
t;4996
minute;108
where;895
is;4107
then;1084
screams;34
here;1217
we;4074
are;2465
london;132
earth;426
solar;19
system;104
did;948
blimey;54
no;2752
hold;301
on;2528
wait;207
there;2495
what;4919
was;1975
gonna;417
say;533
something;618
had;402
to;6459
tell;750
you;14021
important;96
shh;8
oh;1569
merry;79
christmas;265
happened;243
all;2379
right;1221
dunno;56
just;2291
keeled;1
over;362
but;2740
doctor;2287
him;1065
in;3681
front;56
of;5134
d;915
mean;477
who;1149
go;1184
tina;2
cleaner;5
got;1556
this;3074
lodger;4
medical;31
student;16
and;5331
fast;70
asleep;11
took;117
still;520
should;446
take;434
hospital;47
they;2398
lock;40
dissect;1
one;1472
bottle;8
his;452
blood;66
could;720
change;127
future;152
human;331
race;112
now;1620
shush;4
heartbeat;15
sounds;39
both;81
working;130
two;407
hearts;26
don;2073
be;2061
stupid;83
has;531
anything;278
else;199
leave;314
alone;167
how;998
can;2729
changing;20
face;208
different;141
or;490
person;56
sorry;729
thing;588
thought;275
knew;106
mum;158
me;3721
were;618
goes;88
keep;342
forgetting;4
not;2379
big;270
question;81
get;1411
pair;10
men;72
pyjamas;2
from;901
howard;3
been;852
staying;28
market;6
long;302
going;869
month;14
first;267
starts;14
delivering;1
door;209
odd;16
next;144
bag;13
oranges;2
harriet;42
jones;192
never;753
mind;285
why;876
telly;16
prime;51
minister;46
m;2413
quid;10
week;26
better;214
re;2721
calling;71
britain;34
golden;3
age;40
saying;129
my;2129
met;174
her;1037
more;537
than;309
stopped;84
world;463
war;187
three;196
with;1536
about;865
those;346
guinevere;9
space;208
probe;7
waste;14
money;62
completely;63
disagree;4
represents;1
country;45
limitless;1
ambition;7
british;19
workmanship;2
sailing;1
among;7
stars;99
spirit;12
birth;18
rejoicing;1
dawn;23
new;394
achieving;1
million;119
miles;46
away;316
our;355
very;359
own;184
miracle;13
unmanned;1
make;331
its;154
final;91
descent;3
photographs;5
martian;10
landscape;1
received;11
by;509
midnight;52
tonight;58
need;681
ll;1165
pay;26
back;1120
call;177
present;23
god;319
out;1469
synch;1
forget;59
things;255
exist;26
sort;249
timeless;1
fascinating;34
love;229
hearing;12
stories;40
us;827
another;129
listen;277
day;363
ooh;73
time;1330
landed;11
yellow;2
garden;5
full;61
balloons;1
like;1380
must;477
drive;56
mad;96
surprised;10
give;249
isn;290
rely;2
yeah;806
if;1264
dying;92
ok;404
let;579
do;1994
for;2030
bit;400
bog;1
monsters;23
life;393
death;129
promise;70
yes;612
your;1953
round;114
dinner;24
sunday;13
talks;13
afternoon;33
yap;7
nice;210
pen;9
box;138
band;12
plays;14
rest;77
ye;2
gentlemen;64
after;153
have;1733
done;284
taxi;7
even;327
shopping;17
attacked;4
brass;2
phoning;8
turns;21
warning;46
ve;2215
nothing;432
want;508
meat;18
paste;1
phone;133
santa;8
think;897
except;64
come;1091
flat;16
topsy;1
turvy;1
barges;1
litters;1
place;235
see;901
boxing;3
save;144
chipolata;1
only;548
bev;3
says;128
hello;308
look;984
safe;241
gotta;80
mate;46
stan;2
will;947
put;180
streets;15
mo;21
peak;1
district;2
cousin;2
eve;27
anywhere;53
babbling;3
tree;9
went;136
ring;17
at;1316
wasn;115
kidding;29
jingle;2
bells;10
doing;426
wake;32
killed;126
help;438
remote;16
control;84
controlling;10
them;1011
gone;389
kind;145
rubbish;29
much;260
cop;3
sonic;69
screwdriver;74
scares;2
pilot;22
fish;30
coughs;3
aaargh;7
wrong;285
woke;11
too;360
