Mot,Occurrence
i,6520
you,5323
a,3878
the,3633
je,3346
to,3233
est,3154
s,3073
de,3003
pas,2541
vous,2461
t,2352
it,2225
on,1963
le,1936
que,1891
la,1806
me,1784
un,1719
tu,1683
c,1651
that,1611
ne,1601
and,1572
l,1495
we,1485
m,1472
à,1423
il,1423
et,1408
of,1341
ce,1329
is,1308
ça,1268
d,1250
les,1229
this,1208
in,1200
what,1111
une,1109
n,1097
qu,1089
re,1055
j,1026
elle,1000
en,988
not,937
she,889
have,881
ai,851
be,847
pour,830
for,820
don,811
he,807
know,798
do,766
can,747
your,730
des,729
they,728
her,719
qui,715
my,699
was,691
are,670
as,639
dans,632
with,602
nous,601
no,600
but,600
just,578
mais,575
si,575
echo,573
all,567
y,564
suis,553
ils,553
there,551
out,551
so,548
tout,535
here,519
moi,518
être,497
plus,492
like,481
get,480
ll,477
if,457
bien,447
fait,443
one,433
du,431
faire,431
think,419
te,411
était,407
up,405
avec,402
who,401
how,393
go,389
right,387
mon,382
va,381
about,379
non,375
him,374
want,373
did,366
got,360
them,359
se,352
sais,349
going,343
now,335
ve,330
au,325
peut,317
là,317
avez,316
ici,314
sur,309
quoi,302
need,301
comme,298
oh,298
will,294
okay,291
back,283
at,283
dollhouse,278
veux,276
why,274
peux,274
sont,273
an,271
votre,270
let,270
from,270
us,266
es,265
when,262
son,261
or,260
rossum,258
lui,257
good,254
been,250
would,248
ont,246
êtes,244
où,242
could,242
see,241
comment,240
caroline,240
his,238
quand,237
toi,236
take,234
come,232
cette,231
time,226
oui,225
chose,225
where,222
well,222
were,222
something,218
ou,215
then,215
pourquoi,214
rien,213
our,213
make,212
didn,210
way,210
down,205
people,204
ma,203
topher,202
gonna,202
même,201
tell,201
par,197
été,197
dit,195
yeah,194
alpha,193
vais,187
besoin,186
tous,180
jamais,180
help,178
vraiment,175
more,174
alors,174
some,173
quelque,171
had,169
maintenant,166
find,165
quelqu,165
autre,162
am,161
really,161
ton,161
avoir,161
never,160
any,159
toujours,159
man,157
sa,157
into,157
mean,156
even,155
fais,155
little,154
look,154
victor,153
ces,152
should,151
dire,151
someone,148
personne,146
doit,145
aussi,145
say,144
has,143
peu,139
yes,139
ok,138
everything,138
love,137
remember,137
off,137
pense,135
hey,135
girl,135
put,134
mr,133
voir,133
dewitt,132
très,130
sierra,130
maybe,130
god,130
place,129
aller,129
said,128
because,126
allez,126
very,126
please,126
paul,125
still,125
sorry,124
dois,123
mal,123
notre,122
too,122
juste,122
these,121
fois,121
than,121
only,120
sure,120
thing,120
gens,119
before,118
doesn,118
away,117
thought,117
mes,116
monde,116
life,116
encore,116
ballard,116
engagement,116
over,116
anything,115
active,115
vie,115
merci,115
sans,114
fille,113
after,113
their,113
aime,111
bon,111
real,111
stop,110
ta,110
uh,110
temps,110
by,109
après,108
long,108
part,107
first,107
give,107
donc,107
avant,106
house,106
sera,106
dieu,106
wait,105
kill,105
won,104
leur,104
ever,103
ses,103
deux,103
doing,102
work,102
vu,101
much,101
keep,101
day,100
made,100
boyd,98
new,98
always,97
parce,97
avait,97
call,97
does,96
ouais,96
mieux,95
avais,94
last,94
vas,94
which,93
sûr,93
moment,93
aider,93
font,93
being,92
nothing,92
guy,91
other,91
best,91
feel,91
corps,90
name,90
brain,89
homme,88
femme,87
veut,87
else,87
again,86
wrong,86
trop,86
bad,86
two,86
isn,86
dominic,86
saunders,85
security,85
better,85
perrin,85
tuer,84
depuis,84
hell,83
thank,83
tête,83
every,83
étais,82
dr,82
crois,81
leave,81
agent,81
nos,81
déjà,81
elles,81
sécurité,81
faites,81
things,81
accord,81
pourrait,80
wasn,80
ans,80
adelle,80
maison,79
plaît,79
rayna,79
head,79
dis,79
might,78
minutes,78
quel,77
chance,77
soit,77
looking,77
sortir,77
trying,77
savez,77
years,76
client,76
getting,75
voulez,75
wouldn,74
person,74
face,74
lot,74
fine,74
dead,74
mind,73
faut,73
mellie,72
partir,72
cerveau,72
prendre,72
toutes,72
care,72
vos,72
around,72
doll,72
aurais,72
happened,72
body,72
savoir,71
coming,71
everyone,71
pouvez,70
eu,70
mort,70
cause,70
bonne,70
fbi,70
those,70
point,70
sait,69
passé,69
désolé,69
dû,69
three,69
confiance,69
toute,68
kind,68
through,68
understand,68
world,67
hello,67
autres,67
left,67
done,67
cet,66
beaucoup,66
avons,66
traitement,65
trust,65
seule,65
try,65
importe,65
parler,65
knew,64
took,64
course,64
plan,64
imprint,64
petit,64
talk,64
inside,64
peur,64
told,63
believe,63
treatment,63
nice,63
cas,63
woman,63
tes,63
poupée,63
trouver,63
problème,62
pendant,62
while,62
aucun,62
end,62
idea,62
connais,62
langton,61
show,61
air,61
aide,61
trois,61
hurt,61
vrai,61
aucune,61
bennett,60
may,60
aurait,60
guys,60
fini,59
pensez,59
aux,59
pretty,59
raison,59
jour,59
choses,58
dites,58
vois,58
souviens,58
big,58
jusqu,58
wanted,58
sous,58
guess,58
use,58
sens,57
pu,57
possible,57
moins,57
without,56
empreinte,56
used,56
nom,56
actives,56
haven,56
both,56
many,56
job,56
bring,55
stay,55
attic,55
move,55
most,55
ready,55
question,55
entre,54
chair,54
comprends,54
appelle,54
another,54
devrait,54
run,54
same,54
eux,54
arrive,54
travail,54
probably,53
must,53
passe,53
puis,53
anyone,53
arrivé,53
seul,53
gone,52
friend,52
means,52
talking,52
idée,52
attends,51
endroit,51
terry,51
money,51
old,51
jack,51
killed,51
car,51
reste,51
seen,51
viens,50
came,50
tech,50
pensais,50
baby,50
margaret,50
sommes,49
knows,49
bonjour,49
hear,49
partie,48
anymore,48
team,48
found,48
bébé,48
harding,48
home,48
working,48
aren,48
pouvoir,47
devez,47
argent,47
nolan,47
madeline,47
celui,47
laisse,47
actually,47
truc,47
personnes,46
vient,46
dont,46
mynor,46
sent,46
pris,46
enough,46
dessus,45
bas,45
five,45
laisser,45
brink,45
went,45
fall,44
passer,44
serait,44
voulais,44
grand,44
own,44
petite,44
couldn,44
hard,44
having,44
door,44
until,44
porte,44
safe,44
exactly,43
whatever,43
quelques,43
start,43
yourself,43
saw,43
met,43
façon,42
signal,42
esther,42
mère,42
whole,42
devrais,42
room,42
problem,41
seulement,41
allons,41
actifs,41
ask,41
type,41
intérieur,41
message,41
joel,41
contre,41
pain,41
power,41
laissez,40
open,40
feeling,40
happen,40
stuff,40
minute,40
arrêter,40
senator,40
regarde,40
important,40
year,40
live,40
personnalité,40
together,40
control,40
mois,40
genre,40
today,39
thinking,39
die,39
assez,39
whiskey,39
gave,39
hommes,39
matter,39
parle,39
yet,39
souvenir,39
supposed,39
building,39
wants,39
prends,39
nouveau,39
désolée,39
figure,39
nobody,39
dernière,39
miss,39
play,38
engagements,38
color,38
chercher,38
hold,38
combien,38
already,38
once,38
mother,38
heure,38
makes,38
close,38
main,37
voilà,37
able,37
trouvé,37
send,37
thanks,37
presque,37
trouve,37
nouvelle,37
venir,37
meet,37
simple,37
zone,37
few,37
special,36
system,36
clyde,36
salut,36
art,36
hand,36
also,36
leurs,36
entrer,36
forget,36
sénateur,36
ensemble,36
bureau,36
attendez,36
www,36
eyes,35
yeux,35
save,35
wipe,35
night,35
mis,35
myself,35
happy,35
change,35
technologie,35
goes,35
great,35
shouldn,35
alone,35
hope,35
sort,35
gets,35
looks,35
histoire,35
science,34
crazy,34
word,34
gars,34
taking,34
listen,34
saying,34
tué,34
compris,34
rebecca,34
handler,34
mag,34
longtemps,34
ago,34
human,34
men,34
each,34
lost,34
ait,33
different,33
reason,33
penses,33
plutôt,33
donner,33
ami,33
imagine,33
fight,33
chaque,33
set,33
essayé,33
fan,33
next,33
owen,33
essaie,33
turn,32
existe,32
pourrais,32
mission,32
memory,32
boy,32
shoot,32
suppose,32
rester,32
arrête,32
somebody,32
tried,32
pardon,32
called,32
free,32
asleep,32
fin,31
fun,31
quelle,31
mettre,31
impossible,31
empreintes,31
souvenirs,31
november,31
première,31
situation,31
visage,31
everybody,31
sois,31
gps,31
nsa,31
mourir,31
coup,31
équipe,31
least,31
boulot,31
case,31
laissé,31
far,30
sleep,30
either,30
vont,30
semble,30
deal,30
huh,30
afraid,30
pensé,30
months,30
rest,30
damn,30
parlé,30
jeu,30
against,30
hit,30
thirteen,30
aimerais,30
business,30
réel,30
audrey,30
meilleure,30
amour,29
anyway,29
système,29
normal,29
dedans,29
terre,29
ceux,29
amie,29
gun,29
second,29
order,29
funny,29
prince,29
effacer,29
priya,29
appeler,29
chez,29
tucson,29
protect,29
mlle,29
mec,29
soon,29
true,29
somewhere,29
aujourd,28
lie,28
hui,28
entendu,28
charge,28
morte,28
davina,28
taken,28
journée,28
underground,28
voiture,28
actif,28
jours,28
though,28
premier,28
ten,28
walk,28
super,28
lab,28
phone,28
compte,28
story,28
sheila,28
pire,28
savais,28
works,28
clients,28
clean,28
revoir,28
comes,28
trouble,28
cool,27
needs,27
prêt,27
daniel,27
cut,27
étaient,27
soir,27
jouer,27
running,27
près,27
excuse,27
shut,27
wife,27
dernier,27
étiez,27
donné,27
meilleur,27
exactement,27
shall,27
doctor,27
instant,27
probablement,26
days,26
outside,26
sometimes,26
tant,26
glad,26
jonas,26
demande,26
ah,26
dehors,26
penser,26
architecture,26
almost,26
shot,26
libre,26
hein,26
police,26
aura,26
seems,26
since,26
roger,26
celle,26
sound,26
côté,26
original,26
venez,26
