Mot;Occurrence
i;882
rien;213
n;1093
est;3154
ce;1329
qu;1089
il;1423
paraît;6
être;497
ça;1268
me;612
semble;30
plutôt;33
clair;6
parce;97
que;1891
tu;1683
en;986
vois;58
une;1109
partie;48
je;3345
parle;39
d;1011
ardoise;6
propre;16
vous;2459
avez;316
déjà;81
essayé;33
et;1408
nettoyé;8
véritable;4
voyez;16
toujours;159
y;559
avait;97
dessus;45
avant;106
es;265
volontaire;5
ai;851
pas;2541
le;1936
choix;25
comment;240
allé;8
si;575
loin;24
caroline;120
les;1229
actions;6
ont;246
des;728
conséquences;6
bon;111
dieu;106
aimez;11
désole;1
ne;1601
comprennes;1
propose;2
là;317
mais;575
tout;535
nous;601
faisons;15
aide;61
gens;119
fais;155
pourrait;80
t;403
aider;93
c;1646
faites;81
juste;122
pour;830
mon;382
bien;447
peut;317
mieux;95
l;1480
as;377
fait;443
jusqu;58
à;1423
présent;3
pouvons;11
occuper;15
de;3001
cette;231
pagaille;3
après;108
ta;110
période;3
ans;80
seras;14
libre;26
mérite;10
j;1024
essayais;12
faire;431
la;1802
différence;10
prendre;72
ma;180
place;31
dans;632
monde;116
savez;77
comme;298
elle;1000
disait;4
maintenant;166
sais;349
elles;81
avaient;16
joyeux;1
anniversaire;4
mec;29
impossible;23
triché;3
quelque;171
chose;220
qui;715
prouvera;2
fini;58
mauvaise;20
perdante;1
jamais;180
perdu;23
va;380
première;31
fois;121
un;1718
peu;139
mal;123
oh;116
wow;3
marrant;9
venant;9
tricheur;1
aussi;145
petite;44
salope;11
sûre;25
m;596
laissé;31
gagner;8
deux;103
sur;309
trois;61
non;369
hein;26
allons;41
danser;5
passes;1
moment;66
meilleur;27
ecoute;5
au;325
début;10
du;431
week;8
end;8
avions;8
dit;195
liens;9
cordes;4
regarde;40
combien;38
temps;110
a;1486
duré;1
ouais;96
souviens;58
souviendrai;3
quoi;302
allais;22
oublier;20
penses;33
normal;14
moi;518
pensais;50
étais;82
idiot;10
petit;64
stupide;8
veux;276
aies;5
type;32
exceptionnel;1
matt;5
quand;237
dis;79
crois;81
presque;37
merci;115
se;352
tard;21
vas;94
échapper;9
autre;162
danse;3
sûr;93
vais;187
aller;129
verre;11
ok;138
prête;25
ton;160
traitement;65
pense;135
heure;38
passé;69
rencontré;17
garçon;13
où;242
copine;5
dû;69
son;250
carrosse;1
transforme;2
citrouille;1
douze;2
coups;3
minuit;2
fin;31
bal;3
5h;1
mat;1
hey;46
pensez;59
pouvoir;47
ramener;14
fête;13
attendrai;3
ici;314
même;201
êtes;244
quelqu;165
devrais;42
retourner;23
fille;113
collante;1
venez;26
rencontrer;12
tort;13
saurai;7
dire;151
sait;69
mentir;3
s;445
donne;20
impression;18
éloignerai;1
ressent;9
lui;257
trouvé;37
réel;30
suis;553
content;7
piquer;3
prêt;27
perdre;16
aucune;61
obligation;1
vraiment;175
pression;8
seulement;41
expérience;5
quel;77
point;39
on;1295
amuser;8
jours;28
bonjour;49
echo;274
te;411
sens;57
endormie;18
pendant;62
court;14
instant;23
parte;1
avec;402
effacement;17
pourquoi;214
demandez;5
vrai;61
souvenir;38
empreinte;56
effacée;7
nouvelle;37
lune;6
refait;3
vierge;2
raison;59
soit;77
cas;63
arrivé;53
durant;6
engagement;60
finalement;4
cynique;4
âge;5
jeune;22
amusée;2
pensait;9
ou;215
penser;26
rend;10
tel;5
ami;33
avons;66
offert;7
personnes;46
parfait;16
ensemble;36
sommes;49
grands;6
humanitaires;2
passeraient;3
leurs;36
vies;4
prison;14
découvrait;1
cet;66
endroit;51
incompris;1
sont;273
souvent;9
regardez;21
moindre;7
souci;4
vit;7
rêve;13
suivant;2
comprends;54
comprendre;16
dois;123
ils;553
découvriront;1
alors;174
moqueront;1
parlent;3
car;20
cerveaux;9
fondent;1
merde;14
télé;3
réalité;11
mes;116
devoirs;2
eh;19
tes;63
avoir;161
cadeau;10
savoir;71
déteste;10
droit;16
arrêtons;6
peux;274
regarder;17
sauras;2
oui;223
verrais;1
visage;31
barrage;1
laisser;45
tyran;1
arcadya;22
global;21
team;22
traduction;14
audrey;30
lmf;11
thirteen;30
relecture;12
synchro;19
snowblade;18
saison;12
episode;8
ghost;1
complètement;17
sans;114
défense;11
enfant;17
demandent;1
millions;19
payerez;1
mexique;2
kidnapping;6
business;3
prospère;2
vivons;1
usines;1
bas;45
payez;1
meilleures;4
chances;3
contacté;4
police;14
demandé;20
inutiles;5
toute;68
façon;42
besoin;186
passe;53
douceur;1
davina;14
aille;3
crestejo;11
client;37
estimé;2
entendu;28
engageons;1
fournir;2
dont;46
facteur;1
risque;25
impliqué;1
rambo;2
négociateur;2
doit;145
roulettes;2
comprenez;12
nos;81
actives;7
robots;3
travail;54
dominic;41
discutera;2
détails;9
sécurité;81
pouvez;70
reste;51
confessionnal;1
plaît;79
souvenez;8
active;38
saura;11
vient;46
importe;65
quelle;31
discussion;3
propos;15
perturbera;1
renvoyer;1
arrière;9
important;21
arrive;52
terriblement;3
désolée;39
aiderons;1
aïe;4
tendu;3
tombée;2
lourd;7
bilan;3
sanguin;1
données;12
internes;1
toutes;72
impeccables;1
demander;22
membre;6
équipe;31
travailler;12
genou;2
aimerais;30
massage;5
relaxants;1
organiser;2
tombé;5
