Mot;Occurrence
nothing;92
is;1308
what;1111
it;2224
appears;4
to;3229
be;847
seems;26
pretty;59
clear;22
me;1172
because;126
you;5313
re;1052
only;120
seeing;13
part;57
of;1338
i;5638
m;876
talking;52
about;379
a;2392
clean;27
slate;9
ever;103
try;65
and;1572
an;254
actual;2
always;97
see;241
was;691
on;668
before;118
are;668
volunteering;2
don;810
t;1949
have;881
choice;15
do;766
how;393
did;366
get;480
this;1208
far;30
caroline;120
actions;5
consequences;6
oh;182
god;130
loving;5
aren;48
sorry;124
understand;68
offering;2
here;519
but;584
we;1482
helps;10
people;204
if;457
become;19
that;1611
can;745
help;178
right;387
just;578
looking;77
out;551
for;820
perhaps;11
better;85
than;121
take;234
care;72
mess;13
after;113
your;729
five;45
year;40
term;8
will;293
free;32
deserve;4
trying;77
make;206
difference;8
my;699
place;98
in;1198
the;3616
world;67
know;798
like;481
she;889
said;128
now;335
they;727
didn;210
happy;34
birthday;7
man;155
no;599
way;210
cheated;1
l;15
cheat;1
something;218
prove;12
been;250
cheating;2
isn;86
over;116
sore;4
loser;2
wouldn;74
ve;330
never;160
lost;34
s;2628
okay;291
first;107
time;226
little;154
bit;24
wow;13
funny;29
coming;71
from;269
cheater;1
who;401
also;36
bitch;23
sure;120
let;270
win;10
two;85
three;69
nah;3
huh;29
dance;5
having;44
good;254
best;89
listen;33
uh;110
at;283
beginning;6
weekend;7
strings;3
ropes;2
look;154
long;86
lasted;2
yeah;194
remember;137
all;567
d;239
forget;36
think;419
normal;15
maybe;130
had;169
idea;62
were;222
moron;1
stupid;18
want;373
amazing;12
guy;91
matt;5
when;262
say;143
almost;26
believe;63
thank;83
everything;138
getting;74
late;14
not;937
another;54
course;61
gonna;202
go;389
grab;12
drink;13
ready;55
treatment;63
nice;63
met;33
dude;11
where;222
friend;52
her;719
carriage;1
turned;20
into;157
pumpkin;1
stroke;1
midnight;2
end;54
ball;2
hey;89
could;242
back;278
party;22
ll;475
wait;105
shouldn;35
last;94
thing;120
clingy;2
meet;36
someone;148
wrong;86
mean;156
lie;26
save;35
his;238
life;116
he;807
gives;6
walk;28
away;117
feels;17
too;122
found;48
real;111
glad;26
pinch;3
sad;18
second;26
obligations;1
really;161
pressure;7
experiment;2
much;101
fun;31
days;26
hello;67
echo;299
feeling;40
fall;41
asleep;32
while;62
shall;27
with;602
wipe;35
why;274
ask;41
went;45
imprint;64
gone;52
new;94
moon;2
has;143
made;100
virgin;2
again;86
there;551
some;172
reason;33
happen;40
during;14
engagement;56
finally;12
so;548
jaded;2
such;23
middle;8
age;9
thought;117
or;256
bad;86
thinking;38
makes;38
gave;39
perfect;25
together;40
great;35
humanitarians;2
would;248
spend;5
their;113
lives;8
jail;8
anyone;53
misunderstood;1
which;93
often;4
living;17
dream;15
whose;11
next;32
as;262
tell;198
find;165
should;151
laugh;6
everybody;31
watches;2
talk;64
cause;45
brains;20
melting;1
reality;3
crap;18
finished;21
homework;2
well;222
present;6
knowledge;7
hate;13
stopping;4
watch;14
face;61
even;155
sleeping;9
kind;68
roadblock;1
got;359
tyrant;1
completely;12
helpless;5
years;76
old;49
kid;20
demanding;1
million;16
pay;18
thanks;37
mexico;2
kidnapping;4
thriving;1
business;27
live;40
factories;1
chance;33
contacted;1
police;12
instructed;2
useless;4
anyway;29
need;301
smoothly;2
davina;14
mr;133
crestejo;11
valued;5
client;39
provide;4
risk;21
factor;2
involved;4
rambo;2
negotiator;2
goes;35
clockwork;2
our;212
actives;49
robots;3
work;102
dominic;45
discuss;6
security;85
details;6
