Mot;Occurrence
mea;4
culpa;4
maxima;2
ici;221
l;1103
unité;7
on;495
poursuit;1
un;1187
pickup;1
qui;548
à;1014
refuser;2
de;2660
s;301
arréter;1
bien;343
reçu;7
pardonne;5
les;1126
père;27
pour;812
ceux;21
qu;617
ils;326
fait;279
mon;225
dieu;56
il;1209
y;388
en;742
monsieur;25
conteneurs;5
foetus;8
c;1101
est;2080
le;1673
dernier;16
ouais;25
hé;29
a;1162
gars;36
washington;4
dans;474
la;1427
tente;3
des;699
preuves;5
pardon;22
avez;265
vous;1884
dit;118
travailler;11
je;1487
ne;691
ai;431
pas;1283
mais;463
quesqu;1
fout;2
badge;2
detective;9
mcneil;3
suis;231
charge;5
du;483
dossier;10
désolé;53
êtes;99
arrivé;42
trop;54
rapidement;8
bonjour;46
docteurjacob;1
hood;245
conseillé;2
scientifique;39
spécial;26
fbi;101
et;1050
voici;19
agent;107
rachel;145
young;75
oui;273
j;497
été;168
nommé;2
enquêter;2
sur;301
crimes;6
crises;6
nature;15
ce;906
que;1210
trouvé;66
tombe;1
certainement;5
cette;149
catégorie;1
non;333
toi;41
dehors;22
voulez;65
dire;153
bébés;15
morts;29
n;643
ont;250
creuser;5
eux;36
mêmes;13
tombes;1
exact;15
mort;80
buvez;2
lait;16
boîte;6
pourquoi;159
codebarre;2
même;156
principe;3
profil;4
adn;41
pesonnel;1
chaque;39
différent;4
donc;109
unique;4
maintenant;120
ça;636
vieux;11
semaines;16
sont;227
tombés;6
camion;9
nuit;26
dernière;36
ceci;19
premier;22
déterrer;1
trouvez;7
différence;6
défi;1
peut;189
pouvez;72
parce;55
identiques;7
tous;118
conaissez;1
quelque;137
chose;180
clônage;7
souvenez;5
dolly;1
mouton;1
abomination;1
se;197
passe;50
quand;148
essaye;15
avec;290
humains;12
encodage;2
jarod;10
dirait;18
gérer;6
lui;162
t;116
besoin;133
dr;171
atout;1
haute;4
importance;6
brillant;4
biophysicien;1
plupart;16
son;181
temps;103
sa;113
tête;20
surveille;3
ces;160
arrières;1
environ;7
an;9
groupe;11
extrémiste;1
exploser;3
voiture;29
faire;185
rougir;1
demandez;11
où;153
éclat;1
d;839
obus;1
voyez;40
facheuse;1
habitude;5
vérité;10
choque;2
beaucoup;61
personnes;38
libre;4
diner;2
regard;5
david;12
quelqu;105
vu;60
fils;68
juge;2
nous;696
laisser;20
tranquille;6
pays;19
kelly;25
peux;119
allez;103
ville;25
veux;95
comme;228
tu;348
fais;43
enfants;51
droit;13
voir;101
leurs;34
pères;1
sais;136
après;67
m;214
laisse;17
va;218
attendre;20
maman;45
là;176
bas;22
accord;42
vois;25
as;71
assez;32
occupée;2
prend;19
soin;12
plus;309
jamais;61
dis;30
surtout;13
aprés;4
sois;11
partie;29
loin;26
moi;250
laissez;25
devrais;12
appeler;20
police;33
arreté;3
microbiologiste;1
par;162
hasard;7
gardien;4
au;280
chômage;1
priori;1
payé;9
enterrer;3
puis;39
une;833
fois;67
découvert;5
contenaient;2
arrivait;4
comment;127
savez;84
derrière;17
affaire;21
semblez;1
connaître;5
tout;280
quelqun;1
traquons;1
depuis;49
longtemps;31
premières;5
tentatives;1
huamin;1
était;266
europe;1
amérique;6
sud;9
toutes;47
échouées;1
crois;29
venu;17
question;28
quelle;19
suite;20
me;203
recommander;1
