Mot,Occurrence
i,30976
you,21219
a,13293
je,11962
t,11153
s,10907
est,10285
to,10117
de,9755
the,9717
pas,8815
it,8490
on,7915
tu,7902
me,7119
c,6862
le,6702
m,6339
que,6337
that,5732
un,5611
what,5256
j,5200
and,5109
à,5106
il,5094
la,4943
et,4664
ça,4641
en,4008
is,3995
l,3917
in,3820
we,3809
d,3772
this,3729
he,3689
of,3653
ai,3636
pour,3585
vous,3556
ce,3452
une,3362
do,3253
for,3196
don,3176
my,3175
qu,3146
vince,3017
not,3000
re,2962
as,2954
les,2920
no,2860
ari,2796
have,2759
be,2649
your,2635
te,2528
moi,2528
know,2527
ne,2522
are,2475
just,2446
so,2425
can,2399
with,2318
get,2205
quoi,2202
mais,2184
yeah,2151
va,2102
was,2067
but,2056
all,2046
non,2016
si,2001
got,1975
like,1940
want,1913
qui,1890
n,1873
ll,1840
right,1839
up,1838
e,1820
suis,1816
toi,1789
gonna,1788
avec,1784
him,1777
y,1761
about,1753
elle,1729
plus,1714
des,1699
dans,1671
bien,1666
faire,1666
if,1625
mon,1624
good,1612
how,1593
fait,1591
out,1560
veux,1537
she,1535
oui,1532
go,1495
tout,1491
es,1477
here,1460
du,1448
at,1416
au,1410
oh,1402
lui,1358
think,1354
there,1343
être,1325
turtle,1320
her,1304
really,1283
one,1268
alors,1251
come,1239
sais,1233
ve,1203
did,1202
now,1183
they,1165
why,1129
comme,1128
see,1124
dit,1117
drama,1092
let,1088
tell,1083
okay,1070
ma,1066
se,1063
là,1061
well,1053
était,1052
ton,1051
back,1000
hey,998
film,993
sur,980
rien,965
pourquoi,959
an,940
who,937
peut,937
peux,923
look,921
bon,913
will,913
fuck,911
johnny,907
fais,890
when,888
nous,879
would,873
vraiment,866
merci,858
vais,847
call,846
ils,835
didn,828
make,818
his,812
sorry,801
great,795
need,790
quand,785
comment,779
take,774
fucking,767
dire,758
guys,755
going,745
been,737
lloyd,733
time,730
où,730
say,727
movie,714
little,707
or,698
avoir,696
us,693
from,687
some,673
love,672
son,670
aussi,666
ta,660
should,656
were,654
super,653
dis,653
off,648
chase,648
could,643
man,640
cette,622
ok,619
jamais,616
had,613
putain,611
too,611
over,609
where,605
vas,604
veut,602
eric,601
voir,599
talk,599
même,599
doing,593
allez,592
guy,592
ou,583
way,579
because,579
crois,578
maybe,577
faut,565
down,554
something,553
more,548
désolé,541
never,541
ici,534
par,527
work,511
â,509
gold,504
said,503
mean,501
parce,498
them,495
sure,492
dois,489
am,481
even,480
then,479
script,479
accord,473
thank,473
parler,470
billy,469
thought,466
très,465
baby,465
please,463
juste,462
yes,461
peu,460
deux,455
give,455
nice,454
appelle,452
sûr,451
day,448
salut,445
encore,434
cause,432
tous,432
ouais,431
big,429
avez,426
by,425
mes,422
still,414
new,414
toujours,408
étais,406
only,402
told,402
avais,400
has,400
vrai,399
aime,399
vincent,398
thanks,398
nothing,395
sloan,395
viens,394
sont,394
shit,392
ont,391
petit,387
agent,386
aller,386
vu,386
sa,384
first,382
été,378
job,376
autre,375
fois,374
temps,373
girl,373
any,371
phone,371
again,371
much,371
déjà,369
our,367
very,364
people,361
two,359
chez,358
night,357
car,357
bonne,356
sans,356
maintenant,351
tes,349
put,348
today,348
aquaman,348
show,347
last,347
vinnie,343
bro,342
eu,342
cool,342
anything,342
does,341
arrête,340
personne,338
doesn,337
chose,337
votre,337
air,337
feel,336
trop,336
soir,335
besoin,335
thing,333
ans,333
avant,331
listen,329
mr,327
problème,326
studio,325
business,321
place,321
wants,320
coming,319
into,318
yo,318
god,317
better,315
monde,315
money,313
depuis,312
before,311
life,311
merde,311
than,309
voilà,307
huh,303
mec,302
truc,302
après,301
vie,300
bad,299
fine,298
minutes,297
done,296
wanted,294
home,293
believe,290
jesus,289
won,289
gars,289
ah,288
passe,288
hear,287
real,287
sera,285
parle,285
mal,284
star,283
actually,282
ces,282
fille,281
ever,280
adore,279
êtes,278
house,276
meeting,273
everything,273
laisse,272
years,270
femme,270
ª,269
getting,268
trying,267
later,266
walsh,265
boulot,265
bob,265
keep,265
quel,264
andrew,264
wait,262
manager,261
ready,259
talking,259
notre,258
other,258
read,257
hein,256
problem,256
avait,253
office,253
find,252
doit,252
sérieux,251
grand,250
aux,249
these,249
three,249
after,248
vois,248
friend,248
quelqu,247
bureau,245
hi,245
regarde,244
beaucoup,244
gotta,244
part,244
moins,242
donc,241
uh,241
chance,241
hello,239
stop,239
mieux,238
care,235
looking,234
wife,234
aujourd,234
hui,234
always,233
made,233
another,232
together,232
