Mot;Occurrence
frontal;10
jessica;21
quoi;1777
de;7684
neuf;160
ca;173
va;1657
superbe;18
cadillac;2
mon;1307
chou;21
salut;350
turtle;646
tu;6109
pars;32
oui;1247
merde;216
vince;1541
dois;393
signer;36
ça;3631
pas;7043
maintenant;277
c;5355
est;7921
pour;2843
mary;17
chez;293
nike;4
veux;1202
qu;2315
elle;1343
arrête;257
te;2006
filer;24
des;1317
chaussures;18
o;40
k;32
je;9475
signe;24
après;227
déjeuner;45
mieux;182
vaut;20
non;1609
ne;1792
ils;629
se;800
sont;297
trompés;2
la;3858
couleur;7
tes;274
yeux;56
en;3176
noir;12
et;3711
blanc;16
plutôt;103
marron;1
dirais;30
au;1083
moins;195
n;1336
ont;294
bousillé;3
ton;838
sexe;28
ce;2602
que;4893
racontes;13
un;4427
portrait;6
peut;735
arriver;62
tout;1158
warren;1
beatty;2
aurait;121
renvoyé;4
affiches;4
du;1147
i;11728
ciel;2
attendre;78
car;153
son;489
jogging;2
rendait;6
sa;306
bite;49
trop;264
petite;100
il;3939
con;108
soigne;1
image;30
droit;49
devant;83
regardez;57
qui;1528
arrive;180
excusez;54
moi;2036
vous;2856
avez;341
laissé;50
tomber;92
eric;321
allez;455
à;3967
soirée;91
motorola;1
soir;264
on;4386
première;92
occupés;2
ah;179
vrai;281
pourquoi;760
sur;832
liste;55
êtes;227
assez;93
sexy;58
bonne;286
chance;159
appelez;19
nous;644
a;5840
plus;1319
personne;279
me;3235
salue;3
les;2243
salues;1
comme;894
marche;83
comment;624
sales;7
mannequins;12
si;1560
elles;101
étaient;21
bien;1310
bosseraient;1
new;154
york;67
propos;34
réunion;88
s;3535
fout;46
seuls;10
parlais;15
lycée;34
assis;36
ici;387
faut;467
y;1394
aller;283
retrouvailles;1
ans;260
t;5569
étais;336
dans;1307
notre;195
classe;28
j;4151
ai;2877
traîné;2
avec;1407
ces;216
gamins;14
as;1938
eux;48
leur;132
vendais;1
l;3051
herbe;47
le;5274
parking;15
avais;314
déjà;299
voyait;6
filles;99
projection;32
essaies;20
brancher;3
alors;988
souffre;6
pauvre;34
doit;194
sortir;87
replongé;1
sais;941
appelé;113
kristen;42
e;858
faux;36
dis;474
fini;123
veut;443
dire;575
une;2672
salope;51
ressortiez;1
ensemble;199
veuilles;11
vraie;51
voilà;242
dit;880
ma;796
coiffure;2
parfait;99
stresses;3
autant;55
aussi;516
film;717
oublié;48
redis;1
texte;10
très;363
casse;38
bande;32
connards;11
chaque;57
fois;276
adore;219
mais;1750
tête;186
belle;86
touffe;1
drama;499
produit;14
capillaire;1
tonnerre;3
allons;88
johnny;450
premier;125
vas;458
bombasses;1
sortie;20
mate;13
nichons;6
nana;34
d;2493
exclusif;2
trouve;139
ali;2
soit;144
premières;8
rangées;3
fais;720
caméra;13
prenez;22
photo;57
frère;132
joué;53
série;100
plusieurs;28
hé;38
frérot;7
quel;217
nom;89
chase;339
vole;14
vedette;5
encore;329
gars;231
ravi;50
voir;478
adoré;57
merci;652
crois;433
marché;23
super;502
rigoles;19
génial;162
beau;104
travail;93
gentil;62
peux;727
prendre;163
accord;328
endurer;1
longtemps;60
rester;72
peu;349
boire;46
quelques;108
verres;7
socialiser;1
part;141
bientôt;78
prends;167
alan;67
type;108
financé;5
putain;497
celui;78
fille;206
fils;79
homo;8
là;871
bas;119
verre;71
retrouve;40
année;46
aime;321
bain;21
minuit;5
était;845
toi;1426
ari;1293
où;577
parle;216
gens;116
lu;105
cervin;8
vient;161
terminer;1
laisse;209
amuser;12
foutu;36
aujourd;174
hui;174
fignolé;1
petit;307
jeu;50
boulot;220
lire;69
putains;28
scénarios;10
lui;1058
juste;376
m;2756
parler;367
mardi;2
courtside;1
convaincs;3
attends;146
occupe;68
calme;87
amuse;35
baiser;161
six;81
choix;42
dont;41
ressemble;13
es;1180
trou;35
cul;141
venger;6
ex;52
ferais;66
important;100
tailler;8
pipes;7
cruellement;1
besoin;254
donc;205
vais;666
arranger;24
suis;1444
sûr;355
autre;288
aimait;11
aimais;20
derek;1
jeter;28
revanche;3
blonde;4
h;109
trouver;118
chier;79
recommence;8
faire;1271
foutre;134
fâches;1
rien;771
fait;1233
chaudes;1
gagné;27
concours;3
radio;6
veulent;75
abord;46
rencontrer;60
capable;19
sans;291
réponds;50
vivez;6
tous;326
vis;20
maison;148
invités;13
invitée;2
montre;46
problème;259
rappelles;19
quelqu;195
perturbe;3
viens;295
pourras;28
vraiment;740
ressemblez;1
souvent;29
beaucoup;197
cholestérol;1
convaincre;16
supplie;12
mets;63
genoux;15
coule;3
mignon;49
espère;88
toujours;328
être;1080
celle;64
baisera;1
chérie;137
regarde;195
autour;19
parti;86
ta;512
soeur;14
meilleure;42
amie;38
sors;51
montrerai;8
prend;42
déj;11
jorge;1
tir;7
prêt;146
roberto;1
désolé;416
pote;156
bonjour;155
blanca;1
hier;92
détails;22
baisé;77
lapin;6
pété;7
plomb;10
entrée;16
ses;152
puis;91
raconté;6
oncle;10
matait;4
sous;133
douche;13
inquiète;108
repartie;1
ravie;23
jean;3
truc;259
impatiente;3
appeler;164
ouais;283
aimé;73
pourrais;103
avoir;542
avis;73
rôle;146
aurai;37
mêmes;3
goûts;7
nuit;95
dernière;60
succès;38
énorme;41
scénario;79
marcher;24
savais;106
même;479
tueur;2
avant;264
appelle;358
annule;18
rendez;113
lequel;25
warner;19
réalisateur;101
français;27
aimerais;90
savoir;132
accepter;29
entrevue;5
quand;620
accepté;22
pensais;102
allais;52
annulons;1
dégueulasse;20
annuler;21
seconde;45
parleras;1
écouterai;2
bons;43
acteurs;45
doivent;9
écouter;33
légende;7
films;66
fera;100
plaisir;55
sache;22
adorer;25
black;20
hack;12
chien;66
garde;54
magnifique;59
bâti;2
mollets;14
ennuis;23
concerne;15
affaires;61
déménagé;6
complètement;37
débile;24
jamais;484
intéressait;1
demander;69
demi;18
jusqu;107
prenait;2
cousin;19
ecoutez;12
pendant;127
deux;350
profité;5
piquant;1
bouffe;21
niquant;1
mes;324
pardon;35
melrose;31
place;133
rapporté;8
partager;9
chiottes;12
gros;144
lard;1
poids;24
espèce;26
glandeur;1
chauve;4
famille;72
diras;7
charles;1
manson;1
viendra;18
égorger;1
sera;209
défendus;1
par;432
arnold;22
plaît;140
chercher;58
rapide;13
star;138
voudras;2
ramasse;4
durs;10
contacté;2
hein;188
gratuit;5
paie;32
réglo;8
golf;26
entraîne;4
rejoins;15
tard;127
peine;41
vouloir;36
point;99
posé;14
tas;22
questions;31
compris;82
capte;7
