Mot;Occurrence
5x03;4
the;5888
all;1245
out;934
fall;32
subtitles;22
sub;20
way;351
fr;19
i;16353
can;1461
t;4300
believe;176
this;2223
he;2226
finally;39
hooks;4
up;1102
with;1433
justine;7
chapin;5
and;3120
won;173
tell;646
us;403
nothing;231
told;254
you;13055
turtle;483
we;2300
had;374
a;5644
good;970
time;441
come;766
on;2222
vin;60
need;485
little;434
more;332
info;4
than;192
that;3493
besides;26
since;128
when;530
don;1947
share;19
details;15
of;2221
our;216
love;418
life;195
shared;8
girl;229
anal;8
warts;4
was;1251
therapy;8
not;1806
entertainment;11
just;1470
give;281
perv;4
something;347
bro;221
stop;154
nagging;7
till;65
gets;86
what;3195
wants;212
like;1172
want;1184
to;6148
know;1572
have;1631
my;1880
own;133
sex;53
jerk;20
off;402
uh;187
correction;5
your;1637
mean;301
it;5159
virtual;3
but;1221
now;728
s;5959
over;376
no;1722
okay;694
right;1172
jacqueline;16
another;132
hozy;9
who;589
tore;4
heart;36
chest;11
handed;4
me;2948
so;1443
laugh;25
at;886
whatever;102
m;2755
laughing;33
curious;8
is;2417
ho;16
floozy;3
as;551
turns;16
she;971
both;95
ll;1089
get;1331
through;102
johnny;331
let;640
cross;5
here;901
got;1211
keep;158
eyes;49
closed;18
daddy;49
they;714
re;1833
buddy;64
peeking;4
why;684
do;1939
women;38
never;332
trust;71
honey;60
almost;35
there;799
couple;76
steps;7
open;42
fuck;535
sorry;459
holy;18
sh;3
baby;272
happy;123
anniversary;8
gift;36
does;211
compare;3
worry;123
myself;81
make;504
for;1966
oh;784
god;192
remember;105
how;984
much;222
wanted;173
well;640
maybe;374
feel;204
are;1523
drive;65
man;361
things;134
bad;181
marvin;26
last;213
year;104
fucking;473
disastrous;4
katrina;4
black;30
card;38
ve;737
been;435
broke;45
before;195
bankrupt;6
file;11
chapter;6
filing;3
wipe;6
slate;3
clean;20
start;88
again;230
budget;21
without;83
dependents;3
should;411
an;552
appetizer;4
go;879
hunger;3
strike;8
vince;1022
be;1623
proud;24
father;54
filed;6
bankruptcy;3
left;116
mother;65
even;294
child;11
support;29
call;510
pride;8
doing;372
better;197
three;150
times;82
alone;67
because;358
ugly;23
job;232
fast;39
grab;48
quick;30
shauna;58
client;75
appearance;14
deal;121
in;2304
dubai;5
pay;92
big;229
money;188
girls;88
michael;10
buble;4
moron;9
show;211
camel;6
race;18
doesn;203
sound;43
too;374
huh;210
nice;280
car;171
ari;1009
from;426
wife;139
thanks;233
davies;67
forgot;30
married;27
into;196
only;235
use;74
her;801
small;37
stuff;74
someday;10
done;182
sucking;15
terrance;48
tit;4
might;119
yourself;110
breathe;12
deep;22
comes;56
dust;8
easy;63
say;478
pink;6
slips;3
thinking;105
about;1097
getting;171
daughter;32
sweet;77
two;220
years;159
legal;8
watch;82
or;414
couldn;91
catch;23
if;962
bucks;21
says;97
pass;27
bijan;8
really;774
bitch;71
christy;11
where;368
said;299
were;393
going;454
speak;47
nicer;7
front;54
clients;73
labor;4
grievance;3
meantime;8
any;212
appearances;5
vincent;142
actually;173
guy;357
bel;5
air;32
his;503
zac;16
efron;14
supposed;81
appendix;3
exploded;4
him;1057
back;590
actor;43
whose;17
testicles;3
dropped;13
dime;9
less;44
zachary;4
studios;8
yeah;1359
close;59
these;144
people;213
would;528
lucky;36
fer;4
chase;208
brothers;17
them;306
stick;32
chili;4
festivals;4
drama;416
means;66
far;24
wet;12
dream;17
outside;27
fellas;16
sensitive;17
rough;20
breakup;6
someone;128
went;64
amanda;58
hey;626
am;299
impressed;8
taste;21
very;235
script;217
gave;79
thought;290
sent;57
edward;23
norton;91
cause;252
feeling;61
may;96
respond;7
ed;84
yes;276
hope;93
course;112
great;483
hear;181
hi;145
liked;44
nine;40
brave;18
souls;20
excited;39
d;615
meet;132
commit;8
book;30
formality;4
charming;7
self;13
leave;92
worried;34
late;56
always;149
answer;61
cell;26
problem;150
ferrari;21
already;131
yep;21
involved;19
some;417
illegal;5
street;15
racing;5
oooh;17
sexy;24
adam;39
gross;11
lost;60
owe;21
see;670
try;116
collect;4
confidence;12
grows;3
tenfold;3
knowing;17
lloyd;280
welch;4
please;282
put;213
brown;7
paper;13
bag;26
along;22
pile;8
shit;235
send;48
excuse;84
human;15
disgusting;18
american;22
psycho;8
style;14
dismemberment;3
perform;7
doggy;5
poo;4
yours;53
easier;8
otherwise;10
camp;7
men;50
bathroom;29
whichever;8
will;545
specimen;3
greeting;3
miller;28
gold;187
agency;49
listen;212
knew;65
lot;123
worse;18
land;10
gig;9
jesus;166
meanwhile;5
week;82
its;16
has;235
needs;54
understand;114
eric;215
reason;50
one;749
studio;128
movie;430
indie;9
waste;19
possibility;9
read;171
half;57
ass;140
agent;110
carry;16
sperm;5
sample;6
likes;47
anything;217
few;49
leads;5
yelling;12
ah;50
stressed;13
everybody;91
seems;40
today;206
moon;5
must;47
retrograde;3
take;473
shoes;24
door;47
taking;71
place;141
exhausted;8
mr;197
levine;12
waiting;72
die;29
blood;23
bob;81
welcome;58
guys;473
mitchell;11
hello;152
friends;124
home;183
such;62
fan;41
blue;26
driving;28
working;105
fact;60
mine;65
double;28
coming;211
came;78
office;133
extremely;9
pressed;3
fucked;97
son;71
tells;15
absolutely;27
thrilled;13
mitchy;3
husband;26
tonight;129
important;63
spending;10
million;99
gonna;1121
swimming;11
ocean;14
cristal;6
enough;120
almas;3
russian;3
caviar;5
guests;9
empty;11
stomach;6
performance;15
act;37
else;133
greet;6
dance;29
boring;10
flashy;5
aquaman;137
ma;76
star;100
highest;8
grossing;6
film;113
known;33
king;24
dehydrate;3
opponent;5
single;21
touch;22
sweetheart;11
dressed;6
unveil;3
party;76
sitting;40
ice;11
throne;5
middle;29
pool;30
serious;93
tables;5
surround;3
hotel;20
living;52
centerpiece;3
everyone;108
five;105
hours;61
iceberg;9
could;417
bit;57
chilly;3
sweetie;14
gs;26
warm;15
rather;28
grand;57
theft;3
auto;4
ahead;37
total;8
boosted;3
their;68
scotch;12
em;57
insulted;5
hammered;4
st;8
paddy;3
day;260
look;562
gangster;5
drug;16
dealer;5
rapper;4
playing;74
play;101
othello;4
sabbath;4
ozzy;4
osbourne;4
story;46
young;33
supermarket;3
checker;3
falls;6
older;8
jewish;4
woman;46
meryl;13
streep;12
set;91
against;33
crown;3
heights;3
ris;3
scenes;25
pull;31
officer;13
nickerson;4
morgan;9
accident;19
sir;51
feces;4
sounds;81
admission;4
guilt;13
cuff;3
hold;90
second;113
wait;164
minute;59
sending;8
present;11
crime;5
literally;9
sick;37
cooperate;3
pleasant;5
experience;12
b;36
h;20
p;34
boner;3
patrol;6
stiffy;3
inspected;3
outta;6
language;10
soon;86
think;835
pussy;80
calling;98
release;16
hard;73
talk;352
misunderstanding;5
practical;5
jokes;5
ain;74
wasn;114
joke;21
torture;7
used;85
pal;20
terminator;9
cannot;24
stopped;21
dangerous;3
game;61
night;198
younger;10
cooler;6
looking;149
war;25
morning;147
stays;9
mrs;13
code;18
swear;39
tom;67
gangrene;3
cock;31
utter;4
word;75
girlfriend;63
made;153
humping;3
pushcart;3
mailroom;8
didn;505
saved;14
evidence;3
slut;9
shatter;3
world;92
shattered;3
mess;20
