Mot;Occurrence
pourquoi;132
t;351
as;205
fait;177
ça;660
c;837
est;1258
être;154
acteur;45
mais;362
tu;962
m;219
si;282
mal;34
bizarre;17
une;408
meuf;2
a;417
dit;134
hier;8
soir;45
ans;55
super;66
canon;1
on;417
l;378
fois;47
elle;243
presque;6
épuisé;1
à;575
la;675
fin;18
des;282
couilles;3
de;1082
taureau;1
coupez;14
bon;105
développez;1
en;491
route;2
pour;378
suivante;5
mike;6
richard;8
fumée;6
impeccable;1
merci;153
va;172
faire;150
un;819
plan;12
plus;222
serré;2
vous;672
avez;67
vue;10
était;129
auras;6
prime;5
vrai;68
dans;254
convention;1
non;368
excellent;10
performance;2
voir;82
le;768
chargé;2
production;3
moi;267
gérer;1
vie;45
chacun;5
reparti;1
il;703
te;222
donnera;3
petit;54
dieu;36
sait;23
que;667
besoin;31
ce;392
ne;475
sont;88
pas;1102
mes;45
vêtements;5
trompeur;1
les;440
gars;11
tout;213
monde;53
pouvez;18
venir;30
voici;41
goran;2
nous;154
tournons;1
film;54
son;82
histoire;17
sommes;15
là;142
connaître;7
au;168
entier;1
certains;9
doivent;5
se;133
demander;16
je;1483
fais;117
me;278
voyez;6
sûrement;16
comme;143
grands;8
acteurs;13
comiques;1
du;180
qu;352
signifie;2
joue;16
polly;1
et;654
direct;3
millions;15
dollars;1
gros;41
scores;1
toutes;18
années;7
confondues;1
rapporté;2
travers;3
mon;189
beau;17
père;15
deux;64
argent;24
succès;14
trouve;25
orphelin;2
zone;1
guerre;5
caché;1
immeuble;2
ruines;1
ses;30
parents;6
assassinés;1
persécuté;1
origines;1
sa;62
religion;2
vais;87
mater;1
dodgeball;4
dvd;5
marrant;3
peux;104
lui;187
mettre;13
rigolera;2
pendant;20
1h32;1
s;162
échappera;1
réalité;5
retour;5
toujours;65
vivant;3
peur;12
comment;77
pourrais;19
aider;14
remettre;1
devant;15
sûr;64
rira;1
encore;62
verra;5
gags;1
ratés;1
première;10
plusieurs;5
degrés;1
peut;91
durer;1
indéfiniment;1
après;33
cinquième;1
sixième;1
septième;1
visionnage;1
règle;3
fond;6
problème;31
ok;36
puis;25
faisant;8
réfléchir;1
gens;61
changer;6
comportements;1
pensez;5
dégustant;1
vos;22
frappuccinos;1
prend;5
pause;9
bien;300
beaucoup;35
reprend;2
quart;3
j;572
aimerais;29
sois;9
sans;57
doit;24
y;214
avoir;68
délai;1
entre;26
moment;18
où;70
grenade;1
explose;3
quand;117
arrivez;1
ben;17
serait;27
possible;17
avait;38
oui;216
plaît;31
rien;145
maintenant;57
contourner;1
par;74
droite;1
coca;4
n;322
frais;5
désolé;49
arrêtez;6
secondes;3
quoi;240
votre;82
d;355
accord;55
ouais;17
pourrait;20
apporter;3
vérifiez;4
reste;19
regarde;50
veut;32
sais;147
souffert;1
champion;2
qui;259
pouvoir;12
assez;31
attirant;4
oublie;6
penses;11
engage;1
jamais;71
avec;241
homme;35
dont;17
femme;46
été;36
assassinée;2
horrible;7
primo;1
rigolo;6
rivaliser;1
mariage;10
foutu;5
buvait;1
trompait;1
vois;47
enlevée;1
aux;44
meilleurs;7
jours;16
leur;53
amour;8
partie;6
étant;4
top;6
marilyn;1
monroe;1
ou;85
jimmy;1
dean;3
engager;4
choisis;3
quelqu;35
autre;49
alors;115
facile;7
toi;173
entrez;4
juste;57
seconde;4
crois;52
truc;27
exact;8
laissez;4
salut;107
comédien;1
devoir;2
vérifier;2
1er;4
assistant;1
réalisateur;3
faut;73
quelques;24
informations;2
nom;30
maggie;39
jacobs;2
prenez;7
place;13
pourvu;1
surprenne;1
sur;107
canapé;1
copine;14
suis;232
marié;7
ai;385
copain;4
homo;12
devrais;16
plutôt;16
inquiéter;1
mari;5
voie;6
ici;68
mariée;2
lesbienne;4
complètement;10
disponible;3
hello;2
entends;8
demandais;2
parler;41
parce;63
figurant;9
déjà;46
donné;8
réplique;36
ma;119
photos;4
entendu;13
souvenirs;2
magnifique;7
très;109
belle;11
effet;6
nos;20
premières;2
vacances;3
fils;11
an;3
joli;3
garçon;3
mort;15
oh;50
regarder;13
bronze;1
intégral;1
morte;7
étendue;1
rue;8
pris;16
prise;8
photo;14
montrer;11
montré;2
veux;140
stiller;2
fasse;5
zoolander;1
dénudée;1
uniquement;2
visage;17
dénudé;1
développées;1
cousin;1
genre;12
mets;14
mains;8
boots;3
chaîne;1
pharmacies;1
drugstores;1
ils;145
font;12
pharmacie;1
cadeaux;2
sandwichs;1
slim;1
fast;1
jus;2
fruits;2
avons;18
loupé;2
affaire;8
true;1
print;1
donne;10
pellicule;2
gratuite;2
es;151
bref;3
pouvais;6
aie;3
répliques;14
repasse;1
tard;39
emmerde;2
forcing;1
interrompre;5
ta;91
aimée;1
charcutée;1
cette;66
pensé;8
dire;106
ferait;11
chouia;1
insensible;1
méfie;1
jackie;6
greer;5
cherche;10
fête;7
anniversaire;6
question;17
vas;42
gentille;4
prépare;2
excuse;12
habitude;5
dis;63
ur;32
vient;19
abord;10
date;3
samedi;3
prochain;6
dégoûtée;1
aurais;30
aimé;6
famille;8
bonjour;41
aime;37
coiffure;2
écoutez;7
excuses;6
semaine;12
pot;3
ordonne;3
