Mot,Occurrence
i,1765
you,1161
je,702
s,688
est,676
a,663
t,612
the,610
to,509
it,492
pas,487
que,460
de,456
tu,455
on,441
il,428
me,390
le,384
that,365
c,354
what,354
vous,330
ne,319
ce,301
m,299
et,291
and,287
la,278
un,276
we,273
qu,260
à,246
ça,240
of,234
he,230
is,216
l,203
d,202
just,200
no,195
les,194
in,193
non,190
ok,190
j,187
re,185
oh,185
this,182
en,177
your,177
my,176
don,171
n,170
ai,170
know,170
pour,163
do,161
was,155
moi,149
here,145
te,143
are,143
une,137
be,135
out,131
all,131
for,130
mon,129
as,128
have,128
go,127
so,126
but,125
can,123
quoi,123
not,119
bien,118
dans,117
y,116
tout,114
sais,113
des,113
mais,112
get,110
there,110
right,109
si,109
come,108
qui,108
harry,108
they,108
with,106
up,105
va,104
suis,102
nous,102
ils,101
dit,100
him,99
fait,98
ici,96
got,94
elle,91
ll,89
now,88
veux,87
she,85
like,85
avec,84
juste,84
bobby,84
how,84
faire,84
était,83
es,81
want,81
james,80
about,79
être,78
did,78
toi,78
gonna,76
allez,75
yeah,72
du,72
chose,70
dire,70
if,70
at,70
going,69
lui,69
où,68
see,68
tell,68
one,68
please,67
think,66
plus,66
se,63
why,63
let,63
oui,62
là,62
help,62
peut,60
well,59
back,59
look,57
fais,57
who,57
vais,57
vraiment,56
ve,56
ma,55
lemon,55
really,55
say,54
us,54
where,54
au,54
comme,53
something,53
plait,52
quelque,51
peux,51
make,51
avez,50
alors,50
carlos,49
when,49
ton,49
take,49
pourquoi,48
didn,48
votre,48
aller,48
god,47
eddie,47
bon,46
helen,46
his,45
sorry,45
hey,45
maison,44
dennis,44
her,44
sur,44
tracy,44
quand,44
même,44
maintenant,43
ont,43
them,43
some,43
an,43
rien,43
ouais,42
cette,42
said,42
comment,42
our,42
been,42
sont,41
need,41
quelqu,41
dieu,41
would,40
doit,40
time,40
family,40
son,39
over,39
from,39
bad,39
dis,38
good,38
ta,38
house,38
thing,38
ou,38
down,37
ces,37
voir,37
had,37
hé,37
brother,37
told,37
com,36
baby,36
sure,36
grady,36
man,36
never,35
will,35
hear,34
love,33
père,33
www,33
doing,33
kids,33
enfants,33
jamais,33
people,33
frère,33
mean,33
or,33
marty,32
am,32
vu,32
pense,31
regarde,31
hell,30
then,30
aider,29
très,29
mattingley,29
peur,29
merci,29
famille,29
accord,29
aime,29
off,28
notre,28
sûr,28
autre,28
encore,28
way,27
dois,27
sam,27
little,27
anything,26
derek,26
ruthie,26
passe,26
papier,25
depuis,25
crois,25
because,25
vas,25
happened,25
stop,25
check,25
note,25
call,24
parce,24
fine,24
désolé,24
rowdy,24
personne,24
gotta,24
tim,24
navarro,24
ca,24
place,24
partir,24
even,24
par,24
hello,24
wait,24
aide,24
listen,23
point,23
could,23
peu,23
eat,23
give,23
temps,23
avait,22
tous,22
things,22
deux,22
tara,22
meryl,22
richard,22
toujours,22
scott,22
avant,22
femme,22
only,22
name,22
besoin,21
yes,21
mellor,21
parents,21
jour,21
inside,21
étais,21
papa,21
vie,21
were,21
faut,21
keep,21
avoir,21
into,21
saying,21
zuzu,20
cause,20
car,20
steinwitz,20
again,20
mort,20
wrong,20
before,20
big,20
mahoney,20
should,20
brodigan,20
home,20
veut,20
has,20
truc,20
damn,20
hein,20
voulais,20
bébé,20
away,20
life,20
day,20
gens,20
wanna,19
viens,19
guy,19
maybe,19
father,19
entendu,19
mec,19
someone,19
wanted,19
understand,19
chez,19
tes,19
any,19
stay,19
everything,19
mal,19
sa,19
more,19
find,19
petit,19
arrive,18
bear,18
déjà,18
désolée,18
sandra,18
guys,18
arrête,18
nothing,18
rory,18
prendre,18
êtes,18
beaucoup,18
long,18
ecoute,18
night,18
phil,18
won,18
aux,17
years,17
manger,17
coeur,17
ever,17
sait,17
tué,17
quel,17
great,17
sommes,17
sergent,17
fear,17
old,17
came,17
accident,17
pretty,17
lost,17
mes,16
vos,16
vrai,16
vois,16
done,16
avais,16
heure,16
été,16
last,16
by,16
mieux,16
work,16
cet,16
reste,16
kind,16
moment,16
grace,16
very,16
these,16
much,16
monde,16
while,16
amazing,16
minute,16
put,15
