Mot;Occurrence
regarde;31
devant;7
toi;78
on;259
doit;40
vraiment;56
emmener;3
navarro;13
à;246
l;203
hôpital;3
oui;62
bien;118
t;229
en;177
vois;16
un;276
aux;17
alentours;1
ok;71
d;160
accord;29
mais;112
tu;455
pourrais;4
pas;486
regarder;2
veux;87
conduire;1
non;190
je;701
disais;3
ça;240
comme;53
parles;6
toujours;22
pour;163
rien;43
dire;70
laisse;15
moi;149
tranquille;4
peux;51
me;98
exactement;4
pourquoi;48
va;104
par;24
là;62
i;411
se;63
croirait;1
dans;117
remake;1
du;71
film;2
deliverance;1
et;289
a;295
tout;114
simplement;1
pris;12
interstate;1
as;93
besoin;21
une;137
réponse;1
parce;24
que;459
es;81
train;8
de;456
transformer;1
quête;1
le;383
désert;1
déjà;18
parlé;4
s;119
éloigne;2
des;113
routes;1
principales;1
ne;319
veut;20
surtout;4
attirer;1
attention;5
finir;5
avec;84
flics;1
qui;108
nous;102
fouilleront;1
j;186
ai;169
compris;8
qu;259
est;676
ce;301
c;353
était;83
allez;75
merde;8
reste;16
ici;96
foutus;1
crois;25
hé;37
les;194
gars;10
perd;1
beaucoup;18
sang;12
allons;9
sortir;13
trucs;5
camion;4
transcript;8
www;23
1000fr;2
com;24
trad;2
sososeries;13
forom;13
fear;11
itself;11
season;1
1x01;1
the;9
sacrifice;1
alors;50
fait;98
quoi;123
quel;17
propos;4
enfin;8
il;425
meurt;1
mourir;10
pensais;6
quelqu;41
allait;4
être;78
blessé;5
quand;44
joues;2
la;278
cour;2
grands;1
dois;27
prendre;18
risques;2
prend;9
risque;2
autoroute;1
ou;38
louer;1
navette;1
spatiale;1
véritable;2
question;3
laissé;7
venir;9
chance;9
si;109
demande;7
même;44
voir;37
malchance;2
rentre;5
dedans;10
bonjour;9
oh;100
attendre;2
seconde;3
y;115
sympa;4
flippant;1
soûler;1
suis;102
car;9
mon;128
frère;33
m;96
aimes;4
presque;2
vrai;16
passé;12
marché;5
donc;15
grande;7
différence;3
entre;6
passer;6
respecter;1
dès;8
maison;44
chacun;2
sa;19
peau;4
liens;2
suffisent;1
marre;3
régler;1
tes;19
problèmes;3
attend;7
lui;69
dit;99
arrêter;7
toucher;1
elle;91
écouter;4
eloigne;3
bouge;6
coeur;17
sois;9
gentille;1
derrière;3
rend;3
service;4
baisse;4
ton;49
arme;3
lemon;32
ma;55
soeur;7
virginia;5
très;29
appelle;12
point;16
voici;4
diego;6
aider;29
eu;13
problème;13
route;5
roulé;1
sur;44
truc;20
pété;1
arrière;1
notre;28
etripé;1
cochon;1
peut;60
utiliser;4
votre;48
téléphone;7
voiture;11
attaché;1
nouvelle;6
société;1
vous;330
dîtes;4
ces;37
endroits;2
hippies;1
où;68
plante;2
propres;2
légumes;1
fume;1
plein;4
herbe;1
aime;29
inconditionnellement;1
n;170
gratuit;1
ami;7
voyager;1
pouvez;8
nuit;12
merci;29
gentil;2
couvertures;1
prépare;3
chambre;2
invités;4
aide;24
grange;5
arrive;18
révérend;7
allongez;1
rivière;2
barque;1
rentré;3
branche;1
poitrine;1
faisiez;1
cette;42
période;2
année;6
voulait;8
adrénaline;1
sûr;28
savoir;9
fais;57
peuple;1
vit;4
depuis;25
longtemps;7
occupe;3
santé;6
mêmes;2
cimetière;1
air;11
rempli;1
gens;20
soignent;1
seuls;2
vie;21
facile;7
mets;1
mains;5
venez;6
californie;2
lu;3
livres;1
ils;101
disaient;1
soleil;1
brillait;1
constamment;3
plupart;1
temps;23
aimerai;3
océan;2
jour;21
impressionnant;1
jamais;33
vu;32
dépassé;1
murs;1
voyons;6
au;54
moins;6
aller;48
ciné;1
chez;19
voisin;2
quelque;51
part;7
devrais;11
renter;1
manger;17
laisser;10
remplit;1
estomac;3
rendez;5
nerveuse;2
travailler;5
plus;66
ragoût;4
meilleur;3
chaud;4
appelez;4
petit;19
sors;8
souvent;3
endroit;12
assez;8
éloigné;1
solitude;2
soit;13
venus;1
bonne;9
chose;68
style;2
chevauchée;1
ta;38
te;143
plait;52
salope;4
sent;4
bon;46
mo;1
nom;15
diminutif;1
lemuel;4
craint;3
grand;13
père;33
devrait;6
troisième;3
ç;1
quelle;13
viande;3
boeuf;1
agneau;1
lapin;1
écureuil;1
tara;11
parle;10
vais;57
terminer;1
pourras;2
sourde;1
comment;42
perdu;9
pense;31
ira;14
demandais;2
faîtes;3
vivre;7
sans;13
électricité;3
sais;113
ferais;4
télé;2
madden;1
vécu;3
ainsi;7
avez;50
aucun;6
moyen;1
communication;1
êtes;18
amish;1
donner;4
maintenant;43
dort;3
herbes;1
ont;43
endormies;1
reposer;2
guérir;1
pourra;1
tard;12
juste;84
apporter;2
afin;2
sera;10
éveillé;2
chercher;9
dis;38
réveillé;3
morte;4
laissez;4
personne;24
sortez;3
secours;3
aidez;5
chelsea;2
tuer;10
sauvera;1
désolée;18
trop;12
bordel;11
infirmerie;1
tué;17
mort;20
trouver;6
retourne;5
venue;1
fuel;1
lanternes;1
promet;1
glacée;1
aurais;11
joli;6
prénom;2
marrant;4
serai;4
sexy;1
deux;22
idée;7
vas;25
aimer;3
quoique;6
papa;21
prenez;3
royaume;1
autorise;1
présence;2
réchauffez;1
vos;16
lumières;4
acceptez;1
son;29
esprit;5
purifiez;1
corps;11
âme;1
délivrez;1
mal;19
entendez;3
dieu;41
jure;6
viens;19
ecouté;1
arrivé;14
dernière;7
dont;7
souvienne;1
aimé;3
nourrir;2
sens;10
mes;16
pieds;1
pouvais;4
descendre;1
voilà;8
fini;8
plaisanterie;1
finie;2
coupe;3
corde;1
partir;24
tiens;12
mec;19
accroche;2
entends;14
meurs;5
bras;2
mieux;16
endors;1
eloignez;1
balles;3
effet;3
9mm;1
tête;10
perforante;1
tirs;1
anéantir;1
essayer;3
battre;4
foutue;1
approchez;3
partie;5
heure;16
réponses;1
disparu;4
mourrant;1
sont;41
plaques;1
immatriculation;1
vampire;4
petite;6
emmenez;1
puis;12
donnez;2
été;16
mordu;1
autre;28
choix;5
avant;22
transforme;1
deviendra;1
créature;2
sauf;3
brûle;1
pieu;1
décapite;1
encore;28
respire;4
peule;1
venu;8
roumanie;1
caché;1
parmi;3
eux;10
construit;1
fort;5
loin;7
retenir;1
tant;4
nourrit;1
humains;2
fardeau;3
sauver;2
monde;16
sait;17
tuez;1
cet;16
enfoiré;6
essayé;5
réussi;4
seules;1
restantes;1
nourrissait;1
jusqu;11
chair;4
fraîche;1
vendu;1
propre;2
sacrifié;1
doute;3
seule;9
solution;1
avoir;21
perdre;6
recule;5
dégage;4
faire;84
emmène;1
laisserai;4
vite;8
piège;4
brûler;1
trous;3
prends;9
hache;2
faites;15
garçon;8
stop;1
minute;8
secondes;2
autrement;1
éclate;1
yeux;9
rory;9
haut;6
bougez;1
chemin;1
dégagez;3
matthew;3
flic;5
pardon;3
état;1
choc;1
déshydraté;1
attendons;2
travail;3
harry;57
espérons;1
vive;1
fallait;3
parlait;5
lâcher;2
coup;8
remets;1
oublierez;1
ydy;8
traduction;9
1x02;1
spooked;1
victimes;7
étranglés;1
mordues;1
brûlées;1
pages;1
utilisé;1
flingue;6
self;1
control;1
excuses;1
parfois;6
choses;15
suffit;4
bemmel;3
avis;3
conseiller;1
enfermer;1
avaler;1
clé;1
sauvé;2
fils;6
sénateur;1
heures;4
communauté;12
dites;8
revoir;9
badge;2
pension;1
yo;7
pilules;1
caféinées;1
celles;1
cerise;1
mâcher;1
vieille;5
dent;1
embêtes;1
fois;10
regretter;1
devras;1
attraper;1
mémo;1
tourtereaux;1
arrivent;3
action;1
vont;8
droit;6
but;8
préliminaires;1
donne;3
montrer;4
richard;12
janet;1
bébé;20
femme;22
refais;1
ouais;42
voix;5
mari;8
aidera;2
divorce;2
combien;11
bender;5
détruire;1
casette;1
cassette;2
douglas;1
baisez;1
hein;20
nanas;1
attendent;3
vouloir;3
paperasse;1
james;47
bam;3
croyais;4
protéger;3
tarés;2
protection;1
rigole;2
officier;7
voit;3
demain;13
matin;4
investigations;1
tom;1
meredith;3
king;4
asseyez;1
grave;2
espère;5
pouvoir;5
liaison;1
sûre;1
ramène;1
travaille;1
assistante;1
sociale;2
désolé;24
fournissez;1
preuve;4
paye;2
boulot;4
mme;7
payer;4
adresse;3
placerai;1
van;5
surveiller;2
jack;1
remarquerait;1
procède;1
rue;2
vide;2
parfait;3
génial;11
ferme;7
porte;12
paumés;1
celui;7
paumé;1
pensé;1
trouverais;1
vieux;7
arrête;18
bavarder;1
terrible;2
installe;1
caméra;1
met;3
enregistrement;1
3h;1
angle;2
près;4
pourrait;11
arranger;1
rendre;5
ouis;2
ville;5
trouve;6
gadget;1
surveillance;1
discret;2
deuxième;3
22h00;1
baise;1
bureau;6
soir;15
excité;1
petits;4
satisfait;3
puisse;5
ouvrir;2
bouche;1
frappé;4
lumière;2
étage;3
entendu;19
aucune;7
oreille;3
monstre;3
fréquence;1
concentre;1
entrée;2
entré;3
trouvé;6
convaincant;1
faisais;3
réponds;1
défi;3
mère;12
défierait;1
cause;5
enfants;33
quels;3
lâche;6
redoutable;1
effrayé;2
gamins;1
imbéciles;1
bafouillé;1
premier;7
dur;4
parti;5
passe;26
moment;14
brûlé;3
cigare;2
toutes;7
cuisses;1
ecoute;18
numéro;8
plainte;1
seigel;2
pu;7
enquête;2
argent;5
voyez;5
trompe;1
couchent;1
devez;7
réessayer;1
confidente;1
aviez;2
histoires;1
raconté;1
vies;2
brisées;1
âmes;1
perdues;1
promettre;1
après;8
confié;1
mauvais;14
plain;1
mauvaises;2
tous;22
squelette;1
armoire;1
mien;1
commence;5
refaire;3
surface;1
voulez;11
guette;1
briques;1
bois;1
possible;4
ecoutez;4
erreurs;2
grosses;1
chaque;7
disait;9
comprenez;2
essayerez;1
rattrapez;1
aujourd;9
hui;9
supplie;1
retournez;1
bas;10
manière;7
rencard;1
avait;22
changé;4
vidéo;1
allume;2
hier;5
vérifie;1
pitié;1
surprise;1
voitures;1
ni;3
bruit;4
endormi;1
rêve;3
howdy;2
doody;2
seras;3
sobre;1
frapper;1
affaire;2
intrus;1
police;6
aussi;13
voudras;1
chargé;2
touche;2
vendre;1
joue;7
jouer;10
visage;1
arrêtait;2
baffer;1
coupé;3
méchant;10
allais;4
changer;8
méritais;1
méritait;1
fille;5
innocente;1
connaît;1
douleur;2
gamin;1
faisant;1
ses;15
témoin;2
clara;1
belle;7
cool;3
pistolet;1
bang;1
imbécile;3
garde;3
porter;4
